PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
84001,Agrigento,,1,840010000001,1,Residenziale,1,Tessuto urbano continuo,40,3329.0,False,41.43,41.69,41.77,41.92,41.54,41.89,41.88,42.19,40.7,41.03,41.04,41.32,42.62,43.02,43.09,43.25,42.4,42.72,42.7,43.08,43.02,43.23,43.26,43.36,40.92,41.25,41.23,41.64,43.02,43.36,43.36,43.77
84001,Agrigento,,2,840010000002,1,Residenziale,1,Tessuto urbano continuo,113,4694.8,False,41.64,42.08,42.1,42.41,42.51,42.67,42.66,42.83,41.0,41.38,41.37,41.78,42.95,43.21,43.23,43.55,42.81,43.06,43.01,43.36,43.57,43.66,43.61,43.91,41.95,42.06,42.03,42.26,43.92,44.17,44.16,44.46
84001,Agrigento,,3,840010000003,1,Residenziale,1,Tessuto urbano continuo,217,14257.8,True,40.59,40.98,40.94,42.09,41.17,41.49,41.38,42.2,40.17,40.43,40.39,40.86,41.54,42.08,42.07,42.64,41.79,42.09,42.11,42.47,42.21,42.72,42.77,43.17,40.57,40.92,40.99,41.32,41.89,42.64,42.82,43.35
84001,Agrigento,,4,840010000004,1,Residenziale,1,Tessuto urbano continuo,54,3801.9,False,41.98,42.09,42.06,42.27,42.71,42.87,42.86,43.04,41.52,41.64,41.62,41.79,43.4,44.39,44.66,44.84,43.19,43.44,43.42,43.73,43.95,44.01,44.0,44.1,42.13,42.21,42.2,42.3,44.77,44.94,44.9,45.17
84001,Agrigento,,5,840010000005,1,Residenziale,1,Tessuto urbano continuo,128,58816.0,True,36.97,38.36,38.32,39.86,37.77,39.13,39.05,40.56,35.61,37.03,36.91,38.63,39.15,40.99,40.89,43.4,38.27,39.67,39.65,40.68,39.78,41.34,41.23,42.7,37.36,38.81,38.63,40.24,39.01,40.18,40.15,41.6
84001,Agrigento,,6,840010000006,1,Residenziale,1,Tessuto urbano continuo,45,3044.7,False,42.01,42.14,42.12,42.25,42.49,42.58,42.57,42.65,41.72,41.75,41.75,41.82,44.59,44.68,44.66,44.75,43.73,43.75,43.75,43.77,44.1,44.13,44.13,44.18,42.14,42.23,42.23,42.32,44.83,44.9,44.92,44.97
84001,Agrigento,,7,840010000007,1,Residenziale,1,Tessuto urbano continuo,25,1910.9,False,42.49,42.5,42.5,42.51,42.57,42.61,42.61,42.64,41.92,41.97,41.97,42.03,44.52,44.54,44.54,44.56,43.82,43.83,43.83,43.83,44.35,44.44,44.44,44.52,42.76,42.77,42.77,42.78,45.33,45.46,45.46,45.59
84001,Agrigento,,8,840010000008,1,Residenziale,1,Tessuto urbano continuo,156,8652.2,True,42.43,42.75,42.68,43.22,42.9,43.09,43.06,43.29,41.8,42.1,42.17,42.33,45.0,45.21,45.14,45.45,43.7,43.92,43.94,44.06,44.64,44.9,44.85,45.14,42.79,43.14,43.14,43.59,45.12,45.13,45.13,45.14
84001,Agrigento,,9,840010000009,1,Residenziale,1,Tessuto urbano continuo,107,12473.7,True,41.86,42.32,42.12,42.95,42.34,42.69,42.69,43.01,41.4,41.71,41.76,42.04,43.22,44.67,44.99,45.2,43.33,43.67,43.67,43.98,43.94,44.23,44.18,44.62,41.9,42.49,42.4,43.04,44.82,45.0,45.01,45.15
84001,Agrigento,,10,840010000010,1,Residenziale,1,Tessuto urbano continuo,108,6302.0,True,41.77,42.03,42.04,42.28,41.84,42.17,42.19,42.45,40.89,41.4,41.41,41.72,42.71,43.67,43.53,44.72,42.55,43.18,43.19,43.52,43.69,43.97,44.01,44.15,41.76,42.07,42.07,42.37,43.9,44.66,44.66,45.04
