PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
6003,Alessandria,,1,60030000001,26,Area agricola,9,Colture agricole,84,1515616.3,True,32.93,37.36,37.14,42.38,30.5,35.55,35.32,41.0,31.36,37.82,37.98,43.07,39.76,45.03,45.0,49.86,38.36,44.94,45.3,50.03,33.92,38.94,38.88,44.58,30.95,35.69,35.73,40.22,38.85,45.14,45.21,50.58
6003,Alessandria,,2,60030000002,26,Area agricola,9,Colture agricole,38,1267164.6,True,31.65,37.13,36.91,44.37,28.86,33.8,33.72,38.97,30.31,35.21,35.15,40.3,37.78,43.35,43.24,49.32,36.23,41.59,41.56,46.97,31.87,36.12,35.92,41.36,29.86,34.01,34.09,38.53,36.48,42.92,43.04,47.98
6003,Alessandria,,3,60030000003,26,Area agricola,9,Colture agricole,328,5225428.0,True,32.73,38.45,38.43,45.37,28.04,34.77,34.7,42.38,31.6,38.88,38.88,45.0,36.68,44.44,44.7,49.92,35.89,43.31,43.31,50.66,32.01,37.05,36.94,43.68,29.67,35.48,35.42,40.53,38.35,45.87,45.63,53.66
6003,Alessandria,,4,60030000004,26,Area agricola,9,Colture agricole,157,2519568.3,True,32.84,38.08,37.97,45.07,29.68,35.99,35.91,43.2,30.41,37.58,37.71,42.9,38.32,44.94,45.22,49.85,37.44,45.08,45.36,51.09,33.19,38.12,38.31,42.71,30.52,35.97,36.13,40.15,38.73,47.1,47.04,52.67
6003,Alessandria,,5,60030000005,26,Area agricola,9,Colture agricole,5,275615.6,True,35.7,41.02,41.76,43.43,32.53,36.73,36.62,41.62,34.24,39.58,39.7,43.6,40.23,46.05,46.37,49.93,40.26,46.12,46.44,50.34,35.21,38.78,38.83,42.62,33.75,37.0,37.06,39.83,41.94,46.24,46.02,50.9
6003,Alessandria,,6,60030000006,26,Area agricola,9,Colture agricole,0,1281136.5,True,31.55,36.54,36.32,43.73,29.44,37.12,37.39,42.25,32.14,38.83,38.89,42.33,36.83,41.96,41.72,48.42,35.44,43.1,41.5,53.0,31.55,36.68,36.89,44.92,29.69,34.4,33.93,42.13,34.46,43.68,44.11,53.13
6003,Alessandria,,7,60030000007,26,Area agricola,9,Colture agricole,11,1085460.6,True,31.59,35.51,35.02,42.69,32.05,37.17,36.84,44.56,32.43,37.56,37.67,41.96,34.24,43.01,43.92,46.97,33.9,42.39,43.36,47.93,34.65,38.53,38.62,43.84,30.74,35.19,35.5,39.91,20.46,45.43,45.9,52.14
6003,Alessandria,,8,60030000008,26,Area agricola,9,Colture agricole,112,1123246.8,True,34.18,39.82,39.63,44.55,30.17,35.78,36.03,43.07,32.31,39.23,38.98,45.67,38.09,45.64,45.99,51.05,37.1,44.49,44.72,48.65,32.83,38.62,39.03,42.31,31.16,36.24,36.34,39.71,39.26,46.37,46.07,54.45
6003,Alessandria,,9,60030000009,26,Area agricola,9,Colture agricole,47,1651348.0,True,31.97,38.01,38.15,44.21,30.27,35.6,34.91,46.62,32.54,36.82,36.71,40.8,36.99,43.01,42.98,47.21,37.52,43.5,43.25,49.95,33.43,38.7,38.84,43.15,29.49,34.73,35.02,39.22,40.68,46.83,46.65,52.94
6003,Alessandria,,10,60030000010,26,Area agricola,9,Colture agricole,14,1652280.9,True,33.52,38.74,38.98,44.13,29.61,34.56,34.66,39.74,33.5,37.8,37.74,41.75,38.08,44.25,44.31,50.22,36.48,44.73,44.88,51.69,32.1,38.08,38.44,43.23,29.51,35.32,35.3,40.51,35.45,46.34,47.03,53.55
6003,Alessandria,,11,60030000011,26,Area agricola,9,Colture agricole,52,1159797.8,True,32.45,38.64,38.82,43.02,30.21,35.56,35.45,41.21,33.48,37.45,37.4,43.52,40.04,46.3,46.73,49.1,39.19,46.6,47.23,51.07,33.6,38.04,37.9,42.91,30.56,35.17,35.35,38.57,40.68,47.74,47.74,53.27
6003,Alessandria,,12,60030000012,26,Area agricola,9,Colture agricole,105,1664955.6,True,32.5,36.95,36.8,43.02,28.59,33.87,33.4,40.55,31.27,36.08,36.06,42.84,36.43,41.67,41.59,48.17,35.87,41.29,41.23,49.0,32.3,35.91,35.57,43.81,28.18,34.2,34.03,42.41,35.79,43.62,43.19,54.22
6003,Alessandria,,13,60030000013,26,Area agricola,9,Colture agricole,25,2767903.0,True,30.87,38.24,38.1,46.1,28.54,35.71,35.73,44.42,31.0,36.88,37.01,43.2,34.15,42.92,44.29,49.46,33.96,43.84,45.02,51.83,31.27,36.36,35.67,44.17,29.24,35.1,35.12,41.63,34.33,44.54,45.22,52.16
6003,Alessandria,,14,60030000014,26,Area agricola,9,Colture agricole,26,1296327.5,True,33.48,38.31,38.3,43.31,30.64,36.34,36.08,42.44,34.53,38.52,38.49,43.46,36.87,45.05,45.53,50.49,34.51,41.58,41.48,48.34,33.27,38.55,38.58,42.9,31.4,35.89,36.03,40.18,37.05,46.28,46.4,52.05
6003,Alessandria,,15,60030000015,26,Area agricola,9,Colture agricole,121,1315606.7,True,31.36,35.89,35.84,43.0,28.94,34.26,34.29,41.04,30.61,35.47,35.41,41.48,34.2,39.04,38.78,46.8,33.67,39.67,39.03,48.63,31.49,36.56,36.58,43.27,28.6,34.05,33.56,42.39,39.02,46.98,47.39,52.27
6003,Alessandria,,16,60030000016,26,Area agricola,9,Colture agricole,41,1434387.0,True,31.86,38.64,38.71,45.38,29.65,35.55,35.52,42.25,34.77,38.02,37.89,42.77,35.39,43.35,43.84,48.32,34.99,44.88,45.79,50.67,33.24,38.95,38.99,44.62,29.13,33.83,33.83,42.42,39.59,47.44,47.76,55.61
6003,Alessandria,,17,60030000017,26,Area agricola,9,Colture agricole,15,2128722.7,True,31.69,38.85,38.19,46.19,30.17,35.66,35.38,43.44,33.92,37.63,37.7,42.96,33.94,42.02,42.9,47.4,35.76,42.48,42.11,50.56,32.02,38.93,38.71,44.52,30.52,34.95,34.77,41.02,35.62,43.27,42.36,51.69
6003,Alessandria,,18,60030000018,26,Area agricola,9,Colture agricole,29,667768.0,True,33.21,37.35,37.17,42.71,30.96,34.31,33.95,39.17,34.09,37.81,38.06,41.48,36.27,43.64,44.15,47.85,36.74,42.91,42.87,47.92,33.41,37.45,37.52,42.78,31.7,36.54,36.87,42.06,42.68,46.81,46.85,52.64
6003,Alessandria,,19,60030000019,26,Area agricola,9,Colture agricole,10,1077755.9,True,30.58,36.18,36.58,41.81,30.41,35.34,35.09,41.6,34.34,37.79,37.87,41.52,34.43,43.93,45.32,48.1,35.2,44.44,45.4,50.64,31.92,37.17,37.64,42.23,29.67,33.4,33.26,39.94,38.54,46.0,46.0,50.45
6003,Alessandria,,20,60030000020,26,Area agricola,9,Colture agricole,14,831595.0,True,32.07,39.11,39.17,43.47,29.86,34.22,33.75,44.18,28.55,35.21,36.11,40.21,32.68,40.95,41.5,47.34,33.87,42.28,42.7,50.5,33.48,36.99,36.44,41.88,29.45,34.81,34.59,40.8,41.33,48.02,48.0,54.75
6003,Alessandria,,21,60030000021,26,Area agricola,9,Colture agricole,0,912324.4,True,30.53,38.34,38.74,43.42,29.19,34.69,34.58,40.09,28.41,39.2,39.49,44.96,36.24,43.14,43.72,48.77,35.73,45.98,46.32,51.36,30.25,34.46,34.44,40.18,29.58,35.01,35.04,39.64,36.72,43.41,43.65,48.9
6003,Alessandria,,22,60030000022,26,Area agricola,9,Colture agricole,0,874178.2,True,31.98,37.6,37.84,40.44,29.79,33.77,33.53,39.16,31.45,37.85,37.79,42.19,35.26,40.85,40.7,46.8,35.35,41.58,41.29,48.21,31.06,34.81,34.92,38.29,30.71,35.02,34.3,41.29,33.65,38.96,37.44,52.55
6003,Alessandria,,23,60030000023,26,Area agricola,9,Colture agricole,2,905643.9,True,32.68,37.44,37.31,43.08,30.69,33.6,33.42,39.24,31.38,36.59,36.69,39.5,40.07,43.39,43.27,48.55,38.98,45.99,46.62,50.52,33.01,36.93,36.81,43.11,30.94,35.82,35.96,41.12,37.13,44.6,45.07,49.95
6003,Alessandria,,24,60030000024,26,Area agricola,9,Colture agricole,39,872946.2,True,30.57,36.12,36.05,42.67,30.25,33.94,33.43,41.79,31.17,35.83,35.77,42.11,32.77,37.65,37.3,45.33,34.19,40.71,40.44,48.01,31.63,36.99,37.28,41.84,29.15,35.68,36.64,40.74,36.98,42.44,42.23,49.28
6003,Alessandria,,25,60030000025,26,Area agricola,9,Colture agricole,15,1183960.9,True,33.01,37.58,37.44,45.74,31.7,35.89,35.8,42.88,30.69,37.21,37.17,42.52,37.32,44.74,44.86,49.24,35.4,43.78,43.23,51.84,32.19,38.58,38.74,43.83,31.11,37.41,37.64,42.33,39.2,47.72,48.0,53.65
6003,Alessandria,,26,60030000026,26,Area agricola,9,Colture agricole,3,1444704.1,True,30.37,37.84,38.06,45.51,30.49,36.67,36.67,43.18,30.43,36.34,36.67,41.77,33.92,42.65,43.09,48.9,34.59,40.63,40.36,48.1,31.88,37.92,38.33,43.26,31.63,36.43,35.94,43.68,35.94,44.18,44.54,51.27
6003,Alessandria,,27,60030000027,26,Area agricola,9,Colture agricole,47,714734.3,True,31.8,38.34,38.37,45.89,32.29,36.42,36.21,42.1,32.36,37.37,37.56,41.21,34.51,41.81,43.15,47.17,35.5,42.53,42.34,49.43,32.56,37.81,37.72,41.88,30.7,34.36,33.95,39.2,40.56,47.4,47.35,52.9
6003,Alessandria,,28,60030000028,26,Area agricola,9,Colture agricole,10,2545781.6,True,31.66,38.29,38.34,44.33,29.0,34.88,34.76,42.82,29.99,37.12,37.72,43.7,32.13,42.09,43.21,48.84,33.57,40.81,40.6,47.47,30.31,36.68,36.56,43.72,28.85,36.01,35.98,43.03,33.91,42.98,43.22,52.43
6003,Alessandria,,29,60030000029,26,Area agricola,9,Colture agricole,31,2300427.9,True,33.69,40.37,40.29,47.64,31.73,39.04,39.31,46.14,31.55,38.87,39.16,43.19,34.16,42.38,42.93,48.9,34.92,41.95,40.83,50.59,32.53,39.87,40.09,45.67,31.72,38.18,38.26,44.58,33.84,43.9,44.2,50.81
6003,Alessandria,,30,60030000030,26,Area agricola,9,Colture agricole,3,1903919.6,True,29.53,37.54,37.94,44.82,29.29,36.55,35.79,44.43,30.52,37.19,37.29,42.69,32.99,39.65,38.76,47.72,31.5,40.49,40.41,49.84,30.14,36.85,37.03,42.87,29.47,35.44,34.57,42.58,32.49,41.64,39.98,51.06
6003,Alessandria,,31,60030000031,26,Area agricola,9,Colture agricole,28,953784.0,True,34.81,40.43,40.53,44.44,31.36,36.87,36.7,42.94,34.0,38.62,38.46,42.83,39.32,44.96,45.44,48.24,35.97,42.57,41.77,50.24,31.35,35.9,36.28,40.18,31.84,36.06,36.24,41.69,41.02,47.12,47.45,52.45
6003,Alessandria,,32,60030000032,26,Area agricola,9,Colture agricole,2,652904.1,True,32.94,40.39,40.95,45.34,34.12,40.65,40.72,46.07,33.21,39.49,40.22,43.06,35.27,44.15,44.96,49.35,37.16,45.46,47.48,50.51,34.4,39.11,39.56,42.51,32.15,39.74,40.22,44.33,38.07,45.28,45.26,51.97
6003,Alessandria,,33,60030000033,26,Area agricola,9,Colture agricole,42,561886.6,True,32.32,37.58,38.07,42.0,31.51,35.1,34.84,39.62,31.94,36.74,37.29,40.07,35.57,40.57,40.78,45.17,35.6,40.31,40.04,47.91,32.49,36.06,36.18,40.46,31.47,36.05,36.29,40.9,38.79,45.05,45.18,51.4
6003,Alessandria,,34,60030000034,26,Area agricola,9,Colture agricole,59,1346277.0,True,34.22,42.69,43.24,47.09,32.78,38.59,38.8,44.2,32.85,39.18,39.32,42.86,35.07,43.52,43.81,50.32,33.29,43.54,43.77,50.17,33.08,39.71,39.54,45.03,31.52,38.0,38.29,43.3,37.13,45.65,46.62,51.86
6003,Alessandria,,35,60030000035,26,Area agricola,9,Colture agricole,19,538062.1,True,33.32,40.56,41.17,46.94,30.75,38.07,38.32,44.47,33.37,39.42,39.44,43.49,33.99,42.05,42.31,47.79,36.2,43.85,43.23,51.74,34.71,39.57,39.82,43.41,31.95,37.62,37.6,42.79,35.34,45.02,46.01,51.94
6003,Alessandria,,36,60030000036,26,Area agricola,9,Colture agricole,28,883104.1,True,31.68,40.53,41.1,46.01,31.41,37.74,37.86,44.1,33.16,39.2,39.47,42.23,35.12,45.36,45.81,49.46,36.07,41.4,41.68,46.14,33.97,39.45,39.31,44.72,31.16,37.86,38.06,41.81,37.25,44.79,44.88,51.11
6003,Alessandria,,37,60030000037,26,Area agricola,9,Colture agricole,10,1195923.1,True,32.21,40.9,41.06,46.93,33.08,39.6,39.77,44.98,32.74,39.9,40.35,43.62,33.73,43.84,44.38,50.51,33.38,41.97,41.96,50.38,34.02,41.29,41.43,45.12,31.24,39.29,39.86,43.93,34.63,46.5,47.46,52.07
6003,Alessandria,,38,60030000038,26,Area agricola,9,Colture agricole,30,3025120.1,True,31.09,38.07,38.27,43.97,31.09,36.3,36.2,44.54,30.51,38.49,38.86,44.6,31.25,37.05,36.86,45.02,32.89,40.04,39.45,48.93,31.21,35.37,34.81,44.04,30.02,35.54,34.99,45.34,34.68,42.91,42.73,51.8
6003,Alessandria,,39,60030000039,26,Area agricola,9,Colture agricole,4,1227329.3,True,30.25,36.37,36.41,44.11,29.19,33.68,33.2,41.97,29.73,36.91,37.98,42.08,31.94,37.64,36.58,45.8,32.87,42.41,43.8,48.24,30.48,35.31,34.74,42.41,30.06,35.14,34.72,42.16,34.09,41.72,40.41,50.69
6003,Alessandria,,40,60030000040,26,Area agricola,9,Colture agricole,4,918800.0,True,31.32,38.46,38.01,46.29,29.7,36.05,34.72,45.77,30.98,36.05,36.14,42.0,33.57,39.57,40.08,45.7,33.11,38.66,38.27,45.01,31.23,35.89,34.99,43.78,29.76,33.81,33.34,39.08,34.86,40.18,39.91,48.25
6003,Alessandria,,41,60030000041,26,Area agricola,9,Colture agricole,1,1291378.4,True,32.58,37.04,37.06,40.39,29.68,33.06,32.98,38.46,27.89,33.95,33.73,41.28,32.27,36.54,36.54,43.04,33.72,38.12,37.97,44.35,31.79,37.23,37.8,41.88,31.1,34.69,34.59,39.54,35.93,43.7,43.65,51.37
6003,Alessandria,,42,60030000042,26,Area agricola,9,Colture agricole,32,1591458.9,True,28.72,34.76,34.1,41.67,28.54,33.19,32.69,40.42,30.62,37.79,38.19,42.58,32.18,38.21,37.8,45.67,29.86,39.76,39.22,49.62,29.98,36.13,36.33,40.62,30.56,36.11,36.03,42.0,35.23,40.99,40.97,48.52
6003,Alessandria,,43,60030000043,26,Area agricola,9,Colture agricole,0,1877624.3,True,32.54,39.33,39.52,45.61,30.57,37.38,37.08,45.75,31.49,37.15,37.32,42.44,33.97,40.31,40.5,46.38,34.75,41.37,40.68,50.96,32.17,39.74,40.18,45.75,30.35,36.49,36.45,43.15,36.2,43.85,44.21,50.98
6003,Alessandria,,44,60030000044,26,Area agricola,9,Colture agricole,5,1204649.2,True,32.12,39.17,39.5,44.74,31.37,38.37,38.56,43.07,32.93,39.39,39.76,44.17,31.83,40.63,40.23,48.78,33.18,40.26,40.02,48.06,32.81,39.86,39.97,44.23,30.36,36.43,35.61,43.36,35.66,44.51,44.75,53.79
6003,Alessandria,,45,60030000045,26,Area agricola,9,Colture agricole,9,1088460.1,True,31.19,37.7,37.56,45.29,29.9,34.05,33.16,43.1,28.69,36.73,37.03,42.18,32.64,37.89,36.92,45.27,33.67,41.17,40.67,48.07,31.35,36.06,35.66,41.34,30.79,36.82,37.17,42.37,34.94,41.27,41.65,48.05
6003,Alessandria,,46,60030000046,26,Area agricola,9,Colture agricole,20,925704.6,True,35.48,40.46,40.23,46.21,33.88,38.76,38.93,43.44,35.06,39.53,39.23,43.92,38.11,44.01,44.34,48.01,36.38,44.62,45.42,50.8,35.78,41.02,41.21,44.97,34.58,39.61,39.63,43.4,37.22,46.47,47.22,50.99
6003,Alessandria,,47,60030000047,26,Area agricola,9,Colture agricole,41,1651030.9,True,34.15,41.11,41.36,47.42,32.69,39.08,39.43,45.1,32.96,40.65,40.95,44.82,32.88,44.0,44.57,48.96,33.81,43.97,44.58,51.42,35.0,40.06,39.9,45.56,33.78,40.14,40.18,45.22,36.09,46.61,47.01,52.42
6003,Alessandria,,48,60030000048,26,Area agricola,9,Colture agricole,104,1965857.5,True,32.55,42.32,42.89,46.48,32.97,40.44,40.83,47.12,32.76,40.08,40.78,43.47,36.37,45.23,46.7,50.38,36.55,41.98,42.06,46.62,33.24,39.74,40.14,44.27,33.58,39.28,39.69,44.37,37.32,47.64,48.16,54.71
6003,Alessandria,,49,60030000049,26,Area agricola,9,Colture agricole,32,1113719.9,True,37.77,43.23,43.27,48.22,36.75,40.63,40.62,44.86,34.47,41.24,41.38,45.96,34.35,44.26,45.44,49.15,34.89,40.96,40.35,47.17,34.65,40.68,40.77,45.37,33.76,39.25,40.11,43.22,36.04,45.18,45.78,52.3
6003,Alessandria,,50,60030000050,26,Area agricola,9,Colture agricole,0,1284074.8,True,34.46,43.33,43.88,49.81,32.78,39.92,40.24,44.7,35.0,40.31,40.28,43.38,35.68,44.31,44.69,47.44,37.77,45.53,45.95,50.69,34.85,40.83,41.57,46.37,31.93,38.61,38.44,43.5,24.6,46.18,47.44,51.47
6003,Alessandria,,51,60030000051,26,Area agricola,9,Colture agricole,28,1800341.1,True,32.33,41.97,43.06,48.22,32.04,39.09,39.43,44.65,31.9,39.63,40.76,44.17,34.8,45.84,48.44,52.15,34.82,41.63,42.24,48.43,32.79,41.36,42.03,47.11,33.37,40.44,41.63,45.05,34.94,44.42,45.85,53.34
6003,Alessandria,,52,60030000052,26,Area agricola,9,Colture agricole,12,1539307.0,True,28.62,36.08,36.77,41.87,29.12,34.75,34.4,43.25,30.58,36.37,36.41,41.81,31.39,37.16,35.28,47.43,32.28,37.59,37.11,46.77,30.59,35.54,34.61,43.77,30.43,34.61,34.28,40.2,34.18,40.34,40.36,49.44
6003,Alessandria,,53,60030000053,26,Area agricola,9,Colture agricole,24,2265964.6,True,32.05,40.49,40.61,45.78,32.33,39.06,39.54,44.97,32.52,40.63,41.49,44.91,32.69,41.81,42.91,48.94,33.93,43.03,43.94,52.37,31.54,39.94,39.86,51.05,30.2,39.29,39.85,46.33,35.1,44.6,45.34,54.06
6003,Alessandria,,54,60030000054,26,Area agricola,9,Colture agricole,3,1586122.7,True,28.69,37.54,36.91,45.67,29.22,35.45,35.28,42.4,29.13,36.71,36.69,43.7,31.07,38.63,38.83,47.03,31.74,40.61,40.46,48.66,30.1,35.55,35.06,43.56,29.39,36.0,36.19,43.55,35.05,42.68,43.33,49.67
6003,Alessandria,,55,60030000055,26,Area agricola,9,Colture agricole,58,1721336.1,True,31.57,40.27,41.22,46.6,31.04,37.31,37.05,46.09,32.23,39.38,39.86,43.86,32.61,40.49,39.82,48.23,34.28,40.76,40.83,46.44,33.39,39.24,39.06,45.19,32.24,38.97,38.93,44.6,35.86,44.7,45.12,51.92
6003,Alessandria,,56,60030000056,26,Area agricola,9,Colture agricole,5,1272155.9,True,36.36,41.64,41.47,46.0,33.22,39.88,40.02,46.46,35.17,40.36,40.52,43.73,36.23,45.19,46.14,50.19,35.89,41.83,41.91,47.22,35.16,40.48,40.81,44.87,33.49,40.37,40.84,44.03,36.64,45.71,46.31,52.07
6003,Alessandria,,57,60030000057,26,Area agricola,9,Colture agricole,5,425461.0,True,33.74,38.42,38.43,43.4,32.15,37.22,37.31,43.1,31.98,37.93,38.48,41.25,37.54,41.49,41.83,44.37,36.3,43.08,43.8,47.76,34.88,38.17,37.48,43.79,34.76,39.09,39.23,43.99,39.94,46.55,46.48,52.62
6003,Alessandria,,58,60030000058,26,Area agricola,9,Colture agricole,65,1816831.6,True,33.61,40.95,41.62,47.17,32.05,38.98,39.14,44.51,35.22,40.26,40.61,43.29,37.6,46.33,47.03,51.52,34.47,39.46,38.71,46.88,33.9,40.66,40.69,45.36,34.55,40.59,40.86,44.76,37.24,46.95,47.6,54.17
6003,Alessandria,,59,60030000059,26,Area agricola,9,Colture agricole,37,1463264.5,True,32.57,41.61,42.07,49.25,32.29,38.47,38.84,45.05,33.53,39.91,40.04,44.38,34.44,42.72,43.57,49.61,33.95,40.95,40.54,47.98,33.15,38.45,38.09,46.31,33.81,40.4,40.44,46.74,37.28,45.49,45.98,53.55
6003,Alessandria,,60,60030000060,26,Area agricola,9,Colture agricole,0,157008.5,True,39.22,45.44,45.79,48.61,36.86,41.52,41.83,45.06,38.7,41.91,42.09,43.63,41.66,45.45,45.74,47.55,38.96,42.2,42.2,46.87,39.52,42.43,42.28,47.08,39.05,41.67,41.92,44.7,43.87,49.06,49.05,52.48
6003,Alessandria,,61,60030000061,26,Area agricola,9,Colture agricole,0,937663.5,True,38.82,44.01,44.21,46.12,29.97,32.77,31.65,41.59,31.38,34.99,33.95,42.79,32.5,41.97,44.44,49.56,38.53,46.46,47.64,49.62,33.94,37.89,38.44,43.4,34.18,38.92,39.09,44.04,43.42,50.94,50.69,56.93
6003,Alessandria,,62,60030000062,26,Area agricola,9,Colture agricole,0,1124286.1,True,30.36,37.41,37.74,43.04,30.32,36.72,36.9,45.0,30.86,36.9,36.71,42.85,35.07,43.22,43.54,48.43,31.66,40.27,40.57,46.95,31.87,38.46,38.78,43.0,30.66,36.29,36.1,44.87,34.46,44.53,43.86,52.53
6003,Alessandria,,63,60030000063,26,Area agricola,9,Colture agricole,15,2737690.8,True,29.44,34.85,34.86,43.57,28.97,34.02,33.16,43.18,28.36,36.18,36.46,42.17,30.31,36.76,36.1,46.53,32.58,39.18,39.09,48.8,30.93,34.68,34.47,40.99,30.83,38.06,38.38,44.74,33.48,43.07,42.63,52.48
6003,Alessandria,,64,60030000064,26,Area agricola,9,Colture agricole,26,794094.8,True,38.58,42.67,42.43,47.4,34.3,38.76,38.75,43.78,37.1,41.38,41.55,43.6,39.78,45.2,45.25,49.82,39.66,45.19,44.84,49.5,37.41,40.63,40.64,43.55,36.12,41.23,41.64,43.83,41.14,46.3,46.83,50.43
