PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
110001,Andria,Puglia,1,1100010000001,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,11,8830.2,True,43.25,43.4,43.39,43.56,41.42,41.63,41.63,41.91,46.01,46.29,46.28,46.6,46.59,46.82,46.85,46.99,44.33,44.6,44.61,44.85,44.94,45.18,45.15,45.51,42.28,42.62,42.65,42.93,46.95,47.24,47.2,47.46
110001,Andria,Puglia,2,1100010000002,1,Residenziale,1,Tessuto urbano continuo,19,1713.3,False,43.12,43.21,43.21,43.29,41.2,41.3,41.3,41.39,46.12,46.12,46.12,46.13,46.6,46.73,46.73,46.85,44.04,44.15,44.15,44.26,42.91,43.95,43.95,44.99,42.23,42.29,42.29,42.35,47.34,47.34,47.34,47.34
110001,Andria,Puglia,3,1100010000003,1,Residenziale,1,Tessuto urbano continuo,95,4614.6,False,42.36,43.06,43.09,43.49,40.71,41.22,41.16,41.71,45.64,46.16,46.15,46.45,46.14,46.53,46.49,46.97,43.71,44.08,43.98,44.58,43.06,44.42,44.59,45.07,41.59,42.16,42.12,42.65,46.64,47.35,47.36,47.81
110001,Andria,Puglia,4,1100010000004,1,Residenziale,1,Tessuto urbano continuo,50,6212.4,True,42.01,42.88,43.03,43.34,40.14,41.02,41.15,41.46,45.02,46.02,46.16,46.39,45.76,46.31,46.35,46.53,43.4,43.99,43.93,44.36,44.01,44.56,44.6,44.76,40.92,41.94,41.97,42.5,46.27,47.21,47.34,47.79
110001,Andria,Puglia,5,1100010000005,1,Residenziale,1,Tessuto urbano continuo,55,1890.8,False,42.68,42.9,42.91,43.11,40.91,41.04,41.03,41.19,45.76,45.89,45.86,46.06,46.34,46.49,46.49,46.63,43.66,43.84,43.86,43.98,44.49,44.64,44.65,44.78,41.85,41.98,41.96,42.16,46.74,46.95,46.97,47.12
110001,Andria,Puglia,6,1100010000006,9,Ospedale/ASL,5,Edifici pubblici e servizi,0,2014.0,False,43.08,43.2,43.19,43.35,41.1,41.24,41.22,41.42,45.78,45.87,45.85,46.01,46.69,46.78,46.77,46.88,43.93,44.12,44.11,44.33,44.72,44.84,44.83,44.98,41.91,42.07,42.05,42.28,47.01,47.19,47.17,47.4
110001,Andria,Puglia,7,1100010000007,1,Residenziale,1,Tessuto urbano continuo,50,2892.6,False,43.13,43.2,43.2,43.25,41.22,41.32,41.31,41.42,45.81,45.91,45.91,46.02,46.55,46.57,46.58,46.6,44.25,44.32,44.32,44.4,44.86,44.9,44.9,44.94,42.31,42.36,42.36,42.42,47.09,47.19,47.17,47.35
110001,Andria,Puglia,8,1100010000008,1,Residenziale,1,Tessuto urbano continuo,27,745.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001,Andria,Puglia,9,1100010000009,1,Residenziale,1,Tessuto urbano continuo,31,1134.6,False,41.98,42.36,42.32,42.79,40.19,40.53,40.55,40.85,45.17,45.47,45.51,45.73,45.67,46.02,45.98,46.42,43.27,43.43,43.39,43.62,44.01,44.22,44.19,44.47,41.06,41.45,41.52,41.76,46.36,46.54,46.55,46.72
110001,Andria,Puglia,10,1100010000010,1,Residenziale,1,Tessuto urbano continuo,18,1263.5,False,42.34,42.56,42.56,42.79,40.43,40.64,40.64,40.85,45.46,45.59,45.59,45.73,45.99,46.2,46.2,46.42,43.31,43.46,43.46,43.62,44.1,44.29,44.29,44.47,41.44,41.6,41.6,41.76,46.58,46.65,46.65,46.72
110001,Andria,Puglia,11,1100010000011,1,Residenziale,1,Tessuto urbano continuo,20,1131.9,False,42.69,42.69,42.69,42.69,40.81,40.81,40.81,40.81,45.59,45.59,45.59,45.59,46.41,46.41,46.41,46.41,43.59,43.59,43.59,43.59,44.44,44.44,44.44,44.44,41.66,41.66,41.66,41.66,46.67,46.67,46.67,46.67
110001,Andria,Puglia,12,1100010000012,1,Residenziale,1,Tessuto urbano continuo,56,2836.1,False,42.84,42.94,42.88,43.08,40.97,41.06,41.02,41.18,45.63,45.7,45.67,45.79,46.63,46.69,46.64,46.81,43.92,44.1,44.13,44.23,44.69,44.78,44.75,44.91,41.81,41.93,41.92,42.07,46.91,47.07,47.08,47.21
110001,Andria,Puglia,13,1100010000013,1,Residenziale,1,Tessuto urbano continuo,26,1518.2,False,43.06,43.06,43.06,43.07,41.17,41.17,41.17,41.18,45.77,45.78,45.78,45.79,46.56,46.61,46.61,46.67,44.23,44.24,44.24,44.24,44.83,44.85,44.85,44.86,42.15,42.2,42.2,42.24,47.29,47.29,47.29,47.3
110001,Andria,Puglia,14,1100010000014,1,Residenziale,1,Tessuto urbano continuo,44,1842.5,False,42.85,42.93,42.91,43.03,41.03,41.1,41.08,41.2,45.71,45.76,45.76,45.82,46.57,46.59,46.58,46.61,44.15,44.17,44.16,44.21,44.76,44.78,44.76,44.82,42.05,42.15,42.16,42.25,47.18,47.21,47.19,47.26
110001,Andria,Puglia,15,1100010000015,1,Residenziale,1,Tessuto urbano continuo,65,1949.8,False,42.85,42.95,42.95,43.03,41.03,41.1,41.1,41.2,45.68,45.74,45.74,45.82,46.39,46.54,46.57,46.61,44.11,44.16,44.15,44.21,44.7,44.76,44.76,44.82,42.05,42.15,42.15,42.25,46.73,47.09,47.19,47.26
110001,Andria,Puglia,16,1100010000016,1,Residenziale,1,Tessuto urbano continuo,65,4698.0,False,42.36,42.41,42.39,42.55,40.5,40.6,40.59,40.74,45.18,45.25,45.23,45.37,45.94,46.05,46.04,46.31,43.31,43.45,43.43,43.73,43.55,43.87,43.82,44.36,41.02,41.17,41.13,41.46,46.28,46.49,46.5,46.66
110001,Andria,Puglia,17,1100010000017,1,Residenziale,1,Tessuto urbano continuo,6,991.7,False,42.27,42.27,42.27,42.27,40.41,40.41,40.41,40.41,45.17,45.17,45.17,45.17,45.85,45.85,45.85,45.85,43.23,43.23,43.23,43.23,43.68,43.68,43.68,43.68,41.14,41.14,41.14,41.14,46.45,46.45,46.45,46.45
