PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
5005,Asti,,1,50050000001,1,Residenziale,1,Tessuto urbano continuo,105,15665.9,True,42.04,42.53,42.47,43.31,40.55,41.03,41.09,41.58,41.53,42.07,42.16,42.72,45.61,46.21,46.31,46.72,47.11,47.72,47.62,48.53,43.63,44.22,44.19,44.91,41.17,41.77,41.7,42.9,47.22,47.81,47.8,48.56
5005,Asti,,2,50050000002,1,Residenziale,1,Tessuto urbano continuo,45,3079.0,False,42.47,42.68,42.67,42.93,41.05,41.21,41.21,41.38,41.88,42.15,42.15,42.38,46.09,46.29,46.26,46.57,47.65,47.93,47.9,48.27,44.05,44.68,44.88,45.16,41.58,41.86,41.85,42.2,47.81,48.07,48.03,48.38
5005,Asti,,3,50050000003,1,Residenziale,1,Tessuto urbano continuo,83,9540.4,True,42.41,42.78,42.8,43.18,40.66,40.78,40.72,41.03,41.55,41.74,41.75,42.03,45.78,45.95,45.95,46.25,47.4,47.71,47.74,48.0,43.88,44.68,44.84,44.97,41.35,41.7,41.73,41.98,47.49,47.77,47.8,48.1
5005,Asti,,4,50050000004,1,Residenziale,1,Tessuto urbano continuo,140,12678.4,True,42.29,43.08,43.1,43.6,40.34,40.53,40.51,40.69,41.37,41.53,41.48,41.7,45.44,45.93,45.92,46.37,47.04,47.59,47.6,47.95,43.58,44.71,44.74,45.19,41.19,41.57,41.58,41.94,47.13,47.68,47.67,48.2
5005,Asti,,5,50050000005,1,Residenziale,1,Tessuto urbano continuo,108,8451.7,True,42.29,42.69,42.74,42.98,40.25,40.37,40.39,40.48,41.29,41.41,41.41,41.54,45.37,45.48,45.44,45.66,46.88,47.05,47.07,47.17,43.53,43.78,43.74,44.03,41.08,41.23,41.21,41.41,47.08,47.21,47.18,47.36
5005,Asti,,6,50050000006,1,Residenziale,1,Tessuto urbano continuo,122,7009.7,True,42.8,43.15,43.14,43.36,40.01,40.18,40.17,40.34,41.11,41.22,41.19,41.37,45.42,45.55,45.51,45.91,47.13,47.35,47.37,47.58,43.78,44.07,43.91,44.57,41.08,41.22,41.17,41.45,47.2,47.35,47.33,47.61
5005,Asti,,7,50050000007,1,Residenziale,1,Tessuto urbano continuo,88,3374.4,False,43.08,43.13,43.1,43.19,40.15,40.24,40.25,40.36,41.21,41.28,41.28,41.39,45.6,45.66,45.62,45.79,47.19,47.27,47.27,47.35,44.02,44.05,44.03,44.17,41.31,41.45,41.37,41.7,47.43,47.46,47.46,47.52
5005,Asti,,8,50050000008,1,Residenziale,1,Tessuto urbano continuo,59,3796.5,False,42.83,43.04,43.09,43.11,40.44,40.5,40.49,40.61,41.51,41.56,41.54,41.65,45.66,45.96,45.97,46.15,47.09,47.28,47.29,47.41,44.03,44.25,44.24,44.47,41.38,41.62,41.64,41.75,47.28,47.52,47.53,47.72
5005,Asti,,9,50050000009,1,Residenziale,1,Tessuto urbano continuo,51,13637.3,True,40.76,42.41,42.42,43.43,38.52,40.32,40.57,41.13,39.58,41.26,41.6,42.06,44.14,45.73,45.95,46.89,45.78,47.06,47.24,48.04,42.34,43.57,43.61,44.49,39.44,41.26,41.51,42.4,45.56,46.93,47.03,47.91
5005,Asti,,10,50050000010,37,Scuole/istituti,5,Edifici pubblici e servizi,0,9845.8,True,42.51,42.96,42.99,43.26,40.14,40.48,40.5,40.95,41.15,41.62,41.68,42.16,45.02,45.53,45.6,46.03,46.04,46.62,46.54,47.76,42.52,43.31,43.24,44.35,41.64,42.3,42.35,43.0,46.12,46.93,46.94,47.95
5005,Asti,,11,50050000011,1,Residenziale,1,Tessuto urbano continuo,0,2948.8,False,43.31,43.44,43.44,43.59,41.25,41.39,41.41,41.48,42.33,42.42,42.43,42.48,46.09,46.26,46.23,46.48,47.05,47.29,47.33,47.45,44.25,44.41,44.45,44.5,42.85,42.94,42.95,42.99,47.61,47.75,47.78,47.85
5005,Asti,,12,50050000012,1,Residenziale,1,Tessuto urbano continuo,13,7339.2,True,43.04,43.32,43.31,43.53,40.83,41.07,40.99,41.43,41.94,42.15,42.09,42.57,46.07,46.27,46.19,46.67,47.42,48.03,47.98,48.57,44.2,44.55,44.5,44.91,42.55,42.74,42.69,42.98,47.7,48.01,47.94,48.42
5005,Asti,,13,50050000013,1,Residenziale,1,Tessuto urbano continuo,34,3757.5,False,42.8,42.88,42.88,42.97,41.32,41.45,41.45,41.57,42.26,42.45,42.45,42.65,46.38,46.54,46.54,46.7,48.3,48.46,48.46,48.63,44.59,44.71,44.71,44.84,42.32,42.36,42.36,42.39,48.2,48.37,48.37,48.54
5005,Asti,,14,50050000014,1,Residenziale,1,Tessuto urbano continuo,70,6544.5,True,42.69,42.91,42.88,43.19,41.21,41.36,41.3,41.55,42.15,42.35,42.26,42.63,46.26,46.51,46.39,46.86,48.05,48.31,48.2,48.62,44.07,44.92,45.29,45.53,42.14,42.3,42.32,42.42,48.01,48.31,48.24,48.67
5005,Asti,,15,50050000015,1,Residenziale,1,Tessuto urbano continuo,26,2588.6,False,42.78,42.84,42.83,42.93,41.19,41.25,41.26,41.3,41.94,42.06,42.03,42.26,46.11,46.24,46.2,46.45,47.79,47.95,47.93,48.16,43.95,45.04,45.25,45.31,41.81,42.07,42.11,42.15,47.81,47.98,47.95,48.21
5005,Asti,,16,50050000016,1,Residenziale,1,Tessuto urbano continuo,51,3865.9,False,42.71,42.98,42.95,43.2,41.08,41.17,41.19,41.2,41.94,42.0,41.99,42.05,46.15,46.23,46.19,46.31,47.95,47.99,48.01,48.04,44.0,44.3,44.08,45.32,41.79,41.97,41.81,42.3,47.78,47.86,47.89,47.9
5005,Asti,,17,50050000017,1,Residenziale,1,Tessuto urbano continuo,98,5409.1,True,42.88,43.16,43.1,43.52,40.55,40.86,40.85,41.21,41.77,41.93,41.88,42.15,45.94,46.14,46.16,46.26,47.77,48.0,48.04,48.14,43.94,44.07,44.06,44.31,41.69,42.2,42.4,42.54,47.59,47.74,47.73,48.01
5005,Asti,,18,50050000018,1,Residenziale,1,Tessuto urbano continuo,89,9237.9,True,43.24,43.61,43.6,44.02,40.48,40.97,40.92,41.57,41.71,42.04,41.99,42.55,45.72,46.0,45.98,46.47,47.45,47.69,47.64,48.17,43.87,44.04,43.99,44.44,41.54,42.35,42.33,42.87,47.4,47.62,47.62,47.88
5005,Asti,,19,50050000019,1,Residenziale,1,Tessuto urbano continuo,182,5926.4,True,43.97,44.47,44.41,45.03,41.27,41.81,41.83,42.33,42.18,42.4,42.41,42.74,45.9,46.39,46.36,47.07,47.21,47.66,47.68,48.35,44.02,44.34,44.25,44.85,42.45,42.65,42.51,43.19,47.24,47.67,47.74,48.21
5005,Asti,,20,50050000020,1,Residenziale,1,Tessuto urbano continuo,213,15851.4,True,42.53,43.23,43.18,44.04,41.44,41.81,41.8,42.21,42.08,42.43,42.46,42.77,46.3,46.64,46.61,47.13,47.87,48.28,48.33,48.78,44.12,45.01,45.14,45.53,41.42,42.0,41.96,42.78,47.96,48.29,48.26,48.74
5005,Asti,,21,50050000021,1,Residenziale,1,Tessuto urbano continuo,230,14980.6,True,41.87,42.54,42.72,43.0,41.3,41.58,41.59,41.93,41.77,42.08,42.11,42.4,46.15,46.48,46.55,46.74,47.79,48.08,48.13,48.33,44.88,45.19,45.23,45.42,41.03,41.69,41.83,42.11,47.84,48.1,48.14,48.31
5005,Asti,,22,50050000022,1,Residenziale,1,Tessuto urbano continuo,111,6659.2,True,41.88,42.21,42.17,42.77,41.3,41.4,41.41,41.54,41.78,41.98,41.95,42.16,46.29,46.52,46.57,46.79,47.98,48.15,48.21,48.34,45.0,45.19,45.18,45.42,41.15,41.67,41.62,42.11,47.93,48.19,48.22,48.39
5005,Asti,,23,50050000023,1,Residenziale,1,Tessuto urbano continuo,106,5769.1,True,41.84,42.19,42.06,42.57,41.08,41.21,41.24,41.37,41.78,41.93,41.9,42.15,46.1,46.32,46.26,46.59,47.61,47.89,47.84,48.19,44.83,45.19,45.12,45.42,41.35,41.58,41.4,42.0,47.87,48.09,48.05,48.33
5005,Asti,,24,50050000024,1,Residenziale,1,Tessuto urbano continuo,51,4332.6,False,42.82,42.87,42.83,43.04,41.2,41.33,41.32,41.42,42.15,42.29,42.26,42.49,46.41,46.63,46.61,46.9,48.05,48.23,48.23,48.5,45.27,45.42,45.42,45.67,42.06,42.15,42.15,42.28,48.1,48.31,48.32,48.57
5005,Asti,,25,50050000025,1,Residenziale,1,Tessuto urbano continuo,26,3078.5,False,43.04,43.1,43.1,43.15,41.35,41.38,41.37,41.42,42.42,42.46,42.46,42.53,46.9,46.91,46.91,46.93,48.5,48.57,48.61,48.61,44.48,45.43,45.67,45.72,42.28,42.31,42.28,42.38,48.57,48.61,48.63,48.63
