PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
64008,Avellino,,1,640080000001,1,Residenziale,1,Tessuto urbano continuo,505,43815.6,True,34.74,37.82,37.47,40.33,38.8,40.56,40.53,42.6,33.83,36.95,37.3,39.21,39.52,40.93,40.87,42.79,39.88,41.49,41.65,42.73,41.1,42.78,42.89,44.38,37.58,39.5,39.35,42.3,40.15,41.5,41.37,43.24
64008,Avellino,,3,640080000003,1,Residenziale,1,Tessuto urbano continuo,317,40433.2,True,34.7,37.21,36.83,40.53,37.04,39.03,38.39,41.66,33.87,36.13,35.45,39.32,37.08,39.11,38.57,41.72,37.64,39.24,38.55,42.08,37.79,40.28,39.79,43.3,34.48,36.92,36.19,40.32,37.93,39.58,38.66,42.91
64008,Avellino,,4,640080000004,1,Residenziale,1,Tessuto urbano continuo,702,31758.8,True,36.36,38.99,38.77,40.73,40.41,41.67,41.57,42.79,36.09,37.97,38.05,39.55,40.05,41.74,41.76,42.91,40.58,41.88,41.77,42.79,42.08,43.22,42.99,44.41,38.52,39.97,39.55,42.39,41.51,42.64,42.66,43.23
64008,Avellino,,5,640080000005,4,Piazza monumentale,5,Edifici pubblici e servizi,8,9760.0,True,38.5,39.21,39.22,40.04,40.82,41.6,41.48,42.5,36.86,38.24,38.15,39.21,40.38,41.05,40.97,41.75,41.15,41.54,41.49,42.0,42.38,42.78,42.7,43.46,38.93,39.27,39.23,40.08,41.58,42.12,42.1,42.75
64008,Avellino,,6,640080000006,1,Residenziale,1,Tessuto urbano continuo,243,12264.4,True,40.34,41.1,41.17,41.83,41.64,42.72,42.7,43.34,35.95,38.9,39.31,40.19,40.48,41.77,41.91,42.33,40.88,42.02,42.04,42.68,42.67,43.72,43.75,44.34,39.53,41.1,41.27,42.29,41.67,42.91,43.11,43.52
64008,Avellino,,7,640080000007,1,Residenziale,1,Tessuto urbano continuo,92,3505.1,False,38.81,39.74,39.83,40.48,40.52,41.54,41.5,42.65,37.28,38.02,37.9,39.01,41.38,41.86,41.87,42.31,41.85,42.31,42.32,42.72,42.92,43.54,43.59,44.07,39.6,40.8,40.77,42.04,42.54,42.91,42.96,43.2
64008,Avellino,,8,640080000008,1,Residenziale,1,Tessuto urbano continuo,270,8301.8,True,40.02,40.66,40.78,41.21,41.68,42.37,42.36,43.18,36.43,38.27,38.54,39.33,41.13,41.72,41.74,42.61,41.39,41.88,41.87,42.65,41.75,43.03,43.06,43.86,39.98,40.77,40.88,41.59,42.5,42.92,42.9,43.27
64008,Avellino,,9,640080000009,1,Residenziale,1,Tessuto urbano continuo,93,4715.2,False,39.84,40.17,39.93,40.95,42.12,43.12,43.32,43.4,37.08,38.39,38.87,39.16,41.85,42.36,42.33,42.79,42.11,42.54,42.54,42.83,43.3,43.63,43.74,44.02,40.87,41.55,41.72,41.74,42.65,43.01,42.96,43.24
64008,Avellino,,10,640080000010,1,Residenziale,1,Tessuto urbano continuo,534,95770.4,True,33.7,36.27,36.32,39.21,34.52,38.65,38.88,40.82,32.61,36.12,36.1,39.75,37.15,39.87,39.83,42.2,36.19,39.66,39.78,41.41,38.91,40.98,41.01,43.16,36.0,38.63,38.72,40.69,35.85,39.38,39.54,41.26
64008,Avellino,,11,640080000011,1,Residenziale,1,Tessuto urbano continuo,160,37944.0,True,33.85,35.91,35.85,38.08,36.39,38.66,38.73,40.03,32.05,35.01,34.84,37.53,37.19,39.32,39.31,41.55,36.58,39.05,39.12,40.52,35.93,39.65,39.67,42.32,34.64,38.21,38.36,40.43,36.61,38.59,38.44,40.66
64008,Avellino,,12,640080000012,15,Cimitero,5,Edifici pubblici e servizi,0,124524.3,True,32.16,38.04,38.4,41.18,36.81,39.7,39.91,42.13,31.22,37.17,37.63,40.78,35.96,40.03,40.3,42.84,36.71,40.86,41.09,43.24,38.67,42.58,42.93,44.96,36.67,40.64,40.93,43.08,35.84,40.03,40.06,43.18
64008,Avellino,,13,640080000013,1,Residenziale,1,Tessuto urbano continuo,328,81165.5,True,33.03,36.07,35.53,41.38,36.23,38.15,37.9,41.83,29.73,35.02,34.73,41.69,35.47,38.05,37.46,43.27,36.02,39.44,38.96,44.23,38.3,41.23,41.11,44.66,36.25,38.99,38.4,43.17,34.89,37.69,37.44,42.77
64008,Avellino,,14,640080000014,1,Residenziale,1,Tessuto urbano continuo,295,45547.4,True,33.7,36.32,36.04,41.12,36.31,38.94,38.9,41.57,32.63,36.05,35.91,41.25,35.63,38.6,38.86,42.94,36.38,39.64,39.75,43.94,40.13,41.74,41.66,44.55,36.24,39.28,39.39,43.37,36.19,38.6,38.63,42.11
64008,Avellino,,15,640080000015,1,Residenziale,1,Tessuto urbano continuo,538,56683.8,True,33.95,37.66,37.45,40.7,34.56,37.84,38.02,40.73,33.66,37.75,37.54,41.39,36.92,39.6,39.43,42.39,37.77,39.75,39.5,43.59,40.63,42.42,42.35,44.01,36.7,39.65,39.55,42.4,36.9,39.07,38.91,42.21
64008,Avellino,,16,640080000016,1,Residenziale,1,Tessuto urbano continuo,495,32191.8,True,39.66,40.68,40.82,41.5,38.36,40.62,40.81,42.14,39.83,41.29,41.58,42.09,41.02,42.66,42.79,43.74,41.41,42.68,42.75,43.72,42.69,44.23,44.33,45.85,41.19,42.53,42.65,43.47,40.18,41.99,42.16,42.77
64008,Avellino,,17,640080000017,10,Ferrovia,3,Rete infrastrutturale,0,28712.2,True,34.74,38.91,39.77,41.27,36.47,39.65,39.42,42.02,33.16,38.55,39.45,41.88,36.79,41.0,41.64,43.74,37.72,41.63,42.03,44.35,40.39,43.19,43.61,45.05,38.34,41.48,41.65,43.66,36.17,39.82,40.15,42.41
64008,Avellino,,18,640080000018,1,Residenziale,1,Tessuto urbano continuo,47,19506.4,True,36.79,37.42,37.32,38.66,35.03,37.22,36.05,40.64,36.07,38.18,38.14,39.47,38.02,39.27,39.07,41.39,39.39,40.64,40.62,42.39,41.3,42.64,42.57,44.6,39.49,41.0,41.21,41.93,37.72,38.84,39.03,40.04
64008,Avellino,,19,640080000019,1,Residenziale,1,Tessuto urbano continuo,66,18076.8,True,37.73,39.18,39.39,40.51,37.29,40.45,40.47,42.36,36.08,38.82,39.0,40.84,38.74,40.3,40.01,42.34,39.2,40.86,40.99,42.49,40.68,42.87,42.92,44.74,38.37,40.42,40.15,42.55,37.4,38.95,39.08,41.16
64008,Avellino,,20,640080000020,12,Attivita produttive,2,Superficie impervia pesante,30,106679.8,True,36.22,40.86,41.18,44.5,37.98,41.74,41.81,44.41,35.06,40.52,40.4,45.53,37.55,42.02,42.28,46.11,37.32,43.41,43.92,47.63,39.97,44.74,44.95,48.66,37.5,41.7,41.84,45.23,38.21,42.56,42.45,47.58
64008,Avellino,,21,640080000021,12,Attivita produttive,2,Superficie impervia pesante,39,131721.8,True,38.52,42.52,42.72,44.74,37.98,42.07,42.5,45.01,37.81,42.52,42.78,45.47,39.89,43.63,43.9,46.46,40.66,45.19,45.24,48.7,43.22,46.6,46.89,49.04,39.52,43.19,43.48,46.19,40.32,44.54,45.03,47.6
64008,Avellino,,22,640080000022,12,Attivita produttive,2,Superficie impervia pesante,17,356970.8,True,31.55,39.25,39.79,43.23,30.83,38.91,39.08,44.14,29.79,38.28,38.47,44.25,33.32,40.44,40.89,44.67,33.25,40.93,41.49,45.04,36.07,43.55,43.9,46.99,32.07,39.49,39.77,42.73,33.07,40.43,40.66,44.87
64008,Avellino,,23,640080000023,12,Attivita produttive,2,Superficie impervia pesante,43,283450.3,True,34.71,41.87,41.83,46.45,35.2,41.08,41.23,45.91,33.46,41.74,41.66,48.15,35.4,43.38,42.75,48.94,35.16,44.29,43.96,50.87,38.4,45.71,45.47,50.62,35.01,42.39,42.38,47.28,34.23,43.46,43.54,49.85
