PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
118006,Cagliari,Sardegna,1,920090000001,1,Residenziale,1,Tessuto urbano continuo,227,10244.8,True,39.97,40.7,40.67,41.44,38.49,39.39,39.4,40.11,40.52,41.59,41.62,42.58,42.91,43.64,43.85,44.23,42.13,42.88,42.96,43.46,40.35,41.25,41.28,42.0,41.41,42.18,42.28,42.64,43.26,44.16,44.19,45.03
118006,Cagliari,Sardegna,2,920090000002,1,Residenziale,1,Tessuto urbano continuo,110,4634.9,False,41.3,41.86,41.97,42.27,40.05,40.55,40.68,40.87,42.43,42.99,43.18,43.32,43.95,44.35,44.38,44.57,43.29,43.79,43.93,44.13,41.7,42.3,42.35,42.69,42.52,42.87,42.88,43.24,44.8,45.07,45.07,45.2
118006,Cagliari,Sardegna,3,920090000003,1,Residenziale,1,Tessuto urbano continuo,119,2511.9,False,41.39,41.64,41.64,41.89,40.11,40.34,40.34,40.56,42.55,42.79,42.79,43.03,44.11,44.27,44.27,44.44,43.36,43.54,43.54,43.72,41.88,42.15,42.15,42.42,42.62,42.78,42.78,42.94,45.01,45.06,45.06,45.11
118006,Cagliari,Sardegna,4,920090000004,1,Residenziale,1,Tessuto urbano continuo,170,3914.9,False,41.26,41.71,41.75,42.15,39.99,40.33,40.38,40.65,42.31,42.71,42.76,43.09,43.96,44.22,44.27,44.47,43.17,43.45,43.4,43.86,41.79,42.17,42.19,42.65,42.55,42.83,42.87,43.15,44.69,45.04,45.13,45.22
118006,Cagliari,Sardegna,5,920090000005,1,Residenziale,1,Tessuto urbano continuo,35,1079.9,False,41.14,41.14,41.14,41.14,39.72,39.72,39.72,39.72,41.94,41.94,41.94,41.94,43.7,43.7,43.7,43.7,42.91,42.91,42.91,42.91,41.6,41.6,41.6,41.6,42.45,42.45,42.45,42.45,44.35,44.35,44.35,44.35
118006,Cagliari,Sardegna,6,920090000006,1,Residenziale,1,Tessuto urbano continuo,33,610.9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118006,Cagliari,Sardegna,7,920090000007,1,Residenziale,1,Tessuto urbano continuo,48,8973.5,True,40.38,41.22,41.34,42.03,38.9,39.53,39.57,40.23,40.52,41.34,41.27,42.31,42.67,43.27,43.2,43.65,42.31,42.97,42.98,43.52,40.57,41.19,41.2,41.98,41.44,42.19,42.33,42.57,43.24,43.95,43.96,44.68
118006,Cagliari,Sardegna,8,920090000008,1,Residenziale,1,Tessuto urbano continuo,47,5794.9,True,39.89,40.26,40.16,40.87,38.44,38.71,38.69,39.13,39.63,40.17,40.15,40.72,41.88,42.3,42.2,43.01,41.36,41.93,41.87,42.6,39.88,40.24,40.22,40.84,40.74,41.13,41.04,41.82,42.63,43.0,43.0,43.49
118006,Cagliari,Sardegna,9,920090000009,1,Residenziale,1,Tessuto urbano continuo,123,7106.4,True,39.52,39.84,39.8,40.35,37.72,38.16,38.2,38.57,38.83,39.75,39.77,40.55,41.15,41.96,42.02,42.57,40.96,41.43,41.3,42.02,39.06,39.8,39.8,40.43,40.56,40.8,40.76,41.14,41.7,42.57,42.72,43.14
118006,Cagliari,Sardegna,10,920090000010,1,Residenziale,1,Tessuto urbano continuo,43,3804.3,False,40.36,40.6,40.57,40.96,38.5,38.75,38.72,39.17,40.76,41.1,41.08,41.57,42.28,42.58,42.55,42.99,42.19,42.49,42.47,42.92,40.26,40.58,40.56,40.92,41.35,41.69,41.74,41.87,42.83,43.22,43.18,43.77
