PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
79023,Catanzaro,,1,790230000001,1,Residenziale,1,Tessuto urbano continuo,231,15049.4,True,40.87,41.9,41.83,43.47,37.76,38.74,38.66,40.37,38.85,39.94,39.97,41.15,40.69,41.62,41.68,43.12,40.2,41.09,41.02,42.81,41.79,42.63,42.53,43.99,38.96,39.93,39.84,41.79,40.29,41.38,41.28,42.97
79023,Catanzaro,,2,790230000002,1,Residenziale,1,Tessuto urbano continuo,182,14117.1,True,41.89,42.61,42.65,43.33,39.33,39.76,39.76,40.29,39.77,40.44,40.43,41.02,41.59,42.18,42.11,42.82,40.56,41.47,41.53,42.13,42.44,43.03,42.97,43.63,39.73,40.4,40.3,41.16,41.17,41.85,41.93,42.53
79023,Catanzaro,,3,790230000003,1,Residenziale,1,Tessuto urbano continuo,281,12661.4,True,39.18,40.0,39.92,40.84,37.26,37.9,37.86,38.55,36.89,37.69,37.61,38.47,39.19,40.0,39.92,40.81,38.23,39.06,39.01,39.84,40.49,41.19,41.18,41.91,38.14,38.86,38.82,39.64,37.89,38.7,38.65,39.47
79023,Catanzaro,,4,790230000004,1,Residenziale,1,Tessuto urbano continuo,193,24742.9,True,40.89,41.95,42.18,43.21,36.9,38.38,38.46,40.23,38.57,39.58,39.76,40.95,40.85,41.74,41.91,42.89,39.46,40.67,40.89,42.01,42.0,42.81,42.82,43.63,39.13,40.11,40.27,41.16,39.06,40.48,40.57,42.65
79023,Catanzaro,,5,790230000005,1,Residenziale,1,Tessuto urbano continuo,325,24361.2,True,38.75,40.15,40.28,41.04,36.56,37.26,37.26,38.02,36.09,37.44,37.53,38.23,38.34,39.98,40.13,40.75,36.92,38.58,38.66,39.39,39.78,41.41,41.63,41.94,36.77,38.31,38.32,39.0,36.97,38.76,38.71,39.94
79023,Catanzaro,,6,790230000006,1,Residenziale,1,Tessuto urbano continuo,207,21213.5,True,39.84,41.12,41.24,41.95,36.49,37.31,37.26,38.35,37.58,38.59,38.59,39.53,40.1,41.07,40.94,42.09,38.91,39.68,39.44,40.84,41.5,42.22,42.14,43.03,38.69,39.27,39.06,40.45,38.29,39.85,40.11,41.25
79023,Catanzaro,,7,790230000007,1,Residenziale,1,Tessuto urbano continuo,206,18500.5,True,40.84,42.2,42.32,42.69,37.67,38.49,38.51,39.31,39.12,39.78,39.82,40.15,41.03,41.77,41.79,42.2,40.31,40.75,40.74,41.31,41.74,42.9,42.99,43.36,39.43,40.05,40.01,40.74,40.59,41.49,41.6,42.26
79023,Catanzaro,,8,790230000008,1,Residenziale,1,Tessuto urbano continuo,169,28405.5,True,41.25,42.46,42.52,43.19,37.06,38.66,38.79,39.81,38.95,40.12,40.12,40.92,40.94,42.12,42.1,42.79,39.46,41.13,41.19,42.17,42.27,43.12,43.13,43.6,39.13,40.21,40.17,41.04,40.03,41.6,41.8,42.52
79023,Catanzaro,,9,790230000009,1,Residenziale,1,Tessuto urbano continuo,80,2862.7,False,37.17,38.03,38.06,38.81,35.18,35.99,35.97,36.78,34.7,35.48,35.48,36.25,36.88,37.7,37.61,38.59,35.59,36.37,36.28,37.3,38.14,38.93,38.89,39.82,35.28,36.27,36.15,37.25,34.69,35.92,35.74,37.17
79023,Catanzaro,,10,790230000010,1,Residenziale,1,Tessuto urbano continuo,218,13432.1,True,36.47,38.05,37.91,39.87,34.77,35.91,35.83,37.4,34.62,35.75,35.52,37.29,36.68,37.76,37.58,39.46,35.58,36.53,36.28,38.03,38.14,39.56,39.39,40.9,35.13,36.39,36.19,37.81,34.69,36.37,36.01,38.29
