PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
13075,Como,,1,130750000001,1,Residenziale,1,Tessuto urbano continuo,137,8542.6,True,41.36,41.67,41.68,41.94,39.69,40.12,40.11,40.44,37.55,37.82,37.82,38.06,47.69,48.05,48.0,48.32,45.89,46.29,46.32,46.46,44.78,45.06,45.01,45.42,39.53,40.97,41.06,41.37,47.69,48.09,48.07,48.52
13075,Como,,2,130750000002,1,Residenziale,1,Tessuto urbano continuo,138,21370.4,True,40.11,40.85,40.91,41.65,37.96,38.86,38.85,39.71,36.19,36.89,36.97,37.58,45.91,46.62,46.73,47.37,44.28,44.98,45.06,45.67,43.15,44.12,44.19,44.84,38.95,39.57,39.58,40.21,46.78,47.58,47.67,48.23
13075,Como,,3,130750000003,1,Residenziale,1,Tessuto urbano continuo,106,7111.5,True,41.42,41.69,41.64,42.11,40.4,40.46,40.44,40.57,37.25,37.45,37.41,37.8,47.54,47.79,47.76,48.07,46.08,46.22,46.22,46.38,45.07,45.32,45.26,45.74,38.76,40.24,40.35,40.78,47.98,48.18,48.13,48.57
13075,Como,,4,130750000004,1,Residenziale,1,Tessuto urbano continuo,57,14910.4,True,37.52,38.59,38.43,40.34,36.75,38.0,38.06,39.34,33.45,34.75,34.68,35.92,43.43,44.48,44.48,45.92,42.11,43.22,43.03,44.7,41.0,42.36,42.23,43.93,36.75,37.89,37.69,38.99,43.85,45.03,44.83,46.96
13075,Como,,5,130750000005,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,114,9651.5,True,40.79,41.48,41.52,41.86,39.61,40.12,40.15,40.37,36.62,37.23,37.26,37.64,46.99,47.75,47.81,48.1,45.68,46.22,46.27,46.52,44.69,45.02,45.05,45.19,38.56,40.37,40.47,40.83,47.59,48.22,48.24,48.6
13075,Como,,6,130750000006,1,Residenziale,1,Tessuto urbano continuo,92,8537.3,True,40.56,41.26,41.28,41.85,39.02,39.56,39.57,40.07,37.01,37.37,37.35,37.81,47.07,47.56,47.53,48.08,45.35,45.83,45.89,46.21,44.34,44.87,44.87,45.26,38.26,39.96,40.29,41.05,47.69,48.01,48.02,48.35
13075,Como,,7,130750000007,1,Residenziale,1,Tessuto urbano continuo,95,5077.0,True,41.75,41.81,41.81,41.84,40.3,40.4,40.41,40.45,37.43,37.51,37.51,37.61,47.38,47.59,47.57,47.91,46.28,46.31,46.32,46.34,45.11,45.15,45.16,45.19,41.12,41.17,41.15,41.24,48.54,48.61,48.62,48.63
13075,Como,,8,130750000008,1,Residenziale,1,Tessuto urbano continuo,104,6504.3,True,40.08,40.66,40.61,41.12,38.98,39.58,39.54,40.22,36.12,36.62,36.59,37.09,44.43,45.05,45.03,45.68,44.95,45.58,45.56,46.13,43.45,44.13,44.19,44.8,38.25,39.55,39.64,40.7,46.69,47.25,47.23,47.7
13075,Como,,9,130750000009,1,Residenziale,1,Tessuto urbano continuo,224,15325.7,True,40.25,40.86,40.91,41.37,39.05,39.63,39.65,40.18,36.25,36.88,36.97,37.3,44.48,45.06,45.06,45.69,44.73,45.68,45.76,46.23,42.97,43.88,44.01,44.56,39.64,40.34,40.42,40.87,46.08,47.06,47.22,47.7
13075,Como,,10,130750000010,1,Residenziale,1,Tessuto urbano continuo,113,9708.8,True,40.4,41.3,41.42,41.75,38.71,39.81,39.87,40.55,36.23,37.07,37.11,37.68,44.18,45.3,45.35,46.04,44.43,45.49,45.5,46.28,42.72,44.06,44.07,45.01,39.82,40.63,40.65,41.26,46.0,47.19,47.19,48.15
