PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
4078,Cuneo,,1,40780000001,1,Residenziale,1,Tessuto urbano continuo,3,48902.9,True,28.4,30.15,29.95,33.2,28.79,30.12,30.02,33.12,31.09,33.23,33.31,35.37,31.79,34.63,34.26,38.66,33.87,35.67,35.6,38.16,31.19,33.8,33.95,36.73,32.33,35.1,34.9,38.23,38.1,39.61,39.47,42.77
4078,Cuneo,,3,40780000003,12,Attivita produttive,2,Superficie impervia pesante,0,2744.3,False,31.03,31.92,31.83,32.97,32.09,32.47,32.5,32.77,34.77,35.08,35.02,35.53,36.37,37.84,38.24,38.51,37.69,38.42,38.51,38.97,34.62,35.98,35.96,37.37,36.87,37.75,37.9,38.32,41.22,41.9,41.99,42.39
4078,Cuneo,,4,40780000004,1,Residenziale,1,Tessuto urbano continuo,50,49359.4,True,28.9,31.66,32.28,34.2,29.18,31.88,32.2,33.93,32.54,33.94,34.03,35.52,33.15,36.27,35.9,40.42,34.7,36.75,36.77,39.2,32.94,35.31,34.68,39.37,34.27,36.63,36.79,39.65,38.27,40.93,41.37,43.37
4078,Cuneo,,5,40780000005,1,Residenziale,1,Tessuto urbano continuo,51,69804.3,True,29.57,33.29,33.39,35.56,31.49,34.0,33.91,36.07,33.35,35.66,35.85,38.79,32.67,38.27,38.2,41.71,34.38,38.34,38.53,40.54,33.09,37.27,37.42,40.22,34.26,38.49,38.56,41.24,39.76,42.65,42.73,45.4
4078,Cuneo,,6,40780000006,5,Area verde/parco urbano,7,Verde urbano,0,41014.6,True,30.54,33.28,33.15,35.58,32.1,33.52,33.52,35.23,33.54,35.26,35.32,36.39,35.69,38.46,38.63,40.91,36.15,38.33,38.74,39.73,35.03,37.12,37.47,39.64,36.9,38.49,38.44,40.12,41.42,42.62,42.7,44.28
4078,Cuneo,,7,40780000007,1,Residenziale,1,Tessuto urbano continuo,2,17366.8,True,30.34,33.16,32.89,35.64,32.49,33.48,33.2,35.05,33.53,35.38,35.54,36.27,36.91,39.04,39.17,41.0,37.48,39.24,39.43,39.85,33.35,36.58,37.06,38.15,37.88,39.19,39.4,40.02,41.29,42.79,42.92,43.51
4078,Cuneo,,8,40780000008,1,Residenziale,1,Tessuto urbano continuo,0,28908.8,True,32.08,33.55,33.69,34.69,32.23,33.36,33.55,34.32,34.83,35.74,35.79,36.56,35.43,38.26,38.47,40.08,37.29,38.52,38.61,39.6,35.06,36.57,36.49,37.93,36.71,38.79,39.12,40.23,40.85,42.93,43.18,44.24
4078,Cuneo,,9,40780000009,37,Scuole/istituti,5,Edifici pubblici e servizi,0,8879.8,True,35.58,37.67,38.04,39.04,35.88,37.7,37.95,38.87,37.48,39.07,39.23,40.1,41.29,42.75,42.83,43.74,41.63,43.54,43.94,44.77,40.5,42.65,43.06,43.96,40.7,42.43,42.64,43.32,45.6,47.2,47.52,48.13
4078,Cuneo,,10,40780000010,1,Residenziale,1,Tessuto urbano continuo,142,5528.0,True,34.91,35.78,35.94,36.71,35.24,36.62,36.68,37.69,37.08,38.27,38.13,39.66,40.03,41.35,41.54,42.17,40.22,41.71,41.71,42.65,38.51,40.52,40.87,41.79,39.16,40.38,40.31,41.13,43.8,45.26,45.17,46.32
4078,Cuneo,,11,40780000011,37,Scuole/istituti,5,Edifici pubblici e servizi,0,3800.0,False,34.29,35.27,34.88,36.49,35.65,36.07,35.97,36.6,36.92,37.18,37.08,37.72,39.97,41.05,41.12,41.81,40.55,40.96,40.73,41.79,39.0,40.59,40.83,41.43,39.54,40.36,40.48,40.77,44.43,44.99,44.91,45.49
4078,Cuneo,,12,40780000012,12,Attivita produttive,2,Superficie impervia pesante,0,3298.8,False,33.41,33.77,33.75,34.21,33.62,34.56,34.57,35.13,35.53,35.9,35.86,36.14,38.93,40.37,40.92,40.95,38.44,39.25,39.51,39.53,36.81,38.18,38.38,39.34,37.53,39.17,39.75,39.82,42.64,43.7,43.85,44.15
4078,Cuneo,,13,40780000013,30,Impianto produzione energia,5,Edifici pubblici e servizi,0,12000.9,True,33.54,34.56,34.62,35.22,33.46,34.47,34.6,35.31,34.52,35.82,35.68,37.87,39.29,40.79,40.82,41.7,38.23,39.45,39.59,40.1,37.2,38.93,38.92,40.27,38.2,39.65,39.71,40.67,42.02,43.31,43.42,44.34
4078,Cuneo,,15,40780000015,1,Residenziale,1,Tessuto urbano continuo,90,3398.1,False,35.94,37.15,37.72,37.94,37.44,38.09,38.41,38.47,38.92,39.38,39.51,39.78,41.54,42.54,43.1,43.3,42.65,43.18,43.52,43.54,40.52,41.91,42.72,42.88,40.9,41.69,42.12,42.32,46.28,46.9,47.3,47.32
4078,Cuneo,,16,40780000016,1,Residenziale,1,Tessuto urbano continuo,46,2976.2,False,37.68,38.69,38.82,39.07,38.13,38.62,38.6,38.97,39.53,39.91,39.84,40.23,42.52,43.01,42.77,43.54,44.0,44.42,44.31,44.82,43.58,43.71,43.73,43.83,42.82,42.99,42.95,43.14,47.6,47.8,47.77,47.97
4078,Cuneo,,17,40780000017,1,Residenziale,1,Tessuto urbano continuo,59,3051.5,False,37.08,37.99,37.96,38.67,36.87,37.81,37.98,38.65,38.41,39.46,39.65,40.1,42.12,42.91,42.94,43.7,42.46,43.56,43.53,44.39,41.93,42.83,42.83,43.57,40.84,41.96,41.89,42.89,46.19,47.08,47.1,47.77
4078,Cuneo,,18,40780000018,37,Scuole/istituti,5,Edifici pubblici e servizi,0,2574.0,False,36.06,36.47,36.54,36.75,35.47,35.99,36.12,36.24,36.93,37.49,37.6,37.84,41.28,41.68,41.78,41.89,40.98,41.46,41.55,41.75,40.67,41.16,41.29,41.39,40.68,40.81,40.83,40.88,45.02,45.49,45.57,45.8
4078,Cuneo,,20,40780000020,1,Residenziale,1,Tessuto urbano continuo,87,4073.5,False,37.39,37.93,37.93,38.56,37.16,37.75,37.53,38.7,38.89,39.46,39.54,40.22,42.67,43.38,43.51,44.04,42.98,43.71,43.73,44.63,41.34,42.35,42.03,43.66,41.94,42.41,42.37,43.01,46.75,47.23,47.21,47.85
4078,Cuneo,,21,40780000021,37,Scuole/istituti,5,Edifici pubblici e servizi,0,7916.7,True,34.43,35.84,35.7,37.19,34.51,35.42,35.15,36.67,35.45,36.76,36.46,38.46,40.03,41.03,40.82,42.35,39.47,40.73,40.44,42.39,38.84,40.3,40.1,41.69,39.31,40.53,40.48,41.31,43.22,44.86,44.7,46.3
4078,Cuneo,,22,40780000022,37,Scuole/istituti,5,Edifici pubblici e servizi,0,5035.2,True,33.7,35.19,35.13,37.11,34.4,35.61,35.65,36.66,35.86,37.17,37.21,38.43,40.3,41.34,41.39,42.06,40.24,41.48,41.45,43.0,39.64,41.0,41.06,42.14,39.41,40.57,40.57,41.96,43.81,45.09,45.06,46.53
4078,Cuneo,,23,40780000023,1,Residenziale,1,Tessuto urbano continuo,45,3443.0,False,36.41,37.33,37.38,38.04,36.62,37.36,37.35,37.85,38.38,39.05,39.07,39.44,41.83,42.87,42.66,44.15,42.71,43.53,43.63,44.12,41.28,42.27,42.1,43.31,41.56,42.36,42.57,42.95,46.25,47.14,47.13,47.63
4078,Cuneo,,24,40780000024,1,Residenziale,1,Tessuto urbano continuo,66,3335.1,False,37.66,38.09,38.15,38.79,37.73,38.06,38.07,38.48,39.56,39.82,39.8,40.28,42.44,43.41,43.54,44.03,43.72,43.88,43.8,44.35,42.35,43.27,43.29,43.94,42.76,43.12,43.2,43.66,47.58,47.81,47.78,48.21
4078,Cuneo,,25,40780000025,1,Residenziale,1,Tessuto urbano continuo,58,3517.9,False,37.07,37.65,37.8,37.85,37.35,37.81,37.98,38.13,39.07,39.54,39.62,39.79,42.37,43.03,43.31,43.55,43.41,43.85,43.9,44.07,42.83,43.45,43.6,43.7,42.06,42.83,43.02,43.17,47.13,47.72,47.86,47.95
4078,Cuneo,,26,40780000026,1,Residenziale,1,Tessuto urbano continuo,86,3603.2,False,38.15,38.43,38.5,38.62,38.07,38.22,38.2,38.39,39.89,40.08,40.12,40.22,43.54,44.23,44.01,45.13,43.82,44.12,44.19,44.25,42.32,43.06,42.94,43.97,43.2,43.37,43.37,43.51,47.91,48.11,48.15,48.18
4078,Cuneo,,27,40780000027,1,Residenziale,1,Tessuto urbano continuo,30,1873.9,False,37.97,38.01,37.97,38.09,38.07,38.3,38.42,38.42,39.82,39.84,39.82,39.88,42.4,42.78,42.4,43.53,43.86,43.87,43.86,43.88,42.18,43.07,43.51,43.51,43.17,43.17,43.17,43.17,48.01,48.01,48.01,48.01
4078,Cuneo,,28,40780000028,1,Residenziale,1,Tessuto urbano continuo,62,3883.7,False,38.33,38.6,38.5,39.15,38.02,38.5,38.54,39.23,39.94,40.22,40.13,40.76,43.79,44.55,44.65,45.3,44.14,44.38,44.36,44.82,42.36,43.48,43.99,44.47,43.21,43.5,43.38,44.09,48.04,48.26,48.24,48.67
