PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
109006,Fermo,Marche,1,1090060000001,5,Area verde/parco urbano,7,Verde urbano,1,52723.1,True,34.32,36.01,35.76,39.04,33.94,35.59,35.26,38.63,33.35,36.25,36.06,40.2,36.11,38.35,38.12,41.29,35.27,37.01,36.87,39.65,36.32,38.03,37.78,40.77,35.75,37.58,37.47,40.36,38.57,40.24,40.03,43.06
109006,Fermo,Marche,2,1090060000002,1,Residenziale,1,Tessuto urbano continuo,21,9839.3,True,36.4,38.26,38.57,39.66,35.96,38.07,38.47,39.63,37.06,39.07,39.42,40.44,38.69,40.56,40.77,42.05,37.11,39.36,39.59,40.98,38.38,40.34,40.48,41.66,37.95,40.04,40.21,41.55,40.72,42.54,42.76,43.8
109006,Fermo,Marche,4,1090060000004,1,Residenziale,1,Tessuto urbano continuo,74,8320.3,True,37.46,38.01,37.94,38.83,37.35,37.86,37.79,38.58,37.36,38.5,38.57,39.38,39.81,40.47,40.49,41.38,38.19,39.05,39.13,39.91,39.52,40.06,39.93,41.08,39.47,40.29,40.24,40.83,42.11,42.98,42.93,43.72
109006,Fermo,Marche,5,1090060000005,1,Residenziale,1,Tessuto urbano continuo,21,9301.5,True,35.1,36.29,35.95,37.43,35.35,36.21,35.89,37.22,35.2,36.96,36.94,38.27,38.19,39.15,39.43,39.91,36.81,37.24,37.14,38.25,37.79,38.62,38.41,39.6,36.71,38.35,38.04,39.97,40.33,41.53,41.59,42.65
109006,Fermo,Marche,6,1090060000006,1,Residenziale,1,Tessuto urbano continuo,22,9076.6,True,37.02,37.5,37.52,37.93,36.38,37.05,37.01,37.6,38.12,38.57,38.6,38.98,39.86,40.28,40.28,41.23,37.05,37.46,37.33,38.29,38.55,39.26,39.21,40.02,38.86,39.75,39.75,40.34,42.5,43.15,43.19,43.83
109006,Fermo,Marche,7,1090060000007,1,Residenziale,1,Tessuto urbano continuo,0,6077.5,True,36.54,37.52,37.71,37.96,35.83,36.81,36.93,37.3,36.84,38.34,38.25,39.06,39.01,40.17,40.26,40.95,36.85,37.73,37.79,38.49,37.94,39.29,39.44,40.39,38.25,39.62,39.97,40.28,41.86,43.17,43.48,43.79
109006,Fermo,Marche,8,1090060000008,1,Residenziale,1,Tessuto urbano continuo,33,5407.6,True,37.37,37.93,37.91,38.41,36.41,37.3,37.32,38.2,37.56,38.6,38.65,39.44,39.61,40.5,40.85,40.96,37.61,38.67,38.93,39.21,38.96,40.15,40.43,40.76,39.0,39.99,40.02,40.63,42.63,43.27,43.35,43.59
109006,Fermo,Marche,9,1090060000009,1,Residenziale,1,Tessuto urbano continuo,4,15154.4,True,36.67,37.94,38.01,38.55,35.63,37.39,37.57,38.05,36.94,38.56,38.51,39.6,38.67,40.57,40.72,41.35,37.48,38.9,39.02,39.43,38.4,40.12,40.36,40.77,37.84,39.36,39.57,40.26,41.13,42.9,43.12,43.5
109006,Fermo,Marche,10,1090060000010,1,Residenziale,1,Tessuto urbano continuo,85,23984.7,True,34.86,36.58,36.62,38.31,33.59,35.51,35.31,37.61,34.78,36.89,36.8,39.6,37.26,38.92,38.78,41.02,34.81,37.15,36.96,39.09,35.44,38.11,37.8,40.5,35.72,37.4,37.11,39.24,39.02,40.98,40.67,43.08
109006,Fermo,Marche,11,1090060000011,1,Residenziale,1,Tessuto urbano continuo,26,12051.3,True,35.37,36.32,36.17,37.67,34.39,35.47,35.43,36.7,35.11,36.48,36.31,38.59,37.82,38.75,38.75,39.76,36.17,36.95,36.76,38.35,36.43,37.79,37.58,39.33,36.76,37.9,37.77,39.46,40.42,41.42,41.43,42.49
