PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
38008,Ferrara,,1,380080000001,1,Residenziale,1,Tessuto urbano continuo,69,6375.3,True,41.51,42.05,41.86,42.75,42.59,43.14,43.0,44.37,41.87,42.12,42.14,42.33,41.08,41.43,41.44,41.66,37.48,37.82,37.79,38.12,43.06,43.38,43.32,43.69,38.25,38.49,38.5,38.62,47.2,47.57,47.54,47.95
38008,Ferrara,,2,380080000002,1,Residenziale,1,Tessuto urbano continuo,46,12929.5,True,40.44,41.18,41.25,41.74,41.19,42.1,42.08,43.54,40.49,41.39,41.49,41.99,39.79,40.46,40.57,41.29,36.39,37.81,37.48,39.87,41.77,42.58,42.64,43.14,36.97,37.69,37.67,38.45,45.8,46.77,46.92,47.42
38008,Ferrara,,3,380080000003,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,17963.5,True,38.91,40.03,40.05,40.77,39.27,40.21,40.27,41.11,39.29,39.95,39.93,40.71,38.66,39.33,39.36,40.39,35.6,36.58,36.46,39.12,40.66,41.3,41.3,42.45,36.0,37.01,36.67,39.98,44.95,45.41,45.33,46.05
38008,Ferrara,,4,380080000004,5,Area verde/parco urbano,7,Verde urbano,0,6943.2,True,39.18,39.91,39.59,40.98,40.93,41.22,41.3,41.43,40.44,41.04,41.1,41.28,40.1,40.45,40.54,40.71,36.63,37.11,37.2,37.28,42.21,42.5,42.54,42.77,37.84,38.32,38.4,38.69,45.73,46.17,46.28,46.44
38008,Ferrara,,5,380080000005,1,Residenziale,1,Tessuto urbano continuo,58,3582.5,False,39.26,40.71,40.97,41.09,41.18,41.47,41.43,41.87,40.83,41.05,41.06,41.17,40.27,40.55,40.48,40.85,37.0,37.26,37.25,37.49,42.33,42.52,42.49,42.74,38.16,38.35,38.31,38.54,46.17,46.25,46.22,46.34
38008,Ferrara,,6,380080000006,1,Residenziale,1,Tessuto urbano continuo,21,2347.4,False,39.74,40.23,40.31,40.63,40.44,40.88,40.93,41.27,39.96,40.45,40.44,40.95,39.47,40.01,40.1,40.48,35.95,36.55,36.63,37.05,41.6,42.07,42.21,42.41,37.24,37.72,37.84,38.09,45.33,45.7,45.73,46.05
38008,Ferrara,,7,380080000007,1,Residenziale,1,Tessuto urbano continuo,6,3559.2,False,40.36,40.68,40.52,41.11,41.01,41.43,41.38,41.9,40.67,40.91,40.85,41.25,39.9,40.33,40.06,40.89,36.54,36.88,36.63,37.32,41.93,42.16,42.1,42.47,37.55,37.76,37.64,38.08,45.92,46.27,46.07,46.82
38008,Ferrara,,8,380080000008,1,Residenziale,1,Tessuto urbano continuo,57,2559.2,False,41.6,41.92,41.9,42.28,42.64,42.91,42.9,43.19,41.58,41.82,41.82,42.06,41.29,41.34,41.31,41.44,37.73,37.89,37.89,38.04,43.02,43.27,43.29,43.49,38.35,38.57,38.59,38.74,47.23,47.44,47.42,47.69
38008,Ferrara,,9,380080000009,1,Residenziale,1,Tessuto urbano continuo,23,3356.1,False,41.4,41.56,41.6,41.78,42.44,42.59,42.64,42.77,41.37,41.5,41.56,41.64,41.07,41.17,41.18,41.29,37.66,37.78,37.73,37.93,42.77,42.99,43.02,43.22,38.35,38.52,38.45,38.69,46.92,47.02,46.93,47.23
38008,Ferrara,,10,380080000010,1,Residenziale,1,Tessuto urbano continuo,38,2787.4,False,41.02,41.21,41.32,41.32,41.78,42.1,42.19,42.34,41.17,41.26,41.26,41.36,40.77,40.99,41.03,41.16,37.49,37.62,37.61,37.75,42.67,42.84,42.92,42.95,38.4,38.55,38.54,38.65,46.34,46.53,46.52,46.69
38008,Ferrara,,11,380080000011,1,Residenziale,1,Tessuto urbano continuo,4,5508.6,True,40.97,41.15,41.07,41.32,40.87,41.21,41.23,41.5,40.59,40.79,40.8,40.96,39.87,40.02,40.02,40.15,36.41,36.81,36.88,37.07,42.17,42.35,42.38,42.52,37.87,38.08,38.14,38.16,45.78,46.03,45.99,46.21
38008,Ferrara,,12,380080000012,1,Residenziale,1,Tessuto urbano continuo,144,26523.2,True,40.18,41.01,40.97,42.22,40.19,41.46,41.42,42.67,39.29,40.65,40.8,41.72,38.91,39.98,39.9,41.01,35.64,36.94,37.06,37.97,41.35,42.15,42.0,43.24,37.15,37.72,37.65,38.5,44.92,46.12,46.08,47.19
38008,Ferrara,,13,380080000013,1,Residenziale,1,Tessuto urbano continuo,60,4163.1,False,41.99,42.17,42.14,42.36,42.59,42.76,42.7,42.97,41.67,41.79,41.76,41.94,40.94,41.12,41.04,41.34,37.81,37.95,37.92,38.08,43.05,43.25,43.18,43.48,37.99,38.41,38.49,38.61,47.13,47.29,47.28,47.47
38008,Ferrara,,14,380080000014,1,Residenziale,1,Tessuto urbano continuo,16,2558.4,False,42.52,42.67,42.71,42.76,42.96,43.1,43.14,43.17,42.02,42.14,42.16,42.21,41.32,41.45,41.47,41.51,38.12,38.21,38.21,38.31,43.48,43.59,43.58,43.73,38.28,38.42,38.39,38.62,47.58,47.81,47.86,47.96
38008,Ferrara,,15,380080000015,1,Residenziale,1,Tessuto urbano continuo,177,20327.8,True,39.32,40.09,40.02,40.98,39.68,40.47,40.16,42.34,38.98,39.65,39.59,40.29,38.14,39.02,38.9,40.57,34.98,35.73,35.71,36.97,40.86,41.44,41.4,42.31,36.78,37.18,37.06,37.88,43.81,44.88,44.59,46.31
38008,Ferrara,,16,380080000016,1,Residenziale,1,Tessuto urbano continuo,9,6726.1,True,39.32,40.14,40.24,40.81,40.16,40.96,40.95,42.4,39.8,40.32,40.37,40.72,39.04,39.94,40.0,40.41,36.19,36.85,36.99,37.07,41.54,42.19,42.34,42.66,37.29,37.86,37.97,38.34,44.82,45.62,45.63,46.14
38008,Ferrara,,17,380080000017,1,Residenziale,1,Tessuto urbano continuo,84,10235.0,True,39.8,40.07,39.91,40.59,39.85,40.62,40.25,42.13,39.96,40.31,40.31,40.78,38.7,39.4,39.32,40.01,35.91,36.61,36.54,37.07,40.94,41.88,41.95,42.63,36.71,37.43,37.43,38.21,44.79,45.18,45.11,45.69
38008,Ferrara,,18,380080000018,1,Residenziale,1,Tessuto urbano continuo,136,9644.1,True,40.01,40.56,40.67,40.95,39.86,41.51,41.72,42.61,39.78,40.3,40.35,40.79,38.6,39.56,39.64,40.33,35.57,36.34,36.37,36.85,41.09,42.06,42.11,42.63,36.94,37.88,38.01,38.33,44.32,45.41,45.64,46.16
38008,Ferrara,,19,380080000019,1,Residenziale,1,Tessuto urbano continuo,37,2979.3,False,40.28,40.47,40.5,40.63,40.44,41.45,41.69,42.21,39.54,39.72,39.67,39.95,38.97,39.47,39.37,40.06,35.59,35.98,35.93,36.41,41.06,41.52,41.59,41.92,37.6,37.81,37.83,38.0,44.15,44.91,44.84,45.73
38008,Ferrara,,20,380080000020,1,Residenziale,1,Tessuto urbano continuo,55,3364.7,False,40.12,40.58,40.63,40.86,40.12,41.59,42.09,42.23,39.15,39.87,39.95,40.56,38.66,39.67,39.96,40.07,35.43,36.28,36.48,36.71,40.79,41.65,41.85,42.08,37.25,37.8,37.9,38.1,44.0,45.52,45.88,46.33
38008,Ferrara,,21,380080000021,1,Residenziale,1,Tessuto urbano continuo,81,7010.6,True,38.85,39.55,39.6,40.2,39.67,40.37,40.41,40.85,38.91,39.55,39.68,40.08,37.53,38.37,38.45,39.15,35.02,35.54,35.63,35.93,39.93,40.57,40.66,41.25,36.02,37.12,36.99,39.13,43.06,43.89,43.9,44.68
38008,Ferrara,,22,380080000022,1,Residenziale,1,Tessuto urbano continuo,47,10022.9,True,39.2,39.88,39.9,40.28,39.36,39.95,39.7,40.92,39.03,39.53,39.54,39.87,37.9,38.63,38.58,39.11,35.43,35.74,35.61,36.12,40.22,40.67,40.7,41.06,36.39,36.97,36.95,37.6,43.38,44.0,43.96,44.42
38008,Ferrara,,23,380080000023,1,Residenziale,1,Tessuto urbano continuo,42,19331.9,True,37.39,38.46,38.41,39.99,36.55,38.33,38.13,40.85,36.91,37.97,37.98,39.36,35.98,37.18,37.08,38.87,33.19,34.61,34.64,36.11,38.08,39.24,39.15,40.73,34.51,35.57,35.53,37.11,41.23,42.35,42.41,43.99
38008,Ferrara,,24,380080000024,1,Residenziale,1,Tessuto urbano continuo,4,4761.0,False,39.46,39.59,39.48,39.85,38.98,39.28,39.11,39.94,39.25,39.39,39.47,39.54,38.0,38.3,38.06,39.16,35.12,35.42,35.38,36.13,40.08,40.35,40.33,40.68,36.07,36.43,36.4,37.22,43.92,44.11,44.08,44.42
38008,Ferrara,,25,380080000025,1,Residenziale,1,Tessuto urbano continuo,189,18709.7,True,37.44,38.52,38.31,39.87,36.74,38.38,38.4,39.71,37.17,38.4,38.33,39.43,36.11,37.45,37.45,38.72,33.27,34.57,34.52,35.58,38.22,39.28,39.27,40.46,34.6,35.89,35.68,37.98,41.65,42.84,42.73,43.92
38008,Ferrara,,26,380080000026,1,Residenziale,1,Tessuto urbano continuo,40,15946.3,True,37.44,38.63,38.56,40.11,36.87,38.37,38.1,40.18,37.2,38.83,38.73,40.43,36.11,38.12,38.17,39.84,33.27,34.84,34.82,36.3,38.42,39.95,39.82,41.66,34.6,35.96,35.8,37.65,41.65,43.42,43.39,44.8
38008,Ferrara,,27,380080000027,1,Residenziale,1,Tessuto urbano continuo,8,7859.1,True,41.88,42.19,42.11,42.59,43.09,43.81,44.02,44.37,42.13,42.25,42.25,42.38,41.37,41.55,41.57,41.66,37.78,37.84,37.83,37.93,43.39,43.53,43.51,43.73,38.05,38.37,38.37,38.61,47.49,47.66,47.65,47.83
38008,Ferrara,,28,380080000028,1,Residenziale,1,Tessuto urbano continuo,28,3242.8,False,42.02,42.27,42.28,42.48,44.55,44.68,44.72,44.75,42.47,42.57,42.58,42.61,41.76,41.91,41.94,41.97,38.13,38.22,38.22,38.32,43.57,43.63,43.64,43.67,38.47,38.65,38.63,38.78,47.81,47.95,47.95,48.09
38008,Ferrara,,29,380080000029,1,Residenziale,1,Tessuto urbano continuo,13,2387.1,False,42.08,42.28,42.33,42.41,43.92,44.15,44.23,44.31,42.44,42.55,42.58,42.63,41.35,41.57,41.67,41.69,37.96,38.26,38.01,38.82,43.57,43.63,43.65,43.67,38.55,38.6,38.57,38.7,47.68,47.92,48.02,48.05
38008,Ferrara,,30,380080000030,1,Residenziale,1,Tessuto urbano continuo,29,3523.7,False,41.94,42.17,42.18,42.43,43.89,44.15,44.17,44.44,42.2,42.37,42.37,42.53,41.36,41.62,41.68,41.84,37.87,38.06,38.05,38.25,43.16,43.41,43.41,43.61,38.26,38.47,38.45,38.68,47.76,48.0,48.01,48.17
38008,Ferrara,,31,380080000031,1,Residenziale,1,Tessuto urbano continuo,20,2497.0,False,41.98,42.0,42.0,42.03,43.9,43.93,43.93,43.96,42.06,42.09,42.09,42.12,41.2,41.29,41.29,41.39,37.84,37.86,37.86,37.87,43.02,43.07,43.07,43.11,38.19,38.21,38.21,38.23,47.9,47.9,47.9,47.9
38008,Ferrara,,32,380080000032,1,Residenziale,1,Tessuto urbano continuo,34,1629.7,False,41.96,42.02,42.0,42.11,43.65,43.68,43.68,43.71,42.02,42.1,42.07,42.21,41.1,41.21,41.23,41.28,37.56,37.65,37.6,37.8,43.21,43.28,43.3,43.31,37.88,37.95,37.93,38.02,47.64,47.65,47.65,47.66
