PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
53011,Grosseto,,1,530110000001,29,Municipio,5,Edifici pubblici e servizi,0,1376.7,False,44.86,44.86,44.86,44.86,42.81,42.81,42.81,42.81,40.53,40.53,40.53,40.53,47.0,47.0,47.0,47.0,45.77,45.77,45.77,45.77,43.74,43.74,43.74,43.74,42.0,42.0,42.0,42.0,48.78,48.78,48.78,48.78
53011,Grosseto,,2,530110000002,1,Residenziale,1,Tessuto urbano continuo,18,565.5,False,44.9,44.9,44.9,44.9,42.84,42.84,42.84,42.84,40.54,40.54,40.54,40.54,47.13,47.13,47.13,47.13,44.75,44.75,44.75,44.75,43.79,43.79,43.79,43.79,41.97,41.97,41.97,41.97,48.87,48.87,48.87,48.87
53011,Grosseto,,3,530110000003,1,Residenziale,1,Tessuto urbano continuo,37,2970.4,False,45.35,45.36,45.35,45.36,43.54,43.67,43.73,43.73,40.92,40.93,40.92,40.95,47.55,47.61,47.64,47.64,45.17,45.21,45.23,45.23,44.24,44.25,44.24,44.27,42.29,42.3,42.29,42.32,49.32,49.33,49.32,49.34
53011,Grosseto,,4,530110000004,1,Residenziale,1,Tessuto urbano continuo,43,2202.7,False,45.04,45.05,45.06,45.06,43.33,43.42,43.47,43.47,40.56,40.58,40.56,40.61,47.09,47.2,47.25,47.25,44.84,44.85,44.85,44.85,43.84,43.85,43.84,43.87,41.9,41.9,41.9,41.9,48.87,48.89,48.9,48.9
53011,Grosseto,,5,530110000005,1,Residenziale,1,Tessuto urbano continuo,115,8988.7,True,44.03,44.71,44.78,45.22,42.34,42.94,42.96,43.43,40.34,40.49,40.5,40.65,45.59,46.33,46.41,47.01,44.17,44.66,44.7,44.96,42.82,43.37,43.45,43.8,41.14,41.56,41.61,41.94,47.98,48.45,48.49,48.82
53011,Grosseto,,6,530110000006,1,Residenziale,1,Tessuto urbano continuo,27,5006.6,True,44.6,44.8,44.84,44.95,42.75,42.86,42.85,42.98,40.1,40.42,40.45,40.58,46.42,46.87,46.87,47.24,44.66,45.53,45.76,45.89,43.48,43.73,43.73,43.9,41.82,41.99,42.02,42.1,48.44,48.65,48.68,48.8
53011,Grosseto,,7,530110000007,1,Residenziale,1,Tessuto urbano continuo,29,3918.0,False,44.82,44.88,44.9,44.91,42.79,43.01,42.87,43.72,40.08,40.27,40.32,40.5,47.16,47.28,47.34,47.34,44.83,45.12,45.0,45.86,43.78,43.8,43.79,43.82,41.95,42.01,42.03,42.04,48.79,48.82,48.8,48.89
53011,Grosseto,,8,530110000008,1,Residenziale,1,Tessuto urbano continuo,54,2228.3,False,44.76,44.97,45.01,45.13,43.93,44.1,44.18,44.19,40.54,40.82,40.93,40.98,47.49,47.62,47.66,47.7,44.81,45.04,45.14,45.15,43.93,44.13,44.21,44.24,41.89,42.11,42.15,42.27,48.94,49.13,49.18,49.27
53011,Grosseto,,9,530110000009,1,Residenziale,1,Tessuto urbano continuo,15,1619.6,False,45.03,45.13,45.13,45.22,43.32,43.44,43.45,43.54,40.71,40.89,40.91,41.02,47.6,47.62,47.62,47.64,45.16,45.17,45.17,45.19,44.12,44.18,44.2,44.21,42.14,42.25,42.25,42.33,49.06,49.21,49.22,49.32
53011,Grosseto,,10,530110000010,1,Residenziale,1,Tessuto urbano continuo,58,3111.1,False,45.17,45.25,45.24,45.3,43.4,43.6,43.56,43.8,40.76,40.86,40.9,40.97,47.6,47.62,47.61,47.66,45.19,45.21,45.2,45.27,44.11,44.19,44.21,44.25,42.19,42.26,42.28,42.35,49.12,49.24,49.26,49.34
53011,Grosseto,,11,530110000011,1,Residenziale,1,Tessuto urbano continuo,124,5453.4,True,44.81,44.99,44.95,45.25,43.25,43.48,43.51,43.71,40.12,40.31,40.31,40.55,46.6,47.24,47.3,47.56,44.92,45.0,44.95,45.21,43.41,43.64,43.67,43.94,41.65,41.87,41.84,42.15,48.61,48.79,48.77,48.97
53011,Grosseto,,12,530110000012,1,Residenziale,1,Tessuto urbano continuo,59,4062.0,False,45.13,45.23,45.23,45.28,43.52,43.54,43.54,43.57,40.37,40.49,40.52,40.58,46.69,47.15,47.18,47.33,44.84,44.93,44.93,45.05,43.56,43.7,43.69,43.81,41.96,42.07,42.09,42.15,48.86,48.9,48.89,48.97
53011,Grosseto,,13,530110000013,1,Residenziale,1,Tessuto urbano continuo,20,3428.7,False,44.34,44.43,44.43,44.51,42.54,42.64,42.64,42.73,40.48,40.49,40.49,40.49,46.08,46.22,46.22,46.36,44.41,44.52,44.52,44.62,43.11,43.28,43.28,43.45,41.67,41.78,41.78,41.89,48.2,48.23,48.23,48.27
53011,Grosseto,,14,530110000014,1,Residenziale,1,Tessuto urbano continuo,31,2681.9,False,43.86,43.94,43.93,43.99,42.47,42.57,42.59,42.6,40.17,40.22,40.21,40.34,45.99,46.34,46.28,46.57,44.39,45.4,45.6,45.71,43.05,43.4,43.38,43.59,41.74,41.98,41.96,42.13,47.92,48.15,48.13,48.3
53011,Grosseto,,15,530110000015,1,Residenziale,1,Tessuto urbano continuo,32,2733.6,False,44.67,44.94,44.97,45.15,43.0,43.09,43.11,43.14,39.84,40.06,40.1,40.21,46.96,47.27,47.32,47.49,44.75,45.09,44.94,45.75,43.79,43.92,43.94,44.01,42.13,42.2,42.18,42.3,48.54,48.66,48.64,48.81
53011,Grosseto,,16,530110000016,1,Residenziale,1,Tessuto urbano continuo,43,4951.3,False,44.88,45.03,45.08,45.09,43.78,43.91,43.94,43.95,39.38,39.77,39.81,40.16,47.39,47.53,47.55,47.58,44.97,45.46,45.6,45.83,43.89,43.92,43.93,43.93,42.02,42.09,42.05,42.19,48.55,48.8,48.82,48.95
53011,Grosseto,,17,530110000017,1,Residenziale,1,Tessuto urbano continuo,17,4657.0,False,44.25,44.47,44.47,44.79,43.69,43.76,43.75,43.88,39.5,40.07,40.18,40.42,47.41,47.46,47.46,47.51,45.53,45.62,45.56,45.77,43.62,43.76,43.79,43.91,41.86,42.05,42.04,42.22,48.56,48.65,48.61,48.81
53011,Grosseto,,18,530110000018,1,Residenziale,1,Tessuto urbano continuo,76,2271.2,False,44.63,44.8,44.77,45.01,43.9,44.04,44.04,44.19,40.61,40.71,40.65,40.93,47.46,47.56,47.56,47.67,44.82,44.99,44.98,45.18,43.91,44.03,44.0,44.21,41.72,41.9,41.86,42.15,48.85,48.98,48.94,49.18
53011,Grosseto,,19,530110000019,1,Residenziale,1,Tessuto urbano continuo,18,1843.1,False,44.85,44.92,44.92,44.98,43.52,43.58,43.58,43.64,40.43,40.46,40.46,40.5,47.51,47.51,47.51,47.51,45.1,45.11,45.11,45.11,43.86,43.89,43.89,43.91,41.88,41.93,41.93,41.97,48.82,48.85,48.85,48.88
53011,Grosseto,,21,530110000021,1,Residenziale,1,Tessuto urbano continuo,90,17426.7,True,43.84,44.55,44.62,45.08,42.05,43.08,43.18,43.78,39.98,40.21,40.2,40.49,45.0,46.28,46.3,47.2,43.7,44.76,44.92,45.74,42.3,43.23,43.1,44.49,40.73,41.49,41.5,42.12,47.75,48.67,48.73,49.52
53011,Grosseto,,22,530110000022,1,Residenziale,1,Tessuto urbano continuo,16,1187.2,False,43.15,43.45,43.45,43.75,41.74,41.99,41.99,42.25,40.22,40.27,40.27,40.33,45.35,45.54,45.54,45.74,43.53,43.8,43.8,44.07,42.22,42.44,42.44,42.66,41.16,41.3,41.3,41.44,47.52,47.68,47.68,47.84
53011,Grosseto,,23,530110000023,1,Residenziale,1,Tessuto urbano continuo,39,5140.3,True,43.69,44.04,43.98,44.65,42.37,42.59,42.52,43.03,40.0,40.17,40.25,40.33,46.72,46.87,46.85,47.17,44.2,44.62,44.59,45.1,43.94,44.14,44.16,44.22,41.69,42.06,42.11,42.33,47.99,48.28,48.29,48.48
