PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
8031,Imperia,,1,80310000001,1,Residenziale,1,Tessuto urbano continuo,17,7530.7,True,37.87,39.4,39.2,40.82,35.84,36.92,36.73,38.18,34.78,36.18,35.92,37.63,38.87,40.65,40.9,41.85,38.39,39.93,39.85,41.36,37.12,38.01,37.89,39.51,35.91,37.3,37.21,39.79,39.53,40.98,40.81,43.09
8031,Imperia,,2,80310000002,1,Residenziale,1,Tessuto urbano continuo,44,42316.5,True,36.76,38.49,38.65,39.93,34.5,36.58,36.61,38.59,33.77,35.69,35.66,36.78,34.93,38.06,38.02,40.58,37.43,39.23,39.3,40.9,33.32,37.19,37.65,39.5,34.34,36.97,37.17,38.84,37.85,40.7,40.76,42.42
8031,Imperia,,3,80310000003,1,Residenziale,1,Tessuto urbano continuo,9,14153.3,True,38.38,39.42,39.52,39.94,36.33,37.29,37.39,37.85,35.47,36.4,36.55,36.86,38.99,40.42,40.5,41.01,38.74,39.73,39.85,40.34,37.44,38.32,38.44,38.91,36.35,37.89,38.01,38.61,40.35,42.06,42.29,42.98
8031,Imperia,,4,80310000004,1,Residenziale,1,Tessuto urbano continuo,73,12951.9,True,39.62,40.17,40.23,40.58,37.55,38.16,38.2,38.59,36.38,37.02,37.0,37.54,39.33,41.41,41.5,42.05,39.99,40.71,40.74,41.2,38.48,39.27,39.3,39.79,38.03,39.03,39.12,39.65,42.21,43.24,43.44,43.99
8031,Imperia,,5,80310000005,1,Residenziale,1,Tessuto urbano continuo,4,6616.6,True,38.52,38.95,38.78,39.98,35.59,35.97,35.87,36.77,35.49,35.89,35.86,36.48,38.22,39.58,39.89,40.39,39.06,39.62,39.48,40.71,37.27,37.82,37.6,39.0,37.33,37.97,37.9,38.77,41.23,41.61,41.74,41.94
8031,Imperia,,6,80310000006,1,Residenziale,1,Tessuto urbano continuo,58,4537.0,False,40.55,40.8,40.81,40.99,36.48,36.73,36.83,36.89,36.22,36.36,36.25,36.64,41.32,41.44,41.37,41.82,40.69,40.89,40.96,41.06,37.07,38.87,39.08,39.4,38.14,38.53,38.59,38.84,42.48,42.71,42.79,42.88
8031,Imperia,,7,80310000007,1,Residenziale,1,Tessuto urbano continuo,161,11086.6,True,39.5,40.74,40.71,41.97,36.13,37.03,36.94,38.22,36.37,37.13,36.93,38.27,39.01,40.16,39.91,42.01,40.26,41.41,41.47,42.34,35.99,39.13,39.31,39.78,37.9,38.98,38.86,40.0,42.38,43.09,42.9,44.3
8031,Imperia,,8,80310000008,1,Residenziale,1,Tessuto urbano continuo,254,17676.0,True,38.73,39.9,40.1,40.5,35.48,36.09,36.15,36.52,35.58,36.34,36.34,36.81,39.85,41.25,41.36,42.01,39.59,40.58,40.65,41.18,35.69,38.25,38.53,39.13,37.15,37.9,37.94,38.32,40.9,42.04,42.07,42.49
8031,Imperia,,9,80310000009,1,Residenziale,1,Tessuto urbano continuo,154,12712.5,True,39.15,40.31,40.3,40.65,35.76,36.57,36.59,37.0,36.22,36.74,36.78,37.25,40.42,41.73,41.89,42.19,39.98,40.94,40.84,41.44,37.7,38.68,38.81,39.12,37.62,38.31,38.24,38.91,41.58,42.33,42.17,42.83
8031,Imperia,,10,80310000010,1,Residenziale,1,Tessuto urbano continuo,173,7895.5,True,40.12,40.36,40.35,40.61,36.63,36.77,36.73,36.97,36.37,36.81,36.81,37.2,41.17,41.64,41.61,42.01,40.01,40.49,40.38,41.06,38.3,38.63,38.6,38.86,37.66,38.22,38.13,38.96,41.75,42.45,42.55,43.01
8031,Imperia,,11,80310000011,1,Residenziale,1,Tessuto urbano continuo,44,3379.6,False,39.13,39.98,40.11,40.56,35.13,36.05,36.1,36.88,36.16,36.79,36.89,37.2,39.55,40.77,40.86,41.81,39.15,40.23,40.36,41.06,37.47,38.21,38.3,38.78,37.36,38.27,38.38,38.96,40.76,41.94,42.01,42.99
8031,Imperia,,12,80310000012,1,Residenziale,1,Tessuto urbano continuo,28,3784.9,False,38.36,39.79,40.14,40.16,33.8,35.54,35.95,36.0,35.09,36.55,36.85,36.98,39.57,40.91,40.99,41.51,38.77,40.07,40.4,40.4,36.74,37.59,36.97,38.65,36.34,37.89,38.2,38.34,40.29,41.89,42.02,42.57
8031,Imperia,,14,80310000014,1,Residenziale,1,Tessuto urbano continuo,21,2107.5,False,37.63,38.65,38.65,39.67,33.97,34.89,34.89,35.8,34.76,35.79,35.79,36.82,38.83,40.08,40.08,41.32,38.26,39.3,39.3,40.35,36.75,36.98,36.98,37.21,35.78,36.82,36.82,37.86,40.64,41.66,41.66,42.69
8031,Imperia,,15,80310000015,1,Residenziale,1,Tessuto urbano continuo,47,7351.4,True,37.72,39.6,39.91,40.35,34.35,36.06,36.36,36.73,34.44,36.26,36.48,37.12,38.66,40.78,41.0,41.8,37.72,39.69,39.93,40.61,36.4,38.17,38.37,38.83,35.76,37.51,37.72,38.58,39.89,41.93,42.05,43.01
