PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
11015,La_Spezia,,1,110150000001,5,Area verde/parco urbano,7,Verde urbano,0,37511.4,True,35.19,36.84,36.83,37.83,32.48,36.05,36.15,37.02,33.72,37.86,38.06,38.85,36.88,40.4,40.51,41.43,33.65,37.66,38.03,38.75,35.85,40.52,40.82,41.61,33.16,37.16,37.29,38.16,35.18,39.49,39.82,40.64
11015,La_Spezia,,2,110150000002,6,Porto,3,Rete infrastrutturale,0,74221.6,True,31.58,35.94,36.0,38.33,30.96,34.91,35.14,37.22,32.97,36.58,36.98,38.46,34.39,38.87,39.2,41.32,30.84,36.32,36.94,38.53,34.13,38.92,39.58,41.46,31.53,36.0,36.56,38.12,31.45,37.65,38.34,40.37
11015,La_Spezia,,3,110150000003,6,Porto,3,Rete infrastrutturale,0,15661.9,True,30.83,35.53,35.72,36.41,32.0,34.76,35.0,35.85,33.5,36.56,36.79,37.8,34.21,38.06,38.28,39.35,32.12,35.71,36.11,37.36,34.92,38.6,38.9,40.19,32.3,35.6,35.77,37.08,31.89,37.39,37.67,39.38
11015,La_Spezia,,4,110150000004,5,Area verde/parco urbano,7,Verde urbano,0,11831.2,True,36.02,36.57,36.56,37.31,35.2,35.82,35.74,36.49,37.23,37.77,37.82,38.38,38.69,39.43,39.38,39.98,36.15,37.38,37.41,38.37,39.82,40.46,40.42,41.3,36.34,37.17,37.21,37.98,38.41,39.39,39.31,40.73
11015,La_Spezia,,5,110150000005,5,Area verde/parco urbano,7,Verde urbano,0,13429.3,True,36.02,37.07,37.05,38.67,35.57,36.64,36.52,38.38,37.1,38.02,37.81,39.75,39.1,40.14,40.12,41.88,36.15,37.61,37.55,38.96,39.62,40.99,40.98,42.72,36.34,37.69,37.64,39.42,38.41,40.08,39.9,42.02
11015,La_Spezia,,6,110150000006,1,Residenziale,1,Tessuto urbano continuo,56,1965.3,False,38.67,39.1,39.12,39.5,38.38,38.82,38.77,39.35,39.75,40.25,40.24,40.76,41.88,42.37,42.39,42.83,38.96,39.44,39.47,39.84,42.72,43.13,43.16,43.49,39.42,39.89,39.91,40.33,42.02,42.47,42.5,42.86
11015,La_Spezia,,7,110150000007,1,Residenziale,1,Tessuto urbano continuo,59,3323.5,False,38.43,38.7,38.53,39.3,38.0,38.32,38.11,39.04,39.51,39.74,39.57,40.33,41.62,41.94,41.72,42.7,38.92,39.16,39.03,39.66,42.55,42.82,42.65,43.45,39.29,39.54,39.37,40.13,41.77,42.03,41.9,42.54
11015,La_Spezia,,8,110150000008,1,Residenziale,1,Tessuto urbano continuo,41,1909.4,False,39.3,39.98,39.92,40.71,39.04,39.84,39.87,40.62,40.33,41.15,41.1,42.01,42.7,43.59,43.64,44.43,39.66,40.47,40.34,41.42,43.45,44.0,43.94,44.62,40.13,40.79,40.71,41.51,42.54,43.29,43.14,44.2
11015,La_Spezia,,9,110150000009,1,Residenziale,1,Tessuto urbano continuo,47,998.3,False,39.76,39.76,39.76,39.76,39.47,39.47,39.47,39.47,40.88,40.88,40.88,40.88,43.2,43.2,43.2,43.2,40.13,40.13,40.13,40.13,43.92,43.92,43.92,43.92,40.6,40.6,40.6,40.6,43.07,43.07,43.07,43.07
11015,La_Spezia,,10,110150000010,1,Residenziale,1,Tessuto urbano continuo,60,1194.9,False,39.71,39.71,39.71,39.71,39.53,39.53,39.53,39.53,41.0,41.0,41.0,41.0,43.11,43.11,43.11,43.11,40.12,40.12,40.12,40.12,43.7,43.7,43.7,43.7,40.51,40.51,40.51,40.51,43.13,43.13,43.13,43.13
11015,La_Spezia,,11,110150000011,1,Residenziale,1,Tessuto urbano continuo,51,957.8,False,39.76,39.94,39.96,40.09,39.47,39.77,39.75,40.08,40.88,41.16,41.23,41.37,43.2,43.49,43.46,43.82,40.13,40.39,40.4,40.64,43.92,44.05,44.02,44.2,40.6,40.77,40.76,40.97,43.07,43.35,43.44,43.54
11015,La_Spezia,,12,110150000012,1,Residenziale,1,Tessuto urbano continuo,56,1135.7,False,39.96,39.96,39.96,39.96,39.75,39.75,39.75,39.75,41.23,41.23,41.23,41.23,43.46,43.46,43.46,43.46,40.4,40.4,40.4,40.4,44.02,44.02,44.02,44.02,40.76,40.76,40.76,40.76,43.44,43.44,43.44,43.44
11015,La_Spezia,,13,110150000013,1,Residenziale,1,Tessuto urbano continuo,94,2223.8,False,39.78,39.82,39.81,39.88,39.81,39.84,39.84,39.89,41.3,41.35,41.34,41.44,43.45,43.51,43.51,43.57,40.51,40.56,40.55,40.64,43.93,43.99,43.98,44.06,40.76,40.83,40.8,40.96,43.66,43.8,43.8,43.96
11015,La_Spezia,,14,110150000014,5,Area verde/parco urbano,7,Verde urbano,0,19245.3,True,33.98,35.56,35.57,37.27,33.18,35.02,34.91,36.93,34.67,36.55,36.46,38.36,35.64,37.75,37.57,39.95,33.89,36.11,36.17,38.21,36.41,38.7,38.78,40.71,33.83,35.61,35.64,37.29,35.22,37.71,37.62,39.9
11015,La_Spezia,,15,110150000015,5,Area verde/parco urbano,7,Verde urbano,0,24421.5,True,35.89,37.65,37.71,38.95,35.51,37.2,37.32,38.72,37.18,38.81,39.0,40.24,38.53,40.45,40.56,42.01,36.47,38.35,38.4,39.96,39.11,41.23,41.28,42.49,36.34,37.88,37.87,39.34,38.28,40.67,40.64,42.39
11015,La_Spezia,,16,110150000016,1,Residenziale,1,Tessuto urbano continuo,26,1401.1,False,37.89,37.89,37.89,37.89,37.12,37.12,37.12,37.12,38.76,38.76,38.76,38.76,40.62,40.62,40.62,40.62,38.51,38.51,38.51,38.51,42.03,42.03,42.03,42.03,38.62,38.62,38.62,38.62,41.1,41.1,41.1,41.1
11015,La_Spezia,,17,110150000017,1,Residenziale,1,Tessuto urbano continuo,23,1869.6,False,37.98,38.32,38.4,38.5,37.05,37.6,37.69,37.98,38.93,39.24,39.29,39.44,40.49,40.96,41.06,41.25,38.8,38.97,38.99,39.12,41.89,42.2,42.18,42.55,38.75,39.11,39.17,39.36,41.29,41.64,41.72,41.81
11015,La_Spezia,,18,110150000018,1,Residenziale,1,Tessuto urbano continuo,30,1896.3,False,38.56,38.77,38.76,38.97,37.8,38.13,38.11,38.49,39.7,39.76,39.72,39.87,41.28,41.44,41.44,41.6,39.07,39.25,39.26,39.41,42.08,42.44,42.41,42.84,39.16,39.52,39.5,39.89,42.1,42.23,42.22,42.37
11015,La_Spezia,,19,110150000019,1,Residenziale,1,Tessuto urbano continuo,97,2825.3,False,38.86,38.95,38.95,39.06,38.28,38.49,38.41,38.85,40.05,40.19,40.11,40.49,41.59,41.72,41.65,41.98,39.28,39.38,39.36,39.53,42.49,42.59,42.58,42.72,39.57,39.71,39.7,39.86,42.63,42.69,42.65,42.81
11015,La_Spezia,,20,110150000020,1,Residenziale,1,Tessuto urbano continuo,57,2885.2,False,39.01,39.08,39.06,39.2,38.75,38.92,38.92,39.09,40.21,40.28,40.23,40.46,41.89,42.0,41.99,42.13,39.33,39.36,39.34,39.43,42.41,42.59,42.63,42.67,39.66,39.73,39.69,39.88,42.17,42.38,42.37,42.62
11015,La_Spezia,,21,110150000021,1,Residenziale,1,Tessuto urbano continuo,44,3836.3,False,38.95,39.02,38.97,39.12,39.12,39.16,39.15,39.22,40.57,40.61,40.6,40.66,42.08,42.19,42.1,42.43,39.53,39.65,39.65,39.75,42.73,42.82,42.81,42.92,38.63,39.59,39.91,39.93,42.41,42.54,42.49,42.78
11015,La_Spezia,,22,110150000022,1,Residenziale,1,Tessuto urbano continuo,95,3206.3,False,39.06,39.28,39.22,39.54,38.85,39.16,39.19,39.47,40.49,40.78,40.74,41.09,41.98,42.2,42.11,42.46,39.53,39.75,39.65,39.99,42.67,43.05,42.94,43.45,39.86,40.17,40.06,40.5,42.81,43.03,43.04,43.25
11015,La_Spezia,,23,110150000023,1,Residenziale,1,Tessuto urbano continuo,73,4213.2,False,39.04,39.33,39.3,39.77,38.74,39.05,38.99,39.58,40.06,40.46,40.42,41.18,41.87,42.23,42.27,42.81,39.37,39.65,39.62,40.18,43.12,43.41,43.32,43.89,40.02,40.31,40.25,40.8,42.41,42.75,42.86,43.31
11015,La_Spezia,,24,110150000024,1,Residenziale,1,Tessuto urbano continuo,2,1645.4,False,38.48,38.53,38.53,38.57,37.98,38.08,38.08,38.19,39.44,39.5,39.5,39.57,41.25,41.42,41.42,41.6,38.88,38.92,38.92,38.97,42.55,42.61,42.61,42.67,39.29,39.3,39.3,39.31,41.81,41.84,41.84,41.87
11015,La_Spezia,,25,110150000025,6,Porto,3,Rete infrastrutturale,10,15121.1,True,33.45,36.24,35.54,38.88,31.17,35.41,34.36,38.59,32.12,36.92,36.0,40.02,32.59,37.99,37.05,41.64,31.73,36.32,35.67,39.97,33.91,38.87,38.03,42.22,31.54,35.72,35.31,38.39,31.04,38.35,37.6,42.44
11015,La_Spezia,,26,110150000026,6,Porto,3,Rete infrastrutturale,0,90169.9,True,35.09,39.59,40.32,41.21,33.86,39.07,39.85,40.67,35.77,40.89,41.8,42.74,36.62,42.3,42.66,46.39,34.95,40.52,41.01,42.63,38.91,43.58,44.19,45.83,35.45,39.64,39.96,42.14,37.87,43.17,44.09,45.19
11015,La_Spezia,,27,110150000027,6,Porto,3,Rete infrastrutturale,0,5530.4,True,35.51,38.31,38.38,39.88,34.67,37.71,37.84,39.28,36.33,39.35,39.59,41.21,37.9,40.62,40.77,42.38,36.64,39.14,39.32,40.86,38.97,41.56,41.89,43.04,36.24,38.58,38.61,40.59,37.68,40.95,40.92,43.15
