PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
116010,Lanusei,Sardegna,1,910370000001,1,Residenziale,1,Tessuto urbano continuo,160,106725.8,True,30.88,34.5,34.23,39.75,32.27,34.91,34.34,39.65,29.95,33.4,32.46,39.2,32.39,36.47,36.17,41.84,32.18,35.38,34.79,42.73,32.85,36.24,36.33,40.07,31.53,34.37,34.1,38.92,35.13,39.23,38.62,46.28
116010,Lanusei,Sardegna,2,910370000002,1,Residenziale,1,Tessuto urbano continuo,346,247016.4,True,31.1,35.98,36.46,39.76,31.52,36.44,36.75,39.42,30.0,35.71,36.41,40.05,33.64,38.14,38.57,41.84,31.97,37.14,37.55,42.31,33.51,37.67,37.59,40.79,31.66,35.91,36.55,39.15,35.65,41.13,41.66,46.23
116010,Lanusei,Sardegna,3,910370000003,1,Residenziale,1,Tessuto urbano continuo,592,136916.8,True,35.04,38.02,38.07,40.49,34.88,37.73,37.62,40.28,34.34,37.86,37.62,41.91,35.82,38.23,38.18,41.27,35.33,39.89,39.92,43.2,35.84,39.17,39.41,41.09,33.69,36.69,36.75,39.15,40.77,44.18,44.16,47.05
116010,Lanusei,Sardegna,4,910370000004,1,Residenziale,1,Tessuto urbano continuo,429,57756.6,True,36.55,38.86,38.9,40.8,35.97,38.55,38.52,40.58,35.64,37.75,37.61,40.26,36.99,39.78,40.08,41.29,38.14,41.54,41.72,43.9,37.71,39.4,39.39,40.77,34.95,37.73,37.8,39.37,42.88,44.99,44.9,46.73
116010,Lanusei,Sardegna,5,910370000005,1,Residenziale,1,Tessuto urbano continuo,340,36088.1,True,36.94,39.08,39.62,40.69,36.67,38.73,39.03,40.5,36.34,38.65,38.62,40.7,37.58,40.02,40.52,42.44,39.3,41.95,42.35,43.85,37.73,39.41,39.63,40.79,36.46,38.27,38.46,39.38,43.83,45.28,45.26,46.6
116010,Lanusei,Sardegna,6,910370000006,1,Residenziale,1,Tessuto urbano continuo,376,146843.5,True,32.98,36.69,36.97,40.16,30.65,35.44,35.56,39.58,31.53,36.34,35.98,41.08,32.72,37.1,37.27,40.89,33.12,38.08,38.47,42.51,34.2,37.33,37.68,40.31,30.29,34.59,34.89,38.07,36.98,42.05,42.63,45.75
116010,Lanusei,Sardegna,7,910370000007,1,Residenziale,1,Tessuto urbano continuo,854,315226.4,True,31.7,36.66,36.69,40.03,31.9,36.58,36.67,39.81,30.69,36.81,37.53,41.65,31.94,37.73,37.63,41.98,31.57,37.68,38.16,42.21,32.86,37.16,37.21,40.67,30.42,36.01,36.13,39.96,35.45,41.77,42.03,46.28
116010,Lanusei,Sardegna,8,910370000008,1,Residenziale,1,Tessuto urbano continuo,583,64149.0,True,36.44,39.17,39.36,40.3,36.57,38.98,39.21,40.37,35.8,38.66,39.01,39.84,37.93,40.78,40.87,42.62,38.92,41.88,41.99,43.62,37.42,39.75,39.98,40.71,36.01,38.61,38.76,39.41,42.13,45.15,45.43,46.44
116010,Lanusei,Sardegna,12,910370000012,26,Area agricola,9,Colture agricole,228,4893223.7,True,25.8,36.67,37.09,43.79,28.27,36.23,36.48,44.08,30.54,39.15,39.57,48.59,31.52,37.75,37.98,44.4,31.68,38.14,38.46,46.15,30.79,38.41,38.7,44.81,29.4,35.63,35.91,42.96,36.09,43.27,43.56,51.07
116010,Lanusei,Sardegna,15,910370000015,22,Bosco/copertura forestale,8,Vegetazione naturale,11,4087886.3,True,23.61,28.26,27.65,40.87,25.11,29.61,29.03,41.11,24.52,27.93,27.17,40.14,26.27,30.2,29.54,41.58,27.03,30.06,29.43,40.32,27.64,31.06,30.32,43.66,24.48,27.86,27.31,37.7,28.57,32.53,31.84,44.74
116010,Lanusei,Sardegna,16,910370000016,26,Area agricola,9,Colture agricole,27,3851957.9,True,27.15,35.92,36.18,40.67,28.12,36.04,36.39,40.62,25.13,36.18,36.72,42.84,28.64,36.11,36.19,40.98,28.29,36.36,36.38,42.79,28.89,37.0,37.06,42.95,27.28,34.03,34.06,39.46,30.72,40.28,40.43,46.32
116010,Lanusei,Sardegna,17,910370000017,26,Area agricola,9,Colture agricole,45,2664604.9,True,31.12,36.77,36.72,44.3,29.93,36.12,36.09,42.02,34.74,40.01,39.98,46.18,31.35,37.89,37.9,43.73,31.91,38.12,38.27,45.41,32.56,38.5,38.47,44.92,29.57,35.34,35.31,40.65,35.92,43.06,43.01,49.38
116010,Lanusei,Sardegna,18,910370000018,22,Bosco/copertura forestale,8,Vegetazione naturale,0,3935950.5,True,23.8,31.3,31.05,40.76,25.5,31.66,31.56,41.27,21.81,30.03,29.68,42.25,26.5,32.71,32.41,40.67,27.45,32.73,32.15,41.92,27.86,33.07,32.22,43.7,25.29,30.8,30.76,38.28,29.12,36.02,35.63,46.38
116010,Lanusei,Sardegna,19,910370000019,26,Area agricola,9,Colture agricole,5,5840116.7,True,30.84,36.47,36.46,42.21,30.52,36.25,36.17,42.83,34.92,39.89,39.84,46.96,31.31,36.94,36.97,42.84,31.93,37.77,37.81,44.34,32.03,37.74,37.87,44.1,30.06,34.88,34.9,40.55,35.09,42.0,42.0,48.85
116010,Lanusei,Sardegna,20,910370000020,26,Area agricola,9,Colture agricole,10,4019641.4,True,33.27,37.9,37.97,43.53,33.17,37.72,37.71,43.11,37.08,42.54,42.3,51.22,34.12,38.57,38.51,43.6,35.07,39.52,39.53,44.01,33.79,39.2,39.25,43.9,32.71,36.43,36.44,41.3,36.6,43.34,43.59,49.11
116010,Lanusei,Sardegna,21,910370000021,26,Area agricola,9,Colture agricole,3,3720684.2,True,32.83,38.53,38.49,44.41,33.53,39.4,39.37,45.72,35.89,41.97,41.91,48.25,33.02,39.63,39.64,46.83,34.63,40.18,40.3,45.99,33.43,39.92,40.13,45.82,31.81,37.32,37.47,42.81,37.66,44.64,44.63,52.25
116010,Lanusei,Sardegna,22,910370000022,26,Area agricola,9,Colture agricole,19,4492314.5,True,30.18,37.35,37.84,42.68,31.02,38.21,38.61,44.47,34.62,43.27,43.29,50.5,30.74,38.72,39.09,45.71,32.59,39.17,39.56,46.83,31.35,39.36,40.06,45.49,29.9,36.74,37.18,42.84,32.86,43.16,43.92,50.31
116010,Lanusei,Sardegna,23,910370000023,69,Cespuglieto,8,Vegetazione naturale,0,4272625.8,True,29.83,35.44,35.15,42.41,29.88,35.52,35.31,42.06,30.23,38.52,38.63,43.45,30.97,36.12,35.72,43.76,30.09,36.25,35.92,42.44,30.26,36.36,36.14,43.77,29.99,34.57,34.32,41.24,31.36,39.79,39.46,46.53
116010,Lanusei,Sardegna,24,910370000024,69,Cespuglieto,8,Vegetazione naturale,0,4298425.9,True,26.26,32.93,32.66,42.09,26.16,32.78,32.67,39.83,28.73,38.54,38.82,44.01,30.3,34.2,34.22,41.85,29.9,34.88,34.9,41.57,29.8,34.75,34.78,44.41,28.62,33.19,33.24,41.1,30.36,38.23,38.27,46.24
116010,Lanusei,Sardegna,25,910370000025,69,Cespuglieto,8,Vegetazione naturale,0,3402857.2,True,30.05,38.05,38.35,44.8,28.69,36.86,36.8,45.32,33.38,41.17,41.3,47.66,30.87,39.4,39.8,45.55,32.67,40.52,40.8,47.13,31.79,41.76,42.31,50.24,30.0,38.64,38.83,46.04,35.56,44.65,44.97,52.7
116010,Lanusei,Sardegna,26,910370000026,12,Attivita produttive,2,Superficie impervia pesante,37,143828.5,True,31.58,35.89,35.84,38.83,30.39,35.44,35.7,39.27,33.88,39.13,39.17,42.21,35.01,37.73,37.57,41.92,34.34,38.43,38.54,41.68,35.02,37.68,37.48,42.08,31.96,35.82,36.04,38.66,39.36,43.15,43.27,46.01
116010,Lanusei,Sardegna,27,910370000027,1,Residenziale,1,Tessuto urbano continuo,51,31549.5,True,35.11,36.89,36.87,40.05,35.39,36.85,36.65,39.51,37.78,38.74,38.46,41.28,35.17,37.15,37.12,40.29,36.53,37.73,37.66,40.15,36.43,37.54,37.33,40.27,33.53,34.54,34.43,36.68,40.44,41.72,41.49,44.47
116010,Lanusei,Sardegna,28,910370000028,1,Residenziale,1,Tessuto urbano continuo,2,3610.0,False,37.04,37.93,37.56,38.85,36.78,37.61,37.28,38.42,37.49,38.53,38.68,39.16,38.31,39.42,39.04,40.49,37.62,38.61,38.11,39.66,39.24,39.73,39.64,40.18,36.68,37.59,37.21,38.54,42.22,43.19,42.84,44.15
116010,Lanusei,Sardegna,29,910370000029,36,Strade principali,3,Rete infrastrutturale,0,2083.4,False,32.22,32.22,32.22,32.22,32.59,32.59,32.59,32.59,30.17,30.17,30.17,30.17,32.81,32.81,32.81,32.81,32.87,32.87,32.87,32.87,34.11,34.11,34.11,34.11,32.26,32.26,32.26,32.26,36.58,36.58,36.58,36.58
116010,Lanusei,Sardegna,30,910370000030,12,Attivita produttive,2,Superficie impervia pesante,14,15594.5,True,34.91,37.03,37.12,39.15,35.01,36.83,36.85,38.58,36.43,38.02,38.34,39.28,36.02,38.32,38.46,40.68,34.86,37.25,37.44,39.76,37.52,39.1,39.29,40.19,33.98,36.37,36.52,38.75,39.59,42.17,42.3,44.48
116010,Lanusei,Sardegna,31,910370000031,10,Ferrovia,3,Rete infrastrutturale,0,2093.2,False,37.84,38.62,38.85,39.15,37.69,38.18,38.37,38.49,38.68,38.84,38.69,39.15,39.46,40.21,40.49,40.68,38.51,39.27,39.56,39.76,39.83,40.01,40.0,40.19,37.5,38.26,38.54,38.75,43.24,43.95,44.15,44.48
116010,Lanusei,Sardegna,32,910370000032,1,Residenziale,1,Tessuto urbano continuo,10,2065.1,False,30.3,30.59,30.59,30.89,31.87,32.04,32.04,32.22,29.45,29.63,29.63,29.82,33.61,33.74,33.74,33.88,31.99,32.15,32.15,32.31,33.43,33.7,33.7,33.96,31.14,31.42,31.42,31.7,36.27,36.48,36.48,36.69
116010,Lanusei,Sardegna,33,910370000033,1,Residenziale,1,Tessuto urbano continuo,3,3929.0,False,29.8,31.23,31.01,33.04,31.4,32.39,32.36,33.5,28.32,29.37,29.38,30.36,32.38,33.73,33.74,35.15,31.04,32.09,32.0,33.43,32.74,33.94,33.86,35.22,30.1,31.26,31.27,32.24,34.39,35.6,35.62,37.02
116010,Lanusei,Sardegna,34,910370000034,37,Scuole/istituti,5,Edifici pubblici e servizi,0,17203.9,True,32.09,35.97,36.07,37.0,35.71,37.02,37.06,38.23,32.76,35.85,35.97,38.65,36.56,38.49,38.69,39.45,35.56,37.47,37.71,38.64,36.78,38.22,38.19,39.39,34.33,36.15,36.39,37.18,38.46,40.93,41.03,42.27
116010,Lanusei,Sardegna,35,910370000035,16,Impianto sportivo,6,Impianti sportivi,0,1601.7,False,34.81,34.81,34.81,34.81,35.21,35.21,35.21,35.21,32.16,32.16,32.16,32.16,37.11,37.11,37.11,37.11,35.04,35.04,35.04,35.04,36.62,36.62,36.62,36.62,34.55,34.55,34.55,34.55,38.85,38.85,38.85,38.85
116010,Lanusei,Sardegna,36,910370000036,1,Residenziale,1,Tessuto urbano continuo,3,1574.2,False,30.8,31.03,31.03,31.27,32.44,32.66,32.66,32.87,29.38,29.51,29.51,29.65,33.74,33.92,33.92,34.09,32.15,32.4,32.4,32.64,33.55,33.81,33.81,34.07,31.73,31.75,31.75,31.77,35.76,36.1,36.1,36.44
116010,Lanusei,Sardegna,37,910370000037,36,Strade principali,3,Rete infrastrutturale,0,2548.7,False,32.42,32.99,32.72,33.75,33.31,33.57,33.49,33.99,30.09,30.99,31.01,31.61,34.79,35.54,35.45,36.25,33.15,33.63,33.68,34.25,34.64,34.97,34.89,35.27,31.92,32.97,33.36,33.52,36.57,36.91,36.78,37.55
116010,Lanusei,Sardegna,38,910370000038,37,Scuole/istituti,5,Edifici pubblici e servizi,10,17661.2,True,36.49,37.45,37.48,38.54,36.57,37.52,37.53,38.59,36.59,38.24,37.73,39.8,38.03,38.67,38.63,39.94,37.18,38.44,38.49,39.34,37.59,38.39,38.33,39.43,36.71,37.43,37.44,38.23,41.43,42.46,42.46,43.43
116010,Lanusei,Sardegna,39,910370000039,1,Residenziale,1,Tessuto urbano continuo,5,1330.6,False,31.48,32.35,32.35,33.22,32.3,32.71,32.71,33.12,30.32,30.72,30.72,31.12,34.06,34.95,34.95,35.84,32.34,32.89,32.89,33.45,34.12,34.47,34.47,34.82,31.99,32.4,32.4,32.8,35.17,35.71,35.71,36.25
116010,Lanusei,Sardegna,40,910370000040,10,Ferrovia,3,Rete infrastrutturale,0,5693.1,True,36.7,37.68,37.94,38.12,36.88,37.66,37.88,38.17,37.86,39.01,39.13,39.65,37.0,38.51,38.74,39.53,37.68,38.19,38.28,38.61,36.76,37.89,37.99,38.92,36.15,36.86,36.99,37.45,41.4,42.24,42.3,42.66
116010,Lanusei,Sardegna,41,910370000041,15,Cimitero,5,Edifici pubblici e servizi,0,5592.2,True,36.98,37.22,37.14,37.81,36.76,37.12,37.08,37.76,37.77,38.06,38.14,38.33,37.32,38.07,38.13,38.7,37.08,37.54,37.65,37.93,36.99,37.44,37.32,38.27,35.91,36.4,36.4,36.97,41.64,42.04,42.12,42.35
116010,Lanusei,Sardegna,42,910370000042,36,Strade principali,3,Rete infrastrutturale,0,13978.1,True,37.06,38.75,38.49,40.48,36.86,38.68,38.4,40.32,37.54,38.89,39.16,40.47,38.07,40.02,39.81,41.86,37.59,40.24,39.19,43.32,37.88,39.33,39.49,40.41,36.89,38.12,37.9,39.14,42.22,44.33,43.9,46.53
116010,Lanusei,Sardegna,43,910370000043,1,Residenziale,1,Tessuto urbano continuo,101,27157.5,True,36.81,38.47,38.34,39.89,36.49,38.26,38.19,39.45,37.89,38.78,38.62,39.43,37.37,39.57,39.27,41.86,37.54,39.77,39.06,42.44,36.82,38.3,38.09,39.81,35.75,37.77,37.65,38.92,41.91,44.09,43.83,46.36
116010,Lanusei,Sardegna,44,910370000044,1,Residenziale,1,Tessuto urbano continuo,146,27762.8,True,36.81,38.98,38.97,40.64,36.67,38.74,38.75,40.43,37.67,39.32,39.35,40.67,37.29,40.18,40.34,41.85,37.38,41.19,41.58,43.26,37.11,39.08,39.21,40.48,35.8,38.0,38.13,39.2,42.04,45.15,45.48,46.38
116010,Lanusei,Sardegna,45,910370000045,37,Scuole/istituti,5,Edifici pubblici e servizi,0,10712.3,True,37.78,38.84,38.89,39.79,37.19,38.44,38.65,39.43,36.89,38.58,38.77,40.06,37.39,38.6,38.84,39.67,38.78,40.1,40.2,40.92,38.89,40.29,40.54,41.32,36.63,37.34,37.42,38.04,43.25,44.65,44.68,45.83
116010,Lanusei,Sardegna,46,910370000046,1,Residenziale,1,Tessuto urbano continuo,121,21293.8,True,30.9,34.08,33.82,36.46,31.42,34.02,33.9,36.24,32.09,33.85,33.76,35.74,31.63,35.21,35.2,38.35,31.74,34.56,34.31,37.24,31.7,34.62,34.33,36.88,30.77,33.37,33.27,36.26,35.19,38.47,38.5,41.03
116010,Lanusei,Sardegna,47,910370000047,10,Ferrovia,3,Rete infrastrutturale,0,6812.2,True,36.6,38.97,39.54,40.06,36.35,38.7,39.3,39.77,37.55,38.63,38.09,40.64,36.87,39.56,40.19,40.69,37.38,41.02,42.18,42.48,36.66,39.24,39.69,40.5,35.79,37.58,37.86,38.63,42.04,45.0,45.66,46.3
116010,Lanusei,Sardegna,48,910370000048,16,Impianto sportivo,6,Impianti sportivi,0,515.6,False,34.48,34.48,34.48,34.48,34.3,34.3,34.3,34.3,33.78,33.78,33.78,33.78,35.03,35.03,35.03,35.03,34.59,34.59,34.59,34.59,34.86,34.86,34.86,34.86,33.28,33.28,33.28,33.28,38.65,38.65,38.65,38.65
116010,Lanusei,Sardegna,49,910370000049,36,Strade principali,3,Rete infrastrutturale,0,8419.1,True,33.16,36.93,36.69,39.72,33.19,36.93,36.61,39.64,34.14,36.6,36.45,39.12,35.36,38.67,38.1,42.04,33.8,38.56,37.78,42.9,33.69,37.36,37.17,40.01,32.89,36.31,35.99,38.93,37.91,42.39,41.64,46.1
116010,Lanusei,Sardegna,50,910370000050,1,Residenziale,1,Tessuto urbano continuo,167,9077.2,True,39.71,39.99,40.0,40.48,39.7,39.92,39.93,40.32,39.3,39.63,39.48,40.47,41.14,41.43,41.39,42.17,42.67,42.99,43.0,43.32,39.89,40.13,40.06,40.41,38.64,38.86,38.82,39.14,46.16,46.34,46.29,46.72
116010,Lanusei,Sardegna,51,910370000051,1,Residenziale,1,Tessuto urbano continuo,102,18113.0,True,36.53,38.28,38.51,40.05,36.53,38.43,38.62,39.99,36.08,37.49,37.19,39.5,37.63,40.05,40.14,42.48,38.15,40.72,40.43,43.3,36.82,38.66,38.78,40.37,35.76,37.6,37.62,39.21,41.31,44.16,43.95,46.27
