PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
43023,Macerata,,1,430230000001,1,Residenziale,1,Tessuto urbano continuo,8,888.2,False,41.21,41.21,41.21,41.21,39.32,39.32,39.32,39.32,40.43,40.43,40.43,40.43,41.36,41.36,41.36,41.36,41.13,41.13,41.13,41.13,43.49,43.49,43.49,43.49,43.48,43.48,43.48,43.48,44.64,44.64,44.64,44.64
43023,Macerata,,2,430230000002,1,Residenziale,1,Tessuto urbano continuo,32,2512.5,False,41.33,41.58,41.62,41.75,39.55,40.15,40.21,40.64,40.45,40.61,40.62,40.75,41.65,42.26,42.35,42.7,41.88,42.29,42.33,42.61,43.6,43.82,43.68,44.31,43.54,43.77,43.85,43.86,44.97,45.29,45.34,45.5
43023,Macerata,,4,430230000004,1,Residenziale,1,Tessuto urbano continuo,55,13282.2,True,36.71,39.57,39.53,40.93,36.49,37.85,37.88,38.96,37.77,39.49,39.64,40.43,38.93,40.19,40.23,41.06,38.24,39.97,39.93,41.32,41.6,42.65,42.7,43.47,40.15,42.18,42.3,43.18,41.74,43.54,43.57,44.44
43023,Macerata,,5,430230000005,1,Residenziale,1,Tessuto urbano continuo,21,1399.3,False,40.8,40.8,40.8,40.8,38.72,38.72,38.72,38.72,40.29,40.29,40.29,40.29,40.8,40.8,40.8,40.8,40.62,40.62,40.62,40.62,43.05,43.05,43.05,43.05,43.04,43.04,43.04,43.04,44.24,44.24,44.24,44.24
43023,Macerata,,6,430230000006,1,Residenziale,1,Tessuto urbano continuo,38,2251.8,False,39.23,39.69,39.68,40.18,36.49,37.2,37.25,37.83,39.07,39.46,39.43,39.89,38.94,39.5,39.5,40.06,38.66,39.24,39.25,39.8,41.79,42.27,42.23,42.84,41.34,41.87,41.88,42.38,42.45,42.99,42.97,43.57
43023,Macerata,,7,430230000007,1,Residenziale,1,Tessuto urbano continuo,17,1440.1,False,39.51,39.9,39.9,40.28,36.74,37.18,37.18,37.62,39.34,39.64,39.64,39.95,39.3,39.73,39.73,40.17,38.89,39.44,39.44,39.99,42.33,42.71,42.71,43.09,41.55,42.04,42.04,42.52,42.7,43.12,43.12,43.54
43023,Macerata,,8,430230000008,1,Residenziale,1,Tessuto urbano continuo,5,2176.4,False,38.25,39.38,39.5,40.28,35.18,36.57,36.73,37.62,38.12,39.18,39.33,39.95,37.79,39.14,39.3,40.17,37.75,38.88,38.89,39.99,40.87,42.18,42.39,43.09,39.98,41.39,41.53,42.52,41.12,42.51,42.68,43.54
43023,Macerata,,9,430230000009,1,Residenziale,1,Tessuto urbano continuo,28,726.0,False,39.43,39.43,39.43,39.43,37.0,37.0,37.0,37.0,39.28,39.28,39.28,39.28,39.31,39.31,39.31,39.31,38.95,38.95,38.95,38.95,42.63,42.63,42.63,42.63,41.43,41.43,41.43,41.43,42.64,42.64,42.64,42.64
43023,Macerata,,10,430230000010,1,Residenziale,1,Tessuto urbano continuo,54,9251.9,True,39.66,40.48,40.58,41.39,37.57,38.22,38.23,39.1,39.36,39.92,39.98,40.52,39.69,40.49,40.63,41.51,39.37,39.97,39.91,40.71,42.88,43.28,43.28,44.01,41.97,42.73,42.86,43.43,43.03,43.65,43.71,44.34
43023,Macerata,,11,430230000011,1,Residenziale,1,Tessuto urbano continuo,44,8619.2,True,41.13,41.61,41.61,41.93,39.12,39.54,39.52,40.14,40.15,40.47,40.49,40.76,41.22,41.74,41.76,42.14,40.93,41.39,41.29,42.34,43.35,43.83,43.89,44.18,43.34,43.56,43.54,43.87,44.4,44.73,44.66,45.07
