PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
45010,Massa,,1,450100000001,1,Residenziale,1,Tessuto urbano continuo,354,54609.7,True,34.33,38.11,38.99,41.4,32.28,37.33,37.55,40.96,33.91,37.52,38.05,40.68,36.7,40.59,41.04,43.88,38.49,41.15,41.35,43.42,37.73,40.29,40.76,43.15,33.48,36.14,35.72,39.78,38.59,42.3,42.61,45.9
45010,Massa,,2,450100000002,1,Residenziale,1,Tessuto urbano continuo,163,29854.1,True,38.98,40.19,39.94,42.25,39.44,40.47,40.44,41.55,39.36,40.25,40.24,41.23,41.7,43.02,42.84,44.26,40.89,42.38,42.23,43.83,41.6,42.79,42.77,43.64,38.5,39.44,39.35,40.18,43.13,45.02,45.54,46.12
45010,Massa,,3,450100000003,1,Residenziale,1,Tessuto urbano continuo,449,30121.1,True,36.38,39.58,39.82,41.92,34.92,37.71,37.74,40.24,34.56,37.05,37.01,39.81,38.22,40.82,41.0,43.13,36.05,38.86,38.95,41.25,37.67,40.48,40.74,42.36,34.58,37.63,37.71,39.75,38.04,41.06,41.1,43.54
45010,Massa,,4,450100000004,1,Residenziale,1,Tessuto urbano continuo,40,14082.0,True,39.12,40.55,40.4,42.31,39.83,40.42,40.45,40.8,39.43,39.61,39.59,39.9,42.04,42.6,42.64,43.25,40.67,41.38,41.16,43.02,41.78,42.28,42.32,42.7,38.63,39.03,39.05,39.53,43.38,43.97,43.82,45.52
45010,Massa,,5,450100000005,1,Residenziale,1,Tessuto urbano continuo,169,20221.1,True,39.63,41.84,41.95,42.4,39.94,40.43,40.42,40.78,38.62,39.67,39.74,39.92,41.5,42.4,42.38,43.69,40.57,41.54,41.33,43.36,41.99,42.31,42.3,42.66,38.57,39.22,39.29,39.55,43.17,43.87,43.88,45.13
45010,Massa,,6,450100000006,1,Residenziale,1,Tessuto urbano continuo,273,58839.7,True,33.55,35.68,35.35,40.93,32.06,33.69,33.19,38.96,32.74,34.79,34.58,37.96,35.99,37.37,36.86,41.69,33.85,35.26,34.63,39.39,35.48,37.07,36.42,41.77,31.81,36.03,35.97,39.73,35.94,37.55,37.01,42.52
45010,Massa,,7,450100000007,1,Residenziale,1,Tessuto urbano continuo,152,20751.4,True,35.17,37.13,37.2,39.06,33.09,34.67,34.62,36.69,33.68,35.68,35.59,37.46,36.07,38.69,39.31,40.66,34.81,36.37,36.43,37.56,36.73,38.67,38.75,40.1,36.2,37.96,38.09,40.09,37.01,39.39,39.45,41.28
45010,Massa,,8,450100000008,1,Residenziale,1,Tessuto urbano continuo,78,9018.6,True,37.68,38.09,38.08,38.65,39.04,39.75,39.78,40.52,38.68,39.11,39.14,39.58,40.99,41.58,41.6,42.16,40.11,40.48,40.52,40.84,41.31,41.74,41.71,42.27,38.08,38.45,38.5,38.77,44.45,44.9,44.96,45.28
45010,Massa,,9,450100000009,1,Residenziale,1,Tessuto urbano continuo,186,20194.2,True,39.46,41.92,41.88,43.6,37.14,39.97,40.01,41.78,36.87,39.67,39.42,42.16,40.83,43.45,43.55,44.97,37.92,40.56,40.28,43.43,40.18,42.99,42.98,44.63,39.3,41.93,41.69,43.74,41.48,44.37,44.61,46.27
45010,Massa,,10,450100000010,1,Residenziale,1,Tessuto urbano continuo,47,23276.7,True,38.59,40.54,40.13,42.87,40.53,41.3,41.3,42.04,39.58,40.65,40.75,41.51,41.44,42.96,43.11,43.96,40.01,42.9,43.28,44.07,41.77,42.93,43.11,43.83,38.76,42.55,42.82,44.82,44.3,45.33,45.32,46.42
45010,Massa,,11,450100000011,1,Residenziale,1,Tessuto urbano continuo,172,18356.2,True,40.5,41.95,41.83,43.12,38.88,40.2,40.01,42.24,38.93,40.6,40.45,41.83,42.28,43.35,43.3,44.57,39.29,41.12,41.01,43.18,42.41,43.31,43.25,44.18,38.91,42.09,42.55,44.42,43.65,44.84,44.75,45.88
45010,Massa,,12,450100000012,1,Residenziale,1,Tessuto urbano continuo,153,27569.9,True,37.04,38.23,38.06,40.12,36.27,37.56,37.66,38.98,37.05,38.03,38.08,38.98,39.45,40.25,40.23,41.02,36.73,37.74,37.79,38.61,39.79,40.6,40.46,41.37,34.26,36.23,36.73,41.48,41.82,42.93,42.91,43.91
45010,Massa,,13,450100000013,1,Residenziale,1,Tessuto urbano continuo,44,23011.4,True,37.76,38.76,38.51,39.74,37.6,38.89,38.9,39.6,37.86,39.42,39.6,40.12,41.19,42.21,42.16,43.18,38.24,38.55,38.55,38.93,40.99,41.48,41.49,41.8,35.21,37.89,38.83,39.51,42.74,44.0,44.04,44.77
45010,Massa,,14,450100000014,1,Residenziale,1,Tessuto urbano continuo,152,29995.2,True,35.84,37.07,36.95,39.64,36.11,37.03,36.97,39.02,36.24,37.44,37.49,38.78,39.68,40.77,40.81,41.51,37.19,38.4,38.07,40.5,39.3,40.36,40.28,41.9,33.98,37.05,36.8,41.69,41.17,42.13,41.99,43.72
45010,Massa,,15,450100000015,1,Residenziale,1,Tessuto urbano continuo,349,59841.1,True,28.51,32.76,33.21,37.26,28.16,32.18,32.3,36.62,27.87,32.15,32.32,36.36,29.82,34.86,35.03,39.69,30.86,35.99,36.26,39.94,30.41,34.44,34.56,38.59,26.83,30.97,31.34,34.09,30.44,35.07,35.11,39.97
45010,Massa,,16,450100000016,1,Residenziale,1,Tessuto urbano continuo,220,97734.6,True,28.71,32.1,31.68,37.49,26.54,31.06,30.65,36.39,27.8,30.86,30.51,35.69,29.9,34.13,33.58,40.2,29.34,32.6,31.79,38.25,30.42,33.71,33.1,39.17,27.45,30.58,30.02,36.21,30.5,34.11,33.4,39.94
45010,Massa,,17,450100000017,1,Residenziale,1,Tessuto urbano continuo,175,107302.4,True,28.85,32.19,31.45,36.94,27.86,31.41,31.3,35.11,28.65,31.53,31.32,34.87,30.12,34.09,33.57,39.13,28.85,32.05,31.43,36.51,30.44,33.63,33.0,38.26,27.38,30.44,29.64,35.78,30.66,33.83,33.0,39.01
45010,Massa,,18,450100000018,1,Residenziale,1,Tessuto urbano continuo,377,179718.7,True,28.62,32.77,32.28,37.86,27.96,31.83,31.73,35.9,28.82,32.93,32.27,38.1,30.26,34.64,33.8,39.74,29.92,32.88,32.51,37.96,30.33,34.36,33.95,39.04,27.85,31.9,31.33,38.34,29.99,34.53,33.87,39.42
45010,Massa,,19,450100000019,1,Residenziale,1,Tessuto urbano continuo,184,45128.8,True,32.44,35.62,35.39,38.85,32.02,34.67,34.0,37.83,33.18,36.55,36.7,39.66,35.79,38.38,38.06,41.84,33.77,36.63,35.78,40.74,35.08,38.13,38.05,41.02,31.57,37.56,37.81,41.28,35.29,38.46,37.89,42.01
