PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
83048,Messina,,2,830480000002,1,Residenziale,1,Tessuto urbano continuo,51,3890.7,False,42.43,43.04,42.84,43.97,41.07,41.51,41.38,42.06,40.59,41.03,40.88,41.77,44.05,44.53,44.27,45.33,43.74,44.26,44.2,45.14,43.59,44.17,44.07,44.98,41.27,41.64,41.48,42.22,46.48,47.14,47.06,47.99
83048,Messina,,3,830480000003,1,Residenziale,1,Tessuto urbano continuo,165,5406.9,True,42.03,42.28,42.06,42.8,40.7,41.09,40.9,41.8,40.33,40.43,40.36,40.61,43.41,43.63,43.59,43.94,42.98,43.22,43.31,43.36,42.78,43.15,43.2,43.53,40.89,41.04,41.06,41.15,45.59,45.88,45.92,46.24
83048,Messina,,4,830480000004,1,Residenziale,1,Tessuto urbano continuo,116,4951.0,False,42.18,42.47,42.49,42.86,41.22,41.54,41.58,41.81,40.1,40.28,40.24,40.57,43.64,43.83,43.86,44.05,43.11,43.19,43.15,43.39,42.96,43.27,43.31,43.57,40.87,40.97,40.96,41.13,45.7,46.0,46.01,46.36
83048,Messina,,5,830480000005,1,Residenziale,1,Tessuto urbano continuo,179,4691.4,False,42.08,42.2,42.24,42.28,41.13,41.26,41.22,41.38,40.04,40.13,40.11,40.23,43.68,43.72,43.7,43.79,42.87,43.03,43.07,43.16,42.74,42.85,42.84,42.9,40.3,40.44,40.49,40.53,45.31,45.55,45.52,45.81
83048,Messina,,6,830480000006,37,Scuole/istituti,5,Edifici pubblici e servizi,0,4735.2,False,42.51,43.27,43.59,43.83,41.11,41.67,41.91,42.06,40.7,41.2,41.45,41.54,43.98,44.71,45.05,45.19,44.06,44.79,45.11,45.41,43.79,44.48,44.78,44.98,41.59,42.09,42.31,42.61,46.64,47.45,47.78,47.99
83048,Messina,,7,830480000007,1,Residenziale,1,Tessuto urbano continuo,54,4387.4,False,42.24,42.76,42.74,43.38,41.64,41.88,41.89,42.05,40.5,40.86,40.84,41.34,43.78,44.24,44.24,44.67,43.57,44.16,44.19,44.59,43.24,43.82,43.83,44.38,40.85,41.4,41.42,41.86,46.13,46.78,46.8,47.34
83048,Messina,,8,830480000008,1,Residenziale,1,Tessuto urbano continuo,85,6214.3,True,41.5,41.72,41.65,42.22,40.49,40.95,40.81,41.77,39.86,40.04,39.97,40.47,43.26,43.43,43.38,43.79,42.7,42.99,42.91,43.71,42.7,42.91,42.85,43.46,40.03,40.27,40.2,40.89,45.28,45.57,45.47,46.27
83048,Messina,,9,830480000009,37,Scuole/istituti,5,Edifici pubblici e servizi,0,5423.1,True,41.84,42.25,42.29,42.49,40.7,41.1,41.11,41.45,40.09,40.37,40.38,40.54,43.72,43.88,43.88,43.98,42.95,43.11,43.11,43.24,42.9,43.06,43.09,43.14,40.11,40.3,40.29,40.51,45.51,45.89,45.93,46.08
83048,Messina,,10,830480000010,37,Scuole/istituti,5,Edifici pubblici e servizi,0,4216.7,False,42.09,42.28,42.32,42.49,41.02,41.15,41.18,41.21,40.3,40.44,40.45,40.54,43.92,44.06,44.08,44.18,42.97,43.03,43.05,43.07,43.0,43.14,43.13,43.3,40.39,40.61,40.64,40.8,45.73,45.83,45.83,45.92
83048,Messina,,11,830480000011,1,Residenziale,1,Tessuto urbano continuo,71,4821.7,False,42.32,42.38,42.35,42.48,41.25,41.32,41.31,41.43,40.16,40.28,40.25,40.44,43.59,43.69,43.65,43.88,42.79,42.88,42.82,43.03,42.78,42.88,42.89,42.98,40.27,40.34,40.34,40.41,45.54,45.73,45.68,45.98
83048,Messina,,12,830480000012,1,Residenziale,1,Tessuto urbano continuo,65,7691.7,True,42.91,43.28,43.32,43.43,42.95,43.19,43.23,43.32,41.08,41.47,41.49,41.65,44.58,44.94,44.98,45.09,44.11,44.51,44.58,44.74,44.03,44.31,44.31,44.5,41.7,41.91,41.94,42.12,46.71,46.91,46.95,47.01
83048,Messina,,13,830480000013,1,Residenziale,1,Tessuto urbano continuo,120,10560.1,True,42.53,42.77,42.72,43.11,42.22,42.71,42.72,43.04,40.75,41.1,41.1,41.47,44.41,44.54,44.54,44.74,43.39,43.66,43.65,44.23,43.48,43.73,43.67,44.08,40.89,41.27,41.26,41.67,46.08,46.29,46.22,46.7
83048,Messina,,14,830480000014,1,Residenziale,1,Tessuto urbano continuo,66,6261.6,True,41.98,42.16,42.15,42.38,41.19,41.46,41.42,41.88,40.15,40.32,40.34,40.55,43.95,44.16,44.22,44.34,43.05,43.21,43.19,43.39,42.79,43.05,43.09,43.34,40.8,40.87,40.83,41.0,45.69,45.86,45.87,46.02
83048,Messina,,15,830480000015,8,Caserma,5,Edifici pubblici e servizi,9,8784.9,True,41.95,42.23,42.26,42.46,41.44,41.93,41.88,42.37,40.03,40.31,40.3,40.67,43.8,44.18,44.17,44.45,42.91,43.19,43.21,43.37,42.73,43.13,43.11,43.45,40.64,40.82,40.84,40.97,45.67,45.94,45.98,46.06
83048,Messina,,16,830480000016,1,Residenziale,1,Tessuto urbano continuo,69,5402.2,True,42.01,42.07,42.06,42.13,41.3,41.41,41.4,41.52,40.2,40.26,40.25,40.37,43.76,43.86,43.84,44.01,42.84,42.9,42.87,43.04,42.84,42.92,42.92,43.0,40.37,40.56,40.54,40.82,45.61,45.67,45.68,45.71
83048,Messina,,17,830480000017,1,Residenziale,1,Tessuto urbano continuo,52,4669.1,False,42.78,43.12,43.18,43.47,42.78,43.05,43.09,43.28,41.16,41.56,41.52,41.85,44.19,44.63,44.67,45.1,43.33,43.91,43.92,44.38,43.61,43.92,43.99,44.16,40.92,41.47,41.54,41.96,46.28,46.76,46.91,47.13
83048,Messina,,18,830480000018,1,Residenziale,1,Tessuto urbano continuo,129,6896.4,True,41.69,42.08,42.0,42.52,42.04,42.28,42.23,42.53,40.37,40.7,40.73,41.02,43.66,43.95,43.91,44.2,42.86,43.21,43.18,43.59,42.79,43.11,43.15,43.34,40.23,40.68,40.7,40.99,45.13,45.42,45.32,45.86
83048,Messina,,19,830480000019,1,Residenziale,1,Tessuto urbano continuo,102,5643.6,True,41.3,41.54,41.42,41.98,41.11,41.53,41.5,42.12,39.96,40.16,40.16,40.38,43.19,43.53,43.46,43.94,42.32,42.56,42.45,43.0,42.49,42.7,42.68,42.91,39.9,40.12,40.15,40.31,44.92,45.08,45.05,45.29
83048,Messina,,20,830480000020,1,Residenziale,1,Tessuto urbano continuo,91,6649.5,True,41.47,41.97,42.0,42.25,41.18,41.55,41.61,41.73,40.12,40.35,40.36,40.55,43.58,43.9,43.86,44.13,42.61,42.92,42.93,43.18,42.7,43.02,43.02,43.27,40.54,40.86,40.88,41.04,45.35,45.82,45.9,46.02
83048,Messina,,21,830480000021,1,Residenziale,1,Tessuto urbano continuo,52,4088.4,False,42.98,43.33,43.36,43.81,43.31,43.73,43.75,44.46,41.58,41.94,42.0,42.41,44.43,45.07,45.17,46.02,43.46,43.96,44.06,44.66,43.9,44.21,44.26,44.7,41.18,41.81,41.97,42.72,46.75,47.24,47.35,47.95
83048,Messina,,22,830480000022,1,Residenziale,1,Tessuto urbano continuo,443,19582.8,True,42.48,43.4,43.36,44.2,42.52,43.74,43.85,44.81,40.96,41.96,41.95,42.7,44.2,45.2,45.12,46.32,43.06,44.22,44.06,45.17,43.52,44.47,44.28,45.42,40.81,42.24,42.12,43.54,46.1,47.06,47.18,48.13
83048,Messina,,23,830480000023,1,Residenziale,1,Tessuto urbano continuo,55,4067.6,False,42.39,42.72,42.82,43.07,41.71,42.24,42.42,42.73,40.84,40.97,40.96,41.07,44.12,44.4,44.4,44.69,43.09,43.45,43.53,43.82,43.47,43.74,43.84,43.98,40.6,41.01,40.75,42.23,45.84,46.39,46.49,47.11
83048,Messina,,24,830480000024,6,Porto,3,Rete infrastrutturale,11,403401.1,True,28.5,38.12,38.92,42.37,29.11,37.38,37.76,41.57,29.17,36.54,37.02,40.16,30.34,37.81,38.36,41.55,30.96,38.28,38.76,42.54,30.18,38.24,38.74,43.06,28.64,36.76,37.08,41.12,30.7,39.76,40.34,44.43
83048,Messina,,25,830480000025,12,Attivita produttive,2,Superficie impervia pesante,0,8691.8,True,36.0,38.4,38.0,41.79,36.89,38.93,38.8,41.84,34.08,36.51,35.82,39.8,36.52,38.71,38.46,42.3,37.35,39.52,39.0,42.74,36.96,39.11,38.67,42.79,36.55,38.47,37.92,41.32,37.71,40.25,39.82,44.18
83048,Messina,,26,830480000026,12,Attivita produttive,2,Superficie impervia pesante,0,6357.8,True,38.21,40.02,40.05,41.67,38.19,40.1,40.12,41.46,35.61,37.64,37.53,39.47,38.34,40.29,40.22,42.19,38.87,40.6,40.48,42.32,38.83,40.64,40.47,42.53,38.05,39.55,39.5,40.98,39.84,41.87,41.64,43.96
83048,Messina,,27,830480000027,12,Attivita produttive,2,Superficie impervia pesante,16,5529.3,True,40.33,42.1,41.68,43.36,40.26,41.9,41.4,43.32,37.97,39.87,39.63,41.36,40.23,42.28,42.13,43.71,40.68,42.47,42.27,43.9,40.73,42.46,42.35,43.84,39.54,41.0,40.71,42.21,41.61,44.07,43.9,45.89
83048,Messina,,28,830480000028,56,Litoranea (no stabilimenti),10,Acqua e zone umide,3,12261.3,True,36.72,39.04,38.88,42.74,36.95,39.12,39.0,42.49,35.45,37.43,37.36,40.81,36.74,39.05,38.78,42.79,37.57,39.55,39.32,42.98,36.77,39.15,38.98,42.88,36.38,38.32,38.42,41.3,37.43,40.24,39.99,44.45
83048,Messina,,29,830480000029,12,Attivita produttive,2,Superficie impervia pesante,2,6965.6,True,38.7,40.88,40.97,43.31,38.15,40.38,40.41,43.01,37.33,39.22,39.08,41.27,38.83,41.14,41.28,43.59,39.29,41.49,41.13,44.2,39.2,41.24,41.25,43.72,38.18,40.26,40.09,42.7,40.07,42.77,42.97,45.72
83048,Messina,,30,830480000030,5,Area verde/parco urbano,7,Verde urbano,0,1211.8,False,42.61,42.61,42.61,42.61,42.33,42.33,42.33,42.33,40.45,40.45,40.45,40.45,43.76,43.76,43.76,43.76,43.21,43.21,43.21,43.21,43.54,43.54,43.54,43.54,40.96,40.96,40.96,40.96,46.04,46.04,46.04,46.04
83048,Messina,,31,830480000031,1,Residenziale,1,Tessuto urbano continuo,94,6511.5,True,42.24,42.44,42.42,42.61,41.83,42.14,42.16,42.26,40.44,40.52,40.51,40.62,43.71,43.83,43.81,43.95,43.04,43.16,43.15,43.24,43.49,43.7,43.7,43.79,40.98,41.21,41.21,41.34,45.84,46.06,46.08,46.12
