PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
63049,Napoli,,5100011,630495100011,1,Residenziale,1,Tessuto urbano continuo,17,14467.0,True,31.51,32.49,32.6,33.24,31.75,32.51,32.66,32.97,29.89,30.83,30.96,31.49,32.06,33.03,33.17,33.72,31.02,32.0,32.04,32.89,32.56,33.73,33.86,34.63,30.29,31.87,32.11,32.97,31.15,32.36,32.66,32.97
63049,Napoli,,5100021,630495100021,6,Porto,3,Rete infrastrutturale,42,31925.9,True,33.81,35.26,34.85,36.56,34.48,36.69,37.04,38.08,31.12,34.18,34.85,35.62,34.13,36.33,36.48,37.7,33.07,35.92,36.57,37.63,34.21,36.41,36.95,37.37,32.44,35.38,36.09,36.72,33.95,36.12,36.46,37.24
63049,Napoli,,5100031,630495100031,36,Strade principali,3,Rete infrastrutturale,0,543.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63049,Napoli,,5100041,630495100041,1,Residenziale,1,Tessuto urbano continuo,124,10951.5,True,39.26,39.73,39.67,40.23,41.83,42.1,42.09,42.53,39.18,39.79,39.87,40.4,42.21,42.46,42.44,42.93,40.13,40.61,40.66,41.31,40.99,41.49,41.55,41.77,40.92,41.3,41.37,41.48,41.87,42.25,42.33,42.52
63049,Napoli,,5100051,630495100051,1,Residenziale,1,Tessuto urbano continuo,219,10381.8,True,38.31,39.17,39.19,39.97,41.22,41.72,41.68,42.43,39.3,39.7,39.64,40.04,42.01,42.24,42.11,42.56,40.53,40.68,40.6,40.93,40.81,41.45,41.43,41.95,40.92,41.38,41.33,41.76,41.56,42.06,42.05,42.53
63049,Napoli,,5100061,630495100061,4,Piazza monumentale,5,Edifici pubblici e servizi,0,3149.4,False,38.55,39.07,39.16,39.4,41.08,41.54,41.64,41.79,38.93,39.31,39.4,39.53,41.83,42.14,42.22,42.29,40.29,40.44,40.48,40.53,40.67,41.27,41.41,41.59,40.56,41.17,41.32,41.48,41.43,41.87,41.97,42.12
63049,Napoli,,5100071,630495100071,1,Residenziale,1,Tessuto urbano continuo,152,7614.5,True,37.2,38.14,38.24,38.96,39.05,40.59,40.6,42.01,36.55,38.0,37.99,39.3,39.01,40.73,40.66,42.39,38.11,39.37,39.37,40.33,39.22,40.16,40.18,41.04,38.54,39.86,39.93,40.82,38.75,40.11,39.99,41.25
63049,Napoli,,5100081,630495100081,1,Residenziale,1,Tessuto urbano continuo,48,6363.7,True,39.43,40.03,40.06,40.55,40.1,41.39,41.55,42.3,37.49,38.86,38.91,39.89,40.37,41.93,42.32,42.97,39.69,40.62,40.58,41.15,39.93,40.75,40.79,41.35,39.51,40.39,40.48,41.02,39.7,40.83,40.85,41.65
63049,Napoli,,5100101,630495100101,1,Residenziale,1,Tessuto urbano continuo,127,4719.9,False,34.89,36.47,36.54,37.53,35.86,38.53,38.61,39.91,33.01,35.24,35.41,36.38,35.66,38.46,38.53,40.0,35.74,37.63,37.76,38.89,35.94,38.26,38.31,39.56,35.84,37.07,37.1,38.12,36.92,37.94,37.69,38.97
63049,Napoli,,5100111,630495100111,1,Residenziale,1,Tessuto urbano continuo,33,3911.1,False,37.3,38.22,38.33,38.92,39.17,40.24,40.14,41.34,36.32,37.33,37.37,38.11,39.2,40.52,40.51,41.62,38.57,39.4,39.4,40.11,39.01,39.92,39.89,40.73,38.36,38.97,38.86,39.75,38.05,39.14,39.13,40.16
63049,Napoli,,5100121,630495100121,1,Residenziale,1,Tessuto urbano continuo,140,4112.7,False,37.81,38.67,38.79,39.53,38.77,40.35,40.31,41.5,35.99,37.41,37.48,38.56,38.7,40.38,40.38,41.62,38.58,39.44,39.42,40.12,38.39,39.78,39.71,40.77,37.84,38.99,38.91,39.82,37.54,39.11,39.01,40.34
