PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
3106,Novara,,1,31060000001,1,Residenziale,1,Tessuto urbano continuo,128,9343.1,True,40.59,41.58,41.55,42.68,37.59,38.22,38.34,38.93,38.75,39.97,40.12,40.43,44.97,45.67,45.79,46.07,47.6,47.94,48.03,48.25,44.19,45.18,45.36,45.72,38.49,41.23,41.41,41.82,49.99,50.98,51.26,51.4
3106,Novara,,2,31060000002,1,Residenziale,1,Tessuto urbano continuo,64,6937.7,True,40.63,41.05,40.94,41.72,38.35,38.76,38.81,39.1,40.08,40.28,40.25,40.59,45.2,45.58,45.56,45.84,47.97,48.14,48.12,48.31,45.35,45.61,45.62,45.79,41.57,41.79,41.82,41.92,51.04,51.31,51.31,51.5
3106,Novara,,3,31060000003,1,Residenziale,1,Tessuto urbano continuo,43,4382.2,False,40.99,41.52,41.53,42.04,38.42,38.71,38.78,38.95,40.22,40.64,40.54,41.22,45.1,45.33,45.36,45.49,47.89,47.98,47.98,48.07,45.41,45.65,45.68,45.85,41.55,41.77,41.83,41.98,51.07,51.18,51.16,51.34
3106,Novara,,4,31060000004,1,Residenziale,1,Tessuto urbano continuo,65,6665.3,True,42.0,42.69,42.69,43.33,37.57,38.28,38.4,38.75,40.69,41.34,41.4,41.82,44.13,44.81,44.93,45.26,46.96,47.49,47.57,47.81,43.92,44.94,45.13,45.8,38.05,41.23,41.47,42.05,49.68,50.48,50.66,51.03
3106,Novara,,5,31060000005,1,Residenziale,1,Tessuto urbano continuo,199,15127.6,True,39.44,41.2,41.26,43.22,34.62,36.03,36.03,37.57,38.18,39.67,39.71,41.4,41.75,43.07,43.1,44.25,43.0,45.07,45.04,47.04,40.21,41.89,41.83,43.92,35.73,38.08,38.04,40.54,45.12,47.71,47.92,49.73
3106,Novara,,7,31060000007,1,Residenziale,1,Tessuto urbano continuo,90,8145.3,True,40.81,41.4,41.39,42.13,35.58,35.96,36.03,36.21,38.89,39.61,39.64,40.4,42.42,42.97,42.82,43.93,44.66,45.17,45.23,45.45,41.17,41.63,41.64,42.08,34.96,38.2,38.49,38.83,46.11,47.12,47.21,47.78
3106,Novara,,8,31060000008,1,Residenziale,1,Tessuto urbano continuo,91,10275.3,True,39.81,41.87,41.82,42.85,36.15,37.2,37.12,38.36,39.85,40.83,40.89,41.6,43.36,44.33,44.22,45.04,45.4,46.39,46.38,47.41,42.02,43.17,43.35,44.02,38.94,39.85,39.9,40.78,47.67,48.63,48.8,49.0
3106,Novara,,9,31060000009,1,Residenziale,1,Tessuto urbano continuo,11,4567.6,False,40.48,41.94,41.88,43.01,35.79,37.36,37.24,38.59,39.62,40.83,40.86,41.7,42.61,44.15,44.07,45.26,44.32,45.96,45.61,47.2,41.39,42.89,42.58,44.07,38.64,39.43,39.33,40.08,46.8,48.07,48.33,48.89
3106,Novara,,10,31060000010,5,Area verde/parco urbano,7,Verde urbano,0,38301.0,True,38.67,39.7,39.8,41.47,33.78,35.11,35.02,36.9,35.77,37.61,37.49,39.67,40.83,41.99,41.81,44.09,41.92,43.63,43.54,46.22,39.29,40.29,40.16,42.45,34.96,37.02,37.51,39.35,43.09,45.39,45.33,48.48
3106,Novara,,11,31060000011,1,Residenziale,1,Tessuto urbano continuo,14,4221.0,False,38.63,39.92,39.86,41.15,34.64,36.29,36.06,37.78,38.29,39.99,39.94,41.07,41.48,43.1,42.97,44.37,43.52,44.69,44.43,46.02,40.5,41.86,41.67,43.19,37.84,39.01,39.07,39.66,44.88,46.87,46.69,48.24
3106,Novara,,12,31060000012,1,Residenziale,1,Tessuto urbano continuo,7,4193.8,False,38.57,39.46,39.61,40.26,34.51,35.77,35.84,36.89,37.47,39.08,39.25,40.36,41.13,42.41,42.44,43.53,43.29,44.12,44.13,44.81,39.7,41.23,41.65,42.24,36.63,38.58,39.12,39.75,43.73,45.89,46.08,47.62
3106,Novara,,13,31060000013,1,Residenziale,1,Tessuto urbano continuo,5,3879.5,False,39.02,39.58,39.5,40.25,35.27,35.95,35.95,36.67,37.24,38.14,37.99,39.07,42.18,42.6,42.68,43.26,43.24,44.0,43.89,44.81,40.15,40.94,40.81,41.88,35.96,37.33,36.81,38.98,43.51,44.5,44.06,45.87
3106,Novara,,14,31060000014,1,Residenziale,1,Tessuto urbano continuo,19,5178.3,True,39.52,40.39,40.17,41.72,35.3,36.75,36.7,38.41,37.74,38.71,38.71,40.11,42.34,43.26,43.26,44.51,42.92,44.36,44.6,45.87,40.4,41.68,41.49,43.22,36.38,38.04,37.84,40.11,44.83,46.1,45.81,48.24
3106,Novara,,15,31060000015,1,Residenziale,1,Tessuto urbano continuo,25,5058.4,True,40.16,41.07,40.98,41.61,36.05,37.17,36.87,38.2,37.13,38.31,38.32,39.59,42.98,43.76,43.71,44.37,43.79,44.64,44.44,45.48,41.21,42.05,41.82,42.94,38.0,39.16,39.04,39.96,46.07,46.96,46.83,47.7
3106,Novara,,17,31060000017,1,Residenziale,1,Tessuto urbano continuo,64,11780.0,True,40.34,41.66,41.84,42.32,35.26,37.07,37.3,38.01,38.63,39.59,39.61,40.35,41.74,43.33,43.38,44.38,44.52,46.27,46.26,47.16,41.17,43.0,43.2,44.28,38.73,40.07,40.19,40.84,47.46,48.9,49.04,50.04
3106,Novara,,18,31060000018,2,Culto,5,Edifici pubblici e servizi,0,15097.6,True,40.8,41.36,41.4,41.93,36.87,37.56,37.59,38.09,39.19,39.54,39.55,40.11,43.5,44.25,44.29,44.74,46.47,47.06,46.98,47.64,42.96,44.02,43.94,44.95,39.63,40.42,40.43,41.19,48.57,49.91,49.91,50.76
3106,Novara,,19,31060000019,1,Residenziale,1,Tessuto urbano continuo,42,12335.4,True,40.38,41.01,40.98,41.72,36.91,37.57,37.58,38.3,37.77,38.68,38.67,39.64,44.1,44.6,44.54,45.47,46.73,47.32,47.28,47.94,43.52,44.38,44.2,45.32,40.15,40.79,40.71,41.68,49.61,50.27,50.25,50.97
3106,Novara,,20,31060000020,1,Residenziale,1,Tessuto urbano continuo,103,11297.1,True,40.56,41.68,41.75,42.81,37.46,37.81,37.72,38.37,36.62,38.13,38.19,39.37,44.92,45.36,45.37,45.8,47.72,47.9,47.86,48.13,44.56,44.96,44.94,45.47,38.5,40.86,40.89,41.58,50.34,50.78,50.67,51.25
3106,Novara,,21,31060000021,1,Residenziale,1,Tessuto urbano continuo,53,4900.3,False,41.89,41.99,41.97,42.14,37.1,37.24,37.28,37.38,35.77,37.14,37.35,38.24,44.58,44.7,44.71,44.86,47.29,47.52,47.55,47.73,44.12,44.26,44.25,44.45,40.32,40.51,40.51,40.63,49.82,49.99,49.97,50.17
3106,Novara,,22,31060000022,1,Residenziale,1,Tessuto urbano continuo,60,8255.2,True,41.34,41.9,42.03,42.11,37.15,37.29,37.26,37.47,36.08,37.97,38.47,38.78,43.84,44.49,44.63,44.84,46.5,47.03,47.07,47.43,43.04,43.73,43.85,44.2,39.6,40.19,40.28,40.42,49.21,49.57,49.63,49.8
3106,Novara,,23,31060000023,1,Residenziale,1,Tessuto urbano continuo,55,3223.5,False,41.82,41.86,41.87,41.89,36.88,36.93,36.92,36.98,39.03,39.29,39.26,39.59,44.05,44.19,44.17,44.37,46.23,46.46,46.46,46.68,43.08,43.31,43.27,43.64,39.82,40.03,40.04,40.23,48.97,49.18,49.19,49.35
3106,Novara,,24,31060000024,1,Residenziale,1,Tessuto urbano continuo,81,4368.7,False,39.98,40.97,41.04,41.63,35.93,36.67,36.7,37.15,38.33,38.8,38.79,39.12,42.28,43.18,43.24,43.84,44.78,45.62,45.56,46.5,40.44,41.94,42.08,43.04,37.71,38.71,38.76,39.6,47.02,48.38,48.45,49.21
3106,Novara,,25,31060000025,1,Residenziale,1,Tessuto urbano continuo,97,16145.2,True,40.63,41.62,41.79,42.29,36.25,37.0,37.16,37.37,37.76,39.4,39.49,40.27,42.81,43.9,44.12,44.59,45.34,46.19,46.29,46.96,41.21,42.64,42.83,43.63,38.21,39.66,39.91,40.61,46.58,48.56,48.73,49.93
3106,Novara,,26,31060000026,1,Residenziale,1,Tessuto urbano continuo,15,2584.8,False,39.96,39.98,39.98,40.0,35.89,35.93,35.93,35.97,37.16,37.85,37.95,38.33,42.05,42.13,42.11,42.25,44.54,44.57,44.54,44.64,40.28,40.3,40.29,40.33,37.45,37.5,37.5,37.55,46.2,46.52,46.54,46.79
3106,Novara,,27,31060000027,1,Residenziale,1,Tessuto urbano continuo,115,11198.8,True,38.98,39.86,39.82,40.84,33.71,34.92,34.89,35.81,36.6,37.57,37.52,38.56,40.81,41.66,41.85,42.46,42.53,43.97,43.92,45.15,39.13,40.14,40.01,41.65,36.36,38.49,38.49,39.58,45.17,46.11,46.02,47.5
3106,Novara,,28,31060000028,1,Residenziale,1,Tessuto urbano continuo,58,6883.5,True,41.17,41.71,41.81,42.3,36.74,37.48,37.52,38.26,37.94,39.16,39.15,40.02,43.39,44.52,44.65,45.42,46.02,46.89,47.11,47.48,42.23,43.37,43.52,44.57,36.51,39.61,40.04,40.72,48.47,49.7,49.77,50.83
3106,Novara,,29,31060000029,1,Residenziale,1,Tessuto urbano continuo,95,8901.0,True,42.1,42.97,42.94,43.75,37.55,38.9,38.95,39.91,39.65,40.37,40.34,40.73,44.81,45.88,46.12,46.3,46.62,47.51,47.64,48.18,43.48,44.68,44.73,45.51,37.43,39.42,38.61,41.9,49.49,50.92,51.08,51.64
3106,Novara,,30,31060000030,1,Residenziale,1,Tessuto urbano continuo,137,8250.7,True,40.37,41.93,41.94,43.42,35.9,37.75,37.83,39.55,37.69,38.74,38.55,40.12,42.19,43.99,43.97,45.79,44.41,45.76,45.8,47.31,40.46,42.65,42.85,44.82,35.81,38.6,38.91,41.17,46.32,48.71,48.87,50.99
3106,Novara,,31,31060000031,16,Impianto sportivo,6,Impianti sportivi,0,4732.8,False,41.4,41.78,41.86,42.34,37.2,37.98,38.15,38.9,36.55,37.19,37.11,37.94,43.37,43.82,43.84,44.44,44.74,45.5,45.65,46.39,41.71,42.55,42.78,43.45,36.84,39.37,39.68,40.01,48.12,48.8,48.92,49.62
