PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
28060,Padova,,1,280600000001,29,Municipio,5,Edifici pubblici e servizi,0,9705.2,True,40.06,40.33,40.39,40.59,45.08,45.38,45.36,45.67,37.54,37.83,37.83,38.09,47.78,48.05,48.08,48.56,38.61,39.05,39.0,39.53,43.91,44.38,44.35,44.82,39.09,41.15,41.53,41.96,51.06,51.42,51.43,51.68
28060,Padova,,2,280600000002,1,Residenziale,1,Tessuto urbano continuo,119,11127.9,True,39.7,40.2,40.3,40.53,44.81,45.36,45.43,45.6,37.64,37.91,37.93,38.14,48.16,48.71,48.77,49.04,37.46,38.44,38.57,39.43,44.15,44.39,44.41,44.59,36.51,36.77,36.8,37.06,50.9,51.62,51.72,52.08
28060,Padova,,3,280600000003,1,Residenziale,1,Tessuto urbano continuo,172,12273.1,True,39.47,40.18,40.3,41.04,44.18,45.02,45.16,45.67,37.38,37.84,37.85,38.43,47.48,48.34,48.48,49.06,38.26,39.66,39.37,41.75,43.58,43.94,43.93,44.27,36.29,37.08,36.66,39.07,50.43,51.33,51.43,52.19
28060,Padova,,4,280600000004,1,Residenziale,1,Tessuto urbano continuo,109,10892.8,True,40.83,41.27,41.34,41.72,45.55,46.07,45.99,46.66,38.03,38.39,38.41,38.76,47.43,48.64,48.86,49.26,40.34,41.19,41.21,42.05,43.5,44.2,44.26,44.75,36.8,40.3,41.61,42.12,51.54,52.01,52.06,52.57
28060,Padova,,5,280600000005,1,Residenziale,1,Tessuto urbano continuo,42,6558.8,True,39.86,40.2,40.27,40.43,44.68,44.88,44.8,45.12,37.07,37.2,37.18,37.36,44.39,45.22,45.25,45.84,38.23,38.39,38.38,38.62,42.59,42.82,42.75,43.08,40.6,40.96,41.06,41.21,50.57,50.67,50.65,50.86
28060,Padova,,6,280600000006,1,Residenziale,1,Tessuto urbano continuo,33,2752.4,False,40.39,40.61,40.6,40.89,45.26,45.44,45.45,45.7,37.42,37.5,37.52,37.63,46.3,47.0,46.83,47.73,38.81,39.18,39.14,39.59,42.97,43.21,43.27,43.44,38.6,40.6,40.97,41.26,50.91,51.03,51.01,51.18
28060,Padova,,7,280600000007,1,Residenziale,1,Tessuto urbano continuo,47,6311.3,True,40.53,40.82,40.79,41.19,45.31,45.55,45.55,45.87,37.48,37.73,37.72,37.88,47.09,48.02,48.1,48.49,38.94,39.32,39.15,39.9,43.4,43.84,43.86,44.08,38.98,41.41,41.63,41.9,51.06,51.33,51.34,51.44
28060,Padova,,8,280600000008,1,Residenziale,1,Tessuto urbano continuo,11,1566.2,False,40.39,40.49,40.49,40.6,45.11,45.23,45.23,45.34,37.24,37.33,37.33,37.42,46.18,46.5,46.5,46.82,38.63,38.72,38.72,38.81,43.14,43.2,43.2,43.27,41.19,41.22,41.22,41.26,50.79,50.89,50.89,50.99
28060,Padova,,9,280600000009,12,Attivita produttive,2,Superficie impervia pesante,2,4540.6,False,40.24,40.33,40.33,40.42,44.71,44.92,44.94,45.08,37.07,37.19,37.2,37.25,44.39,44.98,44.86,45.62,38.32,38.53,38.5,38.74,42.41,42.92,43.01,43.16,41.18,41.2,41.2,41.22,50.59,50.68,50.7,50.72
28060,Padova,,10,280600000010,1,Residenziale,1,Tessuto urbano continuo,23,3885.1,False,40.06,40.21,40.22,40.4,44.81,44.91,44.89,45.02,35.51,36.93,37.17,37.23,44.35,44.56,44.53,45.04,38.4,38.54,38.48,38.79,42.24,42.69,42.69,43.0,40.78,40.96,41.01,41.1,50.3,50.52,50.58,50.68
