PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
18110,Pavia,,1,181100000001,1,Residenziale,1,Tessuto urbano continuo,31,2918.0,False,40.65,41.47,41.08,42.47,38.83,39.53,39.29,40.35,41.96,42.65,42.69,43.33,41.85,42.46,42.15,43.23,44.47,45.19,44.99,46.01,41.13,41.82,41.73,42.56,39.54,40.04,39.92,40.59,44.34,45.05,44.85,45.86
18110,Pavia,,2,181100000002,1,Residenziale,1,Tessuto urbano continuo,84,3885.5,False,41.3,41.85,41.88,42.44,39.33,39.98,39.89,40.67,42.38,42.89,42.84,43.38,42.32,42.61,42.76,42.86,45.02,45.46,45.41,45.94,41.52,42.06,42.06,42.64,39.72,40.11,40.27,40.38,45.44,45.94,45.75,46.54
18110,Pavia,,3,181100000003,1,Residenziale,1,Tessuto urbano continuo,164,8898.3,True,41.02,41.87,41.96,42.45,38.72,40.17,40.34,40.97,41.88,43.19,43.45,43.81,42.15,42.52,42.49,42.91,45.01,45.69,45.82,46.26,41.01,42.24,42.42,42.8,39.1,39.9,39.94,40.33,45.65,46.51,46.59,47.18
18110,Pavia,,4,181100000004,1,Residenziale,1,Tessuto urbano continuo,107,6681.0,True,42.23,42.88,42.87,43.42,40.79,41.27,41.31,41.62,43.62,43.91,43.92,44.21,42.74,43.22,43.23,43.69,46.21,46.52,46.54,46.81,42.83,43.26,43.22,43.85,40.08,40.52,40.49,40.87,46.66,47.26,47.31,47.71
18110,Pavia,,5,181100000005,1,Residenziale,1,Tessuto urbano continuo,176,6208.0,True,42.83,43.33,43.44,43.63,40.78,41.46,41.59,41.74,43.81,44.21,44.23,44.55,43.47,43.72,43.73,43.91,46.47,47.15,46.97,47.74,42.83,43.44,43.49,43.95,40.77,40.91,40.92,40.99,46.35,47.43,47.53,48.21
18110,Pavia,,6,181100000006,5,Area verde/parco urbano,7,Verde urbano,7,49989.7,True,35.18,39.05,39.12,42.16,33.93,37.35,37.54,40.06,36.21,40.09,40.37,43.08,37.73,41.03,41.36,43.57,39.55,43.18,43.23,46.17,35.51,38.69,38.85,41.02,33.61,37.06,36.95,39.94,38.69,43.06,43.06,45.52
18110,Pavia,,7,181100000007,1,Residenziale,1,Tessuto urbano continuo,101,3739.4,False,41.02,41.57,41.63,42.1,38.72,39.52,39.69,40.43,41.88,42.84,43.02,43.73,42.15,42.43,42.4,42.69,45.01,45.48,45.51,45.82,40.87,41.72,41.97,42.48,39.03,39.54,39.71,39.9,45.6,46.08,46.21,46.58
18110,Pavia,,8,181100000008,1,Residenziale,1,Tessuto urbano continuo,63,3730.5,False,41.89,42.26,42.29,42.56,39.81,40.33,40.29,40.85,43.31,43.65,43.61,43.97,42.65,43.08,43.18,43.41,45.77,46.01,46.05,46.21,41.96,42.28,42.26,42.6,39.8,40.05,40.06,40.24,46.03,46.36,46.36,46.63
18110,Pavia,,9,181100000009,1,Residenziale,1,Tessuto urbano continuo,35,2989.6,False,41.83,42.17,42.2,42.46,40.57,40.85,40.87,41.08,43.5,43.76,43.77,44.0,42.37,42.76,42.81,43.05,45.23,45.69,45.8,45.91,42.31,42.63,42.71,42.79,39.61,39.93,39.98,40.13,46.62,46.89,46.88,47.18
18110,Pavia,,10,181100000010,37,Scuole/istituti,5,Edifici pubblici e servizi,19,9883.9,True,42.9,43.26,43.22,43.85,40.84,41.57,41.72,42.08,43.65,44.14,44.35,44.8,43.56,43.77,43.8,43.94,46.42,46.54,46.58,46.71,42.08,42.65,42.89,43.38,40.56,40.95,40.99,41.38,45.85,46.56,46.79,47.4
18110,Pavia,,11,181100000011,5,Area verde/parco urbano,7,Verde urbano,0,55501.6,True,33.97,37.71,37.74,40.7,31.64,34.26,34.36,36.97,36.49,40.25,40.31,43.12,37.24,41.23,41.56,43.13,38.56,42.14,42.35,45.28,33.64,36.45,36.44,39.9,33.07,36.65,36.64,39.04,37.87,42.67,42.81,45.81
18110,Pavia,,12,181100000012,1,Residenziale,1,Tessuto urbano continuo,284,17246.8,True,42.31,42.82,42.72,43.78,40.78,41.26,41.3,42.0,43.96,44.58,44.6,45.01,42.4,43.06,43.03,43.73,45.7,46.22,46.34,46.68,42.64,43.11,42.98,43.82,39.5,40.54,40.61,41.37,46.22,46.83,46.82,47.55
18110,Pavia,,13,181100000013,1,Residenziale,1,Tessuto urbano continuo,139,8420.6,True,41.49,42.18,42.21,42.65,40.22,41.04,41.18,41.43,43.44,44.06,43.98,44.6,42.18,43.01,42.9,43.56,45.05,45.72,45.66,46.16,42.1,42.62,42.54,43.15,39.58,40.28,40.12,41.37,46.2,46.67,46.66,47.06
18110,Pavia,,14,181100000014,1,Residenziale,1,Tessuto urbano continuo,84,9587.4,True,41.21,41.91,41.83,42.58,39.87,40.66,40.7,41.29,43.47,43.97,43.88,44.55,42.09,42.88,42.96,43.56,45.06,45.68,45.66,46.16,42.07,42.49,42.32,43.09,39.5,40.04,40.02,40.91,45.92,46.37,46.19,47.14
18110,Pavia,,15,181100000015,1,Residenziale,1,Tessuto urbano continuo,94,5693.5,True,41.36,41.53,41.52,41.7,38.66,40.04,40.12,40.56,43.54,43.65,43.66,43.76,42.12,42.48,42.47,42.85,45.42,45.62,45.65,45.82,42.18,42.29,42.24,42.48,39.4,39.57,39.64,39.77,45.9,46.15,46.08,46.58
18110,Pavia,,16,181100000016,1,Residenziale,1,Tessuto urbano continuo,104,5173.5,True,41.76,41.91,41.87,42.24,40.51,40.67,40.65,40.96,43.8,44.01,44.01,44.3,42.83,42.96,42.9,43.31,45.49,45.81,45.77,46.5,42.6,42.79,42.78,43.14,40.15,40.27,40.2,40.54,46.84,47.0,46.96,47.37
