PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
33032,Piacenza,,1,330320000001,29,Municipio,5,Edifici pubblici e servizi,0,1377.0,False,42.45,42.62,42.61,42.81,41.55,41.7,41.68,41.87,41.26,41.91,41.91,42.56,44.46,44.65,44.56,44.93,45.19,45.4,45.4,45.61,45.18,45.47,45.59,45.63,41.2,41.41,41.38,41.63,49.14,49.28,49.35,49.35
33032,Piacenza,,2,330320000002,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,6065.2,True,42.21,42.68,42.81,43.02,41.21,41.71,41.87,42.04,41.42,42.54,42.81,43.1,44.08,44.74,44.93,45.0,44.65,45.3,45.52,45.61,44.78,45.29,45.46,45.59,40.88,41.35,41.57,41.63,48.71,49.1,49.25,49.35
33032,Piacenza,,3,330320000003,1,Residenziale,1,Tessuto urbano continuo,24,2119.1,False,42.87,42.97,42.87,43.18,41.91,41.98,41.91,42.13,41.98,42.18,41.98,42.58,44.9,44.93,44.9,45.01,45.79,45.82,45.79,45.88,45.79,45.82,45.79,45.87,41.74,41.82,41.74,41.97,49.48,49.49,49.48,49.53
33032,Piacenza,,4,330320000004,1,Residenziale,1,Tessuto urbano continuo,15,2582.4,False,43.19,43.33,43.35,43.43,42.17,42.27,42.28,42.33,42.93,43.07,43.09,43.15,44.99,45.02,45.03,45.04,45.66,45.75,45.77,45.8,45.65,45.74,45.76,45.78,41.81,41.83,41.82,41.88,49.5,49.58,49.59,49.62
33032,Piacenza,,5,330320000005,1,Residenziale,1,Tessuto urbano continuo,72,3979.3,False,43.45,43.54,43.52,43.61,42.35,42.45,42.44,42.54,43.35,43.45,43.4,43.59,45.09,45.15,45.12,45.23,45.72,45.81,45.81,45.86,45.67,45.77,45.79,45.82,41.66,41.73,41.72,41.76,49.53,49.68,49.7,49.73
33032,Piacenza,,6,330320000006,1,Residenziale,1,Tessuto urbano continuo,44,5550.9,True,43.13,43.56,43.66,43.9,42.01,42.39,42.41,42.67,43.29,43.6,43.64,43.85,44.85,45.16,45.19,45.52,45.56,45.75,45.73,45.98,45.47,45.64,45.63,45.85,41.2,41.47,41.5,41.71,49.17,49.44,49.41,49.78
33032,Piacenza,,7,330320000007,1,Residenziale,1,Tessuto urbano continuo,47,6140.7,True,42.47,43.01,43.03,43.48,41.52,41.88,41.89,42.23,42.69,43.03,43.03,43.36,44.43,44.67,44.74,44.85,44.98,45.69,45.44,46.43,45.17,45.38,45.32,45.62,40.89,41.05,41.01,41.25,48.76,49.11,49.11,49.51
33032,Piacenza,,8,330320000008,1,Residenziale,1,Tessuto urbano continuo,85,6435.6,True,42.26,42.52,42.51,43.01,40.97,41.28,41.25,41.74,42.17,42.49,42.5,42.78,44.13,44.25,44.27,44.47,44.57,45.6,45.98,46.28,45.13,45.29,45.19,45.74,40.95,41.03,41.01,41.31,48.36,48.6,48.53,49.26
33032,Piacenza,,9,330320000009,4,Piazza monumentale,5,Edifici pubblici e servizi,3,3378.6,False,42.11,42.38,42.38,42.84,40.91,41.28,41.29,41.79,41.74,42.33,42.39,43.03,44.05,44.4,44.47,44.74,45.71,46.02,46.01,46.43,44.67,44.92,44.94,45.27,40.89,40.94,40.92,41.04,48.35,48.65,48.65,49.02
33032,Piacenza,,10,330320000010,1,Residenziale,1,Tessuto urbano continuo,0,2310.5,False,42.1,42.18,42.21,42.24,40.95,41.12,41.21,41.26,40.82,41.39,41.42,41.92,43.8,44.0,44.01,44.27,44.35,44.57,44.65,44.69,44.73,44.83,44.78,45.01,40.88,41.04,41.02,41.22,48.52,48.76,48.71,49.0
