PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
88009,Ragusa,,1,880090000001,1,Residenziale,1,Tessuto urbano continuo,12,28119.6,True,38.37,39.2,39.1,40.54,38.94,39.88,39.56,42.54,35.31,37.28,37.03,40.24,40.03,41.31,40.99,44.2,38.99,40.05,39.58,43.14,39.1,40.53,39.96,43.77,36.39,37.78,37.32,40.77,38.76,40.14,39.64,43.62
88009,Ragusa,,2,880090000002,1,Residenziale,1,Tessuto urbano continuo,4,4347.4,False,40.16,40.69,40.74,40.95,40.91,41.73,41.94,42.18,39.61,40.33,40.33,41.09,42.0,43.51,43.84,44.24,41.02,42.02,42.19,42.45,42.42,43.44,43.64,43.87,38.94,40.12,40.4,40.59,40.62,41.99,42.15,42.81
88009,Ragusa,,3,880090000003,1,Residenziale,1,Tessuto urbano continuo,24,1594.9,False,40.49,40.59,40.53,40.75,41.65,41.98,42.11,42.18,39.97,40.15,40.1,40.36,43.79,44.03,44.06,44.24,42.42,42.5,42.45,42.63,43.34,43.59,43.56,43.87,40.25,40.42,40.41,40.59,42.29,42.68,42.81,42.95
88009,Ragusa,,4,880090000004,1,Residenziale,1,Tessuto urbano continuo,18,2433.8,False,40.38,40.56,40.61,40.63,42.37,42.57,42.63,42.66,38.91,39.88,40.13,40.37,44.27,44.58,44.63,44.79,43.38,43.71,43.73,44.02,43.07,43.82,43.94,44.32,41.13,41.33,41.31,41.59,43.9,44.19,44.23,44.39
88009,Ragusa,,5,880090000005,1,Residenziale,1,Tessuto urbano continuo,26,2953.8,False,39.67,40.13,40.11,40.64,41.65,41.93,41.94,42.19,38.57,39.71,39.96,40.33,43.36,43.94,44.01,44.37,42.81,43.02,43.06,43.15,42.78,43.34,43.27,44.02,40.32,40.54,40.53,40.78,43.11,43.17,43.17,43.22
88009,Ragusa,,6,880090000006,1,Residenziale,1,Tessuto urbano continuo,32,5468.6,True,39.67,40.66,40.73,41.0,41.65,42.62,42.71,42.88,38.57,39.01,39.0,39.24,43.36,44.66,44.84,44.92,43.05,44.0,44.07,44.25,42.78,43.58,43.56,44.18,40.34,41.52,41.65,41.83,43.11,44.55,44.65,44.98
88009,Ragusa,,7,880090000007,1,Residenziale,1,Tessuto urbano continuo,15,4841.9,False,39.2,39.52,39.31,40.47,40.53,41.17,41.07,41.82,38.18,39.34,38.35,42.29,41.95,42.69,42.46,43.83,41.32,41.98,42.02,42.42,41.85,42.49,42.31,43.47,39.35,39.8,39.67,40.41,41.6,42.14,42.24,42.42
88009,Ragusa,,8,880090000008,1,Residenziale,1,Tessuto urbano continuo,7,2679.9,False,38.72,38.94,38.93,39.2,39.36,39.93,39.92,40.53,36.76,37.33,37.2,38.18,40.93,41.38,41.32,41.95,40.2,40.79,40.82,41.32,40.72,41.24,41.19,41.85,38.16,38.63,38.51,39.35,40.54,41.1,41.13,41.6
88009,Ragusa,,9,880090000009,1,Residenziale,1,Tessuto urbano continuo,20,1688.5,False,38.29,38.91,39.05,39.39,39.45,40.2,40.17,40.98,36.61,37.31,37.29,38.03,40.6,41.45,41.5,42.26,40.22,40.97,40.93,41.75,40.98,41.52,41.45,42.14,38.16,38.82,38.79,39.51,40.13,41.29,41.48,42.26
88009,Ragusa,,10,880090000010,1,Residenziale,1,Tessuto urbano continuo,21,3112.4,False,38.95,39.66,39.5,40.7,40.34,41.34,41.25,42.52,37.32,38.09,38.01,39.04,41.7,42.92,42.71,44.55,41.2,42.35,42.13,43.96,41.77,42.5,42.35,43.55,38.97,40.02,39.87,41.36,41.31,42.69,42.55,44.36
88009,Ragusa,,11,880090000011,1,Residenziale,1,Tessuto urbano continuo,27,3884.3,False,40.25,40.58,40.56,40.89,41.77,42.19,42.18,42.53,38.53,38.69,38.72,38.86,43.46,43.98,44.08,44.47,43.25,43.71,43.63,44.1,43.23,43.54,43.52,43.79,40.54,41.02,41.03,41.52,43.24,44.07,44.04,44.75
88009,Ragusa,,12,880090000012,1,Residenziale,1,Tessuto urbano continuo,18,3967.8,False,41.33,41.47,41.39,41.76,42.77,43.02,43.05,43.22,38.86,38.9,38.89,38.98,44.7,44.91,44.95,45.05,44.34,44.39,44.37,44.48,43.78,43.87,43.86,43.97,41.83,41.99,41.96,42.21,45.23,45.38,45.3,45.67
88009,Ragusa,,13,880090000013,1,Residenziale,1,Tessuto urbano continuo,12,7152.5,True,39.37,40.14,40.07,40.95,40.72,41.69,41.79,42.68,37.35,38.03,37.98,38.8,41.75,43.15,43.33,44.4,41.78,43.0,43.03,44.21,41.61,42.27,42.11,43.49,39.24,40.53,40.67,41.63,41.88,43.48,43.75,45.02
