PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
29041,Rovigo,,1,290410000001,1,Residenziale,1,Tessuto urbano continuo,79,15688.3,True,39.12,39.89,39.89,40.39,41.86,43.77,44.31,44.86,40.35,41.35,41.48,42.15,42.68,43.42,43.48,43.93,41.16,41.9,42.0,42.61,41.24,42.43,42.57,43.45,41.25,42.67,43.0,43.49,47.33,49.22,48.99,51.31
29041,Rovigo,,2,290410000002,1,Residenziale,1,Tessuto urbano continuo,67,8553.5,True,39.28,39.89,39.95,40.3,41.85,42.78,42.34,43.93,40.45,40.78,40.71,41.16,42.74,43.06,43.09,43.48,41.11,41.4,41.36,41.73,41.45,41.85,41.76,42.4,41.61,42.32,42.42,42.89,47.67,49.39,49.53,50.53
29041,Rovigo,,3,290410000003,1,Residenziale,1,Tessuto urbano continuo,189,19391.5,True,39.64,39.88,39.84,40.3,41.21,42.03,41.54,44.9,39.71,40.49,40.19,42.17,41.77,42.54,42.4,43.88,40.37,41.13,41.03,42.54,40.55,41.53,41.23,43.38,40.65,41.44,41.1,43.4,46.7,48.04,47.98,51.16
29041,Rovigo,,4,290410000004,1,Residenziale,1,Tessuto urbano continuo,295,37621.7,True,37.23,39.21,39.26,40.6,40.65,43.13,43.29,44.59,39.24,40.73,40.74,41.9,41.28,42.42,42.41,43.63,38.16,39.98,39.93,42.2,40.29,42.08,42.09,43.3,40.84,42.38,42.37,44.26,47.3,49.04,48.91,50.94
29041,Rovigo,,5,290410000005,1,Residenziale,1,Tessuto urbano continuo,106,16517.9,True,37.33,37.8,37.67,39.72,41.11,42.85,42.93,43.24,39.44,39.77,39.73,40.21,41.8,41.92,41.91,42.07,38.39,38.73,38.77,39.08,41.2,41.53,41.6,41.75,41.0,41.7,41.52,42.75,48.4,48.79,48.81,49.08
29041,Rovigo,,6,290410000006,1,Residenziale,1,Tessuto urbano continuo,136,12733.6,True,37.21,37.5,37.52,37.78,40.91,42.52,42.5,43.0,39.44,39.49,39.47,39.61,41.19,41.59,41.64,41.89,38.01,38.24,38.26,38.48,40.66,41.22,41.16,41.69,41.07,41.76,41.88,42.22,46.38,48.14,48.35,48.63
29041,Rovigo,,7,290410000007,1,Residenziale,1,Tessuto urbano continuo,190,28404.9,True,37.39,38.96,39.09,39.89,41.56,43.09,43.31,44.56,39.77,40.84,40.93,41.55,41.95,42.92,43.04,43.42,38.38,40.25,40.26,41.93,41.13,42.16,42.15,43.14,41.21,42.31,42.32,43.21,46.71,48.45,48.04,50.51
29041,Rovigo,,8,290410000008,1,Residenziale,1,Tessuto urbano continuo,65,8637.4,True,40.14,40.43,40.42,40.79,44.21,44.61,44.68,44.86,41.64,41.94,41.96,42.15,43.26,43.66,43.71,43.93,41.63,42.26,42.39,42.61,42.88,43.32,43.3,43.56,43.0,43.62,43.32,44.56,48.52,49.97,49.93,51.2
29041,Rovigo,,9,290410000009,5,Area verde/parco urbano,7,Verde urbano,0,2475.2,False,38.94,38.96,38.94,39.01,41.56,42.85,43.36,43.63,40.53,40.61,40.61,40.68,42.22,42.27,42.28,42.31,40.14,40.43,40.4,40.76,41.75,42.51,42.78,43.0,41.21,41.53,41.52,41.85,47.44,47.63,47.64,47.8
29041,Rovigo,,10,290410000010,1,Residenziale,1,Tessuto urbano continuo,34,6436.4,True,39.1,39.36,39.24,39.86,44.16,44.44,44.43,44.65,40.85,41.09,41.04,41.39,42.2,42.43,42.34,42.96,41.4,41.67,41.65,42.03,42.32,42.58,42.57,42.86,42.26,43.0,42.81,44.14,48.73,49.95,50.34,50.6
