PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
112050,Sassari,Sardegna,1,900640000001,29,Municipio,5,Edifici pubblici e servizi,0,1943.3,False,42.24,42.27,42.27,42.3,42.29,42.32,42.32,42.35,40.63,40.65,40.65,40.66,44.91,44.98,44.98,45.05,43.45,43.91,43.91,44.37,43.87,43.89,43.89,43.9,41.04,41.09,41.09,41.15,48.19,48.27,48.27,48.34
112050,Sassari,Sardegna,2,900640000002,2,Culto,5,Edifici pubblici e servizi,0,963.3,False,42.76,42.76,42.76,42.76,42.58,42.58,42.58,42.58,40.51,40.51,40.51,40.51,45.32,45.32,45.32,45.32,44.75,44.75,44.75,44.75,44.42,44.42,44.42,44.42,41.17,41.17,41.17,41.17,48.44,48.44,48.44,48.44
112050,Sassari,Sardegna,3,900640000003,1,Residenziale,1,Tessuto urbano continuo,82,2344.2,False,42.83,42.86,42.84,42.92,42.68,42.73,42.69,42.82,40.61,40.69,40.65,40.8,45.34,45.4,45.38,45.47,44.9,45.01,44.99,45.13,44.46,44.58,44.59,44.69,41.32,41.45,41.44,41.59,48.55,48.58,48.58,48.6
112050,Sassari,Sardegna,4,900640000004,1,Residenziale,1,Tessuto urbano continuo,48,701.4,False,42.58,42.58,42.58,42.58,42.27,42.27,42.27,42.27,40.8,40.8,40.8,40.8,45.27,45.27,45.27,45.27,44.54,44.54,44.54,44.54,44.03,44.03,44.03,44.03,41.1,41.1,41.1,41.1,48.19,48.19,48.19,48.19
112050,Sassari,Sardegna,5,900640000005,1,Residenziale,1,Tessuto urbano continuo,16,1152.1,False,42.72,42.72,42.72,42.73,42.2,42.24,42.24,42.29,40.6,40.68,40.68,40.76,45.56,45.64,45.64,45.72,44.6,44.61,44.61,44.62,43.98,44.03,44.03,44.07,41.24,41.32,41.32,41.4,48.16,48.21,48.21,48.26
112050,Sassari,Sardegna,6,900640000006,1,Residenziale,1,Tessuto urbano continuo,36,1216.6,False,42.44,42.44,42.44,42.44,41.88,41.88,41.88,41.88,40.23,40.23,40.23,40.23,45.08,45.08,45.08,45.08,44.34,44.34,44.34,44.34,43.57,43.57,43.57,43.57,40.74,40.74,40.74,40.74,47.77,47.77,47.77,47.77
112050,Sassari,Sardegna,7,900640000007,1,Residenziale,1,Tessuto urbano continuo,47,2942.9,False,42.58,42.61,42.61,42.65,42.3,42.34,42.34,42.37,40.79,40.81,40.81,40.82,45.45,45.65,45.65,45.86,43.79,44.14,44.14,44.48,44.04,44.13,44.13,44.21,41.2,41.27,41.27,41.34,48.26,48.35,48.35,48.44
112050,Sassari,Sardegna,8,900640000008,1,Residenziale,1,Tessuto urbano continuo,41,1610.6,False,42.73,42.75,42.75,42.76,42.22,42.28,42.28,42.35,40.66,40.73,40.73,40.81,45.66,45.75,45.75,45.83,44.62,44.63,44.63,44.64,44.14,44.17,44.17,44.2,41.3,41.39,41.39,41.48,48.24,48.32,48.32,48.41
112050,Sassari,Sardegna,9,900640000009,1,Residenziale,1,Tessuto urbano continuo,46,1311.2,False,42.37,42.64,42.76,42.81,41.81,42.2,42.32,42.45,40.22,40.6,40.74,40.84,45.18,45.63,45.78,45.93,43.18,43.78,43.98,44.18,43.68,44.13,44.29,44.42,40.73,41.26,41.42,41.61,47.76,48.21,48.35,48.52
112050,Sassari,Sardegna,10,900640000010,1,Residenziale,1,Tessuto urbano continuo,72,2233.9,False,42.5,42.65,42.72,42.72,42.4,42.46,42.48,42.48,40.81,40.82,40.81,40.84,45.93,45.99,45.93,46.1,42.93,43.07,42.93,43.33,44.14,44.32,44.4,44.4,41.17,41.42,41.54,41.54,48.48,48.54,48.56,48.56
112050,Sassari,Sardegna,11,900640000011,1,Residenziale,1,Tessuto urbano continuo,87,2943.8,False,41.94,42.27,42.31,42.61,42.13,42.24,42.19,42.53,40.22,40.41,40.35,40.79,45.23,45.5,45.49,45.87,42.25,42.52,42.56,42.78,43.81,44.01,44.03,44.22,40.82,41.12,41.22,41.37,48.01,48.2,48.13,48.59
112050,Sassari,Sardegna,12,900640000012,1,Residenziale,1,Tessuto urbano continuo,60,2378.2,False,41.62,41.9,41.94,42.14,41.92,42.04,42.03,42.17,40.09,40.17,40.17,40.25,44.99,45.15,45.17,45.3,42.2,42.42,42.45,42.62,43.84,43.93,43.92,44.03,40.6,40.88,40.89,41.15,47.89,47.98,47.98,48.08
112050,Sassari,Sardegna,13,900640000013,1,Residenziale,1,Tessuto urbano continuo,25,1309.9,False,42.14,42.14,42.14,42.14,42.17,42.17,42.17,42.17,40.25,40.25,40.25,40.25,45.3,45.3,45.3,45.3,42.62,42.62,42.62,42.62,44.03,44.03,44.03,44.03,41.15,41.15,41.15,41.15,48.08,48.08,48.08,48.08
112050,Sassari,Sardegna,14,900640000014,1,Residenziale,1,Tessuto urbano continuo,56,1659.0,False,41.4,41.56,41.42,41.86,41.59,41.81,41.91,41.94,39.85,40.01,40.06,40.13,44.59,44.81,44.9,44.94,42.05,42.24,42.19,42.46,43.66,43.86,43.92,43.99,40.6,40.7,40.6,40.91,47.66,47.84,47.93,47.95
112050,Sassari,Sardegna,15,900640000015,1,Residenziale,1,Tessuto urbano continuo,118,5704.8,True,41.84,42.05,42.08,42.4,42.18,42.27,42.24,42.47,40.25,40.38,40.38,40.65,44.7,44.88,44.82,45.63,42.44,43.49,43.75,44.42,43.31,43.6,43.61,44.0,41.14,41.19,41.19,41.28,47.98,48.14,48.1,48.46
112050,Sassari,Sardegna,16,900640000016,1,Residenziale,1,Tessuto urbano continuo,87,14536.2,True,40.09,41.31,41.42,41.92,40.53,41.83,41.92,42.21,38.85,39.97,40.08,40.33,43.54,44.65,44.7,45.12,40.32,42.99,43.4,44.64,42.26,43.68,43.77,44.02,39.65,40.83,40.91,41.33,46.54,47.91,48.0,48.2
112050,Sassari,Sardegna,17,900640000017,1,Residenziale,1,Tessuto urbano continuo,66,4212.5,False,41.74,42.05,42.1,42.15,42.03,42.34,42.41,42.52,39.85,40.1,40.17,40.27,45.57,45.74,45.67,46.11,44.42,44.67,44.75,44.75,43.81,43.98,44.03,44.03,41.35,41.58,41.64,41.67,48.14,48.4,48.46,48.53
112050,Sassari,Sardegna,19,900640000019,1,Residenziale,1,Tessuto urbano continuo,103,3387.9,False,41.72,41.96,42.04,42.06,41.92,42.14,42.17,42.29,39.88,40.1,40.13,40.24,45.52,45.68,45.61,45.98,44.4,44.74,44.68,45.19,43.87,44.04,44.05,44.18,41.22,41.43,41.48,41.54,48.07,48.25,48.27,48.37
112050,Sassari,Sardegna,20,900640000020,1,Residenziale,1,Tessuto urbano continuo,128,4895.2,False,41.84,41.97,41.97,42.06,41.94,42.14,42.12,42.38,40.03,40.13,40.11,40.28,45.27,45.56,45.46,46.0,44.37,44.54,44.54,44.68,43.82,43.93,43.93,44.02,40.9,41.26,41.3,41.54,47.97,48.17,48.15,48.43
112050,Sassari,Sardegna,21,900640000021,1,Residenziale,1,Tessuto urbano continuo,28,871.5,False,41.66,41.66,41.66,41.66,42.01,42.01,42.01,42.01,39.98,39.98,39.98,39.98,45.0,45.0,45.0,45.0,44.31,44.31,44.31,44.31,43.6,43.6,43.6,43.6,40.87,40.87,40.87,40.87,47.9,47.9,47.9,47.9
112050,Sassari,Sardegna,22,900640000022,1,Residenziale,1,Tessuto urbano continuo,42,1803.8,False,42.03,42.09,42.05,42.18,42.09,42.12,42.09,42.17,40.09,40.11,40.11,40.12,45.4,45.45,45.46,45.49,44.48,44.51,44.49,44.55,43.96,44.01,44.02,44.04,41.15,41.2,41.17,41.29,47.88,47.93,47.93,47.99
112050,Sassari,Sardegna,23,900640000023,1,Residenziale,1,Tessuto urbano continuo,86,1768.1,False,42.21,42.41,42.46,42.56,42.24,42.39,42.45,42.48,40.34,40.39,40.36,40.48,45.49,45.52,45.51,45.56,44.78,44.91,44.83,45.11,44.2,44.26,44.28,44.29,41.47,41.52,41.5,41.58,48.01,48.08,48.11,48.12
112050,Sassari,Sardegna,24,900640000024,1,Residenziale,1,Tessuto urbano continuo,46,1984.6,False,42.76,42.9,42.9,43.04,42.73,42.81,42.81,42.9,40.64,40.73,40.73,40.82,45.51,45.61,45.61,45.71,45.34,45.41,45.41,45.48,44.54,44.71,44.71,44.87,41.75,41.82,41.82,41.88,48.3,48.41,48.41,48.51
112050,Sassari,Sardegna,25,900640000025,1,Residenziale,1,Tessuto urbano continuo,48,1228.7,False,42.67,42.97,42.99,43.26,42.67,42.84,42.84,43.01,40.66,40.82,40.83,40.95,45.15,45.46,45.48,45.74,45.22,45.42,45.41,45.63,44.46,44.8,44.86,45.07,41.62,41.77,41.76,41.94,48.33,48.5,48.54,48.63
112050,Sassari,Sardegna,26,900640000026,1,Residenziale,1,Tessuto urbano continuo,77,3802.0,False,42.49,42.66,42.65,42.83,42.59,42.7,42.74,42.78,40.6,40.67,40.63,40.76,45.09,45.28,45.32,45.44,44.99,45.14,45.19,45.27,44.18,44.4,44.35,44.64,41.45,41.51,41.47,41.59,48.29,48.4,48.4,48.5
112050,Sassari,Sardegna,27,900640000027,1,Residenziale,1,Tessuto urbano continuo,65,4906.9,False,41.99,42.14,42.15,42.36,42.21,42.28,42.27,42.38,40.34,40.41,40.41,40.5,44.77,44.82,44.82,44.9,44.61,44.86,44.86,45.09,43.63,43.82,43.77,44.13,41.24,41.32,41.31,41.46,48.03,48.07,48.08,48.13
112050,Sassari,Sardegna,29,900640000029,2,Culto,5,Edifici pubblici e servizi,10,4267.8,False,42.03,42.11,42.09,42.29,42.22,42.29,42.23,42.51,40.29,40.37,40.37,40.49,44.74,44.82,44.78,45.05,44.13,44.4,44.21,44.81,43.4,43.59,43.62,43.87,41.07,41.16,41.14,41.3,47.99,48.05,48.02,48.21
112050,Sassari,Sardegna,30,900640000030,1,Residenziale,1,Tessuto urbano continuo,98,3281.8,False,42.21,42.3,42.31,42.4,42.35,42.48,42.5,42.56,40.32,40.36,40.36,40.4,44.83,44.93,44.96,44.96,44.23,44.47,44.5,44.65,43.75,43.96,43.99,44.12,41.12,41.22,41.25,41.29,48.07,48.16,48.17,48.23
112050,Sassari,Sardegna,31,900640000031,1,Residenziale,1,Tessuto urbano continuo,55,2697.0,False,42.43,42.6,42.64,42.67,42.46,42.61,42.6,42.76,40.33,40.54,40.45,40.91,44.94,45.1,45.13,45.19,44.71,44.91,44.91,45.08,44.1,44.29,44.31,44.42,41.21,41.35,41.34,41.51,48.25,48.35,48.37,48.42
112050,Sassari,Sardegna,32,900640000032,1,Residenziale,1,Tessuto urbano continuo,125,5267.4,True,41.63,42.04,42.04,42.36,41.28,41.52,41.53,41.76,39.4,39.71,39.71,40.09,44.37,44.67,44.71,44.94,43.51,43.85,43.84,44.19,42.72,43.02,43.03,43.38,40.06,40.35,40.35,40.58,46.75,47.2,47.22,47.63
112050,Sassari,Sardegna,33,900640000033,1,Residenziale,1,Tessuto urbano continuo,47,3983.4,False,42.41,42.5,42.47,42.61,41.84,42.01,42.06,42.19,40.25,40.45,40.49,40.63,44.96,45.07,45.05,45.23,44.14,44.22,44.21,44.32,43.45,43.64,43.67,43.8,40.72,40.81,40.83,40.91,47.69,47.79,47.81,47.9
112050,Sassari,Sardegna,34,900640000034,1,Residenziale,1,Tessuto urbano continuo,93,7854.4,True,42.61,43.13,43.14,43.55,42.19,42.84,42.94,43.17,40.62,40.9,40.83,41.21,45.23,45.66,45.6,46.06,44.2,44.57,44.53,45.08,43.8,44.51,44.61,45.01,40.91,41.37,41.41,41.6,47.9,48.49,48.6,48.91
112050,Sassari,Sardegna,35,900640000035,1,Residenziale,1,Tessuto urbano continuo,71,4112.0,False,42.51,42.72,42.74,42.93,42.0,42.28,42.3,42.6,40.42,40.71,40.78,41.0,45.13,45.42,45.5,45.62,44.39,44.62,44.69,44.74,43.67,43.96,44.03,44.26,40.8,41.13,41.22,41.33,47.84,48.14,48.23,48.34
112050,Sassari,Sardegna,36,900640000036,1,Residenziale,1,Tessuto urbano continuo,229,10321.3,True,42.99,43.19,43.2,43.5,42.93,43.04,43.05,43.13,40.51,40.64,40.64,40.83,45.36,45.71,45.79,46.02,44.88,45.05,45.05,45.31,44.33,44.46,44.46,44.71,41.76,41.89,41.89,42.02,48.38,48.5,48.48,48.7
112050,Sassari,Sardegna,37,900640000037,2,Culto,5,Edifici pubblici e servizi,0,4425.1,False,43.24,43.33,43.32,43.4,43.03,43.07,43.08,43.11,40.51,40.67,40.64,40.84,45.41,45.6,45.52,46.03,44.88,45.03,44.92,45.67,44.35,44.46,44.44,44.63,41.86,41.9,41.9,41.97,48.39,48.52,48.51,48.68
112050,Sassari,Sardegna,38,900640000038,1,Residenziale,1,Tessuto urbano continuo,17,2224.2,False,43.23,43.3,43.32,43.35,42.89,42.9,42.91,42.91,40.83,40.85,40.86,40.87,45.41,45.82,45.96,45.96,45.64,45.68,45.67,45.71,44.73,44.75,44.74,44.78,41.71,41.77,41.77,41.82,48.69,48.76,48.77,48.81
112050,Sassari,Sardegna,39,900640000039,1,Residenziale,1,Tessuto urbano continuo,78,3868.2,False,43.11,43.37,43.35,43.78,42.71,42.92,42.91,43.24,40.46,40.74,40.8,41.07,45.56,45.97,45.96,46.3,44.79,45.13,45.09,45.71,44.41,44.72,44.75,45.17,41.67,41.9,41.82,42.19,48.39,48.69,48.7,49.14
112050,Sassari,Sardegna,40,900640000040,1,Residenziale,1,Tessuto urbano continuo,13,404.1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112050,Sassari,Sardegna,41,900640000041,1,Residenziale,1,Tessuto urbano continuo,133,3141.3,False,43.5,43.8,43.81,44.07,43.06,43.29,43.31,43.47,40.83,41.02,41.06,41.08,46.02,46.33,46.39,46.55,44.98,45.25,45.24,45.5,44.6,45.01,45.07,45.22,42.0,42.2,42.19,42.37,48.7,49.08,49.14,49.34
112050,Sassari,Sardegna,42,900640000042,1,Residenziale,1,Tessuto urbano continuo,28,758.1,False,42.38,42.59,42.59,42.8,42.35,42.5,42.5,42.65,40.22,40.37,40.37,40.53,45.54,45.65,45.65,45.75,44.53,44.88,44.88,45.23,44.17,44.35,44.35,44.54,41.22,41.42,41.42,41.61,47.93,48.07,48.07,48.2
112050,Sassari,Sardegna,43,900640000043,1,Residenziale,1,Tessuto urbano continuo,43,1349.8,False,42.56,42.56,42.56,42.56,42.49,42.49,42.49,42.49,40.41,40.41,40.41,40.41,45.61,45.61,45.61,45.61,45.13,45.13,45.13,45.13,44.36,44.36,44.36,44.36,41.3,41.3,41.3,41.3,48.07,48.07,48.07,48.07
112050,Sassari,Sardegna,44,900640000044,1,Residenziale,1,Tessuto urbano continuo,20,498.4,False,42.97,42.97,42.97,42.97,42.75,42.75,42.75,42.75,40.7,40.7,40.7,40.7,45.5,45.5,45.5,45.5,45.37,45.37,45.37,45.37,44.77,44.77,44.77,44.77,41.65,41.65,41.65,41.65,48.35,48.35,48.35,48.35
112050,Sassari,Sardegna,45,900640000045,1,Residenziale,1,Tessuto urbano continuo,43,1801.2,False,42.18,42.23,42.23,42.28,42.17,42.22,42.22,42.28,40.12,40.16,40.16,40.2,45.45,45.47,45.47,45.49,44.49,44.54,44.54,44.59,44.04,44.07,44.07,44.11,41.15,41.26,41.26,41.37,47.88,47.88,47.88,47.89
112050,Sassari,Sardegna,46,900640000046,1,Residenziale,1,Tessuto urbano continuo,84,2202.4,False,41.85,42.06,41.94,42.38,41.9,42.07,41.96,42.35,39.96,40.06,40.01,40.22,44.93,45.19,45.11,45.54,44.34,44.41,44.36,44.53,43.92,44.03,44.01,44.17,40.81,40.96,40.84,41.22,47.59,47.75,47.73,47.93
112050,Sassari,Sardegna,47,900640000047,1,Residenziale,1,Tessuto urbano continuo,69,4036.8,False,40.71,41.42,41.22,42.56,40.88,41.54,41.38,42.49,38.66,39.38,39.23,40.41,43.26,44.1,43.76,45.61,43.13,43.98,43.93,45.13,42.46,43.34,43.3,44.36,39.9,40.46,40.37,41.3,45.62,46.67,46.52,48.07
112050,Sassari,Sardegna,48,900640000048,1,Residenziale,1,Tessuto urbano continuo,49,1990.7,False,40.69,40.9,40.78,41.22,40.88,41.04,40.91,41.33,38.75,38.98,39.0,39.18,43.32,43.49,43.55,43.59,43.0,43.27,43.04,43.78,42.53,42.86,42.81,43.25,40.02,40.21,40.2,40.39,45.66,45.94,45.82,46.35
112050,Sassari,Sardegna,49,900640000049,1,Residenziale,1,Tessuto urbano continuo,86,3893.4,False,40.99,41.41,41.39,41.95,41.34,41.77,41.66,42.45,39.05,39.61,39.6,40.26,43.76,44.55,44.42,45.91,43.59,44.08,44.1,44.66,42.75,43.31,43.35,43.85,40.06,40.55,40.49,41.31,46.14,47.17,47.16,48.38
112050,Sassari,Sardegna,50,900640000050,2,Culto,5,Edifici pubblici e servizi,64,6860.2,True,42.48,42.83,42.86,43.05,42.51,42.81,42.9,42.96,40.44,40.6,40.63,40.72,45.14,45.53,45.59,45.8,44.62,45.06,45.07,45.55,44.17,44.37,44.38,44.56,41.35,41.61,41.66,41.82,48.3,48.45,48.46,48.62
112050,Sassari,Sardegna,51,900640000051,1,Residenziale,1,Tessuto urbano continuo,17,1658.8,False,43.06,43.25,43.33,43.37,42.8,42.98,43.07,43.09,40.77,40.85,40.84,40.95,45.53,45.81,45.79,46.11,45.47,45.61,45.66,45.71,44.81,44.9,44.83,45.06,41.6,41.85,41.92,42.02,48.42,48.55,48.59,48.63
112050,Sassari,Sardegna,52,900640000052,1,Residenziale,1,Tessuto urbano continuo,76,2384.7,False,42.79,43.04,43.11,43.15,42.57,42.77,42.83,42.86,40.69,40.78,40.8,40.82,45.49,45.53,45.51,45.6,45.41,45.51,45.53,45.58,44.76,44.79,44.79,44.83,41.39,41.57,41.62,41.64,48.26,48.45,48.49,48.56
112050,Sassari,Sardegna,53,900640000053,1,Residenziale,1,Tessuto urbano continuo,46,1520.6,False,42.11,42.4,42.4,42.68,42.08,42.32,42.32,42.55,40.07,40.34,40.34,40.61,44.7,45.16,45.16,45.62,44.44,44.85,44.85,45.27,44.15,44.39,44.39,44.62,40.96,41.16,41.16,41.35,47.5,47.84,47.84,48.18
112050,Sassari,Sardegna,54,900640000054,1,Residenziale,1,Tessuto urbano continuo,89,4777.9,False,41.31,41.8,41.77,42.35,41.37,41.77,41.75,42.2,39.31,39.75,39.71,40.1,43.72,44.6,44.65,45.3,43.47,44.0,43.94,44.59,43.34,43.68,43.54,44.18,40.43,40.89,40.96,41.17,46.35,46.91,46.8,47.54
112050,Sassari,Sardegna,55,900640000055,1,Residenziale,1,Tessuto urbano continuo,46,1884.8,False,42.44,42.91,43.04,43.23,42.23,42.6,42.68,42.89,39.99,40.49,40.63,40.85,45.33,45.65,45.41,46.22,44.54,45.02,44.89,45.64,43.98,44.45,44.65,44.73,41.24,41.52,41.61,41.71,47.56,48.22,48.42,48.69
