PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
89017,Siracusa,,1,890170000001,1,Residenziale,1,Tessuto urbano continuo,271,44596.9,True,31.87,34.46,34.52,37.13,32.53,35.51,35.5,38.49,30.4,32.85,32.79,34.94,32.69,35.29,35.28,38.0,31.96,35.17,35.12,38.03,33.81,36.57,36.76,39.24,31.81,33.99,33.95,36.87,33.1,36.04,35.91,39.22
89017,Siracusa,,2,890170000002,1,Residenziale,1,Tessuto urbano continuo,125,17220.1,True,36.79,38.34,38.43,39.17,38.17,39.51,39.64,40.21,34.54,35.97,36.15,36.62,37.45,38.93,38.99,39.73,37.49,39.11,39.2,39.69,39.06,40.28,40.4,40.91,36.17,37.64,37.79,38.18,39.35,40.67,40.7,41.5
89017,Siracusa,,3,890170000003,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,31,14765.7,True,38.36,38.85,38.82,39.25,39.51,39.95,40.01,40.21,36.33,36.61,36.6,36.79,38.82,39.5,39.56,39.98,39.1,39.49,39.51,39.7,39.67,40.59,40.78,41.05,37.6,38.0,38.0,38.32,40.12,40.9,40.99,41.28
89017,Siracusa,,4,890170000004,1,Residenziale,1,Tessuto urbano continuo,68,6945.6,True,39.16,39.23,39.22,39.29,40.26,40.3,40.3,40.34,36.18,36.43,36.39,36.73,39.81,39.92,39.9,40.06,39.83,40.0,40.02,40.13,41.0,41.2,41.23,41.32,38.33,38.46,38.42,38.6,41.45,41.53,41.54,41.59
89017,Siracusa,,5,890170000005,1,Residenziale,1,Tessuto urbano continuo,72,5725.7,True,37.03,38.21,38.41,38.87,38.36,39.3,39.38,39.92,34.31,35.19,35.34,35.63,38.09,38.92,39.01,39.44,38.09,38.77,38.8,39.35,39.25,39.98,40.05,40.51,36.65,37.3,37.34,37.72,39.36,40.37,40.48,41.0
89017,Siracusa,,6,890170000006,1,Residenziale,1,Tessuto urbano continuo,81,7761.6,True,36.36,37.71,37.93,38.47,37.59,38.66,38.78,39.53,33.52,34.45,34.56,35.16,37.3,38.68,38.85,39.83,36.61,38.13,38.28,39.06,37.94,39.28,39.46,40.12,35.67,36.84,37.01,37.58,38.31,39.53,39.69,40.55
89017,Siracusa,,7,890170000007,1,Residenziale,1,Tessuto urbano continuo,190,14821.3,True,39.08,39.16,39.16,39.22,40.15,40.3,40.29,40.43,36.14,36.44,36.39,36.78,39.85,40.08,40.08,40.38,39.7,40.03,40.09,40.19,41.12,41.28,41.29,41.39,38.52,38.69,38.7,38.84,41.49,41.64,41.64,41.74
89017,Siracusa,,8,890170000008,1,Residenziale,1,Tessuto urbano continuo,155,15988.4,True,38.79,39.09,39.13,39.25,39.99,40.11,40.1,40.24,36.69,36.98,36.97,37.24,39.55,39.85,39.79,40.23,39.59,39.82,39.82,40.0,40.4,40.76,40.81,40.94,38.13,38.35,38.35,38.52,41.12,41.38,41.43,41.66
89017,Siracusa,,9,890170000009,1,Residenziale,1,Tessuto urbano continuo,70,12540.6,True,37.9,38.55,38.43,39.31,38.88,39.61,39.72,40.18,35.87,36.43,36.49,37.15,38.94,39.34,39.24,40.09,38.37,39.42,39.6,39.85,37.46,38.27,38.13,39.48,37.59,38.03,38.0,38.41,39.96,40.48,40.49,41.12
89017,Siracusa,,10,890170000010,1,Residenziale,1,Tessuto urbano continuo,83,5360.3,True,39.13,39.17,39.16,39.26,40.13,40.22,40.16,40.35,36.59,36.63,36.63,36.67,39.42,39.53,39.49,39.64,39.64,39.81,39.84,39.95,40.61,40.72,40.64,40.91,38.38,38.42,38.41,38.48,41.31,41.4,41.36,41.53
