PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
14061,Sondrio,,1,140610000001,4,Piazza monumentale,5,Edifici pubblici e servizi,0,2484.0,False,39.74,39.89,39.82,40.18,40.98,41.15,41.15,41.32,38.93,38.99,38.94,39.15,41.33,41.69,41.72,42.01,43.63,43.91,43.89,44.23,41.79,42.0,41.96,42.31,37.55,37.83,37.9,37.99,44.96,45.08,45.12,45.13
14061,Sondrio,,2,140610000002,1,Residenziale,1,Tessuto urbano continuo,16,6015.1,True,38.21,39.37,39.5,40.16,39.02,40.2,40.36,41.09,36.96,38.11,38.21,38.98,40.15,41.19,41.36,41.92,42.64,43.6,43.61,44.16,40.57,41.48,41.57,42.18,36.31,37.13,37.26,37.71,43.19,44.14,44.27,44.81
14061,Sondrio,,3,140610000003,1,Residenziale,1,Tessuto urbano continuo,52,6322.3,True,39.06,39.88,40.14,40.34,40.19,40.8,40.92,41.09,37.65,38.55,38.79,39.0,40.92,41.6,41.75,42.02,43.58,44.07,44.05,44.4,40.96,41.49,41.56,41.71,36.96,37.52,37.64,37.9,44.15,44.63,44.72,44.96
14061,Sondrio,,4,140610000004,1,Residenziale,1,Tessuto urbano continuo,5,1794.3,False,35.9,36.35,36.35,36.8,37.3,37.59,37.59,37.88,35.51,35.89,35.89,36.28,39.87,40.06,40.06,40.26,40.65,40.97,40.97,41.28,37.97,38.4,38.4,38.82,34.28,34.57,34.57,34.86,41.27,41.47,41.47,41.68
14061,Sondrio,,5,140610000005,1,Residenziale,1,Tessuto urbano continuo,53,4234.0,False,38.89,39.23,39.19,39.48,39.92,40.49,40.36,40.91,38.11,38.4,38.34,38.67,41.0,41.37,41.35,41.63,42.94,43.29,43.2,43.61,40.5,40.95,40.81,41.31,36.59,36.92,36.72,37.33,43.49,44.1,43.88,44.64
14061,Sondrio,,6,140610000006,1,Residenziale,1,Tessuto urbano continuo,28,5798.9,True,39.12,39.62,39.64,39.77,40.35,40.87,40.95,41.01,38.15,38.77,38.78,39.0,40.85,41.04,41.04,41.33,42.99,43.42,43.49,43.63,40.96,41.57,41.63,41.79,36.54,37.26,37.31,37.6,44.06,44.79,44.83,45.11
14061,Sondrio,,7,140610000007,1,Residenziale,1,Tessuto urbano continuo,27,3994.5,False,39.57,40.15,40.21,40.39,40.5,40.95,41.03,41.15,38.68,39.29,39.37,39.6,41.6,41.66,41.67,41.71,43.72,44.07,44.1,44.18,41.64,41.85,41.88,42.04,37.16,37.25,37.28,37.32,44.71,44.8,44.79,44.87
14061,Sondrio,,8,140610000008,1,Residenziale,1,Tessuto urbano continuo,7,1121.0,False,39.34,39.34,39.34,39.34,40.28,40.28,40.28,40.28,38.23,38.23,38.23,38.23,41.29,41.29,41.29,41.29,43.61,43.61,43.61,43.61,41.59,41.59,41.59,41.59,37.2,37.2,37.2,37.2,44.39,44.39,44.39,44.39
14061,Sondrio,,9,140610000009,1,Residenziale,1,Tessuto urbano continuo,19,4924.2,False,37.59,38.23,37.93,39.38,38.6,39.38,39.17,40.37,36.7,37.29,36.99,38.43,40.09,40.6,40.34,41.45,42.44,42.87,42.62,43.68,40.3,40.82,40.69,41.62,36.21,36.53,36.36,37.17,43.09,43.66,43.45,44.59
14061,Sondrio,,10,140610000010,1,Residenziale,1,Tessuto urbano continuo,102,11787.6,True,38.58,38.99,39.06,39.3,38.6,39.37,39.61,39.84,37.38,37.75,37.82,37.94,39.65,40.16,40.19,40.44,42.43,42.97,42.99,43.29,40.42,40.78,40.81,40.97,35.63,36.12,36.19,36.35,43.36,43.59,43.62,43.82
14061,Sondrio,,11,140610000011,1,Residenziale,1,Tessuto urbano continuo,200,26181.3,True,38.1,39.49,39.55,40.49,37.08,39.08,39.13,40.52,36.73,37.9,37.92,38.77,38.99,40.34,40.38,41.44,42.41,43.42,43.46,44.32,39.57,40.89,40.96,41.88,35.33,36.36,36.44,37.06,42.28,43.69,43.88,44.6
14061,Sondrio,,12,140610000012,1,Residenziale,1,Tessuto urbano continuo,292,32025.6,True,37.52,39.42,39.63,40.3,38.06,39.24,39.08,40.96,36.75,38.27,38.39,38.85,40.43,41.43,41.49,42.21,41.58,43.41,43.58,44.25,39.33,41.2,41.37,41.87,34.86,36.6,36.78,37.73,42.13,44.04,44.21,44.96
14061,Sondrio,,13,140610000013,1,Residenziale,1,Tessuto urbano continuo,43,3440.6,False,36.99,37.69,37.52,38.5,37.19,38.35,38.23,39.33,36.34,37.02,36.91,37.79,40.47,40.72,40.76,41.04,41.07,41.83,41.77,42.58,39.08,39.51,39.54,40.0,34.97,35.7,35.76,36.41,41.94,42.35,42.3,43.01
14061,Sondrio,,14,140610000014,1,Residenziale,1,Tessuto urbano continuo,0,3514.6,False,36.3,37.22,37.26,38.25,38.02,38.73,38.79,39.69,35.51,36.43,36.53,37.42,39.83,40.61,40.73,41.2,40.63,41.48,41.58,42.39,39.0,39.66,39.78,40.35,34.61,35.5,35.66,36.0,41.63,42.42,42.52,43.18
14061,Sondrio,,15,140610000015,1,Residenziale,1,Tessuto urbano continuo,12,7610.6,True,38.18,38.79,38.59,39.79,39.21,39.95,39.81,40.82,37.29,37.99,37.82,39.03,39.83,40.17,40.01,40.91,42.19,42.74,42.66,43.46,40.07,40.67,40.48,41.55,35.23,35.93,35.75,36.99,43.16,43.63,43.4,44.56
14061,Sondrio,,16,140610000016,1,Residenziale,1,Tessuto urbano continuo,0,8784.3,True,37.01,38.12,37.93,39.52,38.83,39.45,39.28,40.65,36.04,36.95,36.66,38.48,39.3,39.83,39.67,40.69,41.49,42.1,41.99,43.19,39.85,40.33,40.19,41.39,34.93,35.48,35.3,36.78,42.63,43.23,43.03,44.47
14061,Sondrio,,17,140610000017,1,Residenziale,1,Tessuto urbano continuo,21,4116.0,False,39.93,40.08,40.1,40.19,40.61,41.01,41.1,41.21,38.73,39.09,39.13,39.38,41.51,41.68,41.7,41.75,43.88,44.04,44.06,44.1,41.79,42.04,42.08,42.16,37.31,37.45,37.45,37.68,44.54,44.75,44.77,44.98
14061,Sondrio,,18,140610000018,1,Residenziale,1,Tessuto urbano continuo,50,6697.6,True,39.48,39.99,40.08,40.34,40.74,41.06,41.14,41.23,38.72,39.22,39.29,39.59,40.91,41.31,41.34,41.58,43.46,43.86,43.92,44.08,41.41,41.66,41.61,41.92,36.5,37.06,37.15,37.31,44.54,44.71,44.72,44.84
14061,Sondrio,,19,140610000019,1,Residenziale,1,Tessuto urbano continuo,112,6048.1,True,39.82,40.18,40.22,40.48,40.72,41.11,41.18,41.24,38.87,39.22,39.23,39.64,41.35,41.61,41.63,41.79,43.72,43.93,43.93,44.14,41.54,41.74,41.78,41.83,37.07,37.2,37.2,37.3,44.71,44.86,44.9,44.95
