PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
1272,Torino,,1,12720000001,1,Residenziale,1,Tessuto urbano continuo,221,7471.9,True,40.94,41.54,41.47,42.12,37.25,37.99,37.92,38.56,39.96,44.33,44.72,45.19,45.5,46.21,46.22,46.83,43.95,44.58,44.65,45.16,41.54,42.16,42.09,42.82,44.76,45.35,45.54,45.88,48.91,49.26,49.31,49.59
1272,Torino,,2,12720000002,1,Residenziale,1,Tessuto urbano continuo,461,13349.3,True,41.55,42.0,42.04,42.3,38.08,39.15,39.1,39.87,36.37,39.17,40.36,41.15,45.91,46.94,46.95,47.45,44.38,45.44,45.4,45.96,42.13,42.95,43.08,43.42,45.11,46.02,45.98,46.61,49.1,49.93,50.07,50.3
1272,Torino,,3,12720000003,55,Centro commerciale/fiera,2,Superficie impervia pesante,0,12680.3,True,41.7,42.38,42.38,43.55,38.72,39.33,39.35,40.25,36.73,38.05,38.05,39.96,46.5,47.17,47.21,47.92,44.86,45.42,45.47,46.25,42.28,42.96,43.04,43.96,45.53,46.07,46.14,46.93,48.69,49.26,49.28,50.12
1272,Torino,,4,12720000004,1,Residenziale,1,Tessuto urbano continuo,48,5628.3,True,39.15,40.44,40.46,41.47,37.05,37.95,37.97,38.66,38.87,39.4,39.48,40.01,46.48,46.84,46.84,47.46,42.72,43.89,43.94,44.98,39.85,41.42,41.68,42.57,45.36,45.71,45.72,46.1,47.19,48.31,48.45,49.03
1272,Torino,,5,12720000005,5,Area verde/parco urbano,7,Verde urbano,1,8503.0,True,38.61,38.99,38.82,39.8,36.06,36.66,36.63,37.42,38.19,39.04,39.16,39.56,46.4,46.72,46.74,47.0,41.21,42.11,41.95,43.49,38.81,39.42,39.15,40.76,44.56,45.19,45.35,45.46,46.34,46.85,46.84,47.5
1272,Torino,,6,12720000006,2,Culto,5,Edifici pubblici e servizi,7,5856.5,True,41.7,42.1,42.16,42.3,38.44,38.97,38.96,39.33,45.04,45.29,45.37,45.41,46.13,46.52,46.53,46.7,44.34,44.79,44.83,45.06,42.18,42.67,42.69,42.95,45.28,45.92,46.02,46.14,49.27,49.43,49.46,49.51
1272,Torino,,7,12720000007,1,Residenziale,1,Tessuto urbano continuo,67,3930.8,False,41.94,42.16,42.17,42.34,39.01,39.21,39.23,39.39,36.26,40.92,40.98,45.45,46.89,46.97,46.99,47.03,45.12,45.22,45.21,45.29,42.72,42.87,42.87,43.08,45.98,46.03,46.04,46.06,49.6,49.66,49.66,49.71
1272,Torino,,8,12720000008,1,Residenziale,1,Tessuto urbano continuo,233,8223.9,True,41.46,41.84,41.77,42.22,38.57,39.02,38.9,39.65,35.55,36.93,37.01,38.0,46.79,47.03,47.03,47.39,45.0,45.27,45.22,45.62,42.26,42.62,42.61,43.05,45.54,45.85,45.75,46.23,48.9,49.31,49.26,49.87
1272,Torino,,9,12720000009,1,Residenziale,1,Tessuto urbano continuo,156,11064.8,True,41.14,41.57,41.6,41.77,38.34,38.72,38.75,38.94,37.81,38.71,38.72,39.39,46.31,46.63,46.67,46.94,44.28,44.78,44.84,45.1,41.99,42.28,42.27,42.59,45.36,45.53,45.49,45.72,48.7,48.81,48.81,49.0
1272,Torino,,10,12720000010,5,Area verde/parco urbano,7,Verde urbano,0,7747.3,True,38.47,39.3,39.14,40.66,36.19,36.53,36.31,37.59,38.65,38.94,38.84,39.41,45.76,46.08,46.0,46.47,41.56,42.6,42.42,44.02,39.5,40.22,40.11,41.41,44.75,45.18,45.22,45.61,46.4,47.19,46.83,48.56
