PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
30129,Udine,,1,301290000001,1,Residenziale,1,Tessuto urbano continuo,7,4469.7,False,37.44,37.84,37.75,38.46,41.96,42.33,42.27,42.86,38.49,38.97,39.0,39.49,45.14,45.51,45.64,45.73,40.12,40.52,40.53,40.89,43.68,44.06,44.08,44.46,41.42,42.0,42.14,42.48,49.37,49.6,49.48,50.08
30129,Udine,,2,301290000002,1,Residenziale,1,Tessuto urbano continuo,30,3670.1,False,37.38,37.81,37.78,38.55,41.69,42.3,42.33,42.88,38.64,39.09,39.07,39.72,45.18,45.51,45.47,45.89,39.95,40.4,40.33,40.84,43.4,43.87,43.8,44.33,41.45,42.06,42.05,42.68,49.3,49.7,49.73,50.23
30129,Udine,,3,301290000003,1,Residenziale,1,Tessuto urbano continuo,65,2863.4,False,37.56,37.67,37.7,37.82,41.92,42.15,42.23,42.4,38.87,39.03,39.04,39.2,45.16,45.42,45.51,45.51,39.96,40.17,40.18,40.37,43.3,43.59,43.64,43.79,41.62,41.92,41.97,42.19,49.57,49.68,49.68,49.82
30129,Udine,,4,301290000004,1,Residenziale,1,Tessuto urbano continuo,9,2653.7,False,37.46,37.58,37.59,37.66,41.57,41.93,41.99,42.15,38.99,39.05,39.04,39.15,45.1,45.26,45.31,45.33,39.86,40.04,40.07,40.13,43.46,43.53,43.53,43.59,41.64,41.82,41.83,42.0,49.39,49.59,49.62,49.72
30129,Udine,,5,301290000005,1,Residenziale,1,Tessuto urbano continuo,32,2848.3,False,37.76,37.94,37.87,38.34,41.75,41.95,41.97,42.19,38.98,39.15,39.14,39.4,45.09,45.19,45.15,45.41,39.97,40.1,40.06,40.4,43.42,43.53,43.5,43.75,41.78,41.92,41.83,42.25,49.44,49.74,49.75,50.06
30129,Udine,,6,301290000006,1,Residenziale,1,Tessuto urbano continuo,26,2771.8,False,37.52,38.09,38.2,38.43,41.48,41.9,41.95,42.21,38.84,39.08,39.12,39.25,44.91,45.1,45.09,45.31,39.91,40.14,40.19,40.27,43.03,43.49,43.54,43.84,41.43,41.88,41.96,42.16,49.45,49.59,49.58,49.77
30129,Udine,,7,301290000007,1,Residenziale,1,Tessuto urbano continuo,49,8384.8,True,36.6,37.18,37.18,37.88,40.22,41.08,41.18,41.75,38.01,38.55,38.53,39.17,44.07,44.71,44.73,45.18,38.85,39.51,39.58,40.06,42.15,42.83,42.97,43.42,39.75,40.94,41.04,41.78,47.92,48.94,49.01,49.79
30129,Udine,,8,301290000008,1,Residenziale,1,Tessuto urbano continuo,100,25450.3,True,34.02,35.92,36.14,37.52,37.4,39.7,39.8,41.48,34.4,36.72,36.82,38.08,40.34,43.13,43.42,44.9,36.56,37.92,37.91,39.19,38.49,40.69,40.73,42.28,36.29,39.09,39.55,40.78,44.28,47.07,47.07,48.93
30129,Udine,,9,301290000009,1,Residenziale,1,Tessuto urbano continuo,5,2060.6,False,37.23,37.45,37.49,37.59,41.53,41.78,41.78,42.02,38.02,38.18,38.16,38.39,44.93,45.08,45.11,45.2,39.75,39.99,39.98,40.23,43.11,43.38,43.41,43.6,41.07,41.22,41.17,41.48,48.82,48.95,48.91,49.14
30129,Udine,,10,301290000010,1,Residenziale,1,Tessuto urbano continuo,15,4152.9,False,37.71,37.8,37.8,37.87,42.07,42.15,42.19,42.21,38.05,38.19,38.19,38.33,44.95,45.04,45.07,45.17,39.77,39.91,39.92,40.03,42.87,43.01,43.07,43.16,41.1,41.18,41.18,41.26,49.14,49.33,49.27,49.61
30129,Udine,,11,301290000011,1,Residenziale,1,Tessuto urbano continuo,32,6653.9,True,37.89,38.19,38.27,38.57,42.21,42.43,42.47,42.65,38.62,38.93,38.89,39.35,45.24,45.42,45.44,45.68,40.15,40.49,40.46,41.32,43.29,43.69,43.66,44.19,41.48,41.87,41.91,42.28,49.24,49.64,49.64,49.95
30129,Udine,,12,301290000012,1,Residenziale,1,Tessuto urbano continuo,17,10996.4,True,38.15,38.75,38.8,39.0,42.52,42.75,42.76,42.9,38.93,39.38,39.33,39.81,45.29,45.73,45.77,45.94,40.42,40.77,40.81,40.94,43.59,44.08,44.05,44.52,41.79,42.32,42.19,42.95,49.68,50.07,50.1,50.22
30129,Udine,,13,301290000013,1,Residenziale,1,Tessuto urbano continuo,34,5557.4,True,38.09,38.38,38.34,38.72,41.73,42.23,42.31,42.65,38.66,39.03,39.02,39.4,45.11,45.4,45.35,45.76,40.21,40.45,40.4,40.74,43.48,43.77,43.68,44.17,42.03,42.27,42.12,42.85,49.42,49.72,49.72,50.01
30129,Udine,,14,301290000014,1,Residenziale,1,Tessuto urbano continuo,20,4895.4,False,38.55,38.76,38.73,39.04,42.09,42.62,42.78,42.94,39.15,39.59,39.71,39.89,45.54,45.83,45.9,46.12,40.49,40.79,40.93,40.98,43.85,44.32,44.44,44.6,42.68,42.83,42.78,43.11,49.75,50.05,50.16,50.23
30129,Udine,,15,301290000015,1,Residenziale,1,Tessuto urbano continuo,25,2443.6,False,38.43,38.61,38.55,38.9,42.19,42.46,42.36,42.94,39.31,39.52,39.42,39.91,45.65,45.75,45.68,46.01,40.42,40.59,40.49,40.95,44.0,44.17,44.06,44.57,42.61,42.75,42.71,42.95,49.91,50.02,49.95,50.27
30129,Udine,,16,301290000016,1,Residenziale,1,Tessuto urbano continuo,22,1514.8,False,38.06,38.22,38.17,38.43,42.25,42.33,42.26,42.48,39.22,39.35,39.3,39.52,45.42,45.6,45.48,45.89,40.28,40.45,40.39,40.67,43.72,43.93,43.86,44.2,42.31,42.49,42.49,42.66,49.92,49.94,49.94,49.98
30129,Udine,,17,301290000017,1,Residenziale,1,Tessuto urbano continuo,46,3072.8,False,37.37,37.53,37.56,37.59,42.06,42.14,42.07,42.24,38.75,38.93,38.99,39.13,44.81,45.06,45.12,45.39,39.97,40.08,39.99,40.23,43.16,43.42,43.45,43.59,41.61,41.77,41.75,41.93,49.29,49.44,49.32,49.64
30129,Udine,,18,301290000018,1,Residenziale,1,Tessuto urbano continuo,213,18490.4,True,36.34,37.67,37.71,38.43,40.52,41.46,41.46,42.21,37.44,38.44,38.44,39.25,43.77,44.62,44.68,45.31,38.99,39.83,39.89,40.27,41.68,42.98,43.08,43.84,40.33,41.34,41.38,42.16,47.83,48.72,48.65,49.77
30129,Udine,,19,301290000019,1,Residenziale,1,Tessuto urbano continuo,9,2152.3,False,37.36,37.44,37.38,37.58,41.16,41.35,41.4,41.49,38.06,38.32,38.39,38.52,44.12,44.51,44.62,44.8,39.49,39.78,39.82,40.02,42.32,42.63,42.76,42.82,40.91,41.23,41.3,41.48,47.58,48.12,48.22,48.55
30129,Udine,,20,301290000020,1,Residenziale,1,Tessuto urbano continuo,92,12247.8,True,36.6,37.02,37.01,37.45,40.1,40.84,40.88,41.61,37.46,37.99,38.0,38.41,43.14,43.93,43.85,44.8,38.85,39.25,39.2,39.97,41.72,42.28,42.28,42.85,40.1,40.97,41.05,41.48,46.55,47.38,47.19,48.41
30129,Udine,,21,301290000021,1,Residenziale,1,Tessuto urbano continuo,20,3170.3,False,36.8,37.0,36.96,37.28,41.17,41.31,41.32,41.47,38.07,38.2,38.14,38.49,44.32,44.46,44.45,44.76,39.35,39.56,39.51,39.91,42.15,42.39,42.45,42.74,40.89,41.16,41.2,41.54,47.86,48.16,48.17,48.61
30129,Udine,,22,301290000022,1,Residenziale,1,Tessuto urbano continuo,21,1298.8,False,36.87,36.92,36.87,37.02,41.1,41.15,41.1,41.26,37.76,37.92,37.81,38.19,43.21,43.7,43.54,44.34,39.3,39.48,39.45,39.67,41.66,41.96,41.84,42.37,40.4,40.73,40.48,41.31,48.51,48.53,48.51,48.58
30129,Udine,,23,301290000023,1,Residenziale,1,Tessuto urbano continuo,19,1329.3,False,35.97,36.16,36.17,36.34,40.09,40.31,40.33,40.52,37.25,37.32,37.28,37.44,43.21,43.5,43.54,43.77,38.7,38.84,38.84,38.99,41.2,41.44,41.44,41.68,40.33,40.38,40.35,40.47,47.65,47.84,47.85,48.03
