PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
2158,Vercelli,,1,21580000001,4,Piazza monumentale,5,Edifici pubblici e servizi,0,2775.0,False,43.56,43.6,43.6,43.62,42.28,42.35,42.36,42.41,43.16,43.19,43.19,43.2,45.31,45.34,45.35,45.36,46.43,46.48,46.47,46.55,42.87,43.08,43.12,43.23,41.0,41.04,41.03,41.09,50.42,50.49,50.5,50.55
2158,Vercelli,,2,21580000002,1,Residenziale,1,Tessuto urbano continuo,42,3508.1,False,43.26,43.3,43.29,43.33,42.08,42.15,42.13,42.2,43.16,43.22,43.18,43.31,45.23,45.33,45.32,45.45,46.47,46.55,46.51,46.64,43.22,43.41,43.43,43.53,40.96,41.12,41.15,41.19,50.56,50.66,50.58,50.83
2158,Vercelli,,3,21580000003,1,Residenziale,1,Tessuto urbano continuo,84,5931.6,True,43.24,43.43,43.43,43.58,42.12,42.2,42.22,42.25,43.18,43.23,43.23,43.3,45.32,45.36,45.35,45.42,46.5,46.61,46.61,46.72,43.39,43.45,43.45,43.53,40.94,41.03,41.01,41.14,50.46,50.54,50.53,50.62
2158,Vercelli,,4,21580000004,1,Residenziale,1,Tessuto urbano continuo,70,4092.2,False,43.33,43.43,43.44,43.51,42.16,42.31,42.31,42.46,43.16,43.37,43.38,43.53,45.28,45.47,45.47,45.62,46.51,46.71,46.7,46.88,43.42,43.58,43.56,43.74,40.91,41.17,41.13,41.45,50.43,50.59,50.6,50.71
2158,Vercelli,,5,21580000005,1,Residenziale,1,Tessuto urbano continuo,119,6883.3,True,42.91,43.29,43.31,43.61,42.13,42.29,42.29,42.44,43.0,43.31,43.27,43.59,45.05,45.34,45.31,45.59,46.27,46.66,46.69,46.88,43.3,43.58,43.54,43.9,40.64,41.15,41.17,41.48,50.2,50.54,50.57,50.7
2158,Vercelli,,6,21580000006,1,Residenziale,1,Tessuto urbano continuo,61,12017.9,True,41.86,42.52,42.48,43.25,40.79,41.62,41.63,42.26,41.92,42.62,42.55,43.18,43.88,44.66,44.69,45.28,45.14,45.88,45.9,46.52,42.05,42.74,42.7,43.48,39.55,40.18,40.11,40.94,48.77,49.56,49.57,50.43
2158,Vercelli,,7,21580000007,1,Residenziale,1,Tessuto urbano continuo,27,2759.8,False,43.05,43.17,43.17,43.26,42.05,42.1,42.07,42.23,42.78,42.89,42.87,43.09,44.99,45.09,45.08,45.26,46.3,46.39,46.37,46.51,42.8,43.06,43.1,43.4,40.47,40.68,40.69,40.87,49.85,50.06,50.06,50.31
2158,Vercelli,,8,21580000008,1,Residenziale,1,Tessuto urbano continuo,51,5291.4,True,43.34,43.53,43.54,43.66,42.12,42.23,42.22,42.32,42.99,43.08,43.09,43.21,45.08,45.23,45.24,45.35,46.45,46.57,46.56,46.72,42.71,43.08,43.08,43.39,40.87,41.0,40.99,41.12,50.19,50.35,50.35,50.47
2158,Vercelli,,9,21580000009,1,Residenziale,1,Tessuto urbano continuo,0,1066.1,False,43.2,43.25,43.25,43.31,42.1,42.1,42.1,42.11,42.82,42.82,42.82,42.83,44.97,44.97,44.97,44.97,46.47,46.48,46.48,46.49,42.73,42.73,42.73,42.73,40.6,40.7,40.7,40.79,50.03,50.04,50.04,50.05
2158,Vercelli,,10,21580000010,1,Residenziale,1,Tessuto urbano continuo,134,7000.9,True,43.38,43.53,43.55,43.67,42.13,42.23,42.22,42.3,42.83,42.99,43.01,43.15,44.92,45.05,45.07,45.24,46.61,46.81,46.86,46.99,42.62,42.76,42.74,42.9,40.73,40.99,41.0,41.25,50.29,50.5,50.52,50.82
2158,Vercelli,,11,21580000011,1,Residenziale,1,Tessuto urbano continuo,0,4918.2,False,43.07,43.34,43.36,43.55,41.85,42.06,42.04,42.21,42.66,42.89,42.89,43.05,44.87,45.08,45.1,45.2,46.23,46.63,46.62,46.92,42.52,42.69,42.7,42.84,40.31,40.57,40.59,40.85,49.82,50.2,50.29,50.39
2158,Vercelli,,12,21580000012,1,Residenziale,1,Tessuto urbano continuo,50,7721.0,True,42.39,43.21,43.25,43.65,41.36,41.87,41.96,42.22,42.11,42.68,42.71,43.1,44.35,44.83,44.87,45.15,45.45,46.2,46.24,46.87,41.49,42.11,42.12,42.72,40.09,40.81,40.77,41.22,49.72,50.34,50.18,50.92
2158,Vercelli,,13,21580000013,1,Residenziale,1,Tessuto urbano continuo,125,7501.4,True,43.54,43.65,43.67,43.71,42.09,42.18,42.17,42.26,42.82,42.92,42.95,42.99,44.77,44.97,45.01,45.09,46.55,46.73,46.76,46.83,42.05,42.94,42.39,44.96,41.0,41.18,41.2,41.28,50.82,51.15,51.22,51.34
2158,Vercelli,,14,21580000014,1,Residenziale,1,Tessuto urbano continuo,18,2366.5,False,43.41,43.52,43.53,43.6,42.13,42.17,42.16,42.23,42.82,42.87,42.84,42.99,44.79,44.92,44.9,45.08,46.56,46.67,46.68,46.78,42.55,42.63,42.62,42.71,41.0,41.13,41.16,41.19,50.29,50.56,50.54,50.87
2158,Vercelli,,15,21580000015,1,Residenziale,1,Tessuto urbano continuo,24,2863.7,False,43.62,43.64,43.64,43.67,42.19,42.25,42.24,42.31,42.93,43.01,43.01,43.1,44.93,45.05,45.04,45.17,46.59,46.67,46.66,46.78,42.5,42.61,42.62,42.7,41.04,41.13,41.13,41.22,50.73,50.82,50.8,50.96
2158,Vercelli,,16,21580000016,1,Residenziale,1,Tessuto urbano continuo,12,4606.2,False,43.46,43.63,43.65,43.69,41.89,42.16,42.2,42.26,42.35,42.84,42.93,42.99,44.82,44.88,44.9,44.93,46.26,46.59,46.65,46.78,41.56,42.83,42.25,44.99,40.91,41.06,41.08,41.16,50.61,50.91,50.88,51.22
2158,Vercelli,,17,21580000017,1,Residenziale,1,Tessuto urbano continuo,157,13684.6,True,42.89,43.35,43.33,43.67,41.51,41.97,41.96,42.21,37.22,41.18,42.02,43.04,44.62,44.84,44.82,45.07,45.47,46.09,46.08,46.55,40.53,41.79,41.33,44.72,40.5,40.7,40.63,41.0,49.97,50.26,50.19,50.68
2158,Vercelli,,18,21580000018,1,Residenziale,1,Tessuto urbano continuo,90,8121.4,True,42.9,43.26,43.25,43.62,41.86,42.05,42.03,42.26,41.9,42.57,42.61,43.17,44.7,44.95,44.97,45.16,45.68,46.14,46.13,46.61,41.21,42.59,42.37,44.08,40.63,40.77,40.71,41.04,50.13,50.31,50.19,50.8
2158,Vercelli,,19,21580000019,1,Residenziale,1,Tessuto urbano continuo,1,2014.7,False,42.77,42.81,42.8,42.88,41.74,41.78,41.75,41.89,40.57,41.32,41.49,41.71,44.53,44.6,44.6,44.65,45.48,45.57,45.6,45.61,40.79,42.41,42.42,44.02,40.62,40.68,40.68,40.73,50.04,50.08,50.06,50.15
2158,Vercelli,,20,21580000020,1,Residenziale,1,Tessuto urbano continuo,111,17156.2,True,42.75,43.1,43.03,43.66,41.54,41.95,41.95,42.38,41.49,42.56,42.6,43.2,44.52,44.95,44.94,45.34,45.63,46.02,46.0,46.49,40.98,41.89,41.81,42.87,40.65,40.8,40.79,41.08,49.77,50.1,50.06,50.56
2158,Vercelli,,21,21580000021,1,Residenziale,1,Tessuto urbano continuo,14,1155.6,False,43.44,43.44,43.44,43.44,42.33,42.33,42.33,42.33,43.16,43.16,43.16,43.16,45.28,45.28,45.28,45.28,46.33,46.33,46.33,46.33,42.74,42.74,42.74,42.74,40.87,40.87,40.87,40.87,50.42,50.42,50.42,50.42
2158,Vercelli,,22,21580000022,1,Residenziale,1,Tessuto urbano continuo,22,1002.6,False,43.42,43.42,43.42,43.42,42.32,42.32,42.32,42.32,43.14,43.14,43.14,43.14,45.27,45.27,45.27,45.27,46.37,46.37,46.37,46.37,42.95,42.95,42.95,42.95,40.96,40.96,40.96,40.96,50.48,50.48,50.48,50.48
2158,Vercelli,,23,21580000023,1,Residenziale,1,Tessuto urbano continuo,36,2649.8,False,43.15,43.24,43.18,43.37,41.96,42.06,42.03,42.23,43.06,43.1,43.08,43.16,45.05,45.13,45.06,45.24,46.31,46.37,46.31,46.47,42.82,43.01,42.97,43.22,41.07,41.12,41.15,41.15,50.4,50.48,50.44,50.58
2158,Vercelli,,24,21580000024,1,Residenziale,1,Tessuto urbano continuo,24,2356.1,False,43.05,43.13,43.09,43.26,41.8,41.9,41.87,42.08,43.02,43.09,43.08,43.17,44.93,45.06,45.04,45.23,46.22,46.33,46.3,46.48,42.73,43.04,43.05,43.35,41.1,41.11,41.11,41.12,50.3,50.43,50.43,50.58
2158,Vercelli,,25,21580000025,1,Residenziale,1,Tessuto urbano continuo,67,4863.3,False,43.1,43.2,43.18,43.33,41.9,42.01,41.98,42.2,43.01,43.17,43.17,43.31,45.08,45.21,45.19,45.41,46.42,46.52,46.53,46.64,43.14,43.3,43.3,43.53,41.12,41.18,41.2,41.2,50.5,50.64,50.64,50.79
2158,Vercelli,,26,21580000026,1,Residenziale,1,Tessuto urbano continuo,45,5640.3,True,42.72,43.03,43.05,43.2,41.7,41.84,41.78,41.96,42.44,42.8,42.77,43.15,44.67,44.97,44.98,45.14,46.01,46.21,46.21,46.42,42.39,42.79,42.81,43.14,40.77,40.93,40.93,41.12,50.29,50.38,50.36,50.5
2158,Vercelli,,27,21580000027,1,Residenziale,1,Tessuto urbano continuo,84,14251.6,True,42.61,42.86,42.87,43.22,41.62,41.74,41.71,42.11,42.25,42.64,42.65,43.06,44.54,44.76,44.74,45.07,45.72,46.01,46.04,46.26,41.65,42.29,42.38,42.73,40.61,40.85,40.86,41.11,49.86,50.16,50.17,50.35
2158,Vercelli,,28,21580000028,1,Residenziale,1,Tessuto urbano continuo,112,11449.5,True,42.4,42.62,42.56,43.12,40.99,41.39,41.43,41.83,41.51,41.94,41.97,42.44,44.11,44.41,44.41,44.92,44.81,45.51,45.54,46.17,40.74,41.6,41.46,42.71,39.95,40.34,40.4,40.77,49.41,49.84,49.74,50.29
2158,Vercelli,,29,21580000029,1,Residenziale,1,Tessuto urbano continuo,23,2024.7,False,42.25,42.3,42.31,42.34,40.53,40.68,40.71,40.77,41.28,41.36,41.37,41.41,43.83,43.9,43.92,43.94,44.55,44.72,44.76,44.82,40.9,41.08,41.11,41.18,39.9,39.95,39.96,40.0,49.42,49.48,49.49,49.51
2158,Vercelli,,30,21580000030,1,Residenziale,1,Tessuto urbano continuo,37,4499.6,False,42.43,42.59,42.63,42.71,40.94,41.18,41.24,41.3,41.37,41.62,41.69,41.7,44.01,44.2,44.24,44.33,45.15,45.47,45.57,45.64,41.63,41.82,41.91,41.98,40.0,40.16,40.19,40.21,49.52,49.73,49.79,49.8
