PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
23091,Verona,,1,230910000001,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,19729.2,True,38.92,39.18,39.18,39.45,41.62,42.11,42.06,42.58,39.94,40.33,40.23,40.82,44.96,45.32,45.37,45.51,39.89,40.25,40.26,40.43,43.61,44.58,44.62,45.38,37.29,39.66,39.55,41.77,46.57,46.94,46.94,47.27
23091,Verona,,2,230910000002,2,Culto,5,Edifici pubblici e servizi,0,6099.6,True,39.18,39.4,39.37,39.67,42.24,42.45,42.44,42.76,40.51,40.83,40.85,41.08,45.08,45.2,45.19,45.31,40.27,40.5,40.51,40.77,44.81,45.02,44.97,45.31,39.51,40.01,39.96,41.03,46.77,46.89,46.89,47.07
23091,Verona,,3,230910000003,1,Residenziale,1,Tessuto urbano continuo,37,5905.8,True,39.19,39.67,39.57,40.18,42.32,42.84,42.76,43.35,40.85,41.18,41.12,41.55,45.22,45.41,45.34,45.68,40.39,40.69,40.69,41.01,45.21,45.65,45.55,46.24,40.09,40.48,40.47,40.88,46.97,47.32,47.23,47.77
23091,Verona,,4,230910000004,1,Residenziale,1,Tessuto urbano continuo,14,2671.3,False,39.53,39.9,40.0,40.18,42.81,43.12,43.19,43.35,41.03,41.34,41.45,41.55,45.39,45.56,45.63,45.68,40.39,40.72,40.77,41.01,45.63,45.98,46.07,46.24,40.88,40.99,41.01,41.07,47.43,47.63,47.68,47.77
23091,Verona,,5,230910000005,1,Residenziale,1,Tessuto urbano continuo,40,3992.3,False,39.45,39.9,40.03,40.34,42.76,43.13,43.26,43.46,40.86,41.31,41.47,41.61,45.39,45.6,45.68,45.74,40.39,40.68,40.69,41.14,45.49,45.93,46.04,46.35,40.93,41.21,41.14,41.63,47.43,47.68,47.79,47.87
23091,Verona,,6,230910000006,1,Residenziale,1,Tessuto urbano continuo,66,5536.4,True,39.84,40.11,40.11,40.31,43.11,43.3,43.31,43.45,41.27,41.52,41.53,41.73,45.5,45.66,45.67,45.8,40.42,40.69,40.67,41.02,45.76,46.0,46.0,46.26,40.94,41.13,41.16,41.29,47.66,47.79,47.81,47.88
23091,Verona,,7,230910000007,1,Residenziale,1,Tessuto urbano continuo,73,5477.6,True,40.0,40.3,40.28,40.99,42.96,43.34,43.35,43.6,41.17,41.48,41.48,41.7,45.53,45.7,45.74,45.87,40.45,40.76,40.75,41.04,45.74,46.01,46.04,46.23,40.63,40.93,40.92,41.2,47.56,47.77,47.8,47.94
23091,Verona,,9,230910000009,1,Residenziale,1,Tessuto urbano continuo,164,21426.2,True,38.64,39.84,40.01,40.8,40.96,42.66,43.0,43.6,39.15,40.89,41.25,41.6,43.61,45.13,45.4,45.83,38.81,40.12,40.36,40.79,42.75,45.01,45.06,46.09,39.36,40.88,40.8,42.58,45.7,47.23,47.49,47.91
23091,Verona,,10,230910000010,1,Residenziale,1,Tessuto urbano continuo,38,6096.4,True,39.45,39.84,39.87,40.12,42.58,43.03,43.1,43.29,40.67,41.06,41.08,41.4,45.18,45.44,45.46,45.64,40.39,40.57,40.57,40.7,44.59,45.44,45.54,45.75,41.15,42.11,42.16,42.6,47.27,47.62,47.68,47.81
23091,Verona,,11,230910000011,1,Residenziale,1,Tessuto urbano continuo,40,2563.5,False,39.58,39.94,39.97,40.24,42.72,43.23,43.32,43.55,40.67,40.99,40.99,41.3,45.18,45.31,45.31,45.44,40.39,40.59,40.62,40.72,44.59,45.05,45.17,45.27,41.15,42.15,42.43,42.59,47.4,47.71,47.77,47.9
