PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
102047,Vibo Valentia,Calabria,1,1020470000001,1,Residenziale,1,Tessuto urbano continuo,29,2047.6,False,37.29,37.61,37.65,37.86,37.3,37.57,37.6,37.78,38.67,39.02,39.03,39.34,37.97,38.13,38.12,38.3,35.77,36.87,37.07,37.58,38.87,39.21,39.23,39.52,35.17,35.48,35.5,35.74,41.25,41.66,41.71,41.98
102047,Vibo Valentia,Calabria,2,1020470000002,31,Museo,5,Edifici pubblici e servizi,9,7500.0,True,38.91,40.89,40.59,43.78,37.83,38.76,38.65,39.94,39.9,41.73,41.47,44.65,38.87,40.33,40.23,42.51,35.29,36.68,36.49,38.65,38.74,39.65,39.58,40.91,35.17,35.93,35.9,36.61,39.71,40.55,40.47,41.65
102047,Vibo Valentia,Calabria,3,1020470000003,1,Residenziale,1,Tessuto urbano continuo,27,2645.4,False,37.49,37.73,37.78,37.86,37.72,37.9,37.94,37.98,38.94,39.27,39.35,39.42,38.2,38.42,38.42,38.64,36.17,37.64,37.54,39.33,39.1,39.43,39.52,39.57,35.5,35.71,35.76,35.81,41.74,41.88,41.86,42.06
102047,Vibo Valentia,Calabria,4,1020470000004,1,Residenziale,1,Tessuto urbano continuo,16,2620.8,False,38.16,38.19,38.2,38.2,38.54,38.68,38.75,38.75,39.31,39.47,39.56,39.56,39.14,39.2,39.23,39.23,38.18,38.3,38.36,38.36,39.87,39.98,40.03,40.03,36.26,36.81,37.08,37.08,42.11,42.18,42.21,42.21
102047,Vibo Valentia,Calabria,5,1020470000005,1,Residenziale,1,Tessuto urbano continuo,71,13260.5,True,37.35,37.71,37.53,38.4,36.33,37.43,37.45,39.14,37.8,38.19,38.04,39.28,36.78,37.53,37.27,39.01,35.49,36.26,35.79,38.18,37.88,38.62,38.45,39.91,34.64,35.21,34.98,36.85,39.54,40.57,40.36,42.03
102047,Vibo Valentia,Calabria,6,1020470000006,1,Residenziale,1,Tessuto urbano continuo,75,3935.6,False,38.25,38.68,38.55,39.39,38.87,38.97,38.89,39.15,39.94,40.03,39.98,40.18,38.8,39.18,39.28,39.31,38.28,38.58,38.52,38.97,40.28,40.41,40.36,40.62,37.0,37.46,37.58,37.91,42.31,42.52,42.47,42.8
102047,Vibo Valentia,Calabria,7,1020470000007,1,Residenziale,1,Tessuto urbano continuo,18,4787.8,False,36.7,37.99,38.12,38.96,36.39,37.23,37.33,38.13,37.49,38.61,38.76,39.42,36.19,37.56,37.68,38.65,35.18,37.17,37.43,38.43,38.3,39.24,39.28,39.98,35.27,35.65,35.42,36.39,39.87,40.97,41.02,41.79
102047,Vibo Valentia,Calabria,8,1020470000008,1,Residenziale,1,Tessuto urbano continuo,19,2778.7,False,38.39,38.61,38.72,38.72,37.75,37.89,37.95,37.95,39.09,39.18,39.22,39.22,38.24,38.43,38.53,38.53,37.25,37.79,37.25,38.89,39.82,39.83,39.84,39.84,36.34,36.44,36.34,36.63,41.47,41.54,41.58,41.58
102047,Vibo Valentia,Calabria,9,1020470000009,1,Residenziale,1,Tessuto urbano continuo,586,62314.6,True,38.17,38.87,38.76,39.92,37.22,38.73,38.41,40.2,38.78,40.03,39.56,43.58,34.84,37.12,37.39,39.43,36.6,38.61,38.55,40.1,39.0,40.14,40.14,41.39,36.4,37.49,37.58,38.45,38.95,41.53,41.55,42.97
102047,Vibo Valentia,Calabria,10,1020470000010,1,Residenziale,1,Tessuto urbano continuo,388,37067.3,True,37.16,38.22,38.3,38.79,37.51,38.69,38.48,40.15,38.23,39.95,39.61,41.7,35.03,36.86,36.9,38.83,36.52,38.64,38.73,39.45,39.13,40.24,40.34,41.35,36.22,37.5,37.55,38.2,40.22,41.26,41.28,42.44
102047,Vibo Valentia,Calabria,11,1020470000011,1,Residenziale,1,Tessuto urbano continuo,131,7993.8,True,39.6,40.34,40.3,41.05,39.14,39.93,39.77,41.25,39.86,42.24,42.71,43.4,37.49,37.98,37.92,38.85,39.82,40.64,40.42,41.59,40.94,41.49,41.46,42.08,38.07,38.55,38.62,39.02,42.7,43.18,43.26,43.6
102047,Vibo Valentia,Calabria,12,1020470000012,1,Residenziale,1,Tessuto urbano continuo,129,13022.7,True,38.06,38.51,38.4,39.49,36.95,37.28,37.25,37.79,38.32,39.43,38.92,42.21,35.14,36.46,36.42,37.8,36.66,37.48,37.25,38.47,38.97,39.31,39.21,40.14,36.46,36.82,36.78,37.27,39.7,40.3,40.33,40.78
102047,Vibo Valentia,Calabria,13,1020470000013,1,Residenziale,1,Tessuto urbano continuo,1,274126.6,True,35.15,37.52,37.45,40.22,33.84,36.46,36.34,39.66,33.94,37.28,36.97,41.75,33.7,37.13,37.27,40.83,33.46,35.11,34.96,37.88,33.96,36.93,36.9,39.99,31.11,33.2,33.15,36.36,35.03,37.67,37.22,41.71
102047,Vibo Valentia,Calabria,14,1020470000014,1,Residenziale,1,Tessuto urbano continuo,38,9398.1,True,38.05,38.4,38.36,38.79,38.15,38.69,38.63,39.37,40.59,41.25,41.28,41.66,36.88,37.51,37.69,37.82,38.08,38.76,38.93,39.04,39.51,40.24,40.25,40.63,36.44,37.52,37.74,38.24,40.01,40.84,40.95,41.21
102047,Vibo Valentia,Calabria,15,1020470000015,1,Residenziale,1,Tessuto urbano continuo,155,9725.4,True,38.93,39.6,39.52,40.33,38.38,39.07,39.1,39.61,36.94,39.79,39.99,40.59,37.69,38.66,38.8,39.12,40.05,40.59,40.65,41.12,40.34,40.94,40.9,41.61,38.06,38.47,38.49,38.91,41.07,41.83,41.86,42.26
102047,Vibo Valentia,Calabria,16,1020470000016,1,Residenziale,1,Tessuto urbano continuo,375,39948.8,True,34.15,37.58,37.19,41.37,33.9,37.23,36.45,41.66,34.42,37.11,36.68,39.71,35.24,37.51,37.33,40.53,33.04,37.72,37.24,42.46,34.67,38.45,38.07,42.75,33.2,36.13,35.63,39.88,36.66,39.61,39.23,43.58
