PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
117025,Villacidro,Sardegna,1,1110960000001,1,Residenziale,1,Tessuto urbano continuo,273,25067.7,True,40.65,41.13,41.05,41.71,42.17,43.08,43.15,43.51,41.17,41.92,42.02,42.42,45.31,45.95,45.96,46.34,45.17,46.04,45.77,47.29,41.9,42.45,42.43,43.01,42.6,43.16,43.14,43.6,46.6,47.26,47.27,47.58
117025,Villacidro,Sardegna,2,1110960000002,1,Residenziale,1,Tessuto urbano continuo,412,50616.4,True,38.37,40.61,40.78,41.79,40.86,42.71,42.82,43.54,39.41,41.59,41.89,42.48,42.82,45.38,45.69,46.47,43.39,45.93,46.22,47.17,40.54,42.37,42.52,43.48,39.93,42.58,42.71,43.81,43.68,46.73,47.16,47.64
117025,Villacidro,Sardegna,3,1110960000003,1,Residenziale,1,Tessuto urbano continuo,678,92411.1,True,36.4,38.99,39.14,40.74,38.36,41.2,41.52,43.03,37.03,40.07,40.17,42.06,40.44,43.51,43.74,45.6,41.74,44.31,44.6,46.16,37.85,40.34,40.5,42.02,38.13,40.78,41.02,42.54,41.98,45.15,45.3,47.28
117025,Villacidro,Sardegna,4,1110960000004,1,Residenziale,1,Tessuto urbano continuo,534,105209.0,True,39.1,40.02,39.95,41.54,40.88,42.03,41.97,43.18,39.52,40.56,40.44,42.1,42.71,44.2,44.16,45.78,42.81,44.22,44.08,46.25,39.91,41.13,41.25,42.02,40.14,41.26,41.27,42.39,43.91,45.34,45.24,47.22
117025,Villacidro,Sardegna,5,1110960000005,1,Residenziale,1,Tessuto urbano continuo,1213,230620.7,True,38.52,40.24,40.2,42.2,39.39,42.22,42.38,43.8,37.66,40.62,40.77,42.58,41.84,44.87,45.09,46.96,41.06,44.75,44.85,46.55,39.76,41.83,41.87,45.19,40.42,42.43,42.56,45.62,43.97,46.3,46.27,50.44
117025,Villacidro,Sardegna,6,1110960000006,1,Residenziale,1,Tessuto urbano continuo,689,151868.3,True,38.67,40.78,41.14,41.77,40.43,42.32,42.6,43.66,38.98,41.33,41.46,42.49,43.41,45.29,45.56,46.77,42.82,44.72,44.71,46.68,40.42,41.51,41.66,42.43,40.73,42.45,42.69,43.7,44.15,46.56,46.73,48.21
117025,Villacidro,Sardegna,7,1110960000007,1,Residenziale,1,Tessuto urbano continuo,405,114858.7,True,39.28,40.76,40.64,42.77,40.88,42.78,42.7,44.91,39.76,41.18,41.01,43.47,43.11,44.88,44.78,46.54,43.07,44.64,44.58,46.67,40.23,42.09,41.82,44.39,40.37,41.64,41.54,43.29,43.88,45.72,45.74,47.41
117025,Villacidro,Sardegna,8,1110960000008,1,Residenziale,1,Tessuto urbano continuo,585,80088.8,True,39.89,41.0,41.0,42.16,41.9,43.59,43.73,44.91,40.04,41.55,41.73,42.8,44.19,46.05,46.28,47.69,43.99,45.33,45.45,46.63,41.5,42.55,42.52,43.84,40.82,42.76,42.99,44.01,45.14,47.01,47.2,48.57
117025,Villacidro,Sardegna,9,1110960000009,1,Residenziale,1,Tessuto urbano continuo,711,95203.1,True,40.71,41.66,41.65,42.41,42.9,43.92,43.96,44.83,41.7,42.39,42.39,42.9,45.79,46.63,46.65,47.42,44.96,45.69,45.64,46.62,41.83,42.54,42.47,43.38,42.84,43.66,43.69,44.14,47.5,48.16,48.16,48.54
117025,Villacidro,Sardegna,10,1110960000010,1,Residenziale,1,Tessuto urbano continuo,712,138454.7,True,40.78,41.46,41.34,42.74,43.8,44.68,44.56,46.52,42.34,43.02,42.92,44.69,46.42,47.22,47.15,48.57,44.24,45.45,45.41,46.48,42.51,43.68,43.33,45.81,42.29,43.55,43.62,44.39,47.41,48.44,48.4,49.57
117025,Villacidro,Sardegna,11,1110960000011,1,Residenziale,1,Tessuto urbano continuo,262,38516.0,True,40.89,41.4,41.45,41.92,44.5,44.94,44.94,45.37,42.27,42.78,42.73,43.29,46.23,47.43,47.5,48.13,44.85,46.49,46.65,47.68,43.04,43.68,43.71,44.09,42.89,44.16,44.12,44.73,47.42,48.79,48.89,49.41
117025,Villacidro,Sardegna,12,1110960000012,1,Residenziale,1,Tessuto urbano continuo,562,119903.3,True,40.36,41.7,41.49,43.67,42.93,44.72,44.69,47.55,41.29,42.94,43.0,44.98,45.43,46.97,47.02,49.76,44.04,45.92,45.61,49.04,42.76,43.89,43.66,47.43,42.16,43.59,43.65,45.43,46.66,48.35,48.27,51.42
117025,Villacidro,Sardegna,13,1110960000013,1,Residenziale,1,Tessuto urbano continuo,425,77735.3,True,40.69,41.64,41.89,42.39,42.93,43.6,43.63,44.33,41.81,42.58,42.66,43.05,45.98,46.61,46.62,47.35,44.24,45.39,45.18,46.58,42.28,42.7,42.71,43.14,42.87,43.66,43.78,44.13,47.62,48.09,48.1,48.48
117025,Villacidro,Sardegna,14,1110960000014,1,Residenziale,1,Tessuto urbano continuo,669,114695.4,True,40.88,41.83,41.71,43.39,43.14,44.13,44.14,45.98,41.89,42.9,42.96,43.94,45.95,47.23,47.25,48.04,44.09,45.52,45.62,46.56,42.53,43.35,43.25,45.23,42.82,43.92,43.96,44.44,47.73,48.63,48.67,49.62
117025,Villacidro,Sardegna,15,1110960000015,1,Residenziale,1,Tessuto urbano continuo,592,91204.1,True,38.78,41.25,41.39,43.05,41.32,43.62,43.7,45.06,39.8,41.86,41.97,42.71,43.88,46.03,45.92,47.97,43.81,46.43,46.48,47.68,41.16,43.22,43.25,44.79,41.1,43.11,43.23,44.04,44.15,46.7,46.9,47.64
117025,Villacidro,Sardegna,16,1110960000016,1,Residenziale,1,Tessuto urbano continuo,281,58735.7,True,39.21,40.28,40.17,41.92,40.73,41.74,41.53,43.49,39.18,40.47,40.45,42.11,42.3,44.43,44.46,45.73,43.9,44.87,44.9,46.01,40.43,41.35,41.31,42.55,39.82,41.17,41.16,42.47,43.7,45.07,45.06,46.04
117025,Villacidro,Sardegna,17,1110960000017,1,Residenziale,1,Tessuto urbano continuo,1638,366883.1,True,39.15,42.39,42.28,45.32,40.86,43.49,43.46,46.32,38.41,42.22,42.09,45.35,42.73,46.64,46.72,48.6,41.82,45.0,44.86,47.78,40.47,43.29,43.32,45.86,40.12,43.3,43.43,45.27,44.46,48.06,48.14,50.65
117025,Villacidro,Sardegna,18,1110960000018,1,Residenziale,1,Tessuto urbano continuo,973,173406.8,True,39.91,41.51,41.48,42.59,40.67,42.97,42.99,44.07,39.48,41.91,41.78,43.43,43.7,46.06,46.05,47.36,42.31,45.08,45.33,46.32,41.61,42.34,42.22,44.63,42.52,43.49,43.45,45.41,47.09,47.82,47.72,50.3
117025,Villacidro,Sardegna,19,1110960000019,1,Residenziale,1,Tessuto urbano continuo,237,75718.9,True,40.81,42.01,41.85,43.85,42.92,44.91,44.98,46.44,41.46,43.45,43.49,45.26,45.17,46.72,46.78,48.16,44.32,45.85,45.79,47.84,42.76,44.01,43.99,45.2,41.43,43.1,42.96,44.62,46.53,48.22,48.24,49.65
117025,Villacidro,Sardegna,20,1110960000020,1,Residenziale,1,Tessuto urbano continuo,537,101427.7,True,41.79,42.62,42.46,44.07,43.2,44.28,44.11,45.99,42.0,42.91,42.85,44.25,46.37,47.38,47.28,48.72,44.46,45.72,45.47,47.43,42.09,43.34,43.26,44.96,42.98,43.93,43.87,44.9,47.52,48.61,48.62,49.8
117025,Villacidro,Sardegna,22,1110960000022,23,Acque interne/zone umide,10,Acqua e zone umide,0,991951.8,True,26.5,30.26,29.83,39.13,26.67,32.53,32.28,42.8,26.7,30.78,30.33,39.78,28.54,32.24,31.48,42.44,27.82,32.2,31.67,42.08,27.38,33.56,33.67,43.88,27.42,33.92,34.31,43.7,28.73,31.9,31.09,42.52
117025,Villacidro,Sardegna,26,1110960000026,12,Attivita produttive,2,Superficie impervia pesante,15,5384035.8,True,36.84,44.89,45.06,50.04,37.66,46.14,46.27,51.57,35.3,43.27,43.35,48.85,40.1,50.18,50.18,56.76,38.62,47.69,47.93,53.37,37.15,46.59,46.63,51.68,36.16,44.42,44.64,50.26,38.99,50.14,50.38,58.12
