PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
42002,Ancona,,1,420020000001,6,Porto,3,Rete infrastrutturale,4,,True,24.87,36.42,37.24,40.71,25.34,37.29,37.69,42.3,21.81,35.61,36.31,39.15,29.38,39.22,39.81,44.38,27.24,37.14,37.54,42.13,29.9,39.12,39.86,43.27,24.64,36.53,36.67,41.1,31.22,39.7,40.3,43.47
42002,Ancona,,2,420020000002,1,Residenziale,1,Tessuto urbano continuo,57,,True,36.77,37.61,37.52,38.7,37.05,38.75,38.97,39.75,36.26,37.32,37.21,38.72,39.75,40.71,40.74,41.78,36.49,37.46,37.38,38.7,39.59,40.51,40.41,41.94,37.05,38.24,38.14,39.14,40.07,40.95,40.94,42.17
42002,Ancona,,3,420020000003,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,33.51,34.1,34.11,34.9,33.69,34.29,34.11,36.24,33.24,34.13,34.18,34.82,36.75,37.28,37.2,38.02,33.46,34.09,34.14,34.74,36.23,37.2,37.06,38.04,34.14,34.79,34.58,36.52,35.84,36.94,36.92,38.13
42002,Ancona,,4,420020000004,1,Residenziale,1,Tessuto urbano continuo,11,,True,34.51,35.24,35.34,35.9,32.68,34.89,34.89,36.64,34.41,35.18,35.23,35.87,37.76,38.43,38.45,38.99,34.58,35.11,35.06,35.66,38.15,38.52,38.56,38.84,34.55,35.29,35.23,35.87,38.21,38.78,38.8,39.28
42002,Ancona,,5,420020000005,1,Residenziale,1,Tessuto urbano continuo,31,,True,32.9,33.98,33.74,35.37,33.33,35.05,34.9,36.52,32.97,33.99,33.94,35.15,35.54,36.96,36.9,38.42,32.63,33.77,33.68,35.08,36.3,37.4,37.48,38.31,32.99,34.31,34.2,35.48,35.89,37.16,36.99,38.68
42002,Ancona,,6,420020000006,18,Universita/ricerca,5,Edifici pubblici e servizi,0,,True,33.79,36.56,37.1,37.98,33.31,36.14,36.61,37.82,33.92,36.28,36.68,37.22,36.58,39.16,39.76,40.31,33.46,36.46,37.0,38.0,37.54,40.06,40.7,41.28,33.65,36.46,36.77,38.05,36.72,39.88,40.47,41.76
42002,Ancona,,7,420020000007,1,Residenziale,1,Tessuto urbano continuo,52,,True,36.54,36.7,36.73,36.82,36.4,38.22,38.46,38.64,35.5,35.76,35.83,35.94,39.81,39.97,39.91,40.19,36.53,36.78,36.82,36.97,38.94,39.62,39.74,40.08,37.04,37.46,37.54,37.92,39.76,39.94,39.91,40.21
42002,Ancona,,8,420020000008,1,Residenziale,1,Tessuto urbano continuo,104,,True,35.03,35.6,35.66,36.22,35.43,36.72,36.89,37.76,34.83,35.33,35.36,35.73,38.26,38.93,39.06,39.58,35.45,35.96,36.04,36.37,38.38,38.78,38.83,39.34,35.19,35.93,36.01,36.57,38.88,39.55,39.64,39.95
42002,Ancona,,9,420020000009,1,Residenziale,1,Tessuto urbano continuo,78,,True,35.77,36.24,36.25,36.52,35.38,35.88,35.87,36.22,35.4,35.69,35.67,35.98,38.97,39.37,39.37,39.61,36.32,36.8,36.81,37.05,39.53,39.72,39.74,39.84,35.96,36.68,36.71,37.06,39.18,39.72,39.82,40.1
42002,Ancona,,10,420020000010,1,Residenziale,1,Tessuto urbano continuo,56,,True,35.05,36.07,36.02,36.97,35.56,36.47,36.44,37.1,35.1,35.55,35.35,36.15,38.17,39.14,39.27,39.83,35.16,36.06,36.18,36.59,38.84,39.63,39.56,40.41,35.09,36.47,36.53,37.62,38.67,39.78,39.73,40.68
