PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
51002,Arezzo,,1,510020000001,1,Residenziale,1,Tessuto urbano continuo,113,7666.5,True,41.19,41.62,41.63,42.04,39.94,40.31,40.21,40.82,42.08,42.44,42.41,42.82,43.49,43.9,43.89,44.24,45.35,45.7,45.69,45.95,42.39,42.57,42.56,42.85,41.7,41.91,41.9,42.35,47.29,47.43,47.43,47.55
51002,Arezzo,,2,510020000002,1,Residenziale,1,Tessuto urbano continuo,42,16415.8,True,38.65,40.18,40.25,41.19,38.39,39.46,39.46,39.94,40.8,41.7,41.64,42.42,40.85,42.81,42.95,43.97,42.9,44.38,44.47,45.35,38.32,40.98,41.14,42.39,40.29,41.29,41.29,41.86,45.21,46.26,46.3,47.32
51002,Arezzo,,3,510020000003,1,Residenziale,1,Tessuto urbano continuo,26,15607.5,True,37.2,38.87,39.06,40.04,37.07,38.93,39.16,39.83,40.49,41.43,41.56,42.1,39.95,41.4,41.62,42.7,41.01,42.51,42.37,44.46,35.98,38.4,38.38,40.58,38.15,39.72,40.07,40.99,42.93,44.57,44.9,45.98
51002,Arezzo,,4,510020000004,1,Residenziale,1,Tessuto urbano continuo,86,8567.3,True,40.83,41.82,41.94,42.39,39.62,40.75,40.72,41.23,41.96,42.77,42.86,43.38,42.86,44.07,44.38,44.68,44.16,45.45,45.85,46.13,41.07,42.33,42.66,43.05,41.05,42.13,42.35,42.64,45.1,46.74,46.86,47.66
51002,Arezzo,,5,510020000005,1,Residenziale,1,Tessuto urbano continuo,14,1662.5,False,40.11,40.42,40.57,40.58,38.98,39.43,39.33,39.97,41.01,41.25,41.35,41.41,41.85,42.31,42.47,42.6,43.06,43.47,43.65,43.69,40.29,40.51,40.52,40.72,40.41,40.85,40.69,41.46,44.49,44.98,44.81,45.64
51002,Arezzo,,6,510020000006,1,Residenziale,1,Tessuto urbano continuo,2,10811.8,True,35.77,36.67,36.59,37.73,36.2,36.56,36.47,37.07,37.57,38.52,38.35,40.11,37.57,39.16,39.22,40.73,38.78,40.1,40.31,41.82,34.84,36.03,35.84,37.94,36.39,37.68,37.77,39.36,41.07,42.03,42.27,43.9
51002,Arezzo,,7,510020000007,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,21336.8,True,35.86,37.83,38.05,39.15,36.23,37.94,38.14,39.18,37.22,39.45,39.8,40.49,38.27,40.49,40.75,42.68,39.15,41.6,41.79,42.87,36.72,39.73,39.94,41.15,37.3,39.13,39.45,39.82,41.36,43.18,43.39,44.19
51002,Arezzo,,8,510020000008,1,Residenziale,1,Tessuto urbano continuo,33,11327.8,True,37.94,39.31,39.38,40.82,38.02,39.39,39.42,40.42,39.05,40.87,41.01,41.97,41.06,42.91,43.09,44.24,41.52,43.15,43.26,44.5,36.88,39.93,40.07,42.19,39.26,40.25,40.24,41.19,42.32,43.76,43.71,44.99
51002,Arezzo,,9,510020000009,1,Residenziale,1,Tessuto urbano continuo,28,2950.8,False,38.9,39.53,39.46,40.1,38.69,39.25,39.22,39.83,39.82,40.51,40.28,41.51,41.9,42.4,42.18,42.98,42.59,43.06,42.9,43.82,39.06,39.53,39.28,40.21,40.13,40.41,40.24,40.75,42.96,43.47,43.22,44.36
51002,Arezzo,,10,510020000010,1,Residenziale,1,Tessuto urbano continuo,113,9342.7,True,39.46,40.83,40.83,41.82,39.46,40.43,40.45,40.95,40.75,42.11,42.07,42.94,42.9,44.09,44.04,44.96,43.47,44.85,45.08,45.53,40.22,41.65,41.51,42.85,40.63,40.97,40.85,41.44,43.54,44.93,44.92,46.1
51002,Arezzo,,11,510020000011,1,Residenziale,1,Tessuto urbano continuo,46,4433.1,False,40.37,41.07,41.2,41.59,40.11,40.51,40.54,40.86,41.66,42.14,42.24,42.54,43.77,44.35,44.38,44.81,44.59,44.79,44.82,44.98,40.92,41.87,41.97,42.49,40.81,41.07,40.97,41.38,44.37,45.23,45.39,45.92
51002,Arezzo,,12,510020000012,1,Residenziale,1,Tessuto urbano continuo,193,19761.3,True,40.0,40.93,41.08,41.52,39.48,40.25,40.29,41.01,41.19,42.06,42.07,42.81,43.1,44.22,44.35,45.06,42.86,43.88,43.96,44.52,41.45,42.34,42.38,42.9,39.87,41.13,41.22,41.74,43.59,44.99,45.03,46.83
51002,Arezzo,,13,510020000013,1,Residenziale,1,Tessuto urbano continuo,39,2766.2,False,40.03,40.59,40.5,41.3,39.81,40.18,40.07,40.75,41.42,41.8,41.71,42.37,43.49,43.99,43.88,44.72,43.71,44.1,44.0,44.69,40.9,41.63,41.53,42.54,40.7,41.0,40.88,41.52,45.31,45.61,45.72,45.72
51002,Arezzo,,14,510020000014,1,Residenziale,1,Tessuto urbano continuo,76,3335.8,False,41.59,41.84,41.94,42.06,40.86,41.08,41.19,41.22,42.54,42.76,42.83,42.95,44.81,45.11,45.2,45.28,44.91,44.99,45.01,45.07,42.49,42.9,43.03,43.05,41.38,41.66,41.71,41.76,45.86,46.12,46.24,46.32
51002,Arezzo,,15,510020000015,1,Residenziale,1,Tessuto urbano continuo,22,1555.5,False,41.93,42.01,42.01,42.1,41.09,41.17,41.17,41.25,42.96,42.96,42.96,42.97,45.02,45.15,45.15,45.27,45.08,45.14,45.14,45.19,42.82,42.98,42.98,43.13,41.57,41.65,41.65,41.74,46.02,46.09,46.09,46.16
51002,Arezzo,,16,510020000016,1,Residenziale,1,Tessuto urbano continuo,80,6218.5,True,41.91,42.17,42.16,42.57,41.2,41.3,41.28,41.45,43.18,43.28,43.27,43.5,44.86,45.11,45.12,45.29,45.54,45.86,45.84,46.29,42.75,43.13,43.14,43.44,41.55,41.89,41.84,42.43,45.65,46.14,46.14,46.88
51002,Arezzo,,17,510020000017,1,Residenziale,1,Tessuto urbano continuo,53,1532.5,False,42.51,42.69,42.69,42.86,41.45,41.52,41.52,41.6,43.46,43.53,43.53,43.6,45.27,45.3,45.3,45.34,46.06,46.24,46.24,46.42,43.47,43.59,43.59,43.71,42.08,42.19,42.19,42.3,46.76,46.95,46.95,47.13
51002,Arezzo,,18,510020000018,1,Residenziale,1,Tessuto urbano continuo,141,8335.8,True,42.5,43.09,43.05,43.74,41.5,41.82,41.87,42.21,43.4,43.74,43.74,43.95,45.13,45.63,45.63,46.34,46.37,46.74,46.73,47.27,43.25,43.79,43.81,44.26,42.01,42.47,42.42,43.05,46.8,47.0,47.02,47.25
51002,Arezzo,,19,510020000019,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,3,2438.5,False,41.34,41.68,41.67,42.02,40.39,40.85,40.98,41.04,42.2,42.71,42.87,42.89,43.75,44.2,44.25,44.54,45.01,45.4,45.43,45.74,41.66,42.08,42.01,42.64,41.55,41.92,41.96,42.21,45.22,45.85,45.94,46.29
51002,Arezzo,,20,510020000020,1,Residenziale,1,Tessuto urbano continuo,61,9668.1,True,41.99,42.68,42.68,43.06,40.74,41.46,41.48,41.81,43.19,43.55,43.57,43.78,44.61,45.09,45.0,45.74,45.9,46.46,46.54,46.84,42.65,43.42,43.48,43.79,42.09,42.57,42.59,43.0,46.18,46.76,46.82,47.1
51002,Arezzo,,21,510020000021,1,Residenziale,1,Tessuto urbano continuo,91,10556.5,True,43.09,43.45,43.5,43.7,41.58,41.93,41.89,42.17,43.67,43.91,43.89,44.13,45.49,45.99,46.04,46.26,46.84,47.11,47.12,47.36,43.75,44.09,44.11,44.31,42.3,42.64,42.69,42.9,46.96,47.14,47.14,47.37
51002,Arezzo,,22,510020000022,1,Residenziale,1,Tessuto urbano continuo,11,3394.3,False,42.64,42.98,43.07,43.28,41.18,41.53,41.61,41.76,43.22,43.62,43.73,43.84,45.11,45.67,45.8,46.12,46.07,46.55,46.68,47.0,43.5,43.85,43.92,44.04,42.85,42.97,42.89,43.3,47.59,47.84,47.88,48.01
51002,Arezzo,,23,510020000023,1,Residenziale,1,Tessuto urbano continuo,54,6264.7,True,43.52,43.7,43.74,43.84,41.87,42.07,42.07,42.21,43.79,43.85,43.84,43.95,45.99,46.14,46.13,46.34,47.02,47.19,47.22,47.33,44.14,44.23,44.24,44.3,42.91,43.06,43.08,43.17,47.25,47.35,47.35,47.47
51002,Arezzo,,24,510020000024,1,Residenziale,1,Tessuto urbano continuo,67,4534.6,False,43.19,43.55,43.61,43.74,41.76,42.01,42.06,42.14,43.64,43.73,43.72,43.82,45.55,46.09,46.2,46.29,46.74,47.09,47.14,47.21,43.87,44.14,44.19,44.23,42.52,42.87,42.92,43.01,46.87,47.15,47.17,47.31
51002,Arezzo,,25,510020000025,1,Residenziale,1,Tessuto urbano continuo,276,15477.8,True,42.18,42.52,42.42,43.31,41.24,41.43,41.39,41.8,43.01,43.19,43.14,43.58,45.28,45.47,45.46,45.77,45.08,45.63,45.34,46.87,43.26,43.46,43.39,43.92,41.89,42.15,42.06,42.7,46.07,46.45,46.41,46.93
51002,Arezzo,,26,510020000026,1,Residenziale,1,Tessuto urbano continuo,73,4597.4,False,41.88,42.16,42.21,42.43,41.09,41.36,41.43,41.51,42.92,43.13,43.18,43.28,45.15,45.39,45.43,45.57,44.82,45.02,45.07,45.15,43.04,43.25,43.27,43.35,41.76,41.91,41.9,42.06,46.59,46.83,46.91,46.99
51002,Arezzo,,27,510020000027,1,Residenziale,1,Tessuto urbano continuo,49,3187.3,False,40.48,41.28,41.49,41.61,40.02,40.74,40.94,41.01,41.72,42.39,42.7,42.73,43.56,44.33,44.35,44.94,43.68,44.35,44.49,44.78,41.06,42.15,42.42,42.77,40.7,41.33,41.4,41.69,45.38,46.18,46.44,46.53
51002,Arezzo,,28,510020000028,1,Residenziale,1,Tessuto urbano continuo,23,6155.9,True,38.46,38.96,39.0,39.58,39.12,39.42,39.4,39.61,40.47,40.8,40.83,41.1,42.58,43.03,43.11,43.3,42.28,42.93,43.09,43.46,38.69,39.82,39.68,41.04,39.56,39.89,39.94,40.2,43.52,44.19,44.33,44.88
51002,Arezzo,,29,510020000029,1,Residenziale,1,Tessuto urbano continuo,90,20322.0,True,37.96,38.9,38.89,39.97,37.93,39.29,39.35,40.09,39.32,40.47,40.65,41.55,40.74,42.13,42.21,43.22,41.94,42.64,42.58,43.73,38.51,40.02,40.04,41.13,38.27,39.64,39.74,40.57,41.86,43.27,43.44,44.89
51002,Arezzo,,30,510020000030,1,Residenziale,1,Tessuto urbano continuo,196,20906.1,True,39.47,39.94,39.95,40.42,39.26,39.7,39.58,40.73,40.52,41.11,40.91,42.11,42.42,43.06,42.82,44.19,42.98,43.52,43.34,44.56,40.51,41.29,41.31,42.19,39.85,40.16,40.14,40.78,43.56,44.2,44.12,45.08
51002,Arezzo,,31,510020000031,1,Residenziale,1,Tessuto urbano continuo,38,7173.3,True,39.94,40.51,40.6,41.0,39.65,39.99,40.01,40.23,40.78,41.48,41.58,42.27,43.07,43.66,43.55,44.53,43.33,43.65,43.58,44.13,40.67,41.85,41.65,42.81,40.44,40.63,40.53,41.24,44.99,45.51,45.39,46.41
51002,Arezzo,,32,510020000032,1,Residenziale,1,Tessuto urbano continuo,302,48586.4,True,38.26,40.76,40.42,43.06,38.58,41.08,40.95,43.19,41.44,43.03,43.06,44.66,41.99,44.21,43.92,46.11,42.28,44.65,44.31,46.71,41.02,42.98,42.94,45.02,38.9,42.03,41.53,44.32,43.1,46.04,45.58,48.86
51002,Arezzo,,33,510020000033,1,Residenziale,1,Tessuto urbano continuo,33,3408.7,False,41.08,41.4,41.55,41.65,40.4,40.7,40.85,40.91,42.26,42.59,42.78,42.8,43.82,44.22,44.32,44.57,43.87,44.2,44.29,44.45,41.66,42.18,42.22,42.56,40.84,41.11,41.2,41.26,45.61,46.07,46.16,46.45
51002,Arezzo,,34,510020000034,1,Residenziale,1,Tessuto urbano continuo,23,1301.1,False,41.9,42.06,42.06,42.21,41.03,41.23,41.23,41.43,42.91,43.07,43.07,43.23,45.03,45.21,45.21,45.39,44.69,44.8,44.8,44.91,42.94,43.14,43.14,43.34,41.63,41.75,41.75,41.88,46.91,46.92,46.92,46.92
51002,Arezzo,,35,510020000035,1,Residenziale,1,Tessuto urbano continuo,42,3342.3,False,42.24,42.35,42.37,42.44,41.37,41.52,41.55,41.67,43.05,43.11,43.11,43.16,45.3,45.48,45.47,45.64,44.96,45.05,45.05,45.15,43.22,43.35,43.35,43.42,41.88,42.06,42.07,42.17,46.12,46.17,46.19,46.24
51002,Arezzo,,36,510020000036,1,Residenziale,1,Tessuto urbano continuo,26,8549.9,True,41.61,41.95,42.01,42.23,40.67,41.19,41.29,41.58,42.62,42.93,43.02,43.09,44.81,45.26,45.33,45.58,44.27,44.69,44.79,45.17,42.54,43.14,43.22,43.37,41.18,41.75,41.89,42.15,45.5,46.0,46.01,46.54
51002,Arezzo,,37,510020000037,1,Residenziale,1,Tessuto urbano continuo,58,1774.3,False,41.82,41.82,41.82,41.82,40.87,40.87,40.87,40.87,42.79,42.79,42.79,42.79,44.89,44.89,44.89,44.89,44.46,44.46,44.46,44.46,42.78,42.78,42.78,42.78,41.38,41.38,41.38,41.38,46.88,46.88,46.88,46.88
51002,Arezzo,,38,510020000038,1,Residenziale,1,Tessuto urbano continuo,30,4795.6,False,41.02,41.43,41.53,41.65,40.25,40.57,40.61,40.78,42.36,42.64,42.73,42.81,43.96,44.41,44.48,44.69,43.93,44.21,44.26,44.32,42.23,42.59,42.62,42.78,40.68,40.97,41.02,41.09,45.94,46.48,46.59,46.71
51002,Arezzo,,39,510020000039,1,Residenziale,1,Tessuto urbano continuo,247,44134.1,True,39.46,40.16,39.93,42.4,39.18,40.06,39.88,42.0,40.23,41.28,41.11,42.88,41.91,43.36,43.32,44.99,42.66,43.84,43.9,44.99,40.44,41.84,41.79,43.15,39.25,40.38,40.4,41.72,44.25,45.61,45.53,47.84
51002,Arezzo,,40,510020000040,1,Residenziale,1,Tessuto urbano continuo,247,45949.9,True,40.07,40.95,40.88,41.91,39.86,40.69,40.52,42.48,40.49,41.18,41.03,42.59,43.09,44.09,44.03,44.88,43.52,44.47,44.48,45.24,41.59,42.49,42.4,43.48,40.66,41.39,41.3,42.82,43.88,45.37,45.39,47.33
51002,Arezzo,,41,510020000041,1,Residenziale,1,Tessuto urbano continuo,153,22847.4,True,38.31,40.03,40.32,40.99,39.01,40.08,39.95,41.24,38.6,39.05,39.11,39.42,41.76,43.04,43.21,43.78,42.09,43.52,43.63,44.32,38.88,40.61,40.77,42.15,39.31,41.01,41.25,41.79,42.9,45.17,45.48,46.18
51002,Arezzo,,42,510020000042,1,Residenziale,1,Tessuto urbano continuo,82,35653.2,True,35.95,36.99,36.84,39.27,36.64,38.07,38.23,39.59,37.69,38.44,38.45,39.2,39.85,41.01,40.95,42.91,39.08,40.68,40.37,42.92,36.75,38.31,38.15,40.67,36.71,38.14,38.03,40.37,40.36,41.77,41.71,44.64
51002,Arezzo,,43,510020000043,1,Residenziale,1,Tessuto urbano continuo,58,86532.1,True,35.56,36.71,36.76,38.75,35.99,37.38,37.51,38.74,36.94,38.18,38.1,39.96,39.91,41.54,41.71,42.67,39.45,41.14,41.22,42.52,35.21,38.69,38.93,40.25,33.28,37.49,38.03,40.0,39.02,41.57,41.75,43.97
51002,Arezzo,,44,510020000044,1,Residenziale,1,Tessuto urbano continuo,117,91801.8,True,34.99,36.74,36.87,38.61,36.35,37.48,37.58,38.32,36.21,38.36,38.28,40.27,38.18,40.19,40.37,41.78,38.21,40.45,40.44,41.99,35.52,38.72,38.94,40.32,35.62,37.97,38.15,40.05,39.14,41.41,41.25,43.46
51002,Arezzo,,45,510020000045,1,Residenziale,1,Tessuto urbano continuo,10,24929.2,True,35.47,36.44,36.19,38.12,36.25,37.58,37.4,39.2,38.99,39.78,39.79,40.63,38.11,39.74,39.73,41.4,38.32,39.47,39.19,41.26,37.39,39.23,39.42,40.24,36.54,37.71,37.52,38.86,39.75,41.1,41.01,42.4
51002,Arezzo,,46,510020000046,1,Residenziale,1,Tessuto urbano continuo,39,14046.3,True,38.19,39.19,39.27,40.2,38.39,39.41,39.49,40.43,39.4,41.34,41.44,42.88,40.95,42.48,42.56,43.8,42.02,43.07,43.08,44.24,39.0,41.04,41.23,42.72,39.02,40.05,40.07,41.05,42.62,44.12,43.91,45.81
51002,Arezzo,,47,510020000047,15,Cimitero,5,Edifici pubblici e servizi,0,84751.2,True,37.5,39.01,38.87,41.51,37.57,39.25,39.14,40.67,38.7,41.11,41.46,43.24,38.64,41.44,41.44,43.22,39.99,42.33,42.35,44.18,36.06,39.11,39.18,41.21,37.69,40.03,40.14,41.61,41.41,43.75,43.57,45.89
51002,Arezzo,,48,510020000048,1,Residenziale,1,Tessuto urbano continuo,76,142035.9,True,34.01,36.79,36.83,40.32,33.85,37.25,37.41,40.36,34.73,39.68,39.77,43.97,34.94,39.36,39.73,43.45,35.42,39.05,39.01,43.22,32.11,35.41,35.08,41.77,33.69,37.11,36.92,41.73,37.37,41.28,41.4,45.19
51002,Arezzo,,49,510020000049,1,Residenziale,1,Tessuto urbano continuo,368,110634.4,True,36.07,39.98,40.32,43.36,37.45,40.17,40.13,42.05,38.81,42.47,42.5,45.32,38.72,42.97,43.2,46.03,38.08,43.36,43.69,47.13,36.6,40.72,41.21,44.47,36.39,40.75,41.18,43.23,39.5,44.36,44.57,47.8
51002,Arezzo,,50,510020000050,1,Residenziale,1,Tessuto urbano continuo,69,134067.3,True,35.24,36.74,36.7,39.93,35.53,37.57,37.7,39.93,38.28,40.46,40.37,42.76,37.93,39.56,39.4,43.09,37.74,39.3,39.03,43.62,36.82,38.56,38.39,41.9,36.6,37.74,37.63,40.67,37.01,39.84,39.74,44.62
51002,Arezzo,,51,510020000051,1,Residenziale,1,Tessuto urbano continuo,11,65845.1,True,34.09,38.45,38.85,41.27,34.61,39.05,39.42,41.6,36.54,41.53,42.29,43.89,36.44,41.8,42.11,45.25,36.62,41.97,42.44,45.2,35.95,40.44,40.48,43.69,35.51,39.23,39.41,42.2,38.81,43.73,44.1,46.96
51002,Arezzo,,52,510020000052,1,Residenziale,1,Tessuto urbano continuo,169,21899.8,True,39.78,41.01,41.08,42.19,40.13,41.02,41.08,41.63,41.72,43.21,43.29,44.16,43.52,44.34,44.32,45.08,44.37,45.05,45.05,45.62,41.89,42.9,42.86,43.69,40.29,41.38,41.49,41.97,44.71,45.96,45.9,47.3
51002,Arezzo,,53,510020000053,1,Residenziale,1,Tessuto urbano continuo,242,68337.2,True,35.68,39.09,39.07,41.38,36.52,39.13,39.15,40.58,38.19,41.31,41.18,44.28,38.23,42.08,42.17,43.87,38.67,42.17,42.25,44.11,35.41,38.47,38.47,41.45,36.7,40.43,40.67,42.31,40.69,43.52,43.53,45.62
51002,Arezzo,,54,510020000054,1,Residenziale,1,Tessuto urbano continuo,38,90066.4,True,34.03,36.94,36.44,39.82,34.23,36.57,36.28,39.58,36.04,39.07,38.85,42.69,36.19,39.23,39.11,43.01,36.12,39.14,39.2,42.41,35.75,38.51,38.29,41.69,34.15,37.14,37.11,40.29,37.8,40.38,40.57,43.72
51002,Arezzo,,55,510020000055,26,Area agricola,9,Colture agricole,1,14726.4,True,34.38,35.2,34.91,36.79,33.95,34.08,34.08,34.2,36.21,36.59,36.4,37.34,34.93,35.85,35.72,37.33,34.87,35.63,35.59,37.11,35.32,35.81,35.62,37.51,34.45,34.94,34.81,36.04,37.74,38.38,38.38,39.3
51002,Arezzo,,56,510020000056,26,Area agricola,9,Colture agricole,14,262454.2,True,32.02,35.28,35.26,40.61,32.02,35.92,35.53,41.05,32.95,37.71,37.76,44.59,34.03,38.15,37.66,44.98,34.14,37.54,37.35,45.29,31.63,35.61,35.52,42.69,32.68,36.09,35.81,42.25,35.08,39.18,38.9,46.31
51002,Arezzo,,57,510020000057,1,Residenziale,1,Tessuto urbano continuo,153,26428.0,True,36.97,38.53,38.6,39.56,36.56,37.92,37.79,39.25,36.39,37.69,37.97,38.48,39.48,41.28,41.24,42.86,40.76,42.05,41.92,43.35,38.86,39.94,40.06,40.86,37.93,40.09,40.31,41.23,41.83,43.93,43.99,44.83
51002,Arezzo,,58,510020000058,1,Residenziale,1,Tessuto urbano continuo,138,23922.4,True,39.26,40.02,40.06,40.35,39.34,39.79,39.75,40.88,40.41,41.27,40.99,42.23,42.45,42.78,42.79,43.19,42.35,43.24,43.3,43.85,38.93,41.64,41.91,42.62,39.98,40.9,40.94,41.6,43.23,44.88,45.03,45.91
51002,Arezzo,,59,510020000059,1,Residenziale,1,Tessuto urbano continuo,306,60646.6,True,39.8,40.41,40.34,41.67,39.16,40.3,40.23,42.13,40.73,41.92,41.8,44.27,42.24,43.19,43.2,44.62,42.49,43.39,43.38,44.59,38.33,41.3,41.52,42.5,39.65,41.0,41.04,42.31,43.06,45.47,45.68,46.89
51002,Arezzo,,60,510020000060,1,Residenziale,1,Tessuto urbano continuo,60,7440.0,True,38.5,39.37,39.47,39.93,38.68,39.32,39.11,40.84,38.82,40.23,40.41,41.26,40.51,41.93,42.08,43.0,42.3,42.86,42.92,43.38,37.23,38.75,38.8,40.69,40.08,40.48,40.52,40.93,44.22,44.75,44.77,45.25
51002,Arezzo,,61,510020000061,1,Residenziale,1,Tessuto urbano continuo,83,21963.3,True,35.96,37.63,37.51,39.76,36.56,37.47,37.25,39.39,36.54,38.42,38.54,40.98,39.25,40.59,40.56,43.02,40.13,41.36,41.26,43.05,37.66,38.59,38.57,40.78,37.28,38.88,39.0,40.8,40.32,42.44,42.7,45.03
51002,Arezzo,,62,510020000062,1,Residenziale,1,Tessuto urbano continuo,50,8797.0,True,37.94,38.2,38.19,38.45,37.6,37.72,37.73,37.87,36.37,37.77,38.35,38.78,40.62,40.97,40.98,41.36,41.85,42.01,42.02,42.1,37.12,38.76,39.16,39.63,39.44,39.85,39.89,40.3,43.79,44.32,44.15,44.83
51002,Arezzo,,63,510020000063,1,Residenziale,1,Tessuto urbano continuo,33,3950.8,False,39.61,39.95,39.96,40.28,39.47,39.6,39.65,39.68,41.19,41.4,41.36,41.74,42.62,43.05,43.14,43.26,43.72,43.94,43.99,44.09,40.04,40.95,41.19,41.71,40.79,40.96,40.92,41.16,45.05,45.38,45.48,45.64
