PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
44007,Ascoli_Piceno,,1,440070000001,1,Residenziale,1,Tessuto urbano continuo,15,1002.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44007,Ascoli_Piceno,,2,440070000002,1,Residenziale,1,Tessuto urbano continuo,14,1037.2,False,40.56,40.66,40.67,40.75,40.19,40.4,40.46,40.55,42.04,42.22,42.27,42.36,42.97,43.19,43.29,43.3,41.79,41.87,41.82,42.01,43.66,43.84,43.85,44.02,42.72,42.78,42.81,42.82,46.54,46.68,46.74,46.77
44007,Ascoli_Piceno,,3,440070000003,1,Residenziale,1,Tessuto urbano continuo,22,1643.7,False,40.5,40.5,40.5,40.5,40.07,40.07,40.07,40.07,41.93,41.93,41.93,41.93,42.85,42.85,42.85,42.85,41.66,41.66,41.66,41.66,43.23,43.23,43.23,43.23,42.7,42.7,42.7,42.7,46.48,46.48,46.48,46.48
44007,Ascoli_Piceno,,4,440070000004,1,Residenziale,1,Tessuto urbano continuo,10,1214.5,False,40.55,40.57,40.57,40.6,40.07,40.07,40.07,40.07,41.98,42.0,42.0,42.01,42.84,42.87,42.87,42.9,41.7,41.7,41.7,41.7,43.25,43.26,43.26,43.27,42.67,42.7,42.7,42.73,46.39,46.4,46.4,46.41
44007,Ascoli_Piceno,,5,440070000005,1,Residenziale,1,Tessuto urbano continuo,5,1638.4,False,40.56,40.6,40.6,40.63,40.15,40.17,40.18,40.19,42.04,42.05,42.05,42.05,42.9,42.94,42.95,42.97,41.69,41.75,41.76,41.79,43.34,43.46,43.39,43.66,42.71,42.71,42.71,42.72,46.38,46.44,46.41,46.54
44007,Ascoli_Piceno,,6,440070000006,1,Residenziale,1,Tessuto urbano continuo,15,1367.2,False,40.56,40.56,40.56,40.56,40.19,40.19,40.19,40.19,42.04,42.04,42.04,42.04,42.97,42.97,42.97,42.97,41.79,41.79,41.79,41.79,43.66,43.66,43.66,43.66,42.72,42.72,42.72,42.72,46.54,46.54,46.54,46.54
44007,Ascoli_Piceno,,7,440070000007,1,Residenziale,1,Tessuto urbano continuo,13,1786.2,False,40.5,40.56,40.56,40.63,40.07,40.18,40.18,40.29,41.93,42.04,42.04,42.15,42.85,43.05,43.05,43.24,41.66,41.7,41.7,41.74,43.23,43.46,43.46,43.69,42.7,42.79,42.79,42.88,46.48,46.65,46.65,46.81
44007,Ascoli_Piceno,,8,440070000008,1,Residenziale,1,Tessuto urbano continuo,34,2729.8,False,40.47,40.53,40.54,40.6,39.99,40.05,40.04,40.15,41.76,41.84,41.82,41.96,42.67,42.86,42.85,43.09,41.34,41.45,41.46,41.56,43.01,43.3,43.29,43.6,42.65,42.77,42.76,42.89,46.25,46.47,46.46,46.7
44007,Ascoli_Piceno,,9,440070000009,4,Piazza monumentale,5,Edifici pubblici e servizi,0,2159.4,False,40.17,40.33,40.33,40.48,39.7,39.87,39.89,40.01,41.4,41.64,41.65,41.84,42.39,42.55,42.53,42.75,40.93,41.2,41.17,41.51,42.62,42.84,42.81,43.12,42.32,42.52,42.53,42.68,45.84,46.1,46.09,46.38
44007,Ascoli_Piceno,,10,440070000010,1,Residenziale,1,Tessuto urbano continuo,0,1004.5,False,40.25,40.25,40.25,40.25,39.87,39.87,39.87,39.87,41.69,41.69,41.69,41.69,42.43,42.43,42.43,42.43,41.14,41.14,41.14,41.14,42.91,42.91,42.91,42.91,42.46,42.46,42.46,42.46,46.08,46.08,46.08,46.08
44007,Ascoli_Piceno,,11,440070000011,31,Museo,5,Edifici pubblici e servizi,0,1100.7,False,40.5,40.53,40.53,40.56,40.05,40.08,40.08,40.1,41.89,41.95,41.95,42.01,42.66,42.68,42.68,42.69,41.43,41.49,41.49,41.55,42.91,43.02,43.02,43.12,42.7,42.72,42.72,42.74,46.28,46.34,46.34,46.4
44007,Ascoli_Piceno,,12,440070000012,1,Residenziale,1,Tessuto urbano continuo,0,527.2,False,40.52,40.55,40.55,40.59,40.04,40.05,40.05,40.06,41.94,41.98,41.98,42.02,42.74,42.77,42.77,42.79,41.58,41.62,41.62,41.65,42.93,42.99,42.99,43.06,42.71,42.73,42.73,42.75,46.34,46.39,46.39,46.43
44007,Ascoli_Piceno,,13,440070000013,1,Residenziale,1,Tessuto urbano continuo,0,332.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44007,Ascoli_Piceno,,14,440070000014,1,Residenziale,1,Tessuto urbano continuo,12,2484.9,False,40.47,40.68,40.62,41.01,40.87,41.01,41.03,41.12,42.3,42.33,42.32,42.37,43.19,43.3,43.26,43.48,41.82,41.89,41.89,41.95,43.73,43.83,43.78,44.0,42.85,42.88,42.87,42.92,46.53,46.68,46.65,46.89
44007,Ascoli_Piceno,,15,440070000015,1,Residenziale,1,Tessuto urbano continuo,0,2146.0,False,40.93,41.21,41.34,41.35,39.9,40.83,41.29,41.3,42.29,42.42,42.44,42.54,43.39,43.53,43.58,43.63,41.76,41.83,41.87,41.87,43.67,43.75,43.76,43.83,42.97,43.04,43.02,43.14,46.74,46.88,46.91,46.97
44007,Ascoli_Piceno,,16,440070000016,1,Residenziale,1,Tessuto urbano continuo,16,1141.7,False,41.08,41.15,41.15,41.22,40.79,40.95,40.95,41.1,42.19,42.31,42.31,42.42,43.6,43.64,43.64,43.69,41.61,41.68,41.68,41.74,43.75,43.76,43.76,43.77,43.17,43.18,43.18,43.19,46.87,46.89,46.89,46.91
44007,Ascoli_Piceno,,17,440070000017,1,Residenziale,1,Tessuto urbano continuo,6,1565.8,False,40.73,40.77,40.77,40.82,40.34,40.46,40.46,40.59,41.95,42.06,42.06,42.18,43.33,43.41,43.41,43.49,41.42,41.5,41.5,41.58,43.76,43.79,43.79,43.83,43.0,43.02,43.02,43.04,46.76,46.83,46.83,46.89
44007,Ascoli_Piceno,,18,440070000018,1,Residenziale,1,Tessuto urbano continuo,0,428.5,False,40.67,40.77,40.77,40.87,40.42,40.52,40.52,40.62,41.92,41.97,41.97,42.01,42.84,42.9,42.9,42.96,41.4,41.43,41.43,41.46,43.39,43.43,43.43,43.47,42.78,42.86,42.86,42.93,46.45,46.47,46.47,46.49
44007,Ascoli_Piceno,,19,440070000019,1,Residenziale,1,Tessuto urbano continuo,27,1221.9,False,40.41,40.48,40.48,40.55,40.03,40.11,40.11,40.2,41.6,41.65,41.65,41.7,42.92,42.98,42.98,43.05,41.22,41.23,41.23,41.24,43.24,43.33,43.33,43.42,42.62,42.69,42.69,42.76,46.35,46.4,46.4,46.45
44007,Ascoli_Piceno,,20,440070000020,1,Residenziale,1,Tessuto urbano continuo,16,749.0,False,40.24,40.34,40.34,40.43,39.8,39.97,39.97,40.13,41.42,41.57,41.57,41.73,42.41,42.53,42.53,42.66,41.15,41.18,41.18,41.21,42.98,43.08,43.08,43.18,42.34,42.42,42.42,42.5,46.12,46.2,46.2,46.28
44007,Ascoli_Piceno,,21,440070000021,1,Residenziale,1,Tessuto urbano continuo,70,3398.4,False,39.6,39.77,39.77,39.94,38.83,39.1,39.1,39.36,40.84,40.95,40.95,41.06,42.11,42.17,42.17,42.24,40.37,40.57,40.57,40.77,42.11,42.33,42.33,42.55,41.66,41.8,41.8,41.94,45.59,45.66,45.66,45.72
44007,Ascoli_Piceno,,22,440070000022,1,Residenziale,1,Tessuto urbano continuo,5,813.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44007,Ascoli_Piceno,,23,440070000023,1,Residenziale,1,Tessuto urbano continuo,21,1636.0,False,38.66,38.66,38.66,38.66,37.81,37.81,37.81,37.81,40.19,40.19,40.19,40.19,40.96,40.96,40.96,40.96,39.52,39.52,39.52,39.52,41.1,41.1,41.1,41.1,40.93,40.93,40.93,40.93,44.77,44.77,44.77,44.77
44007,Ascoli_Piceno,,24,440070000024,1,Residenziale,1,Tessuto urbano continuo,13,715.3,False,38.82,38.82,38.82,38.82,37.84,37.84,37.84,37.84,40.09,40.09,40.09,40.09,41.07,41.07,41.07,41.07,39.6,39.6,39.6,39.6,41.1,41.1,41.1,41.1,41.0,41.0,41.0,41.0,44.58,44.58,44.58,44.58
44007,Ascoli_Piceno,,25,440070000025,1,Residenziale,1,Tessuto urbano continuo,0,469.4,False,39.07,39.07,39.07,39.07,38.02,38.02,38.02,38.02,40.24,40.24,40.24,40.24,41.52,41.52,41.52,41.52,39.72,39.72,39.72,39.72,41.29,41.29,41.29,41.29,41.22,41.22,41.22,41.22,44.82,44.82,44.82,44.82
44007,Ascoli_Piceno,,26,440070000026,22,Bosco/copertura forestale,8,Vegetazione naturale,0,8663.1,True,35.27,36.12,35.91,37.44,34.65,35.72,35.69,36.75,36.65,37.76,37.74,39.3,38.05,38.63,38.41,39.72,35.5,36.81,36.68,38.5,37.56,38.46,38.28,39.93,37.16,38.08,37.83,39.72,40.24,41.6,41.74,43.43
44007,Ascoli_Piceno,,27,440070000027,1,Residenziale,1,Tessuto urbano continuo,17,1178.2,False,38.03,38.65,38.69,39.2,37.1,37.65,37.69,38.13,39.49,39.92,39.97,40.24,40.21,40.97,41.06,41.57,38.92,39.37,39.41,39.72,40.33,40.96,41.01,41.48,40.32,40.89,40.93,41.39,43.92,44.49,44.52,45.02
44007,Ascoli_Piceno,,28,440070000028,1,Residenziale,1,Tessuto urbano continuo,0,1763.9,False,37.67,37.85,37.85,38.03,36.81,36.96,36.96,37.1,39.27,39.38,39.38,39.49,39.83,40.02,40.02,40.21,38.68,38.8,38.8,38.92,40.02,40.18,40.18,40.33,39.99,40.16,40.16,40.32,43.53,43.73,43.73,43.92
44007,Ascoli_Piceno,,29,440070000029,1,Residenziale,1,Tessuto urbano continuo,2,523.0,False,37.19,37.19,37.19,37.19,36.59,36.59,36.59,36.59,39.0,39.0,39.0,39.0,39.67,39.67,39.67,39.67,38.29,38.29,38.29,38.29,39.73,39.73,39.73,39.73,39.48,39.48,39.48,39.48,42.98,42.98,42.98,42.98
44007,Ascoli_Piceno,,30,440070000030,2,Culto,5,Edifici pubblici e servizi,0,1244.7,False,36.86,37.37,37.37,37.87,36.4,36.89,36.89,37.37,38.51,39.02,39.02,39.53,39.49,39.93,39.93,40.36,37.84,38.4,38.4,38.97,38.58,39.3,39.3,40.02,38.41,39.08,39.08,39.76,41.1,41.95,41.95,42.8
44007,Ascoli_Piceno,,31,440070000031,1,Residenziale,1,Tessuto urbano continuo,64,4442.7,False,37.96,38.72,38.75,39.4,37.22,37.86,37.97,38.4,39.55,40.09,40.22,40.5,40.47,41.2,41.21,41.88,39.0,39.65,39.77,40.2,40.4,41.09,41.03,41.76,40.26,40.99,40.96,41.65,43.69,44.4,44.21,45.13
44007,Ascoli_Piceno,,32,440070000032,1,Residenziale,1,Tessuto urbano continuo,40,3082.8,False,39.52,39.74,39.78,39.92,38.43,38.71,38.84,38.86,40.39,40.55,40.55,40.71,41.92,42.03,41.97,42.19,39.93,40.19,40.21,40.43,41.95,42.13,42.04,42.42,41.73,41.85,41.79,42.04,45.37,45.48,45.39,45.69
44007,Ascoli_Piceno,,33,440070000033,1,Residenziale,1,Tessuto urbano continuo,36,5444.3,True,39.93,40.05,40.05,40.15,39.0,39.37,39.45,39.68,40.64,40.98,41.04,41.32,42.03,42.37,42.34,42.56,40.25,40.65,40.74,40.87,42.22,42.57,42.53,42.94,41.97,42.2,42.17,42.43,45.46,45.76,45.72,46.06
44007,Ascoli_Piceno,,34,440070000034,1,Residenziale,1,Tessuto urbano continuo,8,664.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44007,Ascoli_Piceno,,35,440070000035,1,Residenziale,1,Tessuto urbano continuo,15,1144.8,False,39.78,39.79,39.79,39.81,38.84,38.85,38.85,38.86,40.55,40.61,40.61,40.68,41.97,42.05,42.05,42.13,40.21,40.32,40.32,40.43,42.01,42.02,42.02,42.04,41.75,41.77,41.77,41.79,45.29,45.33,45.33,45.37
44007,Ascoli_Piceno,,36,440070000036,1,Residenziale,1,Tessuto urbano continuo,37,2465.7,False,39.95,40.06,40.07,40.17,39.2,39.48,39.52,39.7,40.79,41.13,41.17,41.4,42.03,42.28,42.35,42.39,40.49,40.77,40.84,40.93,42.22,42.4,42.39,42.62,41.97,42.19,42.23,42.32,45.46,45.68,45.7,45.84
44007,Ascoli_Piceno,,37,440070000037,1,Residenziale,1,Tessuto urbano continuo,16,2242.6,False,39.94,40.1,40.13,40.22,39.22,39.48,39.53,39.66,40.82,41.12,41.17,41.32,42.07,42.32,42.35,42.51,40.68,40.91,40.97,41.0,42.23,42.6,42.61,42.95,41.88,42.2,42.25,42.43,45.3,45.7,45.74,46.01
44007,Ascoli_Piceno,,38,440070000038,1,Residenziale,1,Tessuto urbano continuo,15,942.3,False,39.68,39.68,39.68,39.68,38.79,38.79,38.79,38.79,40.68,40.68,40.68,40.68,42.13,42.13,42.13,42.13,40.41,40.41,40.41,40.41,42.06,42.06,42.06,42.06,41.65,41.65,41.65,41.65,45.29,45.29,45.29,45.29
44007,Ascoli_Piceno,,39,440070000039,1,Residenziale,1,Tessuto urbano continuo,11,1161.6,False,39.92,39.92,39.92,39.92,39.23,39.23,39.23,39.23,40.86,40.86,40.86,40.86,42.23,42.23,42.23,42.23,40.79,40.79,40.79,40.79,42.39,42.39,42.39,42.39,41.86,41.86,41.86,41.86,45.42,45.42,45.42,45.42
44007,Ascoli_Piceno,,40,440070000040,1,Residenziale,1,Tessuto urbano continuo,26,1030.2,False,40.15,40.2,40.2,40.24,39.57,39.68,39.68,39.8,41.19,41.3,41.3,41.42,42.41,42.44,42.44,42.46,41.12,41.13,41.13,41.15,42.78,42.88,42.88,42.98,42.24,42.29,42.29,42.34,45.84,45.98,45.98,46.12
