PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
110002,Barletta,Puglia,1,1100020000001,1,Residenziale,1,Tessuto urbano continuo,695,77262.2,True,41.19,42.86,42.93,44.32,38.48,40.09,40.1,41.74,41.51,43.4,43.6,45.1,43.31,45.32,45.29,47.36,40.46,42.48,42.62,44.17,40.65,42.64,42.86,44.47,39.77,41.69,41.81,42.97,43.97,45.91,46.03,47.57
110002,Barletta,Puglia,2,1100020000002,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,82909.7,True,39.02,41.0,41.03,43.15,36.63,38.68,38.77,40.55,40.44,42.21,42.3,43.8,41.1,43.65,43.65,45.78,38.54,40.51,40.74,42.78,38.52,40.99,41.0,42.97,37.44,39.76,39.84,42.22,41.19,43.51,43.64,45.86
110002,Barletta,Puglia,3,1100020000003,1,Residenziale,1,Tessuto urbano continuo,369,22150.4,True,41.39,43.11,43.15,44.26,38.91,40.51,40.53,41.63,42.76,44.52,44.54,46.02,43.73,45.68,45.66,47.4,40.88,43.65,43.7,45.64,41.21,43.17,43.19,44.74,40.0,42.29,42.65,43.56,43.32,46.3,46.43,48.0
110002,Barletta,Puglia,4,1100020000004,1,Residenziale,1,Tessuto urbano continuo,294,20616.2,True,42.66,43.71,43.83,44.19,40.18,41.28,41.45,41.84,44.1,45.31,45.46,45.93,45.21,46.44,46.62,47.16,43.03,44.28,44.39,44.99,42.67,43.66,43.78,44.16,41.46,42.51,42.55,43.24,46.06,47.14,47.25,47.61
110002,Barletta,Puglia,5,1100020000005,1,Residenziale,1,Tessuto urbano continuo,425,37769.6,True,42.48,43.33,43.37,43.85,39.89,40.96,41.04,41.68,43.87,44.89,44.98,45.7,45.08,46.13,46.26,47.14,42.61,43.74,43.84,44.94,42.72,43.3,43.3,43.85,41.0,42.05,42.1,42.99,46.28,46.79,46.77,47.23
110002,Barletta,Puglia,6,1100020000006,1,Residenziale,1,Tessuto urbano continuo,393,31836.6,True,41.56,42.54,42.29,43.89,38.91,40.06,39.84,41.54,43.13,44.15,44.01,45.44,44.06,45.19,44.91,46.68,41.06,42.58,42.4,44.33,41.94,42.72,42.66,43.7,40.57,41.34,41.15,42.58,45.35,46.2,46.12,47.33
110002,Barletta,Puglia,7,1100020000007,1,Residenziale,1,Tessuto urbano continuo,513,21998.9,True,41.66,42.99,43.18,43.77,39.02,40.55,40.77,41.47,43.39,44.69,44.81,45.96,44.14,45.61,45.79,46.61,41.37,43.24,43.45,44.51,42.24,43.11,43.21,43.71,40.63,41.49,41.58,42.39,45.31,46.57,46.65,47.48
110002,Barletta,Puglia,8,1100020000008,1,Residenziale,1,Tessuto urbano continuo,146,13610.7,True,42.98,43.39,43.42,43.79,40.39,40.81,40.88,41.26,44.57,45.09,45.21,45.33,45.68,46.29,46.43,46.68,43.41,44.09,44.25,44.55,43.08,43.6,43.66,43.96,41.58,42.11,42.14,43.0,46.52,47.08,47.14,47.54
110002,Barletta,Puglia,9,1100020000009,1,Residenziale,1,Tessuto urbano continuo,120,7129.1,True,43.08,43.27,43.23,43.65,40.41,40.62,40.57,40.98,44.71,44.92,44.87,45.21,45.95,46.29,46.29,46.76,43.46,43.82,43.7,44.4,43.22,43.51,43.42,44.0,41.66,42.02,41.93,42.81,46.71,46.97,46.88,47.57
110002,Barletta,Puglia,10,1100020000010,1,Residenziale,1,Tessuto urbano continuo,53,5655.2,True,42.97,43.22,43.16,43.47,40.3,40.56,40.5,40.83,44.64,44.84,44.74,45.12,46.08,46.34,46.31,46.59,43.45,43.64,43.67,43.86,43.25,43.43,43.4,43.65,41.74,41.99,41.94,42.22,46.77,46.95,46.96,47.11
