PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
25006,Belluno,,1,250060000001,1,Residenziale,1,Tessuto urbano continuo,121,103045.9,True,27.66,29.56,29.55,31.46,30.8,33.0,32.86,35.16,28.52,30.59,30.47,32.25,30.95,34.33,34.31,36.98,26.81,29.17,29.01,30.92,30.73,33.43,33.17,35.92,28.32,30.68,30.57,32.98,33.94,37.39,37.43,39.53
25006,Belluno,,2,250060000002,1,Residenziale,1,Tessuto urbano continuo,131,50652.6,True,26.9,29.65,29.81,31.34,31.6,34.44,34.57,36.83,29.53,32.35,32.58,34.26,31.87,35.68,35.9,38.17,29.33,31.67,31.63,33.68,34.15,36.52,36.75,38.43,31.07,33.76,34.01,35.97,38.73,41.28,41.38,43.59
25006,Belluno,,3,250060000003,1,Residenziale,1,Tessuto urbano continuo,0,1072.3,False,28.6,29.01,28.91,29.53,32.28,32.59,32.53,32.94,30.07,30.28,30.28,30.5,32.56,32.74,32.69,32.96,28.64,28.9,28.89,29.17,33.7,33.81,33.83,33.91,30.49,30.54,30.53,30.6,39.12,39.33,39.4,39.48
25006,Belluno,,4,250060000004,12,Attivita produttive,2,Superficie impervia pesante,11,52098.6,True,31.29,37.16,37.95,39.79,36.32,42.84,43.12,46.05,33.94,40.16,40.42,43.24,34.95,42.94,43.05,47.65,32.84,37.55,37.87,40.0,38.09,43.68,43.67,46.52,35.41,41.14,41.47,43.68,41.68,47.8,48.09,50.71
25006,Belluno,,5,250060000005,1,Residenziale,1,Tessuto urbano continuo,93,29219.9,True,26.64,30.74,31.11,33.03,32.66,37.09,37.66,39.3,30.71,34.82,35.31,36.79,36.84,39.94,40.29,41.44,28.78,32.72,33.14,34.79,34.47,38.39,38.74,40.3,31.57,35.8,35.84,37.52,39.28,43.24,43.82,44.82
25006,Belluno,,6,250060000006,1,Residenziale,1,Tessuto urbano continuo,81,34906.7,True,29.15,31.29,31.24,33.64,32.09,33.88,33.62,36.56,30.2,31.8,31.63,33.76,31.74,35.52,35.78,38.8,28.19,30.12,29.73,32.84,32.49,34.7,34.65,36.9,29.88,32.72,32.96,35.08,36.19,39.45,39.64,42.09
25006,Belluno,,7,250060000007,1,Residenziale,1,Tessuto urbano continuo,109,9417.9,True,32.3,33.31,33.43,34.44,37.98,39.21,39.23,40.36,35.06,36.12,36.13,36.96,40.88,41.97,42.14,43.2,33.54,34.48,34.44,35.39,39.94,40.98,41.0,41.98,37.25,38.42,38.51,39.36,43.89,45.36,45.25,46.28
25006,Belluno,,8,250060000008,1,Residenziale,1,Tessuto urbano continuo,139,44464.2,True,27.95,30.89,31.03,32.95,30.87,33.9,33.91,36.23,29.3,32.37,32.43,34.73,31.15,34.77,35.0,37.01,27.41,30.19,30.25,32.2,31.21,34.53,34.82,36.81,29.02,32.28,32.48,34.36,34.77,38.05,38.18,40.29
25006,Belluno,,9,250060000009,1,Residenziale,1,Tessuto urbano continuo,79,75868.7,True,25.18,27.25,27.4,28.75,30.72,32.49,32.41,34.52,28.82,30.65,30.63,32.43,31.47,34.48,34.24,38.68,27.3,29.11,28.93,32.49,30.86,33.65,33.51,37.26,28.64,31.6,31.58,35.15,33.84,36.64,36.26,41.02
25006,Belluno,,10,250060000010,1,Residenziale,1,Tessuto urbano continuo,28,19504.1,True,29.74,31.36,31.16,32.94,34.83,36.37,36.29,37.87,32.24,33.67,33.56,35.11,36.51,37.84,37.6,39.94,31.61,32.51,32.23,34.42,35.74,36.8,36.69,38.27,33.14,34.55,34.36,36.42,41.04,41.95,41.9,42.94
