PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
62008,Benevento,,1,620080000001,1,Residenziale,1,Tessuto urbano continuo,21,4026.9,False,40.26,41.14,41.36,41.88,42.23,43.0,43.17,43.88,41.62,42.61,42.84,43.71,42.49,43.47,43.67,44.61,42.22,43.12,43.32,44.19,44.81,46.49,46.44,49.31,41.56,42.44,42.65,43.41,41.96,42.82,43.02,43.64
62008,Benevento,,2,620080000002,1,Residenziale,1,Tessuto urbano continuo,35,1786.4,False,40.16,40.98,40.92,41.86,41.37,42.4,42.34,43.47,41.44,41.76,41.52,42.33,41.73,42.95,42.84,44.27,41.62,42.67,42.51,43.87,45.14,45.83,46.05,46.29,41.09,42.06,41.94,43.16,41.54,42.54,42.43,43.64
62008,Benevento,,3,620080000003,1,Residenziale,1,Tessuto urbano continuo,62,2140.0,False,39.6,40.58,40.85,41.28,40.67,41.81,42.11,42.66,40.88,41.89,42.15,42.64,41.02,42.59,43.05,43.7,40.88,42.07,42.31,43.01,44.57,45.36,44.9,46.61,40.52,41.64,41.95,42.45,40.91,42.15,42.52,43.02
62008,Benevento,,4,620080000004,1,Residenziale,1,Tessuto urbano continuo,95,12024.0,True,38.96,40.55,40.6,41.64,41.05,42.39,42.45,43.58,40.5,42.13,42.12,43.29,41.9,43.28,43.32,44.55,40.49,42.08,42.03,43.53,44.16,45.97,46.15,47.76,39.87,41.53,41.61,42.92,40.75,42.42,42.45,43.71
62008,Benevento,,5,620080000005,1,Residenziale,1,Tessuto urbano continuo,83,4562.2,False,40.28,41.44,41.75,41.96,42.23,43.4,43.57,43.91,41.73,42.98,43.11,43.75,43.08,44.29,44.5,44.78,42.03,43.31,43.69,43.81,46.16,47.4,47.37,48.57,40.64,41.3,41.13,42.2,42.17,43.28,43.47,43.89
62008,Benevento,,6,620080000006,1,Residenziale,1,Tessuto urbano continuo,34,3335.6,False,42.08,42.19,42.23,42.33,43.95,44.01,43.99,44.11,43.61,43.87,43.92,44.1,44.77,44.84,44.86,44.91,44.14,44.24,44.28,44.33,47.29,47.68,47.42,48.18,41.28,41.37,41.39,41.48,43.85,43.91,43.85,44.03
62008,Benevento,,7,620080000007,1,Residenziale,1,Tessuto urbano continuo,124,4732.4,False,42.15,42.28,42.32,42.36,44.01,44.05,44.04,44.09,43.77,44.03,44.11,44.14,44.74,44.79,44.79,44.83,44.04,44.17,44.18,44.29,47.24,47.54,47.46,48.33,41.42,41.69,41.6,42.02,43.89,43.97,43.95,44.05
62008,Benevento,,8,620080000008,1,Residenziale,1,Tessuto urbano continuo,55,3308.9,False,41.46,41.81,41.94,42.12,43.56,43.76,43.85,43.88,43.49,43.78,43.82,43.98,44.34,44.56,44.57,44.71,44.06,44.17,44.22,44.23,47.12,47.22,47.25,47.27,41.24,41.43,41.48,41.58,43.45,43.63,43.74,43.74
62008,Benevento,,9,620080000009,1,Residenziale,1,Tessuto urbano continuo,44,10183.2,True,41.09,42.2,42.22,42.68,43.32,44.11,44.21,44.51,43.33,44.25,44.31,44.88,44.1,44.96,45.05,45.42,43.81,44.55,44.5,45.15,46.72,47.79,47.93,48.57,41.67,42.8,42.86,43.86,43.2,44.17,44.26,44.67
62008,Benevento,,10,620080000010,1,Residenziale,1,Tessuto urbano continuo,32,2279.5,False,42.37,42.46,42.37,42.65,44.06,44.18,44.06,44.42,44.11,44.35,44.11,44.84,45.07,45.19,45.07,45.42,44.5,44.67,44.5,45.03,47.83,47.94,47.83,48.18,43.56,43.66,43.56,43.86,44.39,44.48,44.39,44.67
62008,Benevento,,11,620080000011,1,Residenziale,1,Tessuto urbano continuo,51,2593.7,False,41.22,41.82,41.92,42.24,42.88,43.48,43.53,43.98,40.85,42.01,41.61,43.96,43.87,44.54,44.62,45.06,43.3,44.1,44.26,44.58,46.33,46.92,46.99,47.37,42.47,43.0,43.11,43.33,43.19,43.67,43.74,44.02
62008,Benevento,,12,620080000012,1,Residenziale,1,Tessuto urbano continuo,15,1377.3,False,42.53,42.53,42.53,42.53,44.33,44.33,44.33,44.33,43.96,43.96,43.96,43.96,45.23,45.23,45.23,45.23,44.61,44.61,44.61,44.61,47.19,47.19,47.19,47.19,43.76,43.76,43.76,43.76,44.31,44.31,44.31,44.31
62008,Benevento,,13,620080000013,1,Residenziale,1,Tessuto urbano continuo,37,1929.6,False,42.32,42.79,42.77,43.31,44.14,44.72,44.66,45.42,43.71,44.22,44.16,44.86,44.64,45.37,45.43,45.98,44.15,44.82,44.84,45.43,47.19,48.19,47.97,49.62,43.53,44.0,43.96,44.54,43.94,44.56,44.55,45.21
62008,Benevento,,14,620080000014,1,Residenziale,1,Tessuto urbano continuo,303,10306.8,True,42.76,43.11,43.11,43.36,44.82,45.17,45.17,45.4,44.39,44.86,44.87,45.18,45.29,45.83,45.83,46.17,44.8,45.34,45.42,45.68,48.29,49.64,49.7,51.39,44.03,44.28,44.28,44.5,44.55,44.95,44.96,45.21
62008,Benevento,,15,620080000015,1,Residenziale,1,Tessuto urbano continuo,23,1941.5,False,42.24,42.34,42.4,42.4,43.98,44.17,44.27,44.27,41.84,43.38,44.15,44.15,45.06,45.15,45.19,45.19,44.58,44.8,44.9,44.9,47.37,47.48,47.54,47.54,43.33,43.46,43.52,43.52,44.02,44.12,44.18,44.18
62008,Benevento,,16,620080000016,1,Residenziale,1,Tessuto urbano continuo,35,1507.8,False,41.8,41.93,41.93,42.06,43.4,43.55,43.55,43.69,43.57,43.82,43.82,44.07,44.5,44.6,44.6,44.71,44.06,44.24,44.24,44.43,47.08,47.13,47.13,47.18,42.96,43.04,43.04,43.12,43.69,43.75,43.75,43.81
62008,Benevento,,17,620080000017,1,Residenziale,1,Tessuto urbano continuo,19,2938.8,False,41.78,42.17,42.29,42.33,43.8,44.07,44.09,44.27,43.89,44.11,44.18,44.2,44.64,44.93,45.0,45.08,44.57,44.78,44.82,44.93,46.79,47.11,47.19,47.25,42.96,43.27,43.35,43.42,43.57,43.87,43.95,44.02
62008,Benevento,,18,620080000018,2,Culto,5,Edifici pubblici e servizi,0,3153.1,False,41.83,42.24,42.11,42.78,43.98,44.69,44.9,45.29,43.78,44.19,44.11,44.79,44.76,45.26,45.36,45.67,44.66,45.06,45.07,45.46,46.76,47.53,47.72,48.29,43.05,43.54,43.58,44.04,43.58,44.23,44.33,44.93
62008,Benevento,,19,620080000019,1,Residenziale,1,Tessuto urbano continuo,27,4505.7,False,42.25,42.62,42.66,43.15,44.38,44.87,44.92,45.34,44.43,44.72,44.59,45.06,45.17,45.56,45.56,45.91,44.86,45.19,45.22,45.55,49.75,50.18,49.9,50.68,43.43,43.87,43.92,44.26,43.88,44.41,44.5,45.0
62008,Benevento,,20,620080000020,1,Residenziale,1,Tessuto urbano continuo,75,9419.9,True,40.91,41.52,41.44,42.92,43.64,44.16,43.91,45.34,43.26,43.83,43.71,45.02,44.11,44.75,44.56,45.91,43.9,44.43,44.26,45.55,46.28,47.48,46.96,49.9,41.82,42.73,42.59,44.26,42.72,43.52,43.29,45.0
62008,Benevento,,21,620080000021,37,Scuole/istituti,5,Edifici pubblici e servizi,2,9645.4,True,40.86,41.26,41.28,41.66,44.12,44.44,44.41,44.92,43.3,43.7,43.71,44.08,44.49,44.79,44.78,45.24,43.76,44.13,44.15,44.69,46.76,47.22,47.06,48.02,41.98,42.72,42.65,43.29,43.32,43.72,43.78,44.3
62008,Benevento,,22,620080000022,1,Residenziale,1,Tessuto urbano continuo,64,3739.4,False,39.01,39.73,39.59,40.23,41.06,41.71,41.64,42.1,40.29,40.95,40.76,41.48,42.31,42.87,42.97,43.05,40.82,41.71,41.69,42.18,44.89,45.25,45.06,45.64,39.76,40.24,40.29,40.42,40.88,41.69,41.63,42.14
62008,Benevento,,23,620080000023,1,Residenziale,1,Tessuto urbano continuo,83,4900.5,False,39.89,40.65,40.56,41.32,41.86,42.41,42.25,42.97,41.05,41.85,41.76,42.62,43.23,43.66,43.61,44.23,42.14,42.81,42.71,43.5,45.99,46.46,46.22,47.73,40.44,40.59,40.56,40.85,41.99,42.61,42.56,43.2
62008,Benevento,,24,620080000024,1,Residenziale,1,Tessuto urbano continuo,92,5725.6,True,40.49,41.01,41.0,41.47,42.17,42.62,42.56,43.06,41.86,42.51,42.5,43.02,43.62,44.08,44.0,44.57,42.68,43.27,43.25,43.8,46.73,47.16,47.07,47.54,40.73,40.93,40.86,41.58,42.52,43.04,43.05,43.51
62008,Benevento,,25,620080000025,1,Residenziale,1,Tessuto urbano continuo,42,7566.1,True,41.42,41.89,41.99,42.38,42.96,43.69,43.79,44.24,43.17,43.66,43.71,44.01,44.48,45.13,45.25,45.48,43.74,44.38,44.47,44.82,46.57,47.08,47.11,47.59,41.08,41.8,41.61,42.69,43.5,44.08,44.17,44.46
