PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
16024,Bergamo,,1,160240000001,22,Bosco/copertura forestale,8,Vegetazione naturale,34,,True,28.01,29.54,29.03,34.4,26.57,28.62,28.09,33.9,25.15,27.58,27.13,30.63,30.21,33.84,33.12,41.13,29.33,32.24,31.77,36.48,29.68,31.55,31.19,36.54,27.17,29.13,28.54,34.93,30.82,32.62,31.81,37.03
16024,Bergamo,,2,160240000002,26,Area agricola,9,Colture agricole,35,,True,28.12,30.45,30.84,34.28,26.8,29.21,29.41,33.95,25.1,27.58,27.77,30.58,29.98,35.33,36.49,39.88,30.64,33.47,33.81,37.13,30.1,32.85,33.26,36.42,27.45,29.83,29.77,34.58,29.7,32.97,33.7,36.81
16024,Bergamo,,3,160240000003,26,Area agricola,9,Colture agricole,84,,True,28.15,31.23,31.46,35.76,26.59,30.84,31.19,35.63,26.26,29.16,29.52,31.81,30.56,34.56,34.17,40.98,29.32,34.43,34.81,39.4,29.91,33.5,33.7,38.21,27.42,30.29,30.49,34.24,30.88,34.74,34.83,39.49
16024,Bergamo,,4,160240000004,22,Bosco/copertura forestale,8,Vegetazione naturale,23,,True,26.53,29.04,28.38,34.79,26.07,28.17,27.37,34.34,25.71,27.36,27.0,30.61,29.77,34.25,32.58,45.08,28.88,31.69,31.21,37.91,28.6,31.21,30.61,37.28,26.23,28.3,27.67,33.75,27.58,30.8,30.14,35.9
16024,Bergamo,,5,160240000005,1,Residenziale,1,Tessuto urbano continuo,23,,True,29.64,31.12,31.03,33.53,29.01,31.07,31.19,32.8,27.81,29.47,29.38,30.61,35.23,38.75,38.83,41.73,32.68,34.98,34.73,37.01,32.23,33.7,33.58,35.63,29.39,31.37,31.5,33.1,33.29,34.67,34.74,35.94
16024,Bergamo,,6,160240000006,1,Residenziale,1,Tessuto urbano continuo,13,,True,28.93,31.4,31.44,33.65,28.19,30.3,30.26,32.35,25.62,27.38,27.48,29.1,32.36,35.68,35.7,38.93,31.58,34.24,34.26,36.72,31.5,34.19,34.49,36.17,28.9,31.27,31.36,33.28,32.7,35.91,36.28,38.07
16024,Bergamo,,7,160240000007,1,Residenziale,1,Tessuto urbano continuo,68,,True,30.0,32.7,33.03,34.83,29.17,32.21,32.42,34.57,27.28,29.65,29.79,30.87,34.53,38.35,38.73,41.19,33.76,35.8,36.21,37.71,32.99,35.27,35.62,36.99,30.13,33.04,33.29,35.05,32.88,35.47,35.78,37.38
16024,Bergamo,,8,160240000008,22,Bosco/copertura forestale,8,Vegetazione naturale,89,,True,26.45,28.84,28.51,36.43,25.63,27.98,27.66,34.56,23.61,25.86,25.55,33.1,29.04,32.37,31.75,43.76,28.46,31.23,30.93,40.26,28.54,31.07,30.65,38.92,25.04,28.56,28.3,36.74,29.37,32.49,32.04,42.12
16024,Bergamo,,9,160240000009,1,Residenziale,1,Tessuto urbano continuo,55,,True,32.54,34.59,34.47,36.92,32.09,34.62,34.56,37.14,29.45,31.13,30.94,33.3,35.27,39.33,39.44,42.57,35.94,37.5,37.53,38.92,34.34,36.92,36.75,39.83,30.22,32.56,32.72,35.93,35.52,37.62,37.29,40.39
16024,Bergamo,,10,160240000010,1,Residenziale,1,Tessuto urbano continuo,59,,True,31.64,32.83,32.79,34.53,31.83,32.72,32.52,34.37,29.13,30.11,30.06,31.35,33.74,37.19,36.25,43.32,33.81,35.83,35.93,37.54,33.6,35.12,34.83,37.48,30.44,31.81,31.87,33.24,32.93,35.2,35.31,37.39
16024,Bergamo,,11,160240000011,26,Area agricola,9,Colture agricole,23,,True,28.05,32.61,32.64,37.05,27.35,32.29,32.55,35.41,25.81,29.53,29.66,33.55,31.25,39.4,39.74,44.08,30.83,35.12,34.95,41.39,30.49,34.93,35.05,39.13,28.07,32.61,32.82,37.2,30.9,36.1,35.9,42.23
16024,Bergamo,,12,160240000012,22,Bosco/copertura forestale,8,Vegetazione naturale,4,,True,27.29,28.78,28.24,33.14,26.39,28.0,27.23,32.98,23.7,25.54,25.22,30.22,29.86,32.04,31.19,38.29,29.74,31.32,30.93,36.89,29.37,30.86,30.3,35.25,26.6,28.33,27.86,32.63,29.78,31.98,31.21,37.06
16024,Bergamo,,13,160240000013,1,Residenziale,1,Tessuto urbano continuo,67,,True,30.84,33.19,33.08,35.38,31.45,32.9,32.61,35.56,28.9,30.29,30.42,31.95,37.56,40.25,40.26,42.97,33.52,36.37,36.44,39.48,34.41,35.54,35.25,38.18,31.19,32.8,32.53,35.15,34.01,34.94,34.71,37.02
16024,Bergamo,,14,160240000014,1,Residenziale,1,Tessuto urbano continuo,114,,True,33.21,34.42,34.3,36.33,32.77,34.33,34.36,37.0,30.27,31.19,31.22,31.87,36.99,41.78,42.36,44.61,34.98,37.17,37.41,38.21,34.76,36.88,36.91,39.07,31.19,33.34,33.46,35.31,33.64,36.22,36.39,37.8
16024,Bergamo,,15,160240000015,22,Bosco/copertura forestale,8,Vegetazione naturale,28,,True,27.44,29.08,28.43,33.4,26.28,28.24,27.54,32.07,24.51,26.12,25.56,31.09,30.08,33.39,31.87,41.86,29.32,31.94,31.44,36.85,29.78,31.46,30.8,35.78,26.97,28.9,28.32,33.26,30.66,32.75,32.01,37.74
16024,Bergamo,,16,160240000016,26,Area agricola,9,Colture agricole,6,,True,30.62,31.81,31.52,35.54,29.99,31.4,31.16,35.84,27.44,28.86,28.9,31.97,35.67,37.53,37.36,40.17,34.07,35.78,35.69,38.61,33.09,34.48,34.19,38.26,30.31,32.05,31.97,34.92,32.56,34.88,34.56,39.06
16024,Bergamo,,17,160240000017,1,Residenziale,1,Tessuto urbano continuo,337,,True,31.86,34.1,34.14,36.8,31.16,33.75,33.84,37.46,28.85,30.27,30.28,32.08,37.97,40.12,39.89,43.03,35.25,37.9,38.1,41.02,34.82,36.64,36.77,38.76,32.04,34.06,33.96,36.38,34.68,36.63,36.95,39.14
16024,Bergamo,,18,160240000018,1,Residenziale,1,Tessuto urbano continuo,525,,True,33.85,36.71,36.9,38.65,33.91,37.2,37.4,39.08,30.72,32.43,32.45,34.48,39.14,42.58,42.65,44.1,35.92,39.06,39.14,42.12,36.37,39.77,40.13,41.26,31.77,36.32,36.41,39.01,35.75,39.89,40.36,41.59
16024,Bergamo,,19,160240000019,1,Residenziale,1,Tessuto urbano continuo,65,,True,30.84,34.01,33.85,37.65,30.89,33.07,32.65,37.44,29.42,31.17,31.09,33.89,36.22,40.29,40.13,43.73,33.6,36.56,35.9,41.66,33.89,35.98,35.61,39.89,31.02,33.24,33.01,36.24,33.3,35.78,35.69,39.25
16024,Bergamo,,20,160240000020,1,Residenziale,1,Tessuto urbano continuo,667,,True,34.07,35.47,35.42,36.34,33.47,35.4,35.39,36.7,29.37,31.21,31.18,33.1,39.48,41.95,42.09,44.13,36.48,38.91,39.14,41.05,36.43,37.83,37.83,39.08,33.38,35.21,35.18,36.52,35.26,37.42,37.56,38.64
16024,Bergamo,,21,160240000021,1,Residenziale,1,Tessuto urbano continuo,40,,True,31.49,33.35,32.73,36.98,30.91,32.98,32.48,36.66,29.49,30.52,30.42,32.27,35.89,40.04,40.11,43.36,32.63,35.7,34.44,40.52,33.08,35.52,35.05,39.47,30.16,31.86,31.14,36.35,32.79,34.81,34.19,38.46
16024,Bergamo,,22,160240000022,1,Residenziale,1,Tessuto urbano continuo,485,,True,31.38,35.3,35.32,38.49,30.53,35.33,35.2,38.97,27.72,31.96,32.03,34.76,36.42,40.27,39.97,44.07,35.2,39.5,39.32,43.48,33.88,37.66,37.53,41.35,32.06,35.46,35.3,38.88,32.76,38.03,38.04,41.43
16024,Bergamo,,23,160240000023,1,Residenziale,1,Tessuto urbano continuo,410,,True,34.59,36.68,36.92,37.91,33.83,36.71,37.05,38.7,30.67,31.56,31.47,32.8,41.85,42.77,42.77,43.86,36.35,38.52,38.69,40.34,36.36,39.08,39.12,40.53,33.21,36.06,36.25,37.66,34.78,38.2,38.61,39.26
