PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
96004,Biella,,1,960040000001,1,Residenziale,1,Tessuto urbano continuo,65,,True,40.22,41.83,42.79,43.05,38.0,38.31,38.29,38.86,33.22,33.96,33.96,34.98,43.26,43.85,43.7,44.82,42.64,42.89,42.87,43.26,39.5,39.86,39.87,40.42,40.46,40.99,40.92,41.49,45.74,45.94,45.93,46.14
96004,Biella,,2,960040000002,1,Residenziale,1,Tessuto urbano continuo,183,,True,38.08,39.04,38.36,40.34,38.86,39.86,39.87,40.78,32.94,36.0,36.11,37.86,43.21,44.08,44.18,45.19,42.64,43.16,43.09,43.81,39.3,39.5,39.49,39.89,40.05,40.44,40.42,40.89,45.53,46.09,46.18,46.66
96004,Biella,,3,960040000003,1,Residenziale,1,Tessuto urbano continuo,16,,True,38.15,38.2,38.22,38.25,40.11,40.36,40.5,40.52,36.91,37.45,37.66,37.84,43.64,43.77,43.84,43.85,42.69,42.82,42.8,42.98,39.54,39.67,39.72,39.74,40.59,40.79,40.9,40.92,45.94,46.12,46.23,46.23
96004,Biella,,5,960040000005,1,Residenziale,1,Tessuto urbano continuo,74,,True,37.81,38.39,38.15,40.31,37.66,39.05,39.09,40.18,33.06,33.25,33.27,33.45,44.09,44.86,44.93,45.24,42.23,43.13,43.25,43.73,39.8,40.03,40.06,40.25,39.1,39.52,39.54,39.96,45.54,46.37,46.51,46.7
96004,Biella,,6,960040000006,1,Residenziale,1,Tessuto urbano continuo,71,,True,37.91,38.62,38.52,40.27,39.93,40.76,40.86,41.16,34.14,36.5,37.0,37.95,45.11,45.28,45.35,45.42,43.68,43.98,44.01,44.26,39.61,40.03,40.09,40.31,39.93,40.7,40.78,41.25,46.36,46.67,46.68,46.84
96004,Biella,,7,960040000007,1,Residenziale,1,Tessuto urbano continuo,103,,True,36.71,37.74,37.66,39.31,39.7,40.24,40.03,40.98,37.44,38.34,38.19,39.44,43.77,44.52,44.4,45.33,41.68,43.05,42.76,44.93,38.81,39.38,39.25,39.92,39.61,40.59,40.38,41.82,45.19,45.98,45.81,47.3
96004,Biella,,8,960040000008,1,Residenziale,1,Tessuto urbano continuo,14,,True,37.48,37.97,37.95,38.46,39.95,40.51,40.54,41.22,37.69,38.29,38.17,39.1,44.36,45.09,45.13,45.36,42.2,43.47,43.6,44.0,39.18,39.48,39.52,39.82,40.3,41.05,41.19,41.53,45.68,46.05,46.08,46.47
96004,Biella,,9,960040000009,1,Residenziale,1,Tessuto urbano continuo,102,,True,38.08,38.22,38.22,38.45,39.95,40.56,40.65,40.9,37.6,38.0,38.09,38.21,44.02,44.78,45.02,45.13,41.94,43.01,43.35,43.85,38.94,39.38,39.41,39.66,40.05,40.71,40.74,41.33,45.46,46.04,46.19,46.47
96004,Biella,,10,960040000010,1,Residenziale,1,Tessuto urbano continuo,134,,True,40.01,42.42,43.35,43.92,37.65,38.54,38.82,39.11,32.55,34.76,34.83,35.86,42.86,44.74,45.22,45.8,43.0,43.74,43.8,44.39,40.04,40.69,40.81,41.3,39.03,40.65,40.79,41.78,45.53,46.35,46.49,46.92
96004,Biella,,11,960040000011,1,Residenziale,1,Tessuto urbano continuo,0,,True,39.22,40.15,39.52,43.0,36.78,37.25,37.24,38.14,32.29,33.58,33.89,34.68,42.5,42.99,42.93,43.74,42.61,42.88,42.83,43.41,38.73,39.41,39.24,40.44,38.99,39.27,39.14,39.82,45.39,45.53,45.42,45.93
