PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
37006,Bologna,,1,370060000001,26,Area agricola,9,Colture agricole,61,1368643.1,True,29.69,37.02,37.27,41.45,32.58,38.95,38.84,43.96,36.53,41.79,41.72,48.29,37.19,43.58,43.82,47.68,35.52,40.96,41.07,45.51,32.86,40.6,40.81,46.82,35.77,39.75,39.96,42.39,33.1,39.55,39.69,43.12
37006,Bologna,,2,370060000002,1,Residenziale,1,Tessuto urbano continuo,48,25778.2,True,36.03,37.47,37.02,40.08,36.94,38.52,38.16,41.54,38.64,42.33,42.15,45.26,41.16,42.75,42.46,45.11,36.63,39.2,38.95,42.1,39.0,40.57,40.74,41.87,37.22,39.3,39.25,41.75,37.76,40.64,40.95,42.77
37006,Bologna,,4,370060000004,26,Area agricola,9,Colture agricole,119,1468063.5,True,32.63,36.78,36.68,41.73,33.64,37.73,37.59,42.73,35.61,41.84,41.68,48.33,37.85,43.14,43.17,49.53,34.39,40.82,40.66,47.15,33.43,38.43,38.44,44.12,32.37,39.13,39.22,44.34,32.64,38.38,38.37,44.2
37006,Bologna,,5,370060000005,26,Area agricola,9,Colture agricole,11,247526.3,True,32.36,35.96,36.42,40.3,36.42,39.16,39.15,41.68,36.76,41.9,41.41,47.06,40.82,46.27,46.42,49.29,37.28,41.47,41.02,46.69,34.65,38.73,37.66,43.11,37.64,40.66,40.67,43.27,35.6,40.04,38.93,44.8
37006,Bologna,,6,370060000006,1,Residenziale,1,Tessuto urbano continuo,35,55672.5,True,36.13,38.18,38.12,40.93,36.42,39.71,39.77,44.16,39.13,40.67,40.3,44.95,40.88,43.28,42.9,47.03,38.22,40.0,39.84,42.19,37.37,40.1,40.25,43.12,38.9,40.72,40.67,42.85,37.23,40.51,40.51,43.96
37006,Bologna,,7,370060000007,65,Vigneto,9,Colture agricole,18,142901.1,True,35.32,36.44,36.39,38.29,35.69,37.68,37.36,41.11,37.64,41.12,40.95,44.55,39.65,41.87,41.58,47.02,35.85,38.18,37.99,43.49,35.56,37.17,37.17,39.54,36.2,38.56,38.56,40.74,36.06,37.54,37.45,40.21
37006,Bologna,,8,370060000008,65,Vigneto,9,Colture agricole,24,93643.6,True,34.84,37.29,37.44,38.93,36.16,38.34,38.4,40.67,40.04,42.77,42.91,44.53,38.99,40.82,40.68,44.0,36.45,38.47,38.35,42.13,34.58,36.16,36.0,40.34,36.25,38.72,38.79,40.31,36.11,39.05,39.35,41.27
37006,Bologna,,9,370060000009,12,Attivita produttive,2,Superficie impervia pesante,0,28685.6,True,36.83,39.07,39.26,41.94,36.77,40.37,40.75,42.5,41.64,43.97,44.26,45.56,39.33,43.25,44.2,45.83,40.76,43.28,43.39,44.61,38.12,39.18,39.4,40.04,36.12,37.19,37.11,38.23,36.98,37.74,37.82,38.69
37006,Bologna,,10,370060000010,26,Area agricola,9,Colture agricole,93,343126.6,True,32.86,36.33,36.51,42.01,32.41,37.04,37.04,41.53,36.04,41.27,41.35,45.66,35.15,39.42,39.16,44.18,32.99,37.07,37.04,41.92,34.38,37.69,37.36,42.04,32.8,36.58,36.05,42.16,33.27,37.31,36.72,41.96
37006,Bologna,,11,370060000011,26,Area agricola,9,Colture agricole,20,255666.7,True,34.62,36.37,36.25,39.58,34.38,37.16,37.04,40.53,37.46,41.41,41.34,45.84,38.74,42.39,42.25,47.27,35.63,40.19,40.14,45.1,34.83,38.48,38.43,41.57,35.05,37.66,37.63,41.78,36.64,39.2,39.03,41.77
37006,Bologna,,12,370060000012,1,Residenziale,1,Tessuto urbano continuo,325,174094.0,True,35.78,37.85,37.68,42.04,34.89,38.13,38.1,42.57,40.17,43.58,43.72,45.85,38.42,41.36,41.58,43.48,35.63,38.65,39.02,42.66,37.39,39.79,39.69,42.7,35.91,38.63,38.48,42.51,37.83,39.68,39.79,42.55
37006,Bologna,,13,370060000013,1,Residenziale,1,Tessuto urbano continuo,137,34522.6,True,33.67,36.88,36.85,40.24,34.87,37.55,37.18,41.43,35.1,38.82,38.51,42.9,37.95,40.01,39.99,42.21,35.83,37.59,37.53,39.32,37.37,40.15,40.01,42.68,35.49,39.49,39.44,41.84,35.83,39.24,39.38,41.93
