PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
21008,Bolzano-Bozen,,1,210080000001,1,Residenziale,1,Tessuto urbano continuo,244,16361.4,True,40.46,41.75,41.37,43.89,38.3,39.66,39.76,41.1,31.68,33.16,33.11,34.89,41.42,42.76,42.79,44.32,38.41,39.78,39.96,41.03,39.88,41.23,41.32,42.34,37.96,39.24,39.13,41.02,43.12,44.47,44.44,45.76
21008,Bolzano-Bozen,,2,210080000002,1,Residenziale,1,Tessuto urbano continuo,130,11003.4,True,41.99,43.88,44.21,44.48,39.73,41.01,41.19,41.36,33.63,34.82,34.95,35.27,42.58,44.34,44.66,45.02,40.1,41.14,41.26,41.4,41.26,42.22,42.33,42.54,39.9,40.83,40.83,41.2,44.83,45.52,45.39,45.95
21008,Bolzano-Bozen,,3,210080000003,1,Residenziale,1,Tessuto urbano continuo,195,18274.8,True,41.74,43.89,44.09,45.0,39.53,41.12,41.21,42.34,32.7,34.57,34.72,35.82,43.02,44.76,44.91,45.85,39.82,41.0,41.06,41.88,40.79,42.13,42.19,43.36,38.6,40.15,40.07,41.29,43.71,45.3,45.31,46.36
21008,Bolzano-Bozen,,4,210080000004,1,Residenziale,1,Tessuto urbano continuo,206,16429.1,True,41.94,42.84,42.76,44.13,39.52,40.19,40.13,41.05,32.39,33.12,33.09,34.36,42.84,43.68,43.6,44.82,39.6,40.34,40.28,41.08,40.67,41.41,41.37,42.26,38.55,39.31,39.25,40.06,43.84,44.5,44.56,45.1
21008,Bolzano-Bozen,,5,210080000005,1,Residenziale,1,Tessuto urbano continuo,514,35051.6,True,42.1,43.39,43.36,44.58,39.49,40.88,40.82,42.37,32.42,33.25,33.17,34.4,42.68,44.15,44.26,45.41,39.84,40.74,40.5,41.98,40.51,41.83,41.81,43.24,38.43,40.07,40.03,41.78,43.27,45.07,44.9,46.94
21008,Bolzano-Bozen,,6,210080000006,1,Residenziale,1,Tessuto urbano continuo,369,19642.2,True,43.81,44.58,44.58,45.12,41.43,42.46,42.58,42.82,33.68,34.32,34.39,34.85,44.84,45.62,45.7,45.98,41.14,42.12,42.24,42.53,42.38,43.29,43.37,43.72,40.49,41.59,41.74,42.01,45.65,46.98,47.1,47.45
21008,Bolzano-Bozen,,7,210080000007,37,Scuole/istituti,5,Edifici pubblici e servizi,36,17961.3,True,39.71,42.48,42.5,44.41,36.94,40.45,40.69,42.48,31.19,32.84,32.81,34.3,40.29,43.5,43.6,45.49,37.03,40.13,40.28,42.22,38.19,41.57,41.78,43.33,36.85,39.52,39.68,41.33,42.32,45.13,45.27,46.8
21008,Bolzano-Bozen,,8,210080000008,1,Residenziale,1,Tessuto urbano continuo,258,40597.7,True,38.53,42.62,43.33,44.92,36.96,40.41,41.13,42.6,30.36,33.23,33.6,34.87,40.26,43.52,44.14,45.58,36.6,40.32,40.94,42.39,38.28,41.62,42.29,43.58,36.41,39.65,40.23,41.6,41.51,44.87,45.26,46.94
21008,Bolzano-Bozen,,9,210080000009,1,Residenziale,1,Tessuto urbano continuo,272,28920.5,True,37.87,41.06,41.15,43.22,36.14,39.08,39.18,41.15,31.35,34.24,34.61,36.63,39.69,42.51,42.49,44.3,34.74,38.76,38.9,41.04,36.9,39.99,40.14,42.77,35.24,38.33,38.61,39.85,41.09,43.88,44.11,45.92
21008,Bolzano-Bozen,,10,210080000010,1,Residenziale,1,Tessuto urbano continuo,378,22167.3,True,40.58,42.99,42.9,44.59,37.82,39.44,39.14,40.88,30.72,32.72,32.25,35.31,42.38,43.43,43.44,44.91,37.95,39.13,39.14,40.31,38.45,39.92,39.86,41.86,36.61,38.16,38.12,40.09,42.1,43.88,43.94,45.61
