PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
17029,Brescia,,1,170290000001,29,Municipio,5,Edifici pubblici e servizi,0,2144.5,False,41.82,41.99,42.08,42.08,41.41,41.45,41.47,41.47,39.15,39.3,39.38,39.38,46.43,46.6,46.68,46.68,47.63,47.78,47.86,47.86,45.31,45.45,45.52,45.52,43.32,43.53,43.63,43.63,45.59,45.84,45.96,45.96
17029,Brescia,,2,170290000002,1,Residenziale,1,Tessuto urbano continuo,22,3089.6,False,41.95,42.17,42.16,42.37,41.11,41.4,41.46,41.72,39.22,39.41,39.35,39.7,46.38,46.65,46.63,46.99,47.7,47.89,47.79,48.24,45.27,45.48,45.44,45.78,43.31,43.53,43.55,43.88,45.59,45.94,45.88,46.36
17029,Brescia,,3,170290000003,1,Residenziale,1,Tessuto urbano continuo,21,1050.8,False,41.95,41.95,41.95,41.95,41.22,41.22,41.22,41.22,39.22,39.22,39.22,39.22,46.38,46.38,46.38,46.38,47.7,47.7,47.7,47.7,45.27,45.27,45.27,45.27,43.31,43.31,43.31,43.31,45.59,45.59,45.59,45.59
17029,Brescia,,4,170290000004,1,Residenziale,1,Tessuto urbano continuo,16,1057.8,False,41.69,41.73,41.73,41.77,40.57,40.72,40.72,40.87,38.93,38.98,38.98,39.03,45.86,45.96,45.96,46.07,47.45,47.5,47.5,47.56,44.93,44.99,44.99,45.05,42.78,42.9,42.9,43.02,45.35,45.37,45.37,45.4
17029,Brescia,,5,170290000005,1,Residenziale,1,Tessuto urbano continuo,38,1914.8,False,41.69,41.69,41.69,41.71,40.57,40.67,40.58,40.85,38.89,38.91,38.92,38.93,45.73,45.79,45.79,45.86,47.45,47.49,47.48,47.54,44.91,44.93,44.93,44.95,42.7,42.79,42.78,42.89,45.35,45.45,45.48,45.53
17029,Brescia,,6,170290000006,1,Residenziale,1,Tessuto urbano continuo,120,7469.3,True,41.65,41.78,41.77,41.91,40.6,41.04,41.14,41.22,38.78,38.86,38.84,39.02,45.43,45.66,45.63,46.16,47.15,47.38,47.36,47.53,44.54,44.75,44.74,44.94,42.59,42.75,42.73,42.91,45.44,45.5,45.5,45.59
17029,Brescia,,7,170290000007,1,Residenziale,1,Tessuto urbano continuo,59,3799.9,False,41.25,41.79,41.86,42.11,41.22,41.27,41.26,41.34,38.34,38.81,38.87,39.17,45.86,46.17,46.18,46.48,46.69,47.18,47.19,47.6,44.11,44.63,44.62,45.09,41.97,42.37,42.42,42.58,45.28,45.53,45.58,45.65
17029,Brescia,,8,170290000008,1,Residenziale,1,Tessuto urbano continuo,39,1973.1,False,41.33,41.41,41.41,41.48,41.32,41.33,41.33,41.34,38.89,38.89,38.89,38.9,45.81,45.89,45.89,45.98,47.36,47.42,47.42,47.48,44.84,44.84,44.84,44.84,42.84,42.86,42.86,42.89,45.21,45.28,45.28,45.35
17029,Brescia,,9,170290000009,1,Residenziale,1,Tessuto urbano continuo,5,610.2,False,41.55,41.55,41.55,41.55,41.25,41.25,41.25,41.25,38.89,38.89,38.89,38.89,45.89,45.89,45.89,45.89,47.57,47.57,47.57,47.57,44.98,44.98,44.98,44.98,42.99,42.99,42.99,42.99,45.37,45.37,45.37,45.37
17029,Brescia,,10,170290000010,1,Residenziale,1,Tessuto urbano continuo,6,1363.7,False,41.46,41.46,41.46,41.46,41.35,41.35,41.35,41.35,38.92,38.92,38.92,38.92,46.03,46.03,46.03,46.03,47.51,47.51,47.51,47.51,45.04,45.04,45.04,45.04,42.99,42.99,42.99,42.99,45.25,45.25,45.25,45.25
