PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
74001,Brindisi,,1,740010000001,1,Residenziale,1,Tessuto urbano continuo,81,17050.5,True,34.74,37.74,37.81,39.67,35.28,38.1,38.0,40.04,34.37,36.04,35.9,37.74,37.72,39.08,38.98,41.12,34.87,36.85,36.91,39.27,36.23,38.48,38.55,40.57,34.1,36.02,35.9,38.38,34.44,38.16,37.81,41.42
74001,Brindisi,,2,740010000002,1,Residenziale,1,Tessuto urbano continuo,28,4330.8,False,35.56,38.16,38.39,39.94,36.41,37.84,37.76,39.69,35.31,37.12,37.1,38.48,38.14,39.85,39.7,41.57,35.74,37.86,37.83,39.91,37.16,39.29,39.22,41.07,35.15,37.09,37.01,38.64,37.41,39.41,39.4,41.28
74001,Brindisi,,3,740010000003,1,Residenziale,1,Tessuto urbano continuo,28,10853.9,True,39.84,40.7,40.74,41.58,39.37,40.2,40.16,41.02,37.81,38.57,38.44,39.57,41.57,42.19,42.15,43.09,39.3,40.07,40.08,40.58,41.07,41.77,41.82,42.66,38.3,39.06,38.9,40.03,39.82,40.81,40.56,42.74
74001,Brindisi,,4,740010000004,37,Scuole/istituti,5,Edifici pubblici e servizi,1,6715.9,True,37.93,39.99,40.41,41.39,37.78,38.89,38.91,40.12,36.48,37.69,37.87,38.92,38.88,40.37,40.6,42.0,37.16,38.82,39.1,40.39,38.24,40.07,40.47,41.64,36.48,37.85,38.16,39.38,38.87,40.57,40.83,42.36
74001,Brindisi,,5,740010000005,1,Residenziale,1,Tessuto urbano continuo,7,1821.1,False,40.84,41.13,41.13,41.42,39.21,39.57,39.57,39.93,39.1,39.33,39.33,39.57,42.11,42.49,42.49,42.88,40.15,40.35,40.35,40.56,42.1,42.34,42.34,42.59,39.17,39.53,39.53,39.89,40.88,41.08,41.08,41.29
74001,Brindisi,,6,740010000006,5,Area verde/parco urbano,7,Verde urbano,0,3506.2,False,37.03,38.61,38.73,40.18,36.43,37.8,38.08,38.73,35.05,36.43,36.24,37.88,38.01,39.21,38.95,40.84,35.91,37.57,37.33,39.29,37.76,39.18,38.88,40.9,35.29,36.76,36.52,38.25,36.71,38.84,38.67,41.45
74001,Brindisi,,7,740010000007,1,Residenziale,1,Tessuto urbano continuo,40,3376.9,False,39.36,40.48,40.52,41.79,38.08,39.8,39.95,40.63,37.88,38.59,38.67,39.0,40.84,41.65,41.79,42.22,39.29,40.14,40.25,40.66,40.9,41.67,41.86,42.24,38.25,38.96,39.11,39.29,40.06,41.75,42.2,42.58
74001,Brindisi,,8,740010000008,1,Residenziale,1,Tessuto urbano continuo,21,2271.5,False,40.83,41.23,41.14,41.72,39.58,40.8,41.16,41.66,38.94,39.3,39.33,39.63,42.35,42.73,42.62,43.21,40.9,41.27,41.14,41.76,42.22,42.64,42.55,43.15,39.22,39.62,39.58,40.07,40.5,40.93,40.91,41.36
74001,Brindisi,,9,740010000009,1,Residenziale,1,Tessuto urbano continuo,29,1215.8,False,41.68,41.74,41.74,41.8,39.93,40.86,40.86,41.79,39.43,39.5,39.5,39.56,43.14,43.17,43.17,43.21,41.71,41.78,41.78,41.85,43.06,43.15,43.15,43.24,39.72,39.87,39.87,40.02,41.12,41.22,41.22,41.31
74001,Brindisi,,10,740010000010,1,Residenziale,1,Tessuto urbano continuo,93,4886.6,False,40.64,41.05,41.0,41.53,39.3,40.22,40.17,40.98,38.58,38.92,38.87,39.36,41.81,42.22,42.24,42.64,39.9,40.49,40.53,41.03,41.83,42.2,42.15,42.72,38.63,39.02,39.03,39.4,40.31,40.66,40.67,41.09
74001,Brindisi,,11,740010000011,1,Residenziale,1,Tessuto urbano continuo,27,6296.5,True,41.23,41.62,41.6,42.03,39.94,41.38,41.45,42.06,39.15,39.44,39.42,39.85,42.28,42.87,42.91,43.28,40.29,41.37,41.36,41.95,42.25,42.89,42.96,43.32,39.03,39.7,39.75,40.15,40.76,41.16,41.14,41.51
74001,Brindisi,,13,740010000013,1,Residenziale,1,Tessuto urbano continuo,21,5327.6,True,38.25,39.52,39.98,40.7,38.45,39.34,39.63,40.29,35.78,36.75,37.0,37.57,39.38,40.41,40.6,41.4,37.46,38.44,38.26,39.7,38.78,39.87,40.11,40.88,36.3,37.32,37.15,38.58,38.93,39.98,39.33,41.81
74001,Brindisi,,14,740010000014,1,Residenziale,1,Tessuto urbano continuo,27,4231.0,False,39.15,39.91,39.98,40.35,37.35,39.34,39.75,40.44,36.77,37.52,37.56,38.19,40.59,41.32,41.36,41.83,38.92,39.54,39.56,39.98,40.32,40.98,40.99,41.58,37.64,38.08,38.04,38.6,40.09,41.16,41.33,42.03
74001,Brindisi,,15,740010000015,1,Residenziale,1,Tessuto urbano continuo,24,2211.2,False,39.47,39.94,40.0,40.35,39.33,39.9,39.93,40.44,37.25,37.69,37.64,38.19,40.84,41.36,41.4,41.83,38.68,39.29,39.45,39.75,40.71,41.14,41.13,41.58,37.59,38.18,38.36,38.6,40.32,41.3,41.55,42.03
74001,Brindisi,,16,740010000016,1,Residenziale,1,Tessuto urbano continuo,28,3103.8,False,36.86,38.65,39.19,39.37,37.99,38.92,39.18,39.33,35.89,36.28,36.26,36.71,38.45,39.51,39.71,40.16,36.69,37.62,37.76,38.25,38.52,39.17,39.34,39.48,35.62,36.44,36.55,37.04,38.43,39.44,39.7,39.9
