PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
85004,Caltanissetta,,1,850040000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,41.22,41.53,41.5,41.77,44.56,44.73,44.73,44.9,42.36,43.61,43.79,43.97,46.18,46.25,46.22,46.33,45.75,45.84,45.83,45.92,45.25,45.54,45.58,45.72,43.47,43.53,43.51,43.6,44.57,44.7,44.71,44.8
85004,Caltanissetta,,2,850040000002,1,Residenziale,1,Tessuto urbano continuo,27,,True,41.19,41.4,41.49,41.5,43.98,44.31,44.33,44.62,43.45,43.62,43.61,43.79,45.86,46.03,46.0,46.22,45.55,45.69,45.65,45.88,45.28,45.43,45.41,45.6,43.09,43.25,43.21,43.47,44.12,44.33,44.28,44.57
85004,Caltanissetta,,3,850040000003,1,Residenziale,1,Tessuto urbano continuo,46,,True,41.57,42.01,41.82,42.81,44.72,44.99,44.88,45.51,43.58,43.75,43.78,43.93,45.93,46.14,46.12,46.52,45.52,45.78,45.79,46.1,45.11,45.47,45.45,45.95,43.2,43.49,43.52,43.81,44.24,44.5,44.5,44.91
85004,Caltanissetta,,4,850040000004,1,Residenziale,1,Tessuto urbano continuo,82,,True,41.27,41.58,41.51,42.02,44.37,44.69,44.63,45.15,43.45,43.63,43.62,43.85,45.85,46.09,46.05,46.42,45.52,45.7,45.66,45.95,45.18,45.48,45.45,45.82,43.09,43.39,43.38,43.72,44.09,44.38,44.35,44.72
85004,Caltanissetta,,5,850040000005,1,Residenziale,1,Tessuto urbano continuo,54,,True,40.89,40.89,40.89,40.89,44.02,44.02,44.02,44.02,43.32,43.32,43.32,43.32,45.87,45.87,45.87,45.87,45.4,45.4,45.4,45.4,45.2,45.2,45.2,45.2,43.03,43.03,43.03,43.03,44.04,44.04,44.04,44.04
85004,Caltanissetta,,6,850040000006,1,Residenziale,1,Tessuto urbano continuo,23,,True,41.09,41.37,41.37,41.64,44.24,44.52,44.52,44.79,43.4,43.58,43.58,43.75,45.9,46.08,46.08,46.26,45.46,45.63,45.63,45.8,45.27,45.47,45.47,45.66,43.17,43.37,43.37,43.58,44.17,44.36,44.36,44.55
85004,Caltanissetta,,7,850040000007,1,Residenziale,1,Tessuto urbano continuo,11,,True,40.83,40.83,40.83,40.83,44.17,44.17,44.17,44.17,43.28,43.28,43.28,43.28,45.91,45.91,45.91,45.91,45.13,45.13,45.13,45.13,45.29,45.29,45.29,45.29,43.16,43.16,43.16,43.16,44.19,44.19,44.19,44.19
85004,Caltanissetta,,8,850040000008,1,Residenziale,1,Tessuto urbano continuo,10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85004,Caltanissetta,,9,850040000009,1,Residenziale,1,Tessuto urbano continuo,16,,True,40.76,40.76,40.76,40.76,43.93,43.93,43.93,43.93,43.29,43.29,43.29,43.29,45.88,45.88,45.88,45.88,45.5,45.5,45.5,45.5,45.12,45.12,45.12,45.12,43.0,43.0,43.0,43.0,43.99,43.99,43.99,43.99
85004,Caltanissetta,,10,850040000010,1,Residenziale,1,Tessuto urbano continuo,11,,True,40.82,40.82,40.82,40.82,44.14,44.14,44.14,44.14,43.52,43.52,43.52,43.52,46.13,46.13,46.13,46.13,45.37,45.37,45.37,45.37,45.45,45.45,45.45,45.45,43.34,43.34,43.34,43.34,44.34,44.34,44.34,44.34
85004,Caltanissetta,,11,850040000011,1,Residenziale,1,Tessuto urbano continuo,13,,True,40.4,40.48,40.48,40.55,43.74,43.8,43.8,43.85,43.35,43.38,43.38,43.4,46.1,46.1,46.1,46.1,45.36,45.44,45.44,45.53,45.17,45.2,45.2,45.24,43.14,43.15,43.15,43.16,44.1,44.13,44.13,44.16
85004,Caltanissetta,,12,850040000012,1,Residenziale,1,Tessuto urbano continuo,29,,True,39.95,39.95,39.95,39.95,43.78,43.78,43.78,43.78,43.42,43.42,43.42,43.42,46.21,46.21,46.21,46.21,45.29,45.29,45.29,45.29,45.23,45.23,45.23,45.23,43.22,43.22,43.22,43.22,44.25,44.25,44.25,44.25
85004,Caltanissetta,,13,850040000013,1,Residenziale,1,Tessuto urbano continuo,18,,True,40.43,40.48,40.43,40.6,44.08,44.09,44.08,44.11,43.7,43.74,43.76,43.76,46.43,46.52,46.56,46.56,45.97,46.0,45.97,46.05,45.49,45.51,45.52,45.52,43.49,43.56,43.59,43.59,44.62,44.79,44.87,44.87
85004,Caltanissetta,,14,850040000014,1,Residenziale,1,Tessuto urbano continuo,24,,True,39.96,39.96,39.96,39.96,43.71,43.71,43.71,43.71,43.37,43.37,43.37,43.37,46.22,46.22,46.22,46.22,45.47,45.47,45.47,45.47,45.15,45.15,45.15,45.15,43.2,43.2,43.2,43.2,44.28,44.28,44.28,44.28
85004,Caltanissetta,,15,850040000015,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,40.71,40.77,40.77,40.84,44.43,44.55,44.55,44.67,43.52,43.57,43.57,43.63,46.13,46.18,46.18,46.23,45.69,45.78,45.78,45.87,45.15,45.19,45.19,45.23,43.38,43.46,43.46,43.54,44.82,44.87,44.87,44.92
85004,Caltanissetta,,16,850040000016,1,Residenziale,1,Tessuto urbano continuo,9,,True,40.78,40.78,40.78,40.78,44.72,44.79,44.79,44.85,43.91,43.98,43.98,44.04,46.64,46.73,46.73,46.82,45.99,46.04,46.04,46.08,45.54,45.6,45.6,45.66,43.96,44.02,44.02,44.07,45.25,45.29,45.29,45.33
85004,Caltanissetta,,17,850040000017,1,Residenziale,1,Tessuto urbano continuo,9,,True,40.68,40.73,40.73,40.78,44.42,44.57,44.57,44.72,43.9,43.9,43.9,43.91,46.6,46.62,46.62,46.64,45.99,46.02,46.02,46.05,45.54,45.56,45.56,45.59,43.96,44.78,44.78,45.6,45.25,45.26,45.26,45.28
85004,Caltanissetta,,18,850040000018,1,Residenziale,1,Tessuto urbano continuo,15,,True,40.57,40.57,40.57,40.57,44.2,44.2,44.2,44.2,43.85,43.85,43.85,43.85,46.58,46.58,46.58,46.58,46.06,46.06,46.06,46.06,45.59,45.59,45.59,45.59,45.48,45.48,45.48,45.48,45.19,45.19,45.19,45.19
85004,Caltanissetta,,19,850040000019,1,Residenziale,1,Tessuto urbano continuo,26,,True,40.48,40.53,40.53,40.58,44.27,44.32,44.32,44.37,43.9,43.95,43.95,44.01,46.7,46.71,46.71,46.72,45.91,45.95,45.95,46.0,45.65,45.68,45.68,45.72,45.53,45.64,45.64,45.75,45.15,45.28,45.28,45.41
85004,Caltanissetta,,20,850040000020,1,Residenziale,1,Tessuto urbano continuo,32,,True,40.68,40.68,40.68,40.68,44.57,44.57,44.57,44.57,44.06,44.06,44.06,44.06,46.77,46.77,46.77,46.77,46.07,46.07,46.07,46.07,45.71,45.71,45.71,45.71,45.83,45.83,45.83,45.83,45.4,45.4,45.4,45.4
85004,Caltanissetta,,21,850040000021,1,Residenziale,1,Tessuto urbano continuo,11,,True,40.78,40.78,40.78,40.78,44.85,44.85,44.85,44.85,44.04,44.04,44.04,44.04,46.82,46.82,46.82,46.82,46.08,46.08,46.08,46.08,45.66,45.66,45.66,45.66,44.07,44.07,44.07,44.07,45.33,45.33,45.33,45.33
85004,Caltanissetta,,22,850040000022,1,Residenziale,1,Tessuto urbano continuo,3,,True,40.81,40.81,40.81,40.81,45.03,45.03,45.03,45.03,44.18,44.18,44.18,44.18,46.93,46.93,46.93,46.93,46.13,46.13,46.13,46.13,45.74,45.74,45.74,45.74,45.85,45.85,45.85,45.85,45.39,45.39,45.39,45.39
85004,Caltanissetta,,23,850040000023,1,Residenziale,1,Tessuto urbano continuo,18,,True,40.64,40.67,40.67,40.7,44.62,44.65,44.65,44.68,44.06,44.12,44.12,44.18,46.88,46.89,46.89,46.89,45.97,45.99,45.99,46.02,45.83,45.85,45.85,45.88,45.78,45.88,45.88,45.99,45.4,45.49,45.49,45.58
85004,Caltanissetta,,24,850040000024,1,Residenziale,1,Tessuto urbano continuo,31,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85004,Caltanissetta,,25,850040000025,1,Residenziale,1,Tessuto urbano continuo,18,,True,40.75,40.75,40.75,40.75,44.83,44.83,44.83,44.83,44.21,44.21,44.21,44.21,46.92,46.92,46.92,46.92,46.08,46.08,46.08,46.08,45.83,45.83,45.83,45.83,46.01,46.01,46.01,46.01,45.49,45.49,45.49,45.49
85004,Caltanissetta,,26,850040000026,1,Residenziale,1,Tessuto urbano continuo,19,,True,40.83,40.83,40.83,40.84,45.0,45.04,45.04,45.08,44.28,44.28,44.28,44.28,47.04,47.04,47.04,47.04,46.14,46.14,46.14,46.14,45.9,45.94,45.94,45.99,46.08,46.12,46.12,46.16,45.55,45.61,45.61,45.68
85004,Caltanissetta,,27,850040000027,1,Residenziale,1,Tessuto urbano continuo,20,,True,40.76,41.09,40.88,41.63,44.52,44.53,44.52,44.57,42.08,42.5,42.23,43.18,46.02,46.09,46.1,46.16,45.06,45.21,45.21,45.36,44.99,45.02,45.0,45.06,43.47,44.04,43.6,45.07,44.47,44.54,44.51,44.63
85004,Caltanissetta,,28,850040000028,1,Residenziale,1,Tessuto urbano continuo,34,,True,41.71,41.71,41.71,41.71,45.19,45.19,45.19,45.19,42.89,42.89,42.89,42.89,47.01,47.01,47.01,47.01,46.14,46.14,46.14,46.14,45.79,45.79,45.79,45.79,45.9,45.9,45.9,45.9,45.41,45.41,45.41,45.41
85004,Caltanissetta,,29,850040000029,1,Residenziale,1,Tessuto urbano continuo,29,,True,40.76,41.28,41.52,41.55,44.55,44.61,44.57,44.71,42.08,42.55,42.69,42.89,45.95,46.01,45.96,46.1,44.91,45.03,44.97,45.21,44.74,44.87,44.86,44.99,43.19,43.29,43.21,43.47,44.3,44.37,44.31,44.51
85004,Caltanissetta,,30,850040000030,1,Residenziale,1,Tessuto urbano continuo,24,,True,41.55,41.55,41.55,41.55,44.55,44.55,44.55,44.55,42.89,42.89,42.89,42.89,45.95,45.95,45.95,45.95,44.97,44.97,44.97,44.97,44.86,44.86,44.86,44.86,43.21,43.21,43.21,43.21,44.31,44.31,44.31,44.31
85004,Caltanissetta,,31,850040000031,1,Residenziale,1,Tessuto urbano continuo,31,,True,41.37,41.37,41.37,41.37,44.51,44.51,44.51,44.51,42.68,42.68,42.68,42.68,45.8,45.8,45.8,45.8,44.8,44.8,44.8,44.8,44.77,44.77,44.77,44.77,42.94,42.94,42.94,42.94,44.22,44.22,44.22,44.22
85004,Caltanissetta,,32,850040000032,1,Residenziale,1,Tessuto urbano continuo,24,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
