PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
70006,Campobasso,,1,700060000001,22,Bosco/copertura forestale,8,Vegetazione naturale,77,,True,32.6,35.18,35.02,38.91,29.12,32.49,32.38,37.98,29.12,32.22,31.68,38.6,32.08,35.5,34.97,40.63,32.21,35.23,34.8,40.78,32.83,36.2,35.88,41.39,27.64,31.3,30.91,36.68,31.69,35.17,34.88,40.24
70006,Campobasso,,2,700060000002,1,Residenziale,1,Tessuto urbano continuo,75,,True,38.59,40.56,40.9,41.42,36.65,39.59,40.34,40.79,36.59,39.45,39.54,42.48,40.55,43.87,44.5,45.2,40.81,43.38,43.73,44.6,40.41,42.99,43.72,44.12,35.34,37.3,37.62,38.52,40.47,42.83,43.36,43.67
70006,Campobasso,,3,700060000003,1,Residenziale,1,Tessuto urbano continuo,61,,True,38.91,39.86,39.79,40.89,36.99,38.36,38.13,39.78,36.92,38.13,38.16,39.21,40.03,42.37,42.39,44.02,40.98,42.31,42.09,43.67,41.19,42.21,41.93,43.4,34.77,36.24,36.54,37.33,40.52,41.68,41.37,42.99
70006,Campobasso,,4,700060000004,1,Residenziale,1,Tessuto urbano continuo,50,,True,40.34,40.86,41.05,41.17,39.34,40.04,40.19,40.58,39.09,39.45,39.56,39.7,44.04,44.45,44.56,44.74,43.41,43.98,44.13,44.41,43.36,43.68,43.73,43.94,37.82,37.85,37.82,37.92,42.6,43.08,43.2,43.46
70006,Campobasso,,5,700060000005,1,Residenziale,1,Tessuto urbano continuo,45,,True,41.04,41.16,41.16,41.29,40.1,40.45,40.45,40.79,39.93,39.98,39.98,40.03,44.95,45.08,45.08,45.2,44.48,44.54,44.54,44.6,44.07,44.09,44.09,44.12,38.42,38.47,38.47,38.52,43.44,43.56,43.56,43.67
70006,Campobasso,,6,700060000006,1,Residenziale,1,Tessuto urbano continuo,50,,True,41.49,41.68,41.58,41.97,40.56,40.67,40.65,40.82,39.91,40.13,40.2,40.29,45.34,45.43,45.47,45.48,44.35,44.57,44.64,44.71,43.49,43.83,43.97,44.03,38.2,38.51,38.55,38.77,43.64,43.73,43.77,43.78
70006,Campobasso,,7,700060000007,1,Residenziale,1,Tessuto urbano continuo,64,,True,41.71,41.95,41.97,42.02,39.4,40.06,40.21,40.65,40.2,42.02,42.27,42.51,44.78,45.18,45.27,45.48,44.35,44.85,44.64,45.34,43.22,43.64,43.58,44.03,38.23,38.44,38.55,38.58,43.23,43.55,43.55,43.77
70006,Campobasso,,8,700060000008,1,Residenziale,1,Tessuto urbano continuo,70,,True,40.79,41.43,41.56,41.79,39.83,40.37,40.42,40.82,39.7,40.14,40.28,40.31,44.6,45.18,45.32,45.47,43.86,44.47,44.65,44.71,43.97,44.04,44.02,44.17,38.75,38.96,38.92,39.24,43.3,43.65,43.74,43.84
70006,Campobasso,,9,700060000009,1,Residenziale,1,Tessuto urbano continuo,9,,True,40.59,40.59,40.59,40.59,39.53,39.53,39.53,39.53,39.48,39.48,39.48,39.48,44.38,44.38,44.38,44.38,43.68,43.68,43.68,43.68,42.96,42.96,42.96,42.96,38.37,38.37,38.37,38.37,42.96,42.96,42.96,42.96
70006,Campobasso,,10,700060000010,1,Residenziale,1,Tessuto urbano continuo,50,,True,37.7,38.97,39.19,39.79,35.86,37.21,37.42,38.13,36.1,37.25,37.36,38.16,39.68,40.86,40.68,42.39,39.84,41.16,41.36,42.09,40.43,41.47,41.56,42.32,33.91,35.23,35.23,36.54,39.48,40.63,40.83,41.37
70006,Campobasso,,11,700060000011,1,Residenziale,1,Tessuto urbano continuo,42,,True,40.1,40.24,40.24,40.38,38.44,38.65,38.65,38.86,38.45,38.65,38.65,38.85,43.22,43.42,43.42,43.63,42.33,42.47,42.47,42.6,42.77,42.98,42.98,43.18,36.87,37.37,37.37,37.87,41.76,42.02,42.02,42.29
70006,Campobasso,,12,700060000012,1,Residenziale,1,Tessuto urbano continuo,63,,True,40.55,40.57,40.55,40.62,38.83,38.92,38.96,38.96,39.19,39.31,39.36,39.36,43.98,44.08,44.13,44.13,42.87,43.04,43.12,43.12,43.62,43.82,43.92,43.92,38.34,38.38,38.34,38.45,42.74,42.96,43.07,43.07
70006,Campobasso,,13,700060000013,1,Residenziale,1,Tessuto urbano continuo,37,,True,39.84,40.23,40.23,40.62,38.41,38.62,38.62,38.83,38.53,38.86,38.86,39.19,42.96,43.47,43.47,43.98,41.85,42.36,42.36,42.87,42.77,43.19,43.19,43.62,37.94,38.2,38.2,38.45,41.87,42.3,42.3,42.74
70006,Campobasso,,14,700060000014,1,Residenziale,1,Tessuto urbano continuo,16,,True,38.53,39.53,39.49,40.38,36.65,37.86,38.02,38.86,37.26,38.08,38.13,38.85,40.77,42.27,42.28,43.63,40.18,41.52,41.41,42.6,41.36,42.28,42.28,43.18,35.84,36.63,36.68,37.87,40.26,41.27,41.31,42.29
70006,Campobasso,,15,700060000015,1,Residenziale,1,Tessuto urbano continuo,36,,True,37.65,39.07,39.34,40.24,35.78,37.33,37.48,38.76,35.8,37.52,37.77,38.82,40.06,41.66,41.84,43.16,38.73,40.6,40.45,42.31,40.16,41.7,41.81,43.22,35.41,36.71,36.93,37.79,38.71,40.62,40.75,42.33
70006,Campobasso,,16,700060000016,1,Residenziale,1,Tessuto urbano continuo,69,,True,38.38,38.99,38.59,39.96,35.44,36.18,36.3,36.89,36.07,36.56,36.42,37.17,40.21,40.75,40.61,41.45,38.47,39.1,39.0,39.8,39.91,40.43,40.51,40.89,35.16,35.9,35.96,36.72,38.02,38.69,38.79,39.45
70006,Campobasso,,17,700060000017,1,Residenziale,1,Tessuto urbano continuo,101,,True,37.19,38.35,38.16,39.75,34.42,35.35,35.07,36.43,34.96,36.11,36.17,37.1,38.41,40.39,40.39,41.88,37.23,39.04,38.84,40.6,38.98,40.34,40.42,41.52,33.65,34.8,34.61,36.19,36.55,37.76,37.75,38.7
70006,Campobasso,,18,700060000018,1,Residenziale,1,Tessuto urbano continuo,32,,True,40.87,40.87,40.87,40.87,37.53,37.53,37.53,37.53,37.9,37.9,37.9,37.9,43.13,43.13,43.13,43.13,41.98,41.98,41.98,41.98,41.56,41.56,41.56,41.56,37.1,37.1,37.1,37.1,39.62,39.62,39.62,39.62
70006,Campobasso,,19,700060000019,1,Residenziale,1,Tessuto urbano continuo,22,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70006,Campobasso,,20,700060000020,1,Residenziale,1,Tessuto urbano continuo,60,,True,40.92,41.18,41.17,41.57,37.59,37.87,37.85,38.28,37.91,37.98,37.91,38.12,42.93,43.18,43.01,43.56,41.18,41.61,41.36,42.52,41.44,41.61,41.61,41.85,37.06,37.81,37.25,38.96,39.45,39.67,39.61,40.01
70006,Campobasso,,21,700060000021,1,Residenziale,1,Tessuto urbano continuo,81,,True,42.65,43.07,43.23,43.48,39.82,40.22,40.29,40.68,39.64,39.74,39.75,39.88,45.11,45.27,45.22,45.54,43.15,44.42,44.28,45.88,43.46,44.13,44.46,44.66,40.23,40.29,40.29,40.33,41.82,42.87,42.86,44.13
