PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
119003,Carbonia,Sardegna,1,1110090000001,1,Residenziale,1,Tessuto urbano continuo,34,34998.6,True,41.1,42.93,42.1,45.07,45.02,47.0,47.24,48.29,41.12,42.65,42.74,43.78,41.14,42.53,42.69,43.57,42.11,43.63,43.58,44.72,38.4,40.05,40.2,41.21,40.54,41.9,41.99,42.62,32.63,36.9,38.39,39.95
119003,Carbonia,Sardegna,2,1110090000002,1,Residenziale,1,Tessuto urbano continuo,55,6711.3,True,40.63,42.55,43.5,43.76,45.34,46.33,46.28,47.24,41.01,41.99,41.93,42.79,40.55,41.98,42.01,42.92,41.95,42.74,42.64,43.54,37.81,39.28,39.36,39.91,40.28,41.7,41.85,42.58,37.73,38.72,38.72,39.51
119003,Carbonia,Sardegna,3,1110090000003,1,Residenziale,1,Tessuto urbano continuo,80,35291.6,True,42.51,43.5,43.51,44.85,44.56,45.82,45.87,47.2,40.5,41.67,41.51,43.42,40.49,41.94,41.94,43.0,41.34,42.46,42.32,43.86,37.59,38.54,38.32,39.85,40.13,41.11,41.21,42.02,31.95,37.37,38.37,39.63
119003,Carbonia,Sardegna,4,1110090000004,1,Residenziale,1,Tessuto urbano continuo,24,11395.3,True,42.36,42.75,42.7,43.36,44.35,44.81,44.67,45.42,40.07,40.54,40.45,41.12,40.36,40.86,40.83,41.6,41.05,41.54,41.47,42.11,37.47,37.78,37.67,38.83,40.04,40.23,40.2,40.54,31.71,36.61,37.46,37.87
119003,Carbonia,Sardegna,5,1110090000005,1,Residenziale,1,Tessuto urbano continuo,21,12030.8,True,42.59,43.08,43.05,43.66,44.57,45.19,45.24,45.8,40.19,40.8,40.76,41.43,41.19,41.9,41.9,42.5,41.29,41.73,41.63,42.31,37.57,37.8,37.75,38.19,40.28,40.91,40.93,41.62,31.83,35.25,35.22,38.8
119003,Carbonia,Sardegna,6,1110090000006,1,Residenziale,1,Tessuto urbano continuo,100,36685.6,True,43.35,44.6,44.62,45.45,45.57,46.75,46.83,47.56,41.3,42.49,42.49,43.58,41.7,42.8,42.97,43.29,42.53,43.7,43.76,44.69,38.32,39.65,39.74,40.58,41.56,42.15,42.17,42.68,32.71,38.5,39.25,40.11
119003,Carbonia,Sardegna,7,1110090000007,1,Residenziale,1,Tessuto urbano continuo,28,18509.0,True,42.77,43.16,43.18,43.36,44.4,44.7,44.68,45.13,40.38,41.1,41.19,41.47,40.63,40.95,40.9,41.46,41.43,42.24,42.16,42.77,37.69,38.15,38.15,39.03,40.24,40.69,40.69,41.23,37.51,37.92,37.94,38.35
119003,Carbonia,Sardegna,8,1110090000008,1,Residenziale,1,Tessuto urbano continuo,65,16728.9,True,42.97,43.49,43.44,43.93,44.85,45.64,45.58,46.27,40.63,41.38,41.33,41.94,40.84,41.62,41.69,42.65,41.76,42.61,42.62,43.34,37.87,38.51,38.55,39.17,40.88,41.64,41.66,42.33,32.91,35.4,33.46,39.57
119003,Carbonia,Sardegna,9,1110090000009,1,Residenziale,1,Tessuto urbano continuo,26,16892.6,True,41.73,44.34,44.61,45.44,45.27,46.2,46.27,46.97,41.42,42.05,42.02,42.82,41.41,42.39,42.48,42.93,43.04,43.57,43.6,44.06,39.09,39.92,40.01,40.57,41.27,42.01,41.94,42.76,33.06,37.5,38.85,39.63
119003,Carbonia,Sardegna,10,1110090000010,1,Residenziale,1,Tessuto urbano continuo,60,16729.7,True,43.18,44.14,44.11,45.35,44.9,45.94,45.89,46.92,41.11,41.72,41.61,42.99,40.87,41.99,42.19,42.92,42.39,42.98,42.86,44.02,38.36,39.34,39.53,40.57,40.98,41.75,41.78,42.37,32.48,34.38,33.08,39.34
119003,Carbonia,Sardegna,11,1110090000011,1,Residenziale,1,Tessuto urbano continuo,30,14113.6,True,43.46,44.11,44.05,44.94,45.47,46.13,46.08,46.84,41.23,41.85,41.76,42.64,41.02,42.26,42.24,43.11,42.58,43.14,43.13,43.65,38.52,39.37,39.23,40.48,41.33,41.9,41.81,42.38,32.68,33.97,33.19,39.67
119003,Carbonia,Sardegna,12,1110090000012,1,Residenziale,1,Tessuto urbano continuo,84,19895.5,True,43.75,44.1,44.05,44.79,45.79,46.3,46.31,47.23,41.34,42.17,41.99,43.67,42.23,42.72,42.54,44.16,42.71,43.35,43.29,44.71,38.76,39.6,39.61,40.34,41.94,42.55,42.55,43.45,33.52,37.03,39.15,40.27
119003,Carbonia,Sardegna,13,1110090000013,37,Scuole/istituti,5,Edifici pubblici e servizi,31,25035.2,True,43.86,44.46,44.4,45.43,46.04,47.06,47.09,48.14,41.42,42.32,42.18,43.67,42.09,43.73,43.9,44.87,42.81,44.23,44.35,45.11,39.06,40.19,40.3,40.87,42.06,43.14,43.23,43.84,33.83,39.15,40.32,41.03
