PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
61022,Caserta,,1,610220000001,35,Villa monumentale,5,Edifici pubblici e servizi,43,1998372.4,True,30.25,35.34,35.02,45.71,31.75,36.44,35.97,43.5,27.33,32.67,32.51,42.08,32.24,37.31,36.96,48.44,30.91,34.97,34.6,44.85,32.74,36.78,36.39,46.95,31.02,35.56,35.15,45.88,32.78,38.16,37.91,48.92
61022,Caserta,,2,610220000002,1,Residenziale,1,Tessuto urbano continuo,205,44173.8,True,37.58,43.1,43.83,44.86,39.69,42.05,42.16,43.17,34.06,39.34,40.16,41.51,38.86,44.28,44.86,46.62,36.28,41.99,42.59,44.05,36.86,42.1,42.52,44.0,37.25,42.61,43.4,44.33,39.74,44.92,45.19,46.97
61022,Caserta,,3,610220000003,1,Residenziale,1,Tessuto urbano continuo,257,22925.4,True,42.37,44.07,44.3,45.19,41.48,42.64,42.79,43.47,39.63,41.12,41.21,42.35,44.62,45.77,45.86,46.7,41.57,43.17,43.25,44.24,42.04,43.38,43.5,44.24,42.45,43.49,43.6,44.37,44.84,46.53,46.73,47.55
61022,Caserta,,4,610220000004,1,Residenziale,1,Tessuto urbano continuo,363,36231.4,True,44.51,45.14,45.13,45.68,43.32,43.82,43.91,44.29,40.94,41.86,41.58,43.19,46.31,46.87,46.92,47.34,43.46,44.11,44.06,44.74,44.12,44.51,44.55,44.8,44.38,44.88,44.86,45.45,47.13,47.77,47.78,48.5
61022,Caserta,,5,610220000005,1,Residenziale,1,Tessuto urbano continuo,319,26847.0,True,43.12,44.39,44.41,45.64,41.49,43.36,43.1,44.94,39.4,40.93,40.94,42.35,44.87,46.09,46.13,47.13,42.66,43.64,43.54,44.71,42.62,43.62,43.6,44.61,43.4,44.23,44.21,45.22,45.83,46.97,47.05,48.04
61022,Caserta,,6,610220000006,1,Residenziale,1,Tessuto urbano continuo,146,23340.0,True,42.04,43.33,43.45,44.12,41.48,42.29,42.26,43.24,38.74,40.11,40.15,41.11,43.88,44.97,44.99,45.67,41.41,42.79,42.84,43.69,41.62,42.78,42.91,43.35,42.5,43.98,44.13,44.62,43.95,45.83,45.98,46.6
61022,Caserta,,7,610220000007,1,Residenziale,1,Tessuto urbano continuo,218,53381.1,True,41.3,43.07,43.09,44.33,39.96,42.12,42.31,43.6,37.22,40.01,40.24,41.32,42.27,44.79,45.02,45.89,40.28,42.85,42.93,44.09,40.33,42.88,42.98,43.9,40.95,43.12,43.15,45.14,40.77,44.44,44.59,46.33
61022,Caserta,,8,610220000008,1,Residenziale,1,Tessuto urbano continuo,384,31407.2,True,40.48,42.94,43.0,44.92,39.57,41.32,41.23,43.25,35.75,39.06,39.46,41.59,42.48,44.44,44.59,46.43,39.91,42.68,42.81,44.97,40.73,42.98,43.05,44.82,40.25,42.81,42.84,44.84,39.59,42.71,42.85,45.28
61022,Caserta,,9,610220000009,1,Residenziale,1,Tessuto urbano continuo,250,19996.2,True,40.78,43.77,44.0,45.39,40.76,42.32,42.34,44.01,36.48,39.71,40.07,42.17,42.54,45.16,45.41,46.82,40.14,43.36,43.61,45.45,41.17,43.68,43.92,45.24,41.06,43.73,44.15,45.31,42.08,44.57,44.83,45.91
61022,Caserta,,10,610220000010,1,Residenziale,1,Tessuto urbano continuo,148,15824.7,True,45.28,45.61,45.59,46.1,43.42,43.75,43.65,44.24,41.83,42.25,42.26,42.61,45.95,46.38,46.46,46.76,44.53,44.97,45.05,45.27,44.8,44.99,44.97,45.29,44.44,44.74,44.76,45.29,46.13,46.3,46.18,46.67
61022,Caserta,,11,610220000011,1,Residenziale,1,Tessuto urbano continuo,393,24160.8,True,43.28,43.86,43.86,44.34,42.58,43.12,42.98,43.96,39.8,40.85,40.83,41.62,45.3,45.76,45.73,46.33,43.1,43.56,43.44,44.46,43.3,43.8,43.69,44.72,43.91,44.32,44.28,45.07,45.05,45.72,45.55,46.67
61022,Caserta,,12,610220000012,1,Residenziale,1,Tessuto urbano continuo,542,24774.0,True,42.7,43.63,43.61,44.34,42.64,43.08,42.99,43.63,37.74,40.1,40.39,41.4,45.27,45.84,45.76,46.49,42.37,43.1,43.06,43.67,42.9,43.59,43.49,44.31,43.77,44.19,44.17,44.63,44.73,45.16,45.19,45.91
