PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
87015,Catania,,1,870150000001,29,Municipio,5,Edifici pubblici e servizi,21,,True,44.65,44.78,44.81,44.83,45.84,46.19,46.22,46.43,46.1,46.19,46.17,46.28,47.15,47.39,47.44,47.49,46.57,46.85,46.91,46.97,46.66,47.0,47.05,47.14,43.16,43.41,43.4,43.63,49.53,49.72,49.73,49.89
87015,Catania,,2,870150000002,18,Universita/ricerca,5,Edifici pubblici e servizi,0,,True,44.65,44.73,44.72,44.79,46.19,46.33,46.36,46.43,46.16,46.25,46.31,46.33,47.25,47.3,47.26,47.39,46.75,46.81,46.81,46.86,47.19,47.27,47.25,47.37,43.39,43.55,43.58,43.67,49.8,49.93,49.98,50.03
87015,Catania,,3,870150000003,1,Residenziale,1,Tessuto urbano continuo,51,,True,44.53,44.62,44.55,44.72,46.17,46.28,46.2,46.42,46.15,46.23,46.2,46.32,47.0,47.17,47.19,47.37,46.62,46.72,46.69,46.84,47.04,47.16,47.17,47.25,43.38,43.49,43.4,43.63,49.7,49.85,49.87,49.98
87015,Catania,,4,870150000004,1,Residenziale,1,Tessuto urbano continuo,18,,True,44.5,44.61,44.67,44.72,46.19,46.31,46.36,46.42,46.22,46.27,46.3,46.31,47.37,47.4,47.37,47.43,46.84,46.93,46.94,46.96,47.02,47.09,47.12,47.17,43.36,43.47,43.52,43.61,49.59,49.71,49.76,49.87
87015,Catania,,5,870150000005,2,Culto,5,Edifici pubblici e servizi,0,,True,44.2,44.21,44.21,44.21,46.03,46.07,46.07,46.12,46.3,46.32,46.32,46.33,47.08,47.09,47.09,47.11,46.66,46.67,46.67,46.68,46.87,46.87,46.87,46.88,43.33,43.41,43.41,43.49,49.26,49.32,49.32,49.38
87015,Catania,,6,870150000006,1,Residenziale,1,Tessuto urbano continuo,28,,True,44.26,44.37,44.38,44.46,45.99,46.05,46.05,46.09,46.09,46.25,46.24,46.43,46.93,46.96,46.95,47.0,46.52,46.57,46.57,46.62,46.94,47.04,47.04,47.14,43.27,43.28,43.28,43.3,49.62,49.73,49.74,49.83
87015,Catania,,7,870150000007,1,Residenziale,1,Tessuto urbano continuo,27,,True,46.76,46.9,46.97,46.99,47.4,47.51,47.56,47.58,47.58,47.62,47.6,47.72,48.33,48.5,48.53,48.6,47.46,47.62,47.67,47.71,47.79,47.94,47.95,48.14,44.58,44.69,44.75,44.76,50.86,50.93,50.96,50.99
87015,Catania,,8,870150000008,1,Residenziale,1,Tessuto urbano continuo,75,,True,46.61,46.61,46.61,46.61,47.29,47.29,47.29,47.29,47.52,47.52,47.52,47.52,48.27,48.27,48.27,48.27,47.36,47.36,47.36,47.36,47.69,47.69,47.69,47.69,44.48,44.48,44.48,44.48,50.66,50.66,50.66,50.66
87015,Catania,,9,870150000009,1,Residenziale,1,Tessuto urbano continuo,21,,True,46.25,46.3,46.3,46.35,47.08,47.11,47.11,47.14,47.39,47.41,47.41,47.43,47.95,48.03,48.03,48.1,46.76,46.92,46.92,47.08,47.45,47.5,47.5,47.55,44.01,44.14,44.14,44.27,50.45,50.47,50.47,50.49
87015,Catania,,10,870150000010,1,Residenziale,1,Tessuto urbano continuo,136,,True,46.42,46.59,46.6,46.73,47.09,47.13,47.1,47.18,47.33,47.4,47.42,47.44,47.98,48.12,48.07,48.3,46.88,47.0,47.05,47.06,47.61,47.73,47.75,47.81,44.01,44.14,44.18,44.22,50.56,50.67,50.67,50.77
