PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
69022,Chieti,,1,690220000001,1,Residenziale,1,Tessuto urbano continuo,27,,True,42.42,42.81,42.85,43.15,39.73,40.22,40.2,40.64,35.21,35.91,35.93,36.57,39.03,39.72,39.74,40.39,39.53,40.24,40.24,40.96,41.84,42.14,42.09,42.63,39.82,40.4,40.47,40.94,42.04,42.62,42.71,43.29
69022,Chieti,,2,690220000002,1,Residenziale,1,Tessuto urbano continuo,18,,True,43.25,43.25,43.25,43.25,40.8,40.8,40.8,40.8,37.07,37.07,37.07,37.07,40.92,40.92,40.92,40.92,40.52,40.52,40.52,40.52,44.66,44.66,44.66,44.66,41.14,41.14,41.14,41.14,44.26,44.26,44.26,44.26
69022,Chieti,,3,690220000003,1,Residenziale,1,Tessuto urbano continuo,10,,True,43.15,43.26,43.26,43.36,40.81,40.83,40.83,40.84,35.78,36.2,36.2,36.61,40.3,40.45,40.45,40.61,39.61,39.92,39.92,40.24,42.28,42.37,42.37,42.46,41.07,41.11,41.11,41.15,43.43,43.6,43.6,43.77
69022,Chieti,,4,690220000004,1,Residenziale,1,Tessuto urbano continuo,13,,True,42.41,42.69,42.57,43.08,40.51,40.64,40.62,40.78,34.89,35.49,35.38,36.21,39.48,39.74,39.63,40.11,38.9,39.17,38.99,39.61,41.58,41.81,41.72,42.14,40.2,40.47,40.42,40.79,42.38,42.71,42.65,43.12
69022,Chieti,,5,690220000005,1,Residenziale,1,Tessuto urbano continuo,10,,True,41.55,42.18,42.41,42.57,39.89,40.34,40.51,40.62,34.89,35.57,35.61,36.21,38.68,39.26,39.48,39.63,38.32,38.74,38.9,38.99,40.98,41.42,41.58,41.72,39.6,40.07,40.2,40.42,41.63,42.22,42.38,42.65
69022,Chieti,,6,690220000006,1,Residenziale,1,Tessuto urbano continuo,12,,True,42.27,42.33,42.33,42.39,40.15,40.38,40.38,40.61,35.4,35.61,35.61,35.82,39.01,39.19,39.19,39.38,39.18,39.34,39.34,39.5,41.26,41.41,41.41,41.56,39.43,39.68,39.68,39.92,41.56,41.77,41.77,41.99
69022,Chieti,,7,690220000007,1,Residenziale,1,Tessuto urbano continuo,8,,True,42.27,42.33,42.33,42.39,40.15,40.38,40.38,40.61,35.4,35.61,35.61,35.82,39.01,39.19,39.19,39.38,39.18,39.34,39.34,39.5,41.26,41.41,41.41,41.56,39.43,39.68,39.68,39.92,41.56,41.77,41.77,41.99
69022,Chieti,,8,690220000008,1,Residenziale,1,Tessuto urbano continuo,37,,True,43.32,43.42,43.41,43.58,40.34,40.43,40.35,40.76,35.17,35.34,35.31,35.54,39.95,40.15,40.17,40.27,40.16,40.37,40.38,40.56,43.41,43.46,43.43,43.55,41.01,41.21,41.25,41.33,43.76,44.23,44.25,44.77
69022,Chieti,,9,690220000009,1,Residenziale,1,Tessuto urbano continuo,34,,True,43.39,43.42,43.41,43.45,40.55,40.69,40.75,40.76,35.54,35.56,35.56,35.59,40.21,40.32,40.36,40.4,40.27,40.47,40.49,40.64,43.55,43.6,43.58,43.69,41.04,41.24,41.33,41.36,43.96,44.17,44.21,44.36
69022,Chieti,,10,690220000010,1,Residenziale,1,Tessuto urbano continuo,19,,True,43.05,43.18,43.23,43.27,40.61,40.67,40.63,40.77,35.68,35.75,35.74,35.82,40.51,40.59,40.52,40.75,40.45,40.76,40.77,41.06,43.46,43.52,43.51,43.58,41.03,41.18,41.22,41.27,44.07,44.21,44.21,44.35
69022,Chieti,,12,690220000012,1,Residenziale,1,Tessuto urbano continuo,0,,True,43.23,43.31,43.31,43.39,40.55,40.58,40.58,40.61,35.56,35.62,35.62,35.68,40.4,40.46,40.46,40.51,40.64,40.7,40.7,40.77,43.51,43.54,43.54,43.58,41.22,41.29,41.29,41.36,44.21,44.28,44.28,44.36
69022,Chieti,,13,690220000013,1,Residenziale,1,Tessuto urbano continuo,32,,True,41.29,41.97,42.05,42.9,39.64,40.16,40.24,40.74,35.0,35.51,35.47,36.1,39.97,40.55,40.6,41.17,38.66,39.3,38.92,40.27,43.08,43.68,43.69,44.44,39.15,39.83,39.94,40.57,42.8,43.53,43.62,44.52
69022,Chieti,,14,690220000014,1,Residenziale,1,Tessuto urbano continuo,27,,True,42.36,42.86,42.92,43.25,40.64,40.73,40.74,40.8,35.98,36.3,36.08,37.07,40.92,40.97,40.96,41.06,40.5,40.66,40.64,40.89,43.41,44.13,44.23,44.66,40.44,40.81,40.82,41.14,44.26,44.39,44.37,44.55
