PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
78045,Cosenza,,1,780450000001,1,Residenziale,1,Tessuto urbano continuo,14,,True,44.48,44.48,44.48,44.48,42.58,42.58,42.58,42.58,35.1,35.1,35.1,35.1,41.17,41.17,41.17,41.17,41.91,41.91,41.91,41.91,41.85,41.85,41.85,41.85,40.65,40.65,40.65,40.65,45.23,45.23,45.23,45.23
78045,Cosenza,,2,780450000002,1,Residenziale,1,Tessuto urbano continuo,13,,True,44.75,44.75,44.75,44.75,43.04,43.04,43.04,43.04,35.49,35.49,35.49,35.49,41.41,41.41,41.41,41.41,42.31,42.31,42.31,42.31,42.17,42.17,42.17,42.17,40.86,40.86,40.86,40.86,45.61,45.61,45.61,45.61
78045,Cosenza,,3,780450000003,1,Residenziale,1,Tessuto urbano continuo,35,,True,44.23,44.23,44.23,44.23,42.65,42.65,42.65,42.65,35.24,35.24,35.24,35.24,41.04,41.04,41.04,41.04,41.71,41.71,41.71,41.71,41.47,41.47,41.47,41.47,40.34,40.34,40.34,40.34,45.06,45.06,45.06,45.06
78045,Cosenza,,4,780450000004,1,Residenziale,1,Tessuto urbano continuo,56,,True,43.24,43.79,43.86,44.11,41.72,42.15,42.26,42.32,34.23,34.8,34.9,35.04,40.26,40.69,40.75,40.92,40.51,41.19,41.33,41.49,40.06,40.79,40.86,41.22,39.65,40.02,40.07,40.26,43.87,44.51,44.59,44.84
78045,Cosenza,,5,780450000005,1,Residenziale,1,Tessuto urbano continuo,8,,True,44.23,44.23,44.23,44.23,42.65,42.65,42.65,42.65,35.24,35.24,35.24,35.24,41.04,41.04,41.04,41.04,41.71,41.71,41.71,41.71,41.47,41.47,41.47,41.47,40.34,40.34,40.34,40.34,45.06,45.06,45.06,45.06
78045,Cosenza,,6,780450000006,1,Residenziale,1,Tessuto urbano continuo,59,,True,42.39,43.14,42.95,44.36,40.66,41.71,41.57,42.88,32.65,33.82,33.82,34.99,38.79,39.87,39.94,41.06,39.72,40.64,40.53,41.97,39.06,39.96,39.73,41.43,38.78,39.39,39.3,40.3,42.95,43.75,43.56,45.17
78045,Cosenza,,7,780450000007,2,Culto,5,Edifici pubblici e servizi,0,,True,42.31,44.01,44.42,45.33,40.66,42.52,42.81,43.78,32.3,34.34,34.6,35.73,39.37,40.66,40.92,41.65,39.64,41.23,41.75,42.32,38.95,40.88,41.44,42.27,39.41,40.2,40.27,41.25,42.77,44.56,44.95,45.89
78045,Cosenza,,8,780450000008,1,Residenziale,1,Tessuto urbano continuo,167,,True,39.59,41.08,40.76,42.55,37.92,39.01,38.76,40.81,29.64,31.04,30.97,32.94,36.59,38.07,37.8,39.64,37.25,38.33,38.05,39.99,36.4,37.86,37.69,39.25,36.32,37.5,37.41,39.42,39.68,41.48,41.18,43.15
78045,Cosenza,,9,780450000009,1,Residenziale,1,Tessuto urbano continuo,0,,True,42.98,43.45,43.39,44.03,41.05,41.35,41.35,41.65,33.47,33.91,33.83,34.52,39.52,39.93,39.9,40.4,40.06,40.43,40.33,41.03,39.88,40.33,40.28,40.86,38.83,39.44,39.33,40.26,42.97,43.44,43.3,44.2
78045,Cosenza,,10,780450000010,1,Residenziale,1,Tessuto urbano continuo,68,,True,43.65,44.18,44.06,44.83,41.01,42.07,42.12,42.89,33.86,34.54,34.61,35.49,40.15,40.63,40.71,41.26,40.57,41.21,41.37,41.84,40.55,41.16,40.96,41.94,39.63,40.23,40.22,40.84,43.54,44.4,44.53,45.32
78045,Cosenza,,11,780450000011,1,Residenziale,1,Tessuto urbano continuo,70,,True,43.96,44.36,44.41,44.92,42.37,42.69,42.71,43.02,34.49,34.89,34.89,35.52,40.43,40.69,40.71,41.1,40.71,40.98,41.02,41.44,40.71,41.06,41.12,41.57,39.89,40.26,40.21,41.11,43.74,44.21,44.28,44.96
