PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
19036,Cremona,,1,190360000001,1,Residenziale,1,Tessuto urbano continuo,172,,True,40.71,40.91,40.87,41.22,38.5,39.06,38.96,39.64,45.41,45.77,45.66,46.3,45.02,45.25,45.19,45.54,43.25,43.48,43.5,43.8,39.9,40.29,40.25,40.81,40.8,41.47,41.5,42.0,46.46,46.66,46.56,47.32
19036,Cremona,,2,190360000002,1,Residenziale,1,Tessuto urbano continuo,261,,True,41.01,43.4,43.72,44.73,38.24,39.14,39.18,40.01,45.41,47.58,47.91,49.01,45.02,46.58,46.77,47.8,43.38,45.36,45.61,46.57,40.06,41.22,41.34,42.12,41.29,42.64,42.71,43.41,46.48,47.94,48.16,49.13
19036,Cremona,,3,190360000003,1,Residenziale,1,Tessuto urbano continuo,361,,True,40.86,41.97,41.55,45.79,38.87,39.92,39.82,41.4,45.32,46.57,46.54,47.52,45.41,46.19,46.11,47.26,43.38,44.18,44.16,45.24,38.68,40.66,40.81,41.89,40.45,41.53,41.17,42.94,46.72,47.65,47.61,48.57
19036,Cremona,,4,190360000004,1,Residenziale,1,Tessuto urbano continuo,125,,True,39.37,40.96,41.44,42.61,37.67,39.28,39.61,40.8,44.5,46.32,46.59,47.93,43.59,44.98,45.24,46.32,41.09,42.89,43.28,44.5,38.29,39.54,39.67,40.8,39.53,40.98,41.39,42.4,45.45,46.77,47.06,47.99
19036,Cremona,,5,190360000005,1,Residenziale,1,Tessuto urbano continuo,137,,True,42.54,44.2,43.95,45.99,38.05,39.62,39.46,41.05,44.37,45.95,45.96,47.4,44.3,45.89,45.74,47.47,41.95,43.45,43.13,45.34,38.87,40.78,40.78,42.52,40.9,41.89,41.63,43.38,45.68,47.05,47.01,48.43
19036,Cremona,,6,190360000006,1,Residenziale,1,Tessuto urbano continuo,42,,True,39.0,39.69,39.74,40.25,37.57,38.15,38.14,38.58,43.48,44.44,44.44,45.26,42.87,43.63,43.58,44.23,41.44,42.1,42.01,42.62,37.85,38.58,38.45,39.25,39.31,40.49,40.47,41.78,45.05,45.92,45.98,46.49
19036,Cremona,,7,190360000007,1,Residenziale,1,Tessuto urbano continuo,48,,True,40.24,41.04,40.78,42.08,38.48,39.25,39.05,40.26,44.99,46.13,45.83,47.47,44.01,44.93,44.72,46.0,42.18,43.07,42.93,44.17,38.56,39.49,39.4,40.6,40.09,41.41,41.85,42.39,46.3,47.0,46.86,47.88
19036,Cremona,,8,190360000008,1,Residenziale,1,Tessuto urbano continuo,42,,True,41.35,41.86,42.08,42.44,39.55,39.92,40.12,40.26,46.7,47.23,47.5,47.73,45.35,45.72,45.92,46.06,43.57,43.96,44.13,44.38,40.21,40.55,40.78,40.79,42.95,43.32,43.43,43.85,47.44,47.74,47.82,48.18
19036,Cremona,,9,190360000009,1,Residenziale,1,Tessuto urbano continuo,38,,True,40.13,41.37,41.33,42.49,38.47,39.35,39.36,40.11,45.26,46.45,46.43,47.47,44.23,45.23,45.26,46.07,42.62,43.63,43.58,44.68,39.25,39.99,39.94,40.72,40.8,42.19,41.85,43.67,46.21,47.22,47.19,48.09
19036,Cremona,,10,190360000010,1,Residenziale,1,Tessuto urbano continuo,87,,True,40.1,41.07,40.99,41.91,37.99,38.81,38.72,39.51,44.96,45.9,45.79,46.7,43.95,44.87,44.79,45.66,42.58,43.44,43.25,44.31,39.53,40.11,40.14,40.57,39.98,41.48,41.53,42.24,46.11,46.87,46.84,47.54
19036,Cremona,,11,190360000011,1,Residenziale,1,Tessuto urbano continuo,104,,True,40.03,40.48,40.43,40.81,37.99,38.81,39.03,39.34,45.0,45.27,45.14,45.66,44.44,44.96,44.97,45.21,42.55,43.04,43.16,43.48,40.0,40.62,40.65,40.84,40.26,40.94,41.01,41.56,46.29,46.65,46.66,46.9
19036,Cremona,,12,190360000012,1,Residenziale,1,Tessuto urbano continuo,71,,True,40.6,40.72,40.66,40.94,38.71,38.94,38.86,39.33,45.5,45.65,45.58,45.94,45.06,45.17,45.14,45.33,42.99,43.09,43.05,43.26,40.63,40.68,40.68,40.75,41.4,41.45,41.42,41.57,46.48,46.65,46.58,46.94
19036,Cremona,,13,190360000013,1,Residenziale,1,Tessuto urbano continuo,29,,True,40.59,40.64,40.64,40.69,38.36,38.44,38.44,38.52,45.48,45.49,45.49,45.5,44.8,44.85,44.85,44.9,42.97,42.99,42.99,43.01,39.93,39.99,39.99,40.05,41.49,41.54,41.54,41.6,46.3,46.34,46.34,46.38
19036,Cremona,,14,190360000014,1,Residenziale,1,Tessuto urbano continuo,4,,True,40.69,41.12,41.16,41.52,38.21,38.28,38.28,38.36,45.5,45.88,45.87,46.22,44.8,44.93,44.93,45.11,43.01,43.29,43.25,43.56,40.05,40.24,40.27,40.45,41.59,41.71,41.72,41.83,46.3,46.63,46.65,46.92
19036,Cremona,,15,190360000015,1,Residenziale,1,Tessuto urbano continuo,15,,True,41.87,42.12,41.96,42.56,38.3,38.44,38.4,38.62,46.57,46.77,46.64,47.11,45.3,45.46,45.38,45.76,43.94,44.13,43.94,44.51,40.61,40.75,40.69,40.97,42.11,42.23,42.13,42.48,47.06,47.28,47.21,47.58
19036,Cremona,,16,190360000016,5,Area verde/parco urbano,7,Verde urbano,0,,True,42.01,42.62,42.66,43.15,39.32,39.51,39.46,39.79,47.01,47.59,47.61,48.14,45.76,46.06,46.06,46.37,44.62,45.1,45.14,45.51,40.85,41.07,41.07,41.29,42.35,42.94,42.71,43.98,47.76,48.27,48.29,48.77
19036,Cremona,,17,190360000017,1,Residenziale,1,Tessuto urbano continuo,5,,True,40.83,41.12,41.12,41.41,38.48,38.53,38.53,38.58,46.07,46.27,46.27,46.47,44.92,45.06,45.06,45.19,43.37,43.59,43.59,43.81,40.42,40.53,40.53,40.63,41.68,41.82,41.82,41.97,46.88,47.05,47.05,47.21
19036,Cremona,,18,190360000018,1,Residenziale,1,Tessuto urbano continuo,69,,True,40.03,40.39,40.38,41.09,37.85,38.2,38.22,38.72,45.0,45.46,45.54,46.13,44.08,44.56,44.57,45.0,42.5,42.8,42.78,43.58,39.74,40.18,40.28,40.54,40.86,41.44,41.31,42.46,46.17,46.38,46.34,46.97
19036,Cremona,,19,190360000019,1,Residenziale,1,Tessuto urbano continuo,19,,True,43.34,43.34,43.34,43.34,39.06,39.06,39.06,39.06,47.79,47.79,47.79,47.79,46.26,46.26,46.26,46.26,45.41,45.41,45.41,45.41,41.34,41.34,41.34,41.34,42.9,42.9,42.9,42.9,48.14,48.14,48.14,48.14
