PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
101010,Crotone,Calabria,1,1010100000001,1,Residenziale,1,Tessuto urbano continuo,145,,True,42.52,42.98,43.05,43.23,41.76,42.3,42.39,42.5,44.75,45.12,45.2,45.42,43.27,43.61,43.64,43.87,42.61,43.13,43.2,43.48,44.51,45.08,45.15,45.4,43.43,44.1,44.23,44.38,42.79,43.46,43.53,43.74
101010,Crotone,Calabria,2,1010100000002,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,41.36,41.49,41.49,41.62,40.79,40.94,40.94,41.09,43.45,43.59,43.59,43.73,42.32,42.46,42.46,42.6,41.14,41.3,41.3,41.46,43.98,44.11,44.11,44.23,42.35,42.47,42.47,42.59,42.12,42.26,42.26,42.4
101010,Crotone,Calabria,3,1010100000003,1,Residenziale,1,Tessuto urbano continuo,279,,True,37.74,39.53,39.87,40.87,37.63,39.17,39.38,40.58,40.11,41.58,41.74,42.51,38.72,40.39,40.69,41.61,37.35,39.27,39.66,40.68,40.75,42.03,42.23,42.99,39.38,40.73,40.71,41.76,38.8,40.36,40.49,41.49
101010,Crotone,Calabria,4,1010100000004,1,Residenziale,1,Tessuto urbano continuo,225,,True,39.81,40.58,40.44,41.72,39.28,40.14,40.0,41.08,41.74,42.41,42.15,43.56,40.69,41.44,41.46,42.14,40.03,40.7,40.53,41.69,42.47,43.0,42.85,43.87,40.67,41.51,41.48,42.27,40.54,41.16,41.14,41.65
101010,Crotone,Calabria,5,1010100000005,1,Residenziale,1,Tessuto urbano continuo,326,,True,39.49,40.55,40.39,42.16,39.04,40.35,40.45,41.42,40.86,42.51,42.47,44.05,40.11,41.49,41.58,42.55,39.3,40.81,40.84,42.13,41.4,43.08,43.37,44.11,40.42,41.78,41.73,43.1,39.86,41.17,41.27,41.92
101010,Crotone,Calabria,6,1010100000006,1,Residenziale,1,Tessuto urbano continuo,62,,True,42.79,42.91,42.89,43.07,41.91,42.03,41.98,42.21,44.59,44.78,44.79,44.94,43.07,43.18,43.14,43.38,42.67,42.83,42.81,43.0,44.69,44.84,44.81,45.06,43.53,43.74,43.7,43.97,42.63,42.93,42.85,43.3
101010,Crotone,Calabria,7,1010100000007,1,Residenziale,1,Tessuto urbano continuo,64,,True,40.67,41.49,41.41,42.39,40.51,41.07,41.07,41.54,42.44,43.34,43.32,44.19,41.33,42.0,42.02,42.64,40.48,41.51,41.52,42.32,42.89,43.76,43.78,44.48,41.63,42.41,42.53,43.03,41.24,41.8,41.87,42.43
101010,Crotone,Calabria,8,1010100000008,1,Residenziale,1,Tessuto urbano continuo,106,,True,41.55,41.96,42.08,42.16,41.37,41.81,41.91,42.11,43.59,44.11,44.17,44.38,42.69,42.92,43.01,43.1,42.15,42.54,42.41,42.87,44.03,44.31,44.44,44.48,42.98,43.31,43.32,43.59,42.01,42.29,42.39,42.54
101010,Crotone,Calabria,9,1010100000009,5,Area verde/parco urbano,7,Verde urbano,0,,True,35.73,38.63,38.92,40.0,36.18,38.56,38.81,39.84,37.99,40.77,40.86,42.34,36.75,39.77,40.11,41.74,35.48,39.04,39.44,41.2,38.29,41.11,41.1,42.9,37.34,39.97,40.23,41.89,36.81,39.33,39.39,40.64
101010,Crotone,Calabria,10,1010100000010,1,Residenziale,1,Tessuto urbano continuo,49,,True,40.62,41.28,41.5,41.75,40.71,41.26,41.37,41.74,42.95,43.74,43.59,44.68,41.99,42.59,42.69,43.16,41.62,42.36,42.41,43.0,43.61,44.16,44.1,44.8,42.05,42.97,42.98,43.88,41.3,41.85,42.01,42.32
