PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
86009,Enna,,1,860090000001,1,Residenziale,1,Tessuto urbano continuo,220,,True,36.37,38.26,38.26,39.75,35.91,38.1,38.23,39.74,33.96,35.46,35.42,37.06,38.95,41.89,42.16,43.66,37.74,39.9,40.13,41.48,38.61,39.99,40.08,41.45,36.21,38.41,38.47,39.98,35.87,38.37,38.16,42.6
86009,Enna,,2,860090000002,1,Residenziale,1,Tessuto urbano continuo,316,,True,34.19,37.39,37.55,40.08,32.94,37.06,37.2,40.56,33.37,35.53,35.57,37.91,35.71,39.16,39.55,42.79,35.55,39.15,39.45,41.7,36.29,38.69,39.08,40.74,33.57,36.85,37.28,39.52,33.0,37.62,37.71,41.12
86009,Enna,,3,860090000003,1,Residenziale,1,Tessuto urbano continuo,214,,True,38.8,39.25,39.17,40.36,38.92,39.43,39.32,40.62,36.44,37.13,37.1,38.09,40.07,41.03,41.11,41.72,41.02,41.4,41.41,42.06,39.25,39.98,39.95,41.16,38.88,39.63,39.7,40.3,39.32,39.84,39.68,43.04
86009,Enna,,4,860090000004,1,Residenziale,1,Tessuto urbano continuo,435,,True,38.35,38.9,38.77,39.72,38.41,39.21,39.19,40.0,35.08,36.04,35.84,37.34,36.87,40.77,40.86,43.75,40.62,41.06,40.98,41.78,38.99,40.33,40.44,41.69,38.06,38.97,38.79,40.22,36.78,38.1,37.68,39.76
86009,Enna,,5,860090000005,1,Residenziale,1,Tessuto urbano continuo,364,,True,35.92,38.32,38.76,39.72,35.21,37.96,38.31,39.26,31.45,34.44,34.72,36.02,36.12,39.3,39.5,41.03,36.8,39.54,39.93,40.96,36.63,38.88,39.04,40.28,35.25,37.34,37.48,38.72,32.73,35.91,36.18,37.4
86009,Enna,,6,860090000006,1,Residenziale,1,Tessuto urbano continuo,435,,True,32.1,37.48,38.17,40.85,32.74,37.04,37.71,39.57,30.09,34.12,34.51,37.01,34.7,38.77,39.33,41.27,35.25,38.87,39.26,41.03,34.99,37.9,38.23,39.26,32.31,36.8,37.41,39.57,29.74,34.29,34.65,38.21
86009,Enna,,7,860090000007,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,,True,33.51,37.4,37.48,40.31,34.15,37.29,37.44,39.53,31.37,36.38,35.41,42.14,36.29,38.79,38.96,40.63,36.34,38.96,39.19,41.07,35.77,38.75,38.34,42.26,33.57,37.02,37.03,39.76,30.75,32.49,32.12,37.89
86009,Enna,,8,860090000008,1,Residenziale,1,Tessuto urbano continuo,646,,True,37.72,39.72,39.74,41.75,37.11,38.84,38.88,40.69,34.46,37.85,37.96,43.95,38.92,40.55,40.54,43.08,38.98,40.5,40.54,42.29,37.97,40.03,39.64,43.53,36.56,39.35,39.51,42.17,31.34,33.58,33.4,36.46
86009,Enna,,9,860090000009,1,Residenziale,1,Tessuto urbano continuo,385,,True,37.51,38.82,38.89,39.57,37.37,38.78,38.74,39.86,34.39,35.51,35.64,36.36,38.34,40.15,40.18,41.03,39.4,40.55,40.65,41.41,38.13,39.07,39.14,39.53,37.15,38.45,38.6,39.95,33.59,36.18,36.3,40.11
86009,Enna,,10,860090000010,1,Residenziale,1,Tessuto urbano continuo,397,,True,36.62,39.36,39.39,41.52,36.3,39.29,39.33,41.78,34.37,36.34,36.2,38.51,38.61,39.96,39.9,41.76,38.79,41.11,41.24,42.6,38.03,39.63,39.49,41.24,37.64,39.68,39.58,42.23,30.53,36.11,36.12,43.86
