PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
48017,Firenze,,60001,480170060001,1,Residenziale,1,Tessuto urbano continuo,176,,True,38.41,40.76,40.71,42.81,36.09,38.95,38.95,41.39,36.01,37.84,37.81,40.09,35.12,39.3,39.38,43.1,36.62,40.06,40.23,43.56,35.41,38.27,38.52,40.09,33.86,37.51,37.88,39.62,38.89,42.88,42.98,46.2
48017,Firenze,,60002,480170060002,1,Residenziale,1,Tessuto urbano continuo,36,,True,45.29,45.29,45.29,45.29,43.16,43.16,43.16,43.16,41.62,41.62,41.62,41.62,42.13,42.13,42.13,42.13,45.46,45.46,45.46,45.46,43.18,43.18,43.18,43.18,41.86,41.86,41.86,41.86,47.76,47.76,47.76,47.76
48017,Firenze,,60003,480170060003,1,Residenziale,1,Tessuto urbano continuo,19,,True,41.86,42.64,42.45,43.39,40.15,40.78,40.67,41.46,39.17,39.57,39.48,40.02,39.07,40.18,40.04,41.03,44.06,44.58,44.55,45.32,39.24,40.06,39.82,41.14,37.84,38.57,38.42,39.7,43.7,44.81,44.51,45.74
48017,Firenze,,60004,480170060004,1,Residenziale,1,Tessuto urbano continuo,238,,True,39.86,42.54,42.43,45.47,37.47,40.07,39.89,43.06,36.35,39.53,40.1,41.97,36.8,40.07,40.18,44.15,38.24,40.78,40.35,44.78,35.64,39.31,38.99,44.22,34.53,38.62,38.74,42.65,40.5,44.35,44.29,48.45
48017,Firenze,,60005,480170060005,4,Piazza monumentale,5,Edifici pubblici e servizi,0,,True,45.31,45.56,45.5,46.2,42.93,43.18,43.14,43.62,40.83,41.23,41.24,41.94,41.92,42.26,42.23,42.86,41.39,42.93,42.58,46.39,42.66,43.09,43.11,43.41,41.87,42.21,42.19,42.55,47.09,47.55,47.59,47.92
48017,Firenze,,60006,480170060006,1,Residenziale,1,Tessuto urbano continuo,150,,True,44.8,45.87,45.45,47.39,42.35,43.23,43.14,44.6,41.27,42.06,41.85,43.5,41.92,42.69,42.49,45.05,43.47,46.3,46.35,48.62,42.48,43.38,43.23,44.86,40.94,42.39,42.29,43.76,46.83,47.82,47.69,49.28
48017,Firenze,,60007,480170060007,26,Area agricola,9,Colture agricole,0,,True,37.15,40.55,40.85,43.77,34.12,38.92,39.22,42.76,34.78,38.79,39.28,41.01,33.95,41.07,41.89,44.38,35.88,40.63,40.74,44.57,34.51,38.09,38.31,40.83,31.8,36.44,36.84,40.1,38.26,42.75,43.44,45.14
48017,Firenze,,60008,480170060008,1,Residenziale,1,Tessuto urbano continuo,23,,True,41.79,42.87,42.88,43.69,40.23,41.37,41.33,42.23,38.45,39.38,39.43,40.09,39.86,41.28,41.44,42.12,44.12,44.98,44.93,45.72,39.08,40.49,40.55,41.56,37.58,39.04,39.03,40.12,44.14,45.61,45.49,46.78
48017,Firenze,,60009,480170060009,1,Residenziale,1,Tessuto urbano continuo,24,,True,43.21,44.26,44.25,45.16,41.0,42.03,41.87,42.87,40.45,41.32,41.3,41.86,41.27,42.73,43.03,44.11,39.88,41.9,42.13,43.77,40.96,42.68,42.57,44.1,40.29,41.47,41.55,42.43,45.78,47.27,47.17,48.31
48017,Firenze,,60010,480170060010,1,Residenziale,1,Tessuto urbano continuo,85,,True,43.26,44.14,44.15,45.23,41.46,41.85,41.93,42.08,40.02,40.7,40.77,41.16,41.03,41.49,41.5,42.02,45.01,45.57,45.57,46.36,40.47,41.99,42.24,42.78,39.34,40.39,40.42,41.04,45.74,46.62,46.66,47.49
