PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
71024,Foggia,,1,710240000001,1,Residenziale,1,Tessuto urbano continuo,159,,True,41.3,42.17,42.01,43.19,40.19,41.29,41.39,42.13,40.34,41.51,41.58,42.24,43.67,44.72,44.48,45.55,43.54,44.2,44.11,45.08,46.65,47.42,47.49,48.01,40.69,41.44,41.5,42.09,44.75,45.46,45.4,46.15
71024,Foggia,,2,710240000002,1,Residenziale,1,Tessuto urbano continuo,79,,True,43.06,43.12,43.1,43.22,42.02,42.12,42.1,42.24,41.72,41.78,41.75,41.9,45.52,45.57,45.54,45.68,44.8,44.91,44.95,44.96,47.97,48.01,47.97,48.15,41.94,41.99,42.0,42.02,45.82,45.86,45.83,45.96
71024,Foggia,,3,710240000003,1,Residenziale,1,Tessuto urbano continuo,53,,True,42.16,42.6,42.64,42.95,40.96,41.48,41.55,41.83,41.06,41.4,41.36,41.8,44.77,45.09,45.01,45.56,43.93,44.4,44.54,44.6,47.22,47.6,47.63,47.91,41.4,41.76,41.81,42.05,45.45,45.66,45.66,45.88
71024,Foggia,,4,710240000004,1,Residenziale,1,Tessuto urbano continuo,70,,True,42.29,42.29,42.29,42.29,41.09,41.09,41.09,41.09,41.26,41.26,41.26,41.26,44.97,44.97,44.97,44.97,44.06,44.06,44.06,44.06,47.37,47.37,47.37,47.37,41.39,41.39,41.39,41.39,45.78,45.78,45.78,45.78
71024,Foggia,,5,710240000005,1,Residenziale,1,Tessuto urbano continuo,70,,True,41.82,41.91,41.91,42.0,40.57,40.74,40.74,40.91,42.24,42.3,42.3,42.35,44.42,44.48,44.48,44.54,43.86,43.91,43.91,43.96,47.1,47.22,47.22,47.34,40.97,41.1,41.1,41.23,45.33,45.43,45.43,45.53
71024,Foggia,,6,710240000006,1,Residenziale,1,Tessuto urbano continuo,33,,True,42.45,42.55,42.53,42.66,41.25,41.56,41.57,41.79,41.55,41.86,41.88,42.14,44.94,45.28,45.35,45.61,44.29,44.52,44.53,44.84,47.51,47.62,47.58,47.78,41.53,41.78,41.76,42.0,45.77,45.94,45.94,46.09
71024,Foggia,,7,710240000007,1,Residenziale,1,Tessuto urbano continuo,20,,True,42.51,42.56,42.56,42.62,41.47,41.63,41.63,41.78,41.52,41.71,41.71,41.9,45.34,45.48,45.48,45.61,44.45,44.49,44.49,44.54,47.5,47.54,47.54,47.58,41.72,41.76,41.76,41.8,45.7,45.74,45.74,45.77
71024,Foggia,,8,710240000008,18,Universita/ricerca,5,Edifici pubblici e servizi,0,,True,42.19,42.6,42.55,43.03,41.4,41.78,41.75,42.24,41.98,42.41,42.34,43.25,45.1,45.55,45.55,45.85,44.43,44.74,44.73,45.07,47.28,47.63,47.55,48.08,41.64,42.0,41.97,42.24,44.9,45.61,45.74,45.91
71024,Foggia,,9,710240000009,1,Residenziale,1,Tessuto urbano continuo,49,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71024,Foggia,,10,710240000010,1,Residenziale,1,Tessuto urbano continuo,21,,True,42.13,42.35,42.29,42.58,41.5,41.67,41.76,41.79,41.65,41.82,41.67,42.05,45.07,45.25,45.34,45.39,44.68,44.77,44.73,44.89,47.78,47.91,47.96,48.08,41.76,41.97,42.05,42.23,45.15,45.31,45.38,45.5
