PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
40012,Forlì,,1,400120000001,1,Residenziale,1,Tessuto urbano continuo,114,,True,42.14,42.61,42.74,43.0,41.51,42.12,42.01,42.89,43.27,44.23,44.33,44.93,44.26,45.09,45.25,46.1,44.04,44.86,45.01,45.65,44.7,45.47,45.45,46.12,42.2,42.68,42.6,43.44,46.38,47.36,47.67,48.04
40012,Forlì,,2,400120000002,1,Residenziale,1,Tessuto urbano continuo,63,,True,42.3,42.44,42.39,42.66,41.55,41.67,41.66,41.89,44.93,45.42,45.28,45.95,44.31,44.62,44.41,45.17,44.04,44.56,44.35,45.26,44.93,45.07,45.03,45.27,41.94,42.48,42.56,42.73,46.6,47.16,47.06,47.68
40012,Forlì,,3,400120000003,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,,True,42.38,42.62,42.74,42.74,41.86,42.36,42.61,42.61,43.7,43.75,43.78,43.78,44.87,44.92,44.94,44.94,44.75,44.8,44.82,44.82,45.2,45.4,45.5,45.5,41.96,42.61,42.93,42.93,47.18,47.26,47.3,47.3
40012,Forlì,,4,400120000004,37,Scuole/istituti,5,Edifici pubblici e servizi,4,,True,42.07,42.17,42.16,42.32,41.38,41.57,41.53,42.01,41.69,43.24,43.39,44.84,44.13,44.37,44.26,44.77,43.92,44.14,44.1,44.52,44.47,44.72,44.63,45.31,42.03,42.34,42.2,42.9,46.28,46.54,46.49,47.04
40012,Forlì,,5,400120000005,1,Residenziale,1,Tessuto urbano continuo,32,,True,42.23,42.38,42.4,42.5,41.42,41.64,41.64,42.0,43.45,43.66,43.7,43.84,44.45,44.84,44.87,45.07,44.43,44.64,44.69,44.91,44.65,45.01,44.97,45.46,42.13,42.46,42.39,42.82,46.73,47.01,47.09,47.27
40012,Forlì,,6,400120000006,1,Residenziale,1,Tessuto urbano continuo,44,,True,42.4,42.59,42.63,42.73,41.64,41.91,41.95,42.31,43.74,43.87,43.86,44.08,44.7,45.17,45.29,45.49,44.68,44.86,44.88,45.19,44.89,45.26,45.34,45.75,42.09,42.37,42.36,42.72,47.09,47.22,47.23,47.4
40012,Forlì,,7,400120000007,1,Residenziale,1,Tessuto urbano continuo,55,,True,42.18,42.28,42.3,42.33,41.42,41.5,41.5,41.59,43.54,43.95,43.62,45.02,43.9,44.18,44.18,44.45,44.1,44.28,44.28,44.48,44.49,44.57,44.56,44.65,41.92,42.13,42.14,42.3,46.55,46.76,46.78,46.95
40012,Forlì,,8,400120000008,1,Residenziale,1,Tessuto urbano continuo,42,,True,42.58,42.65,42.67,42.75,41.76,41.97,41.96,42.31,43.83,43.91,43.91,44.08,44.53,44.87,44.84,45.53,44.64,44.88,44.9,45.16,44.9,45.19,45.19,45.69,42.37,42.51,42.47,42.76,47.03,47.15,47.14,47.35
40012,Forlì,,9,400120000009,1,Residenziale,1,Tessuto urbano continuo,67,,True,42.09,42.35,42.33,42.58,41.52,41.67,41.57,41.93,43.41,43.56,43.54,43.7,43.76,44.01,44.1,44.16,43.75,44.11,44.1,44.39,44.18,44.45,44.56,44.61,41.79,41.95,41.9,42.14,46.27,46.61,46.59,46.88
40012,Forlì,,10,400120000010,1,Residenziale,1,Tessuto urbano continuo,75,,True,42.13,42.76,42.84,43.0,42.08,42.49,42.52,42.93,43.93,44.14,44.12,44.36,44.82,45.25,45.31,45.38,45.01,45.29,45.22,45.59,45.16,45.56,45.63,45.72,41.92,42.36,42.38,42.93,47.02,47.32,47.34,47.55
