PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
60038,Frosinone,,1,600380000001,1,Residenziale,1,Tessuto urbano continuo,67,,True,42.3,42.72,42.82,42.92,41.0,41.18,41.12,41.46,36.21,36.41,36.4,36.65,43.69,43.93,43.92,44.07,40.77,41.14,41.2,41.4,42.03,42.15,42.18,42.22,41.64,41.81,41.8,41.98,44.71,45.0,45.04,45.21
60038,Frosinone,,2,600380000002,1,Residenziale,1,Tessuto urbano continuo,118,,True,37.74,42.19,42.59,43.19,36.41,41.0,41.48,42.22,31.88,35.56,35.8,36.71,39.36,43.64,43.99,44.62,36.06,40.4,40.81,41.27,37.93,42.04,42.29,43.34,37.9,41.57,41.81,42.76,40.39,44.89,45.08,46.36
60038,Frosinone,,3,600380000003,1,Residenziale,1,Tessuto urbano continuo,26,,True,39.84,41.46,41.36,42.67,38.15,40.07,39.95,41.53,34.27,35.66,35.52,36.67,41.21,42.97,42.9,44.3,37.83,39.62,39.66,40.9,39.58,41.47,41.38,42.89,39.5,41.09,40.97,42.42,43.27,44.88,44.86,46.06
60038,Frosinone,,4,600380000004,1,Residenziale,1,Tessuto urbano continuo,80,,True,41.06,41.66,41.88,41.93,39.49,40.25,40.38,40.54,34.94,35.77,35.69,36.65,42.55,43.27,43.42,43.53,39.8,40.53,40.66,40.96,40.81,41.41,41.54,41.7,40.69,41.34,41.49,41.75,43.8,44.42,44.56,44.86
60038,Frosinone,,5,600380000005,1,Residenziale,1,Tessuto urbano continuo,46,,True,42.65,43.0,42.78,43.55,41.88,42.18,41.99,42.68,36.23,36.53,36.37,37.0,44.44,44.76,44.6,45.26,40.78,41.1,41.0,41.53,42.79,43.08,42.8,43.64,42.68,42.98,42.85,43.39,46.07,46.34,46.12,46.83
60038,Frosinone,,6,600380000006,1,Residenziale,1,Tessuto urbano continuo,114,,True,41.45,42.24,42.27,42.76,40.04,40.96,41.07,41.6,35.58,36.2,36.26,36.59,42.6,43.5,43.61,44.04,39.06,40.08,40.09,40.77,41.28,41.99,42.09,42.56,40.7,41.51,41.58,42.02,44.05,44.82,44.77,45.48
60038,Frosinone,,7,600380000007,1,Residenziale,1,Tessuto urbano continuo,38,,True,40.69,41.22,41.3,41.45,39.75,39.95,39.98,40.14,35.58,35.71,35.74,35.77,41.94,42.53,42.64,42.86,38.93,39.11,39.04,39.42,40.78,41.18,41.25,41.38,40.38,40.67,40.68,40.93,44.05,44.34,44.29,44.81
60038,Frosinone,,8,600380000008,1,Residenziale,1,Tessuto urbano continuo,50,,True,39.93,40.85,40.98,41.33,38.11,39.14,39.25,39.99,34.39,35.33,35.55,35.74,41.32,42.3,42.49,42.84,37.77,38.64,38.71,39.23,39.56,40.61,40.8,41.33,39.32,40.24,40.37,40.77,42.8,43.96,44.11,44.57
60038,Frosinone,,9,600380000009,1,Residenziale,1,Tessuto urbano continuo,179,,True,32.09,36.2,35.76,43.27,32.13,35.49,34.86,42.22,28.05,31.19,30.67,36.94,34.34,38.08,37.53,45.02,31.1,34.62,34.18,40.9,32.51,36.31,35.78,43.28,31.98,36.02,35.62,42.81,34.63,39.07,38.38,46.27
60038,Frosinone,,10,600380000010,1,Residenziale,1,Tessuto urbano continuo,55,,True,37.28,40.28,40.72,41.01,37.82,39.22,39.18,39.97,33.67,35.33,35.52,36.01,39.52,42.0,42.29,42.75,36.86,38.71,38.71,39.48,37.84,40.07,40.44,40.94,37.8,39.73,40.14,40.44,40.68,43.58,43.94,44.56
60038,Frosinone,,11,600380000011,1,Residenziale,1,Tessuto urbano continuo,41,,True,40.07,40.56,40.37,41.42,38.84,39.58,39.62,40.73,34.73,35.52,35.66,36.52,41.35,42.0,41.79,43.58,38.44,38.91,38.69,40.12,39.35,40.19,39.97,42.17,38.65,39.67,39.67,41.21,43.21,44.09,44.24,45.19
60038,Frosinone,,12,600380000012,1,Residenziale,1,Tessuto urbano continuo,143,,True,40.37,41.45,41.54,41.91,39.15,40.57,40.38,41.43,35.04,36.55,36.32,37.67,41.35,43.04,43.02,43.75,38.47,39.76,40.02,40.41,39.35,41.32,41.37,42.33,38.68,40.58,40.47,41.42,43.26,44.66,45.0,45.18
60038,Frosinone,,13,600380000013,1,Residenziale,1,Tessuto urbano continuo,153,,True,40.87,41.79,41.97,42.15,40.06,40.4,40.38,40.75,36.4,36.51,36.46,37.0,42.83,43.23,43.23,43.62,39.52,39.76,39.62,40.34,40.93,41.29,41.26,41.82,40.7,40.91,40.84,41.25,43.84,44.33,44.38,44.82
60038,Frosinone,,14,600380000014,1,Residenziale,1,Tessuto urbano continuo,36,,True,36.76,39.48,39.59,41.88,37.83,39.11,38.98,40.54,34.31,35.47,35.46,36.74,39.4,41.6,41.59,43.53,36.0,38.77,38.91,40.96,37.57,39.85,40.0,41.7,36.35,39.21,39.16,41.75,40.2,42.79,42.96,44.86
60038,Frosinone,,15,600380000015,1,Residenziale,1,Tessuto urbano continuo,15,,True,40.71,41.06,41.19,41.28,40.45,40.68,40.66,40.93,37.27,37.62,37.76,37.82,43.05,43.41,43.56,43.61,38.71,39.72,40.01,40.44,41.06,41.95,42.14,42.65,40.22,40.52,40.59,40.76,44.26,44.79,44.92,45.21
