PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
10025,Genova,,1,100250000001,22,Bosco/copertura forestale,8,Vegetazione naturale,2,200051.3,True,29.16,34.18,34.54,38.81,28.56,30.61,30.56,32.78,29.07,30.88,30.95,34.3,34.07,36.8,36.69,39.69,31.45,33.4,33.5,36.07,30.84,33.09,32.99,36.46,28.72,30.75,30.68,34.71,31.0,33.51,33.61,37.77
10025,Genova,,2,100250000002,1,Residenziale,1,Tessuto urbano continuo,48,41937.8,True,30.0,32.02,31.03,35.88,30.03,31.82,31.32,35.47,28.89,31.37,30.28,35.23,34.24,36.8,36.23,40.69,31.7,33.76,32.79,37.82,32.4,34.27,33.25,38.25,30.29,32.53,31.85,37.15,32.76,35.07,33.94,39.84
10025,Genova,,3,100250000003,64,Oliveto,9,Colture agricole,121,524667.2,True,27.6,35.29,35.56,40.3,28.03,32.84,33.14,36.98,27.58,32.33,32.5,36.57,31.99,38.2,38.55,42.47,29.33,34.31,34.66,38.57,29.82,34.72,34.88,39.44,28.96,32.38,32.43,36.26,31.33,36.64,37.0,40.43
10025,Genova,,4,100250000004,1,Residenziale,1,Tessuto urbano continuo,155,50710.2,True,31.21,34.31,33.99,38.45,31.33,33.62,33.45,37.06,30.62,32.63,32.7,36.3,33.31,36.82,36.55,41.57,31.2,33.85,33.62,37.46,33.22,35.35,35.45,38.15,31.13,33.1,32.95,35.94,32.07,35.23,35.14,39.27
10025,Genova,,5,100250000005,1,Residenziale,1,Tessuto urbano continuo,45,42303.4,True,33.15,35.16,34.86,38.95,32.32,33.99,33.73,37.2,31.86,33.73,33.45,37.0,35.58,38.32,38.26,41.61,32.83,34.49,34.07,37.76,34.08,35.79,35.58,38.35,32.05,33.52,33.36,36.87,33.81,36.27,35.98,39.8
10025,Genova,,6,100250000006,1,Residenziale,1,Tessuto urbano continuo,11,11732.0,True,36.07,37.27,36.96,39.29,34.66,35.72,35.59,37.64,33.82,35.17,34.87,36.99,39.16,40.35,40.23,42.28,35.35,36.32,36.23,37.79,36.59,37.25,37.15,38.5,34.1,35.12,34.76,37.01,37.3,38.34,38.03,40.39
10025,Genova,,7,100250000007,1,Residenziale,1,Tessuto urbano continuo,50,38698.3,True,34.06,37.47,37.49,39.59,32.84,35.45,35.21,37.8,32.28,35.15,35.16,37.27,36.45,40.59,40.65,42.46,33.73,36.34,36.31,37.89,34.66,37.32,37.43,38.68,32.28,35.07,34.96,37.52,34.93,38.75,38.8,40.87
10025,Genova,,8,100250000008,1,Residenziale,1,Tessuto urbano continuo,203,34680.9,True,35.53,37.91,38.07,39.68,33.63,36.37,36.62,38.28,33.74,35.98,36.17,37.66,38.94,40.72,40.79,42.32,34.31,36.92,37.17,38.46,35.26,38.18,38.33,40.8,32.91,35.83,36.32,38.06,36.56,39.63,39.75,42.35
10025,Genova,,9,100250000009,1,Residenziale,1,Tessuto urbano continuo,40,8645.9,True,34.11,35.89,35.65,37.51,32.94,34.35,34.09,36.18,33.23,34.58,34.58,35.87,37.92,39.42,39.59,40.39,33.68,34.86,34.96,36.03,34.93,36.33,36.01,38.49,32.54,33.62,33.37,35.65,36.67,38.14,38.05,39.78
10025,Genova,,10,100250000010,1,Residenziale,1,Tessuto urbano continuo,38,9681.6,True,36.47,37.47,37.47,38.32,34.6,36.26,36.62,37.33,34.58,35.77,35.9,36.87,38.69,40.07,40.27,40.99,35.32,36.25,36.27,37.55,36.29,38.33,38.68,39.56,33.85,35.68,35.92,36.97,37.93,39.68,39.86,41.09
