PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
31007,Gorizia,,1,310070000001,26,Area agricola,9,Colture agricole,43,,True,30.9,43.17,44.23,51.03,25.2,32.2,32.91,37.47,23.67,32.12,33.13,36.34,29.65,39.51,40.66,44.98,25.88,33.99,34.74,39.76,29.19,38.0,39.02,42.63,26.15,34.47,35.08,41.14,30.01,40.33,41.18,47.52
31007,Gorizia,,3,310070000003,1,Residenziale,1,Tessuto urbano continuo,101,,True,43.7,46.6,46.68,49.61,32.96,35.09,35.11,37.51,32.73,33.99,33.88,35.6,40.24,42.2,42.1,43.84,31.63,36.83,37.24,39.03,40.02,41.62,41.46,43.58,34.74,38.06,38.12,40.82,41.26,44.29,44.51,46.87
31007,Gorizia,,4,310070000004,1,Residenziale,1,Tessuto urbano continuo,26,,True,45.17,46.27,46.01,47.65,33.8,35.05,34.49,36.8,32.67,33.74,33.49,35.02,40.96,41.89,41.67,43.22,36.76,38.2,38.17,39.77,40.49,41.67,41.47,43.34,37.11,37.95,37.96,38.79,44.64,45.3,45.2,46.59
31007,Gorizia,,5,310070000005,1,Residenziale,1,Tessuto urbano continuo,39,,True,45.77,47.62,47.77,49.16,34.33,35.87,36.07,38.25,32.93,34.38,34.53,35.46,41.55,42.63,42.71,43.62,37.89,39.51,39.65,40.92,41.52,42.7,42.79,43.9,37.51,39.22,39.28,40.66,45.15,46.58,46.75,47.9
31007,Gorizia,,6,310070000006,1,Residenziale,1,Tessuto urbano continuo,136,,True,45.32,48.03,48.41,49.65,34.86,36.67,36.91,38.09,32.53,34.43,34.67,35.63,40.78,42.39,42.53,43.53,37.1,39.08,39.26,41.06,39.86,42.18,42.42,43.48,36.59,38.77,38.98,39.62,44.01,46.72,46.96,48.29
31007,Gorizia,,7,310070000007,1,Residenziale,1,Tessuto urbano continuo,60,,True,46.88,47.53,47.43,49.16,35.9,36.3,36.13,37.94,32.92,33.76,33.74,34.76,41.5,42.08,42.04,43.03,38.16,39.02,38.94,40.32,40.84,41.43,41.45,42.0,37.87,38.35,38.45,38.68,45.34,46.46,46.5,47.14
31007,Gorizia,,8,310070000008,1,Residenziale,1,Tessuto urbano continuo,457,,True,42.35,44.51,44.34,46.88,32.24,34.25,34.33,36.21,30.43,32.74,32.58,34.91,38.38,40.48,40.4,42.39,34.15,36.91,36.89,39.61,37.05,39.17,39.19,41.16,34.35,36.61,36.74,38.94,40.28,43.06,43.29,46.16
31007,Gorizia,,9,310070000009,1,Residenziale,1,Tessuto urbano continuo,161,,True,42.21,45.57,45.8,49.83,32.65,34.36,34.26,37.16,31.56,33.55,33.39,35.04,40.59,42.23,42.09,44.17,34.3,36.99,37.28,39.73,37.53,40.21,40.57,42.88,34.86,36.92,37.09,39.54,40.1,43.44,43.44,47.69
31007,Gorizia,,10,310070000010,1,Residenziale,1,Tessuto urbano continuo,137,,True,42.45,45.37,45.57,47.06,33.06,34.5,34.57,35.73,31.8,32.9,32.85,33.97,39.08,41.41,41.46,42.62,31.57,36.68,37.3,39.49,37.32,39.99,39.74,42.28,34.87,37.19,37.33,38.86,40.29,43.95,44.17,46.21
31007,Gorizia,,11,310070000011,1,Residenziale,1,Tessuto urbano continuo,91,,True,44.56,46.15,46.21,47.38,34.21,35.21,35.16,36.22,32.3,33.35,33.37,34.11,40.87,41.6,41.51,42.43,36.88,37.7,37.59,38.88,39.12,40.04,39.96,41.13,37.13,38.15,38.17,39.28,43.17,44.85,44.89,46.2
