PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
119009,Iglesias,Sardegna,1,1110350000001,1,Residenziale,1,Tessuto urbano continuo,152,,True,40.28,40.98,40.44,43.31,42.79,42.99,42.9,43.63,42.84,42.99,42.92,43.52,44.41,44.66,44.63,44.96,43.44,43.62,43.5,44.01,41.09,41.44,41.48,41.69,41.74,41.94,41.87,42.41,35.33,35.55,35.5,36.07
119009,Iglesias,Sardegna,2,1110350000002,2,Culto,5,Edifici pubblici e servizi,14,,True,43.24,43.25,43.25,43.25,43.04,43.09,43.11,43.11,43.06,43.11,43.13,43.13,44.91,44.99,45.03,45.03,43.87,43.98,44.03,44.03,40.86,40.9,40.92,40.92,42.19,42.28,42.33,42.33,35.33,35.33,35.33,35.35
119009,Iglesias,Sardegna,3,1110350000003,1,Residenziale,1,Tessuto urbano continuo,143,,True,43.22,43.42,43.37,43.76,42.99,43.2,43.13,43.53,43.2,43.44,43.44,43.67,44.79,45.33,45.3,45.68,43.72,44.23,44.21,44.76,40.83,41.08,41.07,41.78,42.16,42.56,42.47,43.21,35.25,35.52,35.45,35.97
119009,Iglesias,Sardegna,4,1110350000004,1,Residenziale,1,Tessuto urbano continuo,236,,True,40.32,41.09,40.69,43.41,43.04,43.37,43.4,43.65,42.81,43.19,43.25,43.64,44.85,45.38,45.31,46.03,43.85,44.45,44.35,45.21,40.87,41.22,41.22,41.66,42.08,42.84,42.78,43.73,35.36,35.78,35.75,36.38
119009,Iglesias,Sardegna,5,1110350000005,1,Residenziale,1,Tessuto urbano continuo,12,,True,40.66,41.94,42.07,42.52,43.33,43.79,43.83,44.24,42.95,43.27,43.28,43.58,44.83,44.98,44.99,45.21,43.91,44.1,44.07,44.34,40.93,41.29,41.32,41.45,42.34,42.77,42.83,42.98,35.65,36.07,36.13,36.27
119009,Iglesias,Sardegna,6,1110350000006,1,Residenziale,1,Tessuto urbano continuo,63,,True,40.35,41.18,41.34,41.94,42.9,43.27,43.1,43.75,42.89,43.23,43.17,43.56,44.31,44.77,44.86,45.32,43.37,43.63,43.71,43.87,41.18,41.4,41.32,41.84,41.72,42.11,42.29,42.46,35.57,35.92,36.05,36.22
119009,Iglesias,Sardegna,7,1110350000007,1,Residenziale,1,Tessuto urbano continuo,78,,True,39.66,40.42,40.07,43.06,42.61,42.77,42.76,43.06,42.79,42.98,42.95,43.17,43.97,44.68,44.56,45.37,43.08,43.39,43.34,43.72,41.45,41.61,41.65,41.76,41.41,41.74,41.69,42.16,34.74,35.35,35.29,35.98
119009,Iglesias,Sardegna,8,1110350000008,1,Residenziale,1,Tessuto urbano continuo,220,,True,37.6,40.05,39.54,42.4,40.52,42.03,42.16,42.81,39.39,42.13,42.36,43.07,41.26,43.68,43.77,45.5,40.87,42.51,42.62,43.58,37.37,40.05,40.0,41.69,39.09,40.59,40.73,41.98,32.26,33.82,33.79,35.76
119009,Iglesias,Sardegna,9,1110350000009,1,Residenziale,1,Tessuto urbano continuo,169,,True,42.64,43.03,43.02,43.37,42.62,42.84,42.8,43.11,43.09,43.42,43.46,43.63,44.5,44.93,44.96,45.24,43.11,43.61,43.62,44.04,40.29,40.73,40.63,41.97,41.48,41.98,41.99,42.34,34.58,35.08,35.07,35.53
119009,Iglesias,Sardegna,10,1110350000010,1,Residenziale,1,Tessuto urbano continuo,147,,True,40.45,42.13,42.2,43.09,40.92,42.18,42.13,42.9,39.95,42.03,42.26,43.28,41.87,43.92,44.17,44.84,41.38,42.85,42.86,43.75,37.88,40.1,40.34,41.19,39.53,41.14,41.14,42.04,32.66,34.09,34.1,35.11
119009,Iglesias,Sardegna,11,1110350000011,1,Residenziale,1,Tessuto urbano continuo,114,,True,40.45,41.48,41.34,42.74,40.92,41.82,41.88,42.78,39.95,40.87,40.49,41.99,41.87,43.04,42.86,44.4,41.38,42.27,42.19,43.26,37.88,39.61,40.08,41.19,39.53,40.56,40.4,41.78,32.66,33.47,33.23,34.59
119009,Iglesias,Sardegna,12,1110350000012,1,Residenziale,1,Tessuto urbano continuo,216,,True,42.77,43.22,43.31,43.63,42.66,43.16,43.15,43.49,41.41,42.51,42.69,43.33,44.06,45.06,45.23,45.63,43.27,43.94,44.06,44.57,39.86,40.65,40.82,41.12,41.94,42.42,42.37,42.96,34.85,35.43,35.45,35.87
119009,Iglesias,Sardegna,13,1110350000013,1,Residenziale,1,Tessuto urbano continuo,126,,True,41.7,42.51,42.54,43.37,41.52,42.86,43.04,43.38,41.28,41.91,41.98,42.81,43.11,44.22,44.23,45.39,42.0,43.19,43.11,44.23,39.14,39.94,39.94,40.73,40.95,41.85,41.87,42.67,34.09,34.86,34.82,35.75
119009,Iglesias,Sardegna,14,1110350000014,1,Residenziale,1,Tessuto urbano continuo,99,,True,39.3,41.04,39.88,43.36,42.0,42.67,42.8,43.18,41.83,42.2,42.1,42.85,43.4,44.17,44.04,45.13,42.38,43.19,43.11,44.19,39.62,40.16,40.16,40.82,41.52,42.29,42.22,42.91,34.82,35.38,35.49,35.79
119009,Iglesias,Sardegna,15,1110350000015,1,Residenziale,1,Tessuto urbano continuo,56,,True,40.09,41.78,40.49,43.76,43.05,43.31,43.31,43.53,42.4,42.88,42.9,43.48,44.74,45.2,45.27,45.68,43.75,44.31,44.41,44.76,40.45,40.89,40.97,41.25,42.91,43.18,43.21,43.49,35.77,36.03,35.96,36.3
