PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
94023,Isernia,,1,940230000001,50,Depuratore,5,Edifici pubblici e servizi,0,,True,35.93,36.5,36.52,37.08,35.84,36.11,36.09,36.56,33.73,34.42,34.57,35.22,36.01,36.88,37.12,37.4,34.69,35.38,35.36,36.55,38.47,38.9,38.98,39.43,35.73,36.48,36.56,37.05,37.14,37.72,37.65,38.41
94023,Isernia,,2,940230000002,1,Residenziale,1,Tessuto urbano continuo,28,,True,34.67,36.64,36.57,38.04,34.42,36.39,36.36,38.14,34.31,36.71,36.81,37.77,36.1,38.36,38.27,40.02,34.52,36.22,36.36,37.12,37.68,39.38,39.54,40.49,35.2,36.72,36.75,37.9,36.69,38.67,39.01,39.91
94023,Isernia,,3,940230000003,2,Culto,5,Edifici pubblici e servizi,3,,True,35.46,36.56,36.6,37.43,35.06,36.44,36.57,37.43,35.03,35.68,35.63,36.7,36.94,38.11,38.07,39.55,34.47,35.57,35.49,37.04,37.64,38.73,38.66,40.05,34.38,35.83,35.69,37.71,36.84,38.18,38.23,39.32
94023,Isernia,,4,940230000004,1,Residenziale,1,Tessuto urbano continuo,87,,True,36.34,36.73,36.67,37.43,36.07,36.65,36.6,37.43,35.32,35.92,36.19,36.7,37.62,38.65,39.03,39.55,35.4,36.2,36.5,37.04,38.58,39.21,39.23,40.05,35.57,36.79,37.01,37.71,37.77,38.46,38.45,39.32
94023,Isernia,,5,940230000005,1,Residenziale,1,Tessuto urbano continuo,7,,True,34.56,36.15,36.08,37.83,34.52,36.02,36.03,37.54,34.66,35.79,35.9,37.04,35.42,37.38,37.15,39.44,34.49,35.59,35.68,37.23,36.85,38.06,38.05,39.47,34.01,35.21,35.41,37.09,36.36,38.0,38.21,39.82
94023,Isernia,,6,940230000006,1,Residenziale,1,Tessuto urbano continuo,21,,True,39.19,39.19,39.19,39.19,38.98,38.98,38.98,38.98,38.75,38.75,38.75,38.75,39.95,39.95,39.95,39.95,38.82,38.82,38.82,38.82,40.83,40.83,40.83,40.83,38.58,38.58,38.58,38.58,41.25,41.25,41.25,41.25
94023,Isernia,,7,940230000007,1,Residenziale,1,Tessuto urbano continuo,46,,True,39.3,39.62,39.77,39.78,39.08,39.49,39.6,39.8,38.91,39.38,39.59,39.65,40.9,41.08,41.09,41.25,38.5,38.91,39.05,39.18,41.06,41.47,41.64,41.71,38.52,38.62,38.59,38.76,41.02,41.09,41.03,41.22
94023,Isernia,,8,940230000008,1,Residenziale,1,Tessuto urbano continuo,89,,True,37.94,39.2,39.3,39.78,37.69,39.03,39.2,39.6,37.56,38.88,39.01,39.59,38.79,40.44,40.7,41.09,36.9,38.31,38.42,39.18,39.43,41.09,41.39,41.71,36.83,37.91,37.99,38.52,38.66,40.14,40.22,41.02
94023,Isernia,,9,940230000009,1,Residenziale,1,Tessuto urbano continuo,115,,True,36.96,37.98,37.94,39.52,36.97,38.22,38.25,39.44,37.35,38.62,38.45,39.77,37.8,39.23,39.34,40.88,36.85,37.84,37.98,39.09,38.86,40.28,40.17,41.81,36.87,37.72,37.83,38.8,38.95,39.91,39.89,41.37
94023,Isernia,,10,940230000010,1,Residenziale,1,Tessuto urbano continuo,69,,True,38.02,38.87,38.91,39.62,37.75,38.74,38.79,39.64,37.12,38.35,38.4,39.47,39.23,39.89,39.88,40.55,37.82,38.63,38.86,39.01,39.82,40.66,40.64,41.54,37.1,38.2,38.39,38.92,40.67,41.14,41.27,41.36
